csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	a_comp_cor_204	a_comp_cor_205	a_comp_cor_206	a_comp_cor_207	a_comp_cor_208	a_comp_cor_209	a_comp_cor_210	a_comp_cor_211	a_comp_cor_212	a_comp_cor_213	a_comp_cor_214	a_comp_cor_215	a_comp_cor_216	a_comp_cor_217	a_comp_cor_218	a_comp_cor_219	a_comp_cor_220	a_comp_cor_221	a_comp_cor_222	a_comp_cor_223	a_comp_cor_224	a_comp_cor_225	a_comp_cor_226	a_comp_cor_227	a_comp_cor_228	a_comp_cor_229	a_comp_cor_230	a_comp_cor_231	a_comp_cor_232	a_comp_cor_233	a_comp_cor_234	a_comp_cor_235	a_comp_cor_236	a_comp_cor_237	a_comp_cor_238	a_comp_cor_239	a_comp_cor_240	a_comp_cor_241	a_comp_cor_242	a_comp_cor_243	a_comp_cor_244	a_comp_cor_245	a_comp_cor_246	a_comp_cor_247	a_comp_cor_248	a_comp_cor_249	a_comp_cor_250	a_comp_cor_251	a_comp_cor_252	a_comp_cor_253	a_comp_cor_254	a_comp_cor_255	a_comp_cor_256	a_comp_cor_257	a_comp_cor_258	a_comp_cor_259	a_comp_cor_260	a_comp_cor_261	a_comp_cor_262	a_comp_cor_263	a_comp_cor_264	a_comp_cor_265	a_comp_cor_266	a_comp_cor_267	a_comp_cor_268	a_comp_cor_269	a_comp_cor_270	a_comp_cor_271	a_comp_cor_272	a_comp_cor_273	a_comp_cor_274	a_comp_cor_275	a_comp_cor_276	a_comp_cor_277	a_comp_cor_278	a_comp_cor_279	a_comp_cor_280	a_comp_cor_281	a_comp_cor_282	a_comp_cor_283	a_comp_cor_284	a_comp_cor_285	a_comp_cor_286	a_comp_cor_287	a_comp_cor_288	a_comp_cor_289	a_comp_cor_290	a_comp_cor_291	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
21841.142578125	n/a	477035509.1179848	n/a	18051.4140625	n/a	325853549.65582275	n/a	16876.56640625	n/a	284818493.66456604	n/a	n/a	n/a	n/a	-0.08427198960000001	0.0185898898	0.0304987044	0.014292106899999999	-0.0200859374	-0.0498357239	-0.0206441103	0.0332069783	-0.0691732429	0.0625339428	-0.0015835019	0.0367418188	-0.0705208628	-0.038864344	0.0696254391	-0.0258844506	0.0387087092	-0.1036193661	0.0159636646	-0.07016136099999999	0.0704385066	-0.028155831	0.0332630552	-0.0695305379	0.0252935515	-0.0535861233	0.1011808901	-0.11498944529999999	0.00391588	-0.0198487319	0.0045918009	-0.0022032254	0.0418599112	-0.0192012575	0.023991025299999996	-0.0560854047	0.0182504028	-0.0304829511	-0.1102960842	0.0360927574	-0.034909636	-0.0561561841	0.0398224843	-0.0580867914	0.038173828	0.0075123988	0.0311428108	-0.08360015009999999	0.0074917030000000015	0.024329128999999998	0.0053702685	-0.0456548027	-0.0083993938	-0.0547858565	0.0548686177	-0.047503628799999996	0.0062494212	-0.0394430132	0.0545802195	-0.0868976279	0.028093146	-0.0505055108	0.024848175899999998	-0.0879509348	0.0475154979	-0.0439432558	0.0785500949	-0.1313196831	0.0172466184	-0.0350391867	0.09671243789999999	-0.0061837993999999995	0.013852621399999999	-0.0274070537	0.0366980398	-0.0708806436	0.0200888307	-0.0073780967000000005	0.0480095113	-0.014548549099999999	0.0208018942	-0.010443386899999999	0.01874747	0.0044245864000000005	-0.0084560145	0.0539782857	0.0241571012	-0.0200584408	-0.0652325842	0.0577395698	-0.0378953102	0.040947974399999996	-0.0012224888000000001	-0.0409546312	0.0372798716	-0.0275289728	0.0248092878	0.002911493	0.0303497986	-0.0155004371	0.0263043504	0.0083943945	-0.058744839199999996	0.0624055094	-0.0417554066	-0.0113637598	-0.0695509921	0.0587366691	0.0136407811	-0.0282493433	-0.0102409572	0.049118103600000004	-0.047930041	0.0206677126	0.025723044	-0.051252592300000004	-0.0326276781	-0.048799790999999995	0.06786363349999999	-0.0474553844	-0.0597312459	0.0794330189	-0.0050555662	-0.009297382	-0.0189722824	0.0333166195	0.0035492032	0.0337627287	-0.0300179021	-0.0256400252	0.014296316399999997	0.0078964945	0.0423359494	-0.0391478685	0.03472667	0.0603382413	-0.08666093820000001	0.043177405099999996	0.0165431755	-0.023898448500000002	0.11572307710000004	-0.2019501882	-0.0345211758	0.038994339700000005	0.0024657208	0.0025734967	0.0548898621	-0.0762001407	0.0244737648	-0.0933567427	0.177755375	0.0375327204	-0.0332329888	-0.049576882999999995	0.0331017595	0.0457877933	0.0078694845	-0.0017278535999999999	-0.0208666213	-0.0406514918	0.0875665494	-0.0363232625	-0.09168978189999999	-0.0955315127	-0.07255131320000001	-0.0194601175	0.047025236	0.0017503492	0.0766694364	0.020217412	0.0809674709	0.0322344818	0.0390638111	-0.021834013500000003	-0.08307492799999999	0.0063143122	-0.0570349031	-0.049819074299999995	0.023822764399999998	-0.0144458632	-0.022479377000000002	0.11709124289999999	-0.013370796	0.051995675199999994	-0.0056222486	0.0085532356	-0.0451578896	0.0354814309	-0.049936511399999994	0.0852916298	0.0012047663	-0.05241179309999999	0.0016939312	-0.0479558162	0.0446814105	-0.02100181	0.076688033	-0.0074264733	0.0668258349	-0.0795182067	0.052537027300000004	-0.039278264199999996	0.058373391	-0.024927799	0.0532435319	-0.014270755800000003	0.0315600568	-0.0169159244	-0.0203995726	0.07959951030000001	-0.012607711499999999	-0.0380153242	0.0393047319	0.04986583940000002	-0.026749004500000003	-0.0133738604	0.0189860781	0.009649223	-0.036135352999999995	-0.016267396599999998	0.0267394238	0.029313472099999998	-0.044980054900000004	-0.033011431200000003	0.0017581258	-0.018266463400000002	0.0886238084	-0.0353559265	0.15337733369999998	-0.0693481785	0.007478366	-0.0237793234	0.037649342999999995	-0.0475318921	0.015009627	-0.1209967843	0.056807362300000004	-0.0174939271	0.0027876038	-0.0287353661	0.0131671776	-0.0704204826	0.0220417573	-0.005074793	0.0450582691	-0.012996571399999999	0.061909828099999994	-0.0313262406	0.0300164721	-0.0781055349	0.023054720499999997	-0.0174582743	-0.0033823698	0.0389541665	-0.0281907023	0.0037755416999999997	0.0185922504	-0.049751887599999996	0.0148364916	-0.019272865400000002	0.0664956137	-0.07889342190000001	0.0090340863	0.0163160989	-0.005709213	-0.043333585	0.0099660522	-0.0766011559	-0.0177549262	0.0736061799	-0.026548637200000003	-0.015921479	0.00032809010000000005	0.056103132	-0.0181456509	-0.048911343600000004	0.028482088399999998	-0.0039186892	-0.0041661182	-0.004936152	0.0425733941	0.0683769256	-0.0030538869	-0.035814522200000004	0.0387077188	-0.0251233252	-0.034230593	0.0131599741	0.09140083869999999	-0.0507430339	0.027869828399999998	0.0508523171	-0.0588215333	0.029078326	0.0345874991	-0.0707084278	-0.019895503999999998	0.036813232	0.0645493768	0.0645483399	0.0645466117	0.06454419230000001	1.30748e-05	n/a	1.7095039504000002e-10	n/a	2.1792e-06	n/a	4.748912639999999e-12	n/a	-0.0161748	n/a	0.00026162415504	n/a	0.00013565700000000002	n/a	n/a	1.8402821649000004e-08	-0.000146482	n/a	n/a	2.1456976324000002e-08	0.0003769	n/a	1.4205360999999994e-07	n/a
21735.755859375	-105.38671875	472443082.7783546	11106.360488891602	18042.033203125	-9.380859375	325514962.10266495	88.00052261352539	16856.00390625	-20.5625	284124867.68751526	422.81640625	1.124424	22.327982	0.047146197402	0.0293428029	0.0771507465	0.0118696009	0.042017919400000006	-0.0101571332	-0.0046550991	0.0680563632	0.038644785099999995	-0.0269133919	-0.0249427258	-0.017041110800000002	0.0216628264	-0.0959110684	0.0068001706000000006	-0.0048806615	-0.0039012802	0.037473041400000004	-0.0169921153	0.0051443098999999996	-0.075326326	0.0201528358	-0.0148332791	-0.0354441867	0.012839111399999999	0.024944268399999997	-0.015323164399999999	-0.0777169533	0.057814297800000004	-0.1366530048	-0.047692604000000006	0.023372079100000002	-0.09422941130000001	0.0712088267	0.0725473517	-0.0074075977	-0.0078958106	-0.0021825228	-0.0023458056	-0.041642117799999996	0.005785188	0.012247448400000001	-0.06689288040000001	0.0356986926	-0.021999328	-0.09347510140000001	0.0221962108	0.11123083869999999	-0.011993944199999999	0.0509950194	0.043243982	-0.006741291	0.0425785683	0.0016463837	0.0281237821	0.004652885	-0.0624423495	0.10466401019999999	-0.0475352793	0.0812313938	0.0314918062	-0.043331379100000005	0.0394292655	0.0431093753	-0.0615091476	-0.0288079093	0.0588934243	-0.031484231099999996	0.0628206728	0.0778133899	0.0050700349	0.0305412296	-0.0779389342	0.0179340493	-0.0031758532000000003	0.0422772814	-0.044073699400000006	0.0279161504	0.0053747843	0.0195341223	-0.0111652002	-0.029050523300000002	0.057597758	0.0013692448000000002	-0.0124787697	-0.0354677875	-0.0042011429	-0.028978655099999997	-0.0165331107	0.0557215386	0.0378684149	-0.0576411159	-0.0032085460999999997	-0.024606159500000002	0.0702803773	0.0713849332	0.042959795	-0.0069576544999999995	2.66879e-05	-0.026323263700000002	-0.0089141538	0.0242697135	-0.0097515161	0.0199385219	0.0430363825	-0.001366848	0.007649491	0.00040184870000000003	-0.0230528682	-0.0419433772	0.025770008599999998	-0.00013722879999999998	-0.0637898235	-0.0352207746	-0.0693634131	0.11462585	-0.0564862217	0.0818076026	-0.0220761971	-0.0353484452	-0.0294362575	-0.05930099480000001	-0.06328699780000001	-0.0083217321	-0.0261961104	-0.06343999360000001	0.0272469891	0.029747772999999998	0.015629637	-0.058676872699999987	0.0351079995	-0.047112869	0.016816316	0.0025887708	0.0056588459999999995	-0.0043158607	-0.0643505005	0.0335856923	0.0590495801	0.0325963678	-0.0757903826	0.0358889388	-0.08902390730000001	-0.036822201299999996	-0.0698656595	0.0082225837	0.048273675300000006	0.0428187149	-0.06598809280000001	0.0651802609	-0.1016752142	0.0719864579	-0.0171115793	0.0040202802	-0.0797033288	0.011768141000000001	0.0007850222	0.0279951277	0.057318773899999995	-0.0483194	-0.0377859	0.007227139899999999	0.013860805600000001	-0.019486440900000002	0.0346026524	-0.0939046146	-0.0912230736	0.0568833049	-0.0963567202	-0.0385042822	-0.0536646784	-0.0368678564	-0.11817744720000001	0.0743738954	-0.0547498179	-0.059952120199999986	-0.0742610534	-0.0258849077	0.015202162	0.0054099021999999995	0.017302291	-0.0639352406	0.054734850599999996	-0.018082396599999998	0.0162405885	-0.0129663806	0.0385320522	-0.0395080921	0.0063258494999999994	0.0475691882	-0.0304116053	0.0088567027	0.0093397637	-0.0939060191	0.0083704812	-0.0033820341	0.0345247288	0.0028221499	0.0398815198	-0.0313122044	-0.0823299785	-0.050842491	-0.0009750385000000001	-0.056048339	-0.0315799348	-0.0767293678	-0.0001291741	-0.0161678414	0.03022937	-0.007962947199999999	0.0476798018	-0.09692292050000001	-0.0431757599	0.0038995965	0.0264707823	-0.1263869718	0.1321812839	-0.0369232965	-0.0860993374	-0.0835088357	-0.07725954110000001	-0.0250878269	0.013771996399999998	0.0150113813	0.0304137335	-0.0679315036	0.0620227973	-0.0114984431	-0.0011381353	0.07141323940000001	-0.055777701500000006	0.0443115838	-0.0410075918	0.012177915	0.0345522951	-0.012327939599999999	-0.0405612064	0.0236920395	-0.0131311864	-0.0063714997	0.0662031607	0.09453294359999999	-0.0329298051	-0.0714228709	0.032253365299999996	0.0852798487	0.0207541078	-0.0029019516999999996	0.0359687064	-0.0147431024	-0.025911427200000003	0.0313946056	-0.0122049022	-0.0420276216	0.054672867800000004	-0.0229047549	-0.0115913697	-0.028672386499999997	0.0830905212	-0.0336752559	0.0097839546	-0.046288990700000004	-0.0224434833	-0.0036525817	-0.0377715469	0.025403493	-0.0147848105	-0.0028725125	0.025096007000000004	-0.0545366357	-0.0020876961	-0.0150171189	-0.0018717952	0.0170619971	0.0092386992	-0.0242159717	-0.039102821	-0.018040068200000002	0.017653152	-0.0099419315	0.0541852992	0.025669705499999997	-0.0261278673	-0.032862170499999996	0.0401094226	0.0630108404	0.061267015	-0.0035034207	0.097644605	-0.1074548895	-0.043306328399999997	0.010526121299999998	0.0070088882	0.05163795980000002	0.0003514921	-0.0204698626	0.0770574495	0.0025051062	-0.032624023700000004	0.0645466117	0.06453727990000001	0.0645217278	0.0644999569	9.19068e-07	-1.2155732e-05	8.446859886240001e-13	1.47761820455824e-10	0.00286063	0.0028584508	8.183203996899999e-06	8.170740976020641e-06	-2.70913e-06	0.01617209087	7.3393853569e-12	0.0002615365231075373	7.24055e-05	-6.325150000000003e-05	4.0007522522500026e-09	5.24255643025e-09	-0.0	0.000146482	2.1456976324000002e-08	0.0	2.45635e-05	-0.00035233649999999987	6.0336553225e-10	1.2414100923224995e-07
21753.6171875	17.861328125	473219860.7402954	319.027042388916	18070.4765625	28.443359375	326542123.1958618	809.0246925354004	16834.869140625	-21.134765625	283412818.98196787	446.67831802368164	1.086411	21.573133	0.022575891188	0.032494401299999996	-0.0327936339	0.047224668399999996	0.0029693046	-0.049353964199999996	-0.044340268200000005	-0.0960385589	0.020242610600000002	0.0454894324	0.0268599656	-0.0313627415	0.0315311592	-0.049324329400000005	-0.0384820758	0.0801432822	-0.025277871	-0.0623279031	0.0432447412	0.0665429895	0.1004143247	0.0078573733	-0.0834418363	0.0632223796	0.0430917988	0.0308901491	-0.0169199705	-0.042456970499999996	0.0523197339	0.0225142987	-0.016893060300000002	0.0274984139	0.0705352445	-0.048511084	-0.0275347041	-0.018164459299999998	0.010625949099999999	0.0219875512	0.0319761962	-0.013367686299999999	-0.022091096400000003	0.027572738500000003	-0.022091833300000002	-0.008551874499999999	0.028233055	0.0536124121	0.0053053313000000005	-0.020483720100000002	-0.042654515700000006	0.016816370900000002	-0.0189646756	-0.0338019868	-0.0381877188	0.0628082834	-0.0627098373	-0.0200009142	0.001406607	-0.04776922980000002	-0.0413604287	-0.0102006507	0.0490173546	-0.014478105900000001	-0.06802667700000001	-0.0481937008	0.0814241599	0.0353934235	-0.0271266846	0.048293953	-0.008301482800000001	0.0483301716	-0.0185990321	0.0100100072	0.010666599099999998	0.026153009799999998	-0.0202331938	-0.015174086000000003	-0.009436189000000001	0.0096828205	0.013561865900000001	-0.0172192629	-0.0102910502	-0.0716746032	-0.0729892338	0.0328298689	0.042701803899999995	0.10276668039999999	-0.0606212578	-0.0017770538	-0.0092892796	-0.0358418151	-0.069570692	-0.0060366145	0.0148662259	-0.0423574395	-0.0699159828	-0.0280420419	-0.027163796299999998	0.0023125496	-0.0268409106	0.0294193781	0.0380583121	0.011190992299999999	0.06299188900000001	0.0594478112	0.0242394083	0.0501874041	-0.0471536867	0.010319449	-0.0377808427	-0.0066584093	-0.0131010548	-0.0039506166999999995	-0.0261234812	0.08718942029999999	-0.0122007517	0.0361817143	-0.12181513599999999	-0.021277875	-0.0070614702	-0.1142895847	-0.025830481800000003	0.0342720617	-0.0686730653	-0.09820470460000001	-0.0007303219999999999	-0.046522000300000005	0.06490839	-0.0303447811	0.0267377527	-0.011798903000000001	0.10261928449999999	-0.05534286980000002	0.0039313837	0.0221119408	-0.0269868875	-0.011247066399999998	-0.0438410398	0.019010308899999998	-0.04373014150000002	0.0272793598	-0.0241314436	0.0415388644	-0.1317327566	-0.012436211599999998	0.0610016209	-0.0026637723999999997	0.0042298479	0.0738161761	0.0010750684	0.0767875553	-0.030246434	0.0248230342	0.0506206835	0.013016154299999999	0.049787722300000004	-0.0249847641	0.0388895483	0.0088976577	0.0002975578	0.041896329100000004	0.0187573603	0.030300504300000006	-0.0185558888	-0.0739824935	-0.0742545513	-0.0437111888	-0.0647708768	-0.0421908943	0.0794252012	-0.0755423931	0.015233218400000003	0.09030877539999999	-0.045315735999999995	-0.08090873	-0.009343294399999999	-0.0268862979	0.0902789288	-0.0264192046	-0.008108071	-0.0149687332	-0.0515802375	0.0047101253000000004	0.08148534360000001	-0.054743092	0.0357810396	0.0395196501	-0.0649847193	0.034664283	0.1220421856	0.0013381489	0.012739786599999999	-0.0106360838	0.0149837001	0.0892792204	-0.0219610787	0.041893016899999996	0.0257621359	-0.0800752437	0.0387885814	-0.0438001985	0.0269767252	-0.0171144169	0.032033526	-0.0015791247	0.0258122713	0.005730665500000001	0.0233535339	0.0092278516	0.0133503032	0.0220886385	-0.033630386400000004	-0.0109769025	-0.0064583159999999995	0.0149036935	0.0029484424	0.0758443594	-0.0129862376	0.026770179300000002	-0.0127396505	0.07068757690000001	0.0034486612	0.0546167361	0.0040587165	0.0040115722	0.0122042814	0.0001048803	0.048500233499999997	0.008131760699999999	-0.0601009587	-0.0028374436	0.0230341798	-0.0142126655	0.0428727758	0.0220042269	-0.0667257637	-0.0105516221	0.0048093633	0.0628221155	-0.0036506294	0.0127140346	-0.0112681949	-0.0251386727	0.0099560086	-0.0031906332	-0.014043288000000001	-0.0207784698	-0.0137347882	0.0123046216	-0.0721895424	0.0396921434	-0.018116265	-0.0337032399	-0.0002515123	0.057275652999999996	-0.0161044309	0.0399048424	-0.0406954769	-0.0779345139	-0.046253322	0.10597802560000001	0.0702107973	0.0088712353	-0.0296798117	-0.0628843162	-0.0408448415	-0.0256250102	0.0347819338	0.0022779536	0.0354747397	0.0017503759	-0.0410581589	-0.0049664845	0.0386527231	-0.028378202400000007	-0.0012550906	0.0524318853	0.014158271699999999	-0.009458519	-0.0165794407	0.0021292409	-0.0670135206	-0.041535002599999996	-0.0464641439	0.0297952952	0.025926335	0.09431851460000001	0.0842936986	0.0425792199	0.0626253052	-0.041031827400000005	-0.0454313573	0.0355045021	-0.0078036784	-0.064546812	-0.0490921747	-0.0754867882	-0.06538953480000001	-0.0754107968	0.012452380800000001	0.0645410817	0.0645151617	0.0644719695	0.0644115165	-0.00392366	-0.003924579068	1.53951077956e-05	1.5402320860983747e-05	0.00634011	0.0034794800000000005	4.019699481210001e-05	1.2106781070400005e-05	4.11349e-06	6.8226199999999986e-06	1.6920799980099994e-11	4.6548143664399996e-11	-0.000160104	-0.0002325095	5.4060667590250006e-08	2.5633290816e-08	5.544350000000001e-05	5.544350000000001e-05	3.0739816922500012e-09	3.0739816922500012e-09	9.21631e-06	-1.534719e-05	8.494037001610001e-11	2.355362408961e-10
