csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
33003.41796875	n/a	1089225597.6200104	n/a	21880.205078125	n/a	478743374.26080704	n/a	21920.263671875	n/a	n/a	480497959.44452286	n/a	n/a	n/a	-0.12073021630000001	-0.0162124856	-0.1687430594	0.0723181502	-0.22887141260000002	0.031182715099999998	-0.1672071769	0.17179813170000002	-0.027466130499999998	0.174539186	-0.1691658241	0.0647100556	-0.2864704002	0.0008862398	-0.014876406299999999	0.062393699299999994	-0.0279913317	0.0260485281	-0.08453476900000001	0.0594183573	-0.0314596175	0.0118132854	-0.17103793609999998	0.17430957100000002	-0.1251071447	0.0713259887	-0.0537285193	0.0178845826	0.1338074583	-0.029615981	-0.0657443301	0.0669246605	0.025416969900000003	0.1301795751	-0.21290888089999999	-0.0334099338	0.070768843	0.1112736092	-0.0144643702	-0.0576248	0.036720445	0.037136072400000004	-0.0028704495	-0.0259026545	-0.025514798999999998	-0.0067606565	0.0254539194	0.06806417070000001	-0.0871342833	-0.023843605299999997	-0.15909699730000001	-0.1135415067	0.1641171558	-0.2318855563	0.1816959418	0.08879196119999999	-0.21944110600000002	0.0831946244	-0.0454846146	0.2907204034	-0.19005871929999998	0.0596640797	-0.1422030761	0.014442925300000001	-0.23513546370000002	0.0585616977	-0.0067867828	0.0703037863	-0.0976644394	0.1526884899	-0.0361453174	0.0233047363	-0.1153250976	0.029243649500000007	-0.023000603300000002	0.07182784099999999	-0.0082214769	-0.015544363600000001	0.0873505589	-0.0370892363	-0.117044391	0.050254011200000004	0.048027973499999994	-0.071094013	-0.1389401354	0.1248254483	-0.0849309758	0.0082443178	0.0813989196	-0.09591381630000001	-0.013110843600000002	-0.028054761299999998	-0.0885811827	0.0352081469	0.0069636341	0.0780435023	-0.0623422811	-0.1189748122	0.1156914125	0.014420340600000001	0.0246881092	0.1217078847	0.1216831682	0.1216419777	1.908e-05	n/a	n/a	3.640464e-10	-0.00422862	n/a	1.7881227104399994e-05	n/a	-0.0599693	n/a	0.00359631694249	n/a	0.00169159	n/a	n/a	2.8614767281e-06	0.000321383	n/a	1.03287032689e-07	n/a	-0.00014146	n/a	n/a	2.00109316e-08	0.0	0.0
32540.853515625	-462.564453125	1058907147.525364	213965.87329483032	21827.943359375	-52.26171875	476459111.3000832	2731.2872467041016	21869.875	-50.388671875	2539.018253326416	478291432.515625	1.4904879999999998	23.227499	0.29718562000000004	0.018725681	0.08410850539999999	0.017577588	0.0424897259	0.059040782699999995	0.1438202557	-0.0614731401	0.0033665815999999998	-0.0739754527	0.22791506	-0.0320143177	0.0597972737	0.0009250551	-0.0328411548	-0.0853523764	-0.0656222103	-0.074391651	-0.1143771764	-0.061152615199999996	-0.041237317200000005	-0.0722011263	0.0524736854	0.1020465992	-0.0336104616	0.17575416010000006	-0.11936285320000001	-0.0700258191	-0.1239713354	-0.05706004980000001	-0.2704740082	0.0830450933	0.0631352955	0.0858624542	0.00033677980000000005	-0.031137482400000006	-0.10704399619999999	0.0179500913	-0.16974386739999994	0.0102285383	-0.1390186818	0.10936669550000001	0.0815571955	0.006871781600000001	-0.0493513238	0.0621576854	0.0297643698	0.0880944036	-0.05426528059999999	0.0141677073	0.1044631401	0.0308897037	0.1232454393	-0.0159597027	0.0009684743	0.230746206	0.0381247217	0.056722308099999987	0.1281024901	0.0974780869	0.1030274939	-0.13177620380000002	0.11624367769999999	0.1253393104	0.15654016169999999	0.09554387019999999	0.0654716565	-0.012286985	-0.0441894822	-0.0904307676	0.0573567595	-0.0977839115	-0.1107214919	0.028358798900000006	0.0571176845	-0.0046361321	-0.1673438664	-0.10859367980000001	0.037052751	0.002016534	-0.054682543099999995	0.19655347609999999	-0.1027806098	0.1535218793	0.0611320622	0.0920078626	0.09132654720000001	-0.1021268951	-0.042013885	-0.0163877438	0.0281696767	0.0112812495	-0.0134285498	-0.1724784929	0.1877222876	0.0581788064	0.016226758600000002	0.0166736998	-0.098507494	-0.119180257	0.0193053147	-0.09612717960000004	0.1216419777	0.12141962949999999	0.12104935019999999	0.0115777	0.01155862	0.0001336016963044	0.00013404313728999998	0.0659088	0.07013742	0.0043439699174399994	0.0049192576842564005	-0.15243900000000002	-0.09246970000000003	0.02323764872100001	0.008550645418090003	8.11054e-05	-0.0016104846	2.5936606468371595e-06	6.578085909160001e-09	0.000804618	0.000483235	6.47410125924e-07	2.33516065225e-07	-0.000508138	-0.00036667800000000006	1.34452755684e-07	2.5820422704400003e-07	0.0	0.0
32540.525390625	-0.328125	1058885792.6979103	0.107666015625	21812.3046875	-15.638671875	475776635.7803345	244.56805801391602	21763.40234375	-106.47265625	11336.426528930664	473645681.575943	1.419153	22.115826	0.15867262	-0.0679739618	-0.0691729104	0.148726274	-0.03314752	-0.0922328067	0.0954246205	0.17467529699999998	-0.1245383886	-0.060142052	0.2765936483	0.013783533700000001	0.0236072307	0.0839685427	0.0856688881	-0.08568130539999999	-0.0067986547	-0.0068957333999999995	-0.061879177599999995	0.0184190657	-0.1073805773	0.041850724	-0.0763201622	-0.0091928911	-0.1261583392	-0.1335431319	-0.04365648019999999	-0.0096466469	0.0875892333	0.0360844779	-0.012644686899999999	-0.1399592157	0.0952173117	0.0193801085	-0.045266619699999996	0.041232975	0.023964921099999998	0.0264985675	-0.0618565859	-0.0079271177	-0.025045898599999998	-0.0288722969	0.06756763860000001	0.1023658267	-0.1109224215	-0.08474839220000001	-0.2021581895	-0.0402963297	0.1559118286	-0.0915352404	0.11463863490000001	-0.08831523	0.0464803751	-0.179257578	-0.0816663059	0.1737548193	-0.0415203695	-0.0215443307	-0.0614728225	0.1409584676	0.012124231499999999	0.0859164818	0.23172907140000001	0.053356931100000005	0.1193033165	0.0355271854	0.108498304	0.0473730833	-0.0762401618	0.052999585999999994	-0.1325002658	0.11042710630000001	-0.13515788880000001	0.0159401232	0.0424266658	0.0531316705	0.0464024466	-0.0843286192	-0.04550564309999999	0.0813571263	0.0424138999	-0.022585480800000002	-0.0624858104	0.0394787448	0.052080329800000005	-0.1530044039	0.0360655266	0.0805293537	0.08802733039999999	0.1557781672	0.024976686499999998	-0.0216839938	0.0832744377	0.0105226211	0.0792549265	0.0220052184	0.0167502254	0.0603373207	-0.1666268947	0.1065150289	-0.08352300879999999	0.011477768000000001	0.1215101995	0.120893123	0.1198669825	0.0172951	0.005717400000000001	3.2688662760000014e-05	0.00029912048401000004	0.0228134	-0.043095400000000006	0.0005204512195600001	0.0018572135011600008	-0.147276	0.005163000000000029	0.021690220175999995	2.665656900000029e-05	-0.00180749	-0.0018885954	3.5667925849011597e-06	3.2670201001e-06	0.000921954	0.00011733599999999991	8.499991781159999e-07	1.3767736895999976e-08	-0.000596143	-8.800500000000005e-05	7.744880025000011e-09	3.5538647644899997e-07	0.0	0.0
32273.927734375	-266.59765625	1041606411.4036598	71074.31031799316	21797.931640625	-14.373046875	475149823.80936056	206.58447647094727	21751.19921875	-12.203125	148.916259765625	473114667.4537506	1.348714	21.018124	0.16536400000000004	0.0649617887	-0.0443234105	0.2086746475	-0.092484506	0.0692064868	0.1639874506	0.12964667929999998	-0.118150974	-0.1378543323	0.0156464358	-4.6424499999999996e-05	0.1328172763	0.0255010104	0.037115933	-0.16918157190000002	0.0512436241	0.1073376017	-0.095691475	-0.1308815858	0.0857630872	-0.1638459329	-0.1748778898	-0.0374976842	0.0160329029	-0.0134826967	-0.024593448799999997	0.024901411499999998	-0.0078634277	-0.056876543499999994	0.0796258974	0.0502894357	0.09409567769999999	0.037195898	-0.0828481391	0.0464776384	-0.0061641347	-0.06359783599999999	-0.0290538039	-0.0085813192	-0.18895273469999999	0.029641729500000002	-0.0726009713	0.0522579729	0.0983895915	-0.0744243859	-0.027809594700000002	0.1145968951	-0.14764406619999998	-0.031204128799999998	-0.0295326694	0.0705123987	0.1180338648	-0.18109947829999998	0.18543262219999998	-0.0098117272	-0.0808958587	0.0637311518	0.0219860879	0.2385178692	-0.0565672718	0.10472479800000001	0.053040833899999994	-0.0346941002	0.1483790737	-0.0473257262	0.0401655599	-0.0172391278	-0.1010500713	-0.0507362642	0.13071468990000001	0.0036389671999999995	-0.007313111999999998	0.1892714532	0.1517252875	0.0991660674	-0.0035597687	0.0077251084999999985	-0.1016436351	0.07198096	-0.0556253943	-0.0601336515	-0.010698656599999998	-0.0352614287	0.024922109300000002	0.1598155536	-0.0203193787	-0.0615875686	0.0794093554	-0.0037026563	-0.0339067245	0.041149058100000004	-0.0996543193	0.0100258546	-0.0037862468	-0.0880415697	0.0837038745	0.06486087019999999	0.0223885391	-0.0533680308	-0.08217279549999999	0.0724697368	0.1213126213	0.12010478890000001	0.1181006348	0.0172511	-4.400000000000237e-05	1.936000000000209e-09	0.00029760045120999994	-0.0417099	-0.0645233	0.00173971575801	0.00416325624289	-0.174172	-0.026896000000000003	0.030335885584	0.0007233948160000001	-0.00185561	-4.812000000000002e-05	2.315534400000002e-09	3.4432884721e-06	0.0014262700000000005	0.0005043160000000006	2.0342461129000016e-06	2.5433462785600057e-07	0.000329435	0.000925578	8.56694634084e-07	1.08527419225e-07	0.0	0.0
32367.8828125	93.955078125	1047679837.7637328	8827.556705474854	21814.44921875	16.517578125	475870194.7174225	272.8303871154785	21782.390625	31.19140625	972.9038238525392	474472541.3400879	1.000722	15.595075	0.12225009999999994	0.0410525084	-0.0723442767	0.06215096990000001	-0.0325521778	0.036506181400000004	0.0540870568	0.11392102929999999	-0.0101866345	-0.147895542	-0.0150073036	0.0141472659	0.1036448262	-0.1611614128	-0.056357483	-0.0769632251	0.0620238038	0.0684613442	0.033285166899999996	0.0635050314	0.0874931555	-0.049678529699999995	0.0236553979	0.0340793003	0.15673394400000001	0.0201243441	-0.0536630598	0.0637185332	0.1362905815	-0.0015143463	0.045839406	0.0473652145	0.2109920998	0.1575426666	-0.0326528507	-0.0260391141	0.025926411400000002	0.0496317335	0.009975914399999999	-0.1386731113	-0.1115655167	-0.15527453289999998	-0.1670494175	-0.0332611479	-0.1211855398	-0.037219734	-0.0658665887	0.07472951929999999	-0.025816240600000002	-0.005444729200000001	-0.0796986604	0.033408869199999996	-0.0011241114999999999	-0.0751761083	0.0731242433	-0.0718398272	-0.0312605077	0.0333333592	-0.0386978588	0.1167553153	-0.0363273272	-0.0080267832	0.0458995824	-0.07116180030000001	0.0143638752	-0.1813916146	0.0951159305	-0.0932986897	-0.0125693753	-0.0732546	0.08958428130000001	0.0235957885	0.1816254375	-0.0463487606	-0.0712906953	0.0849319513	-0.13384500970000002	0.0662007978	0.0036990840999999997	0.1008850399	0.1083542679	-0.1326631445	-0.06046119	0.07584187120000001	-0.0034882440999999998	0.1789732089	-0.0587995355	-0.021766840099999997	0.17773592600000002	0.2414886063	0.13225927140000002	0.0536034665	-1.47645e-05	0.0742232667	0.0061689012	0.0767268317	-0.1007702851	-0.0374342318	0.0132692994	0.013240088999999998	-0.0739196438	0.0579818241	0.12104935019999999	0.11905633460000001	0.11575891279999999	0.013080700000000002	-0.004170399999999996	1.7392236159999968e-05	0.00017110471249000007	-0.0137037	0.0280062	0.00018779139369000004	0.0007843472384400001	-0.172674	0.0014979999999999991	0.029816310276000003	2.244003999999998e-06	-0.000855086	0.001000524	1.001048274576e-06	7.311720673960002e-07	0.0008046189999999999	-0.0006216510000000006	6.474117351609997e-07	3.864499658010008e-07	0.0001801	-0.000149335	2.2300942225e-08	3.243601e-08	0.0	0.0
32584.826171875	216.943359375	1061770896.65131	47064.4211769104	21848.759765625	34.310546875	477368303.29599386	1177.2136268615725	21786.51171875	4.12109375	16.983413696289062	474652092.87123114	1.1249650000000002	17.53126	0.13626613399999998	-0.0931765965	0.0100364902	0.06725158469999999	0.0875396665	-0.0309035941	-0.0293632567	0.0656595433	-0.1454331287	-0.061884343	-0.1399582331	0.0883632475	-0.0217352709	-0.0494387062	-0.0125028207	-0.06502751799999999	-0.05754775190000001	0.0346035975	0.0761279851	-0.0828615463	0.0031441245	0.010517591299999999	0.21519997670000002	0.0251792781	0.1136792027	-0.055707514900000005	0.0581797042	-0.14408493619999999	-0.15395445300000002	0.0541355525	-0.0042691979	-0.0027237967	-0.1378686131	-0.04459995519999999	-0.1104067742	0.0124448128	-0.0560394071	-0.1283391134	-0.0740011933	-0.1468015359	0.046801068499999994	0.0407838632	-0.0634223801	0.0351406948	0.1066331544	0.0095526042	0.0081823529	-0.0469062115	0.0160657649	-0.0299254819	-0.0636724856	-0.0914026316	0.0331272735	-0.0328583753	0.09969215199999999	-0.0148508767	0.0944377357	-0.0070332268	-0.040030571800000005	0.0716617808	-0.1773237417	0.12963392199999998	-0.0315404104	0.13771941070000002	-0.0825302981	-0.0430275529	-0.0343891564	0.0183104834	-0.11619647539999994	-0.0558451362	0.0758694109	-0.1640033292	0.0140077451	-0.1167230397	-0.145373836	-0.042775527	0.1587237642	0.0367418299	-0.0098625099	0.0955142058	-0.0302295052	0.006515599300000001	0.1446518598	-0.0023794370000000003	-0.0107918115	-0.09061352560000001	0.1130559476	-0.077941422	0.1122130012	-0.0891862283	-0.1127502868	0.1081738325	0.013574515	-0.0186047906	0.043715373099999996	-0.0864105149	-0.0798949659	0.0554686654	0.12020801130000001	-0.09643122890000001	0.09535798029999999	-0.0642971075	0.1207205288	0.11775003070000001	0.11285322490000001	-0.0007398839999999999	-0.013820584000000002	0.00019100854210105602	5.47428333456e-07	-0.0432836	-0.029579900000000003	0.00187347002896	0.0008749704840099999	-0.137604	0.03506999999999999	0.018934860815999998	0.0012299048999999992	-0.00152772	-0.000672634	4.52436497956e-07	2.3339283984e-06	0.00113653	0.00033191100000000005	1.2917004409e-06	1.1016491192100002e-07	0.000331468	0.00015136800000000006	2.291227142400001e-08	1.0987103502400003e-07	0.0	0.0
32455.966796875	-128.859375	1053389780.7198523	16604.738525390625	21849.369140625	0.609375	477394931.84329605	0.371337890625	21787.63671875	1.125	1.265625	474701113.78822327	1.084681	16.903483999999995	0.075518621	-0.0189055743	0.086984275	0.09804768550000001	-0.0567820312	-0.045520238899999996	-0.1456679226	-0.0254606024	-0.11305690759999999	-0.1629178407	0.0831689427	-0.034350816	-0.0357777507	-0.1161967473	-0.19774507649999998	0.031781115	-0.1789685798	0.1050261492	0.059230390599999995	0.0557334986	0.0279523226	0.11359375740000001	-0.0690756029	0.1608875484	-0.042499926900000005	0.0601918367	-0.06675372389999999	0.1438447618	-0.11181974199999999	-0.10027998699999999	-0.0040362196	-0.0118202291	-0.0918737706	0.08908712199999999	-0.0955333081	-0.0109807915	-0.09766182699999999	0.0616218541	0.0604899486	-0.0159892906	0.05122779349999999	-0.0449802199	0.0444399607	0.0162271731	0.0727273588	-0.027409666800000003	0.0129631546	-0.022630501600000002	-0.0559632209	0.0526903318	0.044222637800000006	-0.030729926600000002	0.10382440550000001	-0.0022381223	-0.034664767	-0.12921617929999998	-0.0419174243	-0.062140431100000004	-0.0723400386	0.0074179331	-0.1350373534	-0.1016293791	0.2517421741	-0.0015155885999999998	-0.15051702460000002	0.0809501431	0.09484327470000001	-0.1370280526	0.06345745480000001	0.0388427816	0.0300278218	-0.1608984181	0.0910337233	-0.0322683318	0.0363873838	-0.05621412	-0.0898463258	-3.4674699999999995e-05	0.10049567470000001	0.0682792164	0.0918191625	0.0256751654	-0.082548407	-0.0413056959	-0.0298618921	-0.0010313894	-0.0336110304	0.0162564028	-0.0914801798	-0.1425347433	0.0537145847	0.0452012859	-0.0348967402	-0.0298284271	0.012821478999999998	-0.1509352155	-0.0122773285	0.06440045929999999	0.0414010181	0.0315711098	-0.0313937267	0.007166636800000002	0.120326335	0.1161887065	0.1093977275	-0.000733613	6.270999999999859e-06	3.932544099999824e-11	5.381880337689999e-07	-0.0446241	-0.0013405000000000016	0.00199131030081	1.7969402500000038e-06	-0.116584	0.02102000000000001	0.013591829055999998	0.0004418404000000005	-0.000547683	0.000980037	9.60472521369e-07	2.99956668489e-07	0.00121953	8.299999999999996e-05	1.4872534208999996e-06	6.888999999999992e-09	0.000331468	0.0	0.0	1.0987103502400003e-07	0.0	0.0
32535.412109375	79.4453125	1058553041.1268654	6311.557678222656	21822.482421875	-26.88671875	476220739.05304337	722.8956451416016	21848.87890625	61.2421875	3750.6055297851562	477373509.4599762	1.086935	16.938602	0.06063344499999999	0.0454226118	0.13917358	-0.0338426527	-0.1799015225	-0.011449236100000001	-0.15179153550000002	-0.11489281650000001	-0.0102298848	-0.19302469	-0.0628143567	0.0353107959	0.0230863354	0.049733989900000004	0.0841349851	-0.0115644719	0.043945367	0.1034216156	0.0661820104	-0.0203035331	0.09942198029999999	-0.0416097211	0.0137358102	-0.0138297425	0.0799944212	-0.0260269849	0.08429568779999999	-0.035089589	-0.0382484906	-0.0244520727	-0.1078450499	0.1423777828	-0.0036696214000000002	0.0034976022	0.1107933772	0.0630915172	0.2327514027	0.09918090539999999	0.0017867295	-0.0256848596	0.247638894	0.0245987305	0.12158279179999999	0.054340701	0.11871326759999999	-0.0431429911	0.0646047587	0.031492249	-0.022974989700000004	0.1109593774	-0.0515530471	0.0615483599	0.1041675778	0.1263539044	-0.0374299394	-0.0323057049	-0.1774222212	-0.1012785136	-0.0393909859	-0.016635038600000002	-0.1952872363	-0.143479779	0.0105692458	-0.0531041073	0.047902451799999995	-0.1271907729	-0.0530923584	0.046086425300000004	-0.0028958808000000003	0.0385331031	0.051938021699999996	-0.11868331480000001	0.0974823697	0.0534265445	-0.030525961400000006	0.0199543474	0.06296961	0.0279686709	-0.0737158508	-0.0640734248	-0.1685627907	0.0376764828	-0.057974914	0.0008784338	-0.0522035993	0.0254526771	-0.1090210632	-0.025531481800000002	-0.17099919100000002	0.0594429768	0.037645523	0.12615745949999999	0.0077765191000000004	-0.1127997667	-0.2269827486	0.1016105859	-0.0610427911	0.0837352219	0.0066068931000000004	-0.0399088692	0.1151408191	0.1116025584	0.1198669825	0.1143757435	0.10540925529999999	-0.0007927579999999999	-5.914499999999981e-05	3.4981310249999778e-09	6.284652465639998e-07	-0.0464465	-0.0018223999999999949	0.0021572773622499995	3.3211417599999815e-06	-0.107005	0.009579000000000004	0.011450070024999998	9.175724100000009e-05	-0.00012419	0.00042349300000000005	1.79346321049e-07	1.5423156099999997e-08	0.0008046189999999999	-0.000414911	6.474117351609997e-07	1.72151137921e-07	0.000476522	0.00014505399999999993	2.1040662915999982e-08	2.2707321648399997e-07	0.0	0.0
32424.716796875	-110.6953125	1051362259.3575476	12253.452209472656	21820.205078125	-2.27734375	476121349.651432	5.186294555664063	21827.57421875	-21.3046875	453.88970947265625	476442996.2750397	1.323195	20.620432	0.087043278	0.0648953338	0.0030439931	-0.042199462699999996	-0.08115804830000001	0.0225385554	-0.0252051722	0.0027428385	0.1092187181	-0.11500019630000001	0.0203654605	0.0253232735	-0.1401218007	0.022069907000000003	-0.0291034623	0.0488341183	0.12059477560000001	0.0333374974	-0.0195753305	-0.1398567175	-0.036665969900000005	0.0589541741	0.0636074415	-0.0174102983	-0.09424464449999999	-0.0968393426	-0.06607048089999999	0.0849859607	0.0464505741	0.11942403	0.0516047204	0.1464064633	-0.1446337441	-0.0604294513	-0.0949064423	0.0474277395	-0.1064692839	0.031052188999999997	0.0185493166	0.1384916551	0.0709198939	-0.061692912	-0.07440707839999999	-0.1862685245	0.15145174460000002	0.1677543745	0.0924333069	0.0118405396	0.09573938380000001	0.0485939742	0.009767388	0.0504044717	-0.0527370536	0.03584223	-0.1029334489	-0.015182803799999997	-0.0923908116	0.0039950003999999996	-0.05381164150000002	0.0837077395	0.0009684647000000001	-0.08850488460000001	-0.024828859100000003	0.0100253007	-0.1373578164	0.0172516639	-0.1058272243	0.0115652809	-0.041519258999999996	0.1424117495	0.070026727	0.10468871199999999	-0.0889131351	-0.0511576959	-0.1575041183	0.0870536701	0.059342283499999995	0.1879873456	-0.0254283787	0.09979733240000001	0.0093215359	0.0163173077	-0.04805839940000002	-0.032250169599999996	0.0228071192	0.0204055944	0.09921929619999999	0.09990842800000001	0.0022408961	-0.07839304650000001	0.021783897000000003	-0.12166649880000001	-0.0438786516	0.11814690230000001	-0.0030286933000000004	-0.08671151740000001	0.0392123119	-0.0038622820000000003	0.1265525614	-0.0956059707	-0.011811346100000002	-0.1079296223	0.11934271980000001	0.112315068	0.1009072399	0.00189792	0.002690678	7.239748099683998e-06	3.6021003264e-06	-0.0658457	-0.019399200000000002	0.004335656208489999	0.00037632896064	-0.0941914	0.012813599999999994	0.008872019833959998	0.00016418834495999986	-0.000571242	-0.000447052	1.99855490704e-07	3.26317422564e-07	0.0008046189999999999	0.0	6.474117351609997e-07	0.0	-0.000119222	-0.0005957439999999999	3.5491091353599993e-07	1.4213885284000003e-08	0.0	0.0
32235.515625	-189.201171875	1039128467.6096194	35797.083438873284	21805.693359375	-14.51171875	475488262.88309103	210.5899810791016	21773.23828125	-54.3359375	2952.3941040039062	474073905.25209045	1.254652	19.552269	0.1082746	0.1634055872	-0.0451398303	0.0796507512	0.0836728603	0.1948162098	0.0644989208	0.074127441	0.021987842200000003	-0.101457868	-0.0783295139	0.1343513409	0.07345605599999999	0.1098840711	-0.025851989	0.0814700931	-0.0086926696	-0.0647774159	-0.021605769500000004	-0.0381835239	-0.0268169166	0.0201666749	0.1199090324	-0.0723522378	0.0316742416	0.0143924998	-0.1087713859	0.0634150286	0.0201234182	-0.0107960166	-0.1704017602	-0.0379586595	-0.1738846956	-0.0093488514	0.0333615454	-0.023296772099999998	0.0873578337	0.1239571681	-0.0813064279	-0.1514956261	0.0781116107	0.0674355586	-0.0599650075	0.0471053966	-0.067253548	-0.0219672716	0.0096613311	-0.14235535130000002	0.0582411965	0.1285595778	-0.0418882777	0.1557934268	0.011076447	-0.1157796007	0.0359267866	-0.019591821000000002	0.0725470526	0.2116557814	-0.0216238065	0.10622221009999999	-0.1021052355	-0.0771527056	-0.14112739400000002	0.0925256659	0.0934736684	0.0585123154	-0.079885623	-0.0319834509	0.011306636200000001	-0.0189624924	-0.0264436299	0.030270786299999998	-0.0585246589	-0.1381989582	-0.0348653477	-0.051606772999999995	-0.0337158118	0.0031820682	-0.118715024	-0.026933553500000002	0.1282442809	0.052613365499999995	-0.0659986862	-0.0018089221	0.0480282963	-0.1627520491	0.046979839800000006	-0.09659814289999999	0.0271010169	-0.0703289804	0.0564278199	0.11568070779999999	0.11494727119999999	-0.020678142	-0.1309509647	0.1455965827	-0.13577774439999998	0.049999037999999996	0.1625486036	0.0269240135	-0.0594397026	-8.65045e-05	0.11875383099999999	0.1100111431	0.0959136145	0.00894364	0.007045719999999998	4.9642170318399985e-05	7.998869644959997e-05	-0.00718612	0.05865958	5.16403206544e-05	0.0034409463257764	-0.110353	-0.016161599999999998	0.012177784609	0.00026119731456	-0.000600651	-2.940899999999999e-05	8.648892809999993e-10	3.6078162380100003e-07	0.0008799689999999998	7.534999999999985e-05	7.743454409609995e-07	5.677622499999978e-09	0.000304173	0.000423395	1.7926332602499994e-07	9.252121392899998e-08	0.0	0.0
