csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20
36371.25	n/a	n/a	1322867826.5625	22805.890625	n/a	520108647.1994629	n/a	23363.962890625	n/a	545874761.9545021	n/a	n/a	n/a	n/a	-0.017152910900000002	-0.0630151841	0.046609560300000005	-0.0243944373	0.0062421239	0.0063584302	-0.010120979799999999	0.0645468867	-0.052376828099999995	0.0372858392	-0.0899985135	0.0403944736	-0.06454634320000001	0.0747453132	-0.1471558166	0.0158385557	-0.1042793582	0.0002190963	0.20458011480000002	-0.0592635403	0.0290695512	-0.0285654932	0.0558721305	-0.0482591392	0.1254934012	-0.0386595898	0.0153269039	-8.1165e-05	0.0481655801	-0.0107131007	0.029327512000000007	-0.1610884813	0.071104982	-0.0202753671	0.081043345	-0.057377406799999996	0.09338292449999999	-0.0600891877	0.0051736513	0.028346006899999998	-0.1039655016	0.0561198178	0.0485438718	0.1654536968	-0.0753638444	-0.1430588948	0.0347448745	0.0424656557	0.0204803996	-0.1700235486	0.1329003734	-0.0380934359	-0.0141100298	-0.0332784933	0.0796925715	0.0421083564	-0.071239068	-0.0207594636	0.0112087926	0.0608167797	-0.014880311499999996	-0.047824723799999996	-0.0252502875	0.20730323	0.0501242973	-0.055478065300000004	-0.020055059899999998	0.0072884443	0.034786009300000004	-0.0198233142	0.0386118877	-0.17796505370000001	-0.0189363249	0.008115109300000001	0.0179578896	-0.05910432230000001	0.053878162199999996	-0.0001316949	0.0207618973	-0.0857525767	0.0502580452	-0.0020934320999999997	0.026696574	-0.0082639636	0.0221459327	-0.1292903385	0.08779458109999999	-0.1156632708	0.008512314699999999	-0.024677324100000002	0.1292100576	-0.0480059916	0.0695794916	-0.0176797993	0.055907126900000007	-0.024705025	0.0858272283	-0.0206544635	0.0631645138	-0.0410401578	0.015127863500000003	-0.018393483000000002	0.006747227099999999	-0.128656266	0.020130021100000003	0.073442146	-0.017779438300000002	0.11670474619999999	0.0388754688	-0.0973206294	0.2006736625	-0.0526975512	0.0324740065	0.0170280129	0.0010559451	0.11598626529999999	-0.0608524585	-0.0559809558	0.05905344200000001	-0.10593963349999999	0.0935330892	0.0178229688	0.026560764900000002	0.2290372098	-0.0530834834	-0.0067721082999999994	0.0463795829	0.0063327402	-0.0868487024	-0.0376432524	0.1573143581	0.0651636699	-0.048764389299999995	-0.0453572241	0.0999969158	0.09998766320000001	0.099972243	0.099950656	0.09992290359999999	-0.0217653	n/a	0.0004737282840899999	n/a	-0.0452598	n/a	n/a	0.00204844949604	-2.80967e-05	n/a	7.894245508900002e-10	n/a	-0.00017544299999999998	n/a	3.078024624899998e-08	n/a	-0.0	n/a	0.0	n/a	-0.000232622	n/a	5.4112994884000014e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36236.5625	-134.6875	18140.72265625	1313088461.8164062	22793.677734375	-12.212890625	519551744.6585426	149.15469741821292	23333.1796875	-30.783203125	544437274.3291626	947.6055946350098	0.954699	18.293392	0.0558233033	-0.0268047714	-0.085488435	0.08910403609999999	-0.017099603600000002	0.0323521041	0.0140199848	-0.0765845475	0.0689890474	-0.011255630800000001	-0.0689930291	-0.11767513980000001	0.1273933935	-0.0939432775	0.0372453492	-0.1685271123	0.0635733168	0.0383776212	0.0600261992	0.0577644417	-0.0158568411	0.0176038559	0.0832573078	0.075592732	-0.0352248238	0.0481419997	-0.058955245199999985	-0.008971367099999999	0.0644056226	0.0116521212	0.014411028000000001	-0.035198892999999995	0.0625675684	0.0118566877	-0.022158182400000004	0.0762127638	0.0755771535	0.0197116678	0.11308946380000001	0.059488337599999996	0.0186914624	0.048324960099999995	-0.022160148900000003	-0.0506730946	0.0878694503	-0.1324550236	-0.049743255800000004	-0.0280895733	-0.0273519737	-0.07355140339999999	-0.069767676	0.131280455	0.0754574814	0.041862473500000004	0.0344012603	-0.0045655827	-0.0068249858	-0.0593935753	0.0587326396	-0.0586094384	0.008105477	-0.0913429273	-0.051158329100000004	-0.0865949663	-0.0270352987	-0.0409090867	-0.0978337884	-0.0343090375	-0.0553901022	0.0111951961	-0.0034217139	-0.0845247081	-0.1058125807	-0.0120770428	-0.014130428200000001	0.0580920208	-0.1061242201	0.050253235300000004	0.023777508399999998	-0.06761182	-0.13196903529999998	0.067226092	-0.0382471444	-0.0842306421	-0.0263691098	0.0045422556	-0.0272092123	0.0386593304	0.0336483628	-0.0608205441	-0.07226072730000001	0.019470773700000003	-0.1360438812	0.0912799714	0.0067046577	0.0487499398	0.0893181876	-0.0190122756	-0.0070816552	-0.10457309460000001	0.0761424218	-0.08132527269999999	-0.0390500013	-0.0545516676	0.0063976736	-0.0492514767	0.016319631799999998	-0.0724449403	0.060691570300000004	-0.027249894	0.0197601061	0.06572674769999999	0.11164410039999999	-0.0177923291	-0.0087821231	0.1350238842	0.0278403912	0.09197773220000001	0.0885837669	-0.13111929630000002	-0.0418551116	0.0305279166	-0.0429417135	-0.0354719265	0.048625951900000006	-0.05625612	-0.006197133100000001	0.1535061247	0.0208518149	0.0402155524	0.0736669437	0.0114643946	0.0367348744	0.114083781	0.0011949295	0.099972243	0.0998889875	0.0997502796	0.0995561965	0.09930684570000001	-0.0218025	-3.720000000000112e-05	0.00047534900625	1.3838400000000834e-09	-0.0262097	0.019050100000000004	0.00036290631001000017	0.0006869483740899999	-0.0233698	-0.023341703300000002	0.00054614755204	0.0005448351129452309	-0.000140179	3.5263999999999986e-05	1.9650152041e-08	1.2435496959999996e-09	-0.0	0.0	0.0	0.0	0.0	0.000232622	0.0	5.4112994884000014e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36224.3828125	-12.1796875	148.34478759765625	1312205910.1465454	22778.087890625	-15.58984375	518841287.95303726	243.0432281494141	23368.416015625	35.236328125	546082867.079319	1241.598819732666	0.940917	18.029301	0.068490855	-0.0255621009	-0.0110809409	0.0373153017	0.014088550600000001	-0.0115614343	0.0192460195	-0.020707048999999998	0.026065744	0.0592288845	-0.0727947999	-0.0971063489	-0.014325381399999997	-0.0743921191	0.0460839887	-0.1392243459	0.0025651828	-0.1404209788	-0.0032259279	-0.0558945581	-0.0305505957	0.0510598094	0.0178972898	0.0052348807	0.0329389105	0.0719803019	-0.050145579	0.055780439400000006	-0.079547144	-0.0210579662	0.010300021099999999	-0.0057786956000000006	-0.1365256104	-0.028115463900000002	0.11208158970000001	-0.0036702289	0.036255482400000004	-0.1321082342	0.07051938349999999	0.0781509426	-0.10269936630000001	0.0311476041	0.11003733339999999	0.07767777320000001	-0.1372756737	0.0101435694	-0.0539685498	-0.049308436799999994	0.1337613446	-0.0278024071	-0.054884292800000005	0.0417735437	0.027211605299999997	0.0183008986	-0.0110015374	0.0702582151	-0.00036145050000000004	0.046039900999999994	0.0981893219	-0.0689391543	0.0321485611	0.0143812744	0.0926253468	-0.0030288033	-0.1090531726	0.0830380809	-0.0108608833	0.005376945300000001	-0.0252936117	0.0645118165	0.0209602638	-0.0382546247	0.0040557389000000004	0.0228623044	0.008305342299999999	0.0123273468	-0.0342573231	0.0498070382	-0.0204674179	-0.0603584775	-0.08222042269999999	0.11689776130000001	-0.025016302	0.040062462	-0.0410338329	0.08757048070000001	0.0231681526	0.0312505516	-0.0788307112	0.0312122927	0.0332665255	0.1031238825	0.0021239852999999998	0.0713555472	0.07814787849999999	0.0641526604	-0.0862610418	-0.0496660744	0.0197336527	-0.0031415971000000003	-0.0633999569	0.0847421345	0.0305595829	-0.0363621023	-0.0225966157	0.014344331399999997	0.0750635011	0.1119253538	0.0426105662	0.1156023315	-0.0314398843	-0.135424044	-0.044263619000000004	-0.064126394	0.1430480875	0.095285298	0.031120637000000007	-0.026914961	0.0363031738	-0.088308716	-0.0164911462	0.07188722980000001	-0.0225779152	-0.0028855693	-0.0431793065	0.0161267811	0.0239350583	0.0463187842	-0.08679177130000001	-0.025239901800000002	0.1302534541	-0.0784743659	-0.0087813156	-0.0192332124	0.0264223614	0.09992290359999999	0.0996917334	0.09930684570000001	0.09876883410000001	0.09807852800000001	-0.0141144	0.007688099999999998	0.00019921628736	5.9106881609999975e-05	-0.0416769	-0.015467200000000004	0.0002392342758400001	0.0017369639936100005	0.00727819	0.03064799	5.297204967610001e-05	0.0009392992910401	-0.000181237	-4.105800000000001e-05	3.2846850169e-08	1.6857593640000012e-09	-0.000155675	-0.000155675	2.4234705625e-08	2.4234705625e-08	-9.70183e-05	-9.70183e-05	9.41255053489e-09	9.41255053489e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36131.109375	-93.2734375	8699.934143066406	1305457064.6682131	22749.31640625	-28.771484375	517531396.9516754	827.7983131408691	23355.98828125	-12.427734375	545502188.5938873	154.4485816955566	0.891818	17.088497	0.08605659700000001	-0.048271518	-0.0702057948	0.0347390407	0.15005378460000002	0.033013351	-0.0479597695	-0.0279432416	0.0520182834	0.0508950918	-0.1103081773	-0.0955248653	-0.0208343847	-0.052116615	0.005818984399999999	0.0212621773	0.0468456412	-0.0418918904	0.1395901696	0.047480777099999996	0.0908181062	-0.0820423963	0.06794860230000001	-0.0695502932	0.08441563560000001	-0.015261353899999996	-0.0673290588	-0.0723611166	-0.0360768044	-0.1076108776	0.1843740687	-0.0187988688	-0.024027592799999997	-0.0416081909	0.0446363778	0.0153705897	0.056740765199999994	-0.050461534599999996	0.1152318489	-0.0647423997	0.032382883599999995	0.0209957589	0.0250189852	-0.0025890046	-0.058581532900000004	-0.0292846123	0.0317364332	-0.0014463761	0.0520063575	-0.1180425484	0.043906243	0.0696735195	-0.1205147328	0.048486116100000004	0.036894136099999995	0.0237718485	-0.0488424744	-0.0072864457	-0.1363286409	0.0140654844	-0.025006127599999997	-0.07306685519999999	-0.087448001	0.002099541	0.05468946	-0.033197803399999996	-0.0774048762	0.0063820097999999995	-0.0363236362	0.025420604	0.0676004463	-0.0643867996	0.0511302358	0.158062944	0.0076248628	-0.029523931200000002	-0.10553990519999999	0.0056964211	0.0133299725	-0.085412796	-0.058019151799999995	0.1399488293	0.030689328300000002	0.034538155099999995	0.0111463449	0.0258241612	-0.0536439851	-0.051764595700000006	0.1524934172	-0.040074912000000004	0.0354536812	0.0203654576	0.0148143453	-0.0784112676	0.10967181529999999	0.09129442630000001	0.10401297890000001	-0.12286046699999999	0.0484314673	0.0400355949	-0.0667210411	0.0378195454	-0.0384005	0.0796809654	0.031007108399999997	0.0235625638	0.0537510433	0.0046633619	-0.106301172	-0.07945335070000001	0.060093543799999996	-0.0055946621999999994	0.0755962372	-0.101881957	-8.50193e-05	-0.0209673282	-0.0952130854	-0.0809960537	0.0744234107	0.0006318504	-0.08889380279999999	-0.0529111222	0.01888327	0.13075705880000002	-0.0688216536	0.08422098619999999	0.0218342877	0.090129388	-0.0284813727	-0.0038782853999999997	0.0559967272	0.1658968647	-0.016475428	-0.003679879	-0.022891494199999998	0.0998489097	0.0993960955	0.09864292570000001	0.09759167619999999	0.0962455236	-0.00544133	0.008673070000000001	2.9608072168900005e-05	7.522214322490002e-05	-0.0008898279999999998	0.040787072	0.0016635852423331839	7.917938695839999e-07	-0.014749600000000003	-0.02202779	0.00021755070016000005	0.0004852235322841001	-0.000219917	-3.868e-05	4.8363486889e-08	1.4961424e-09	-0.0	0.000155675	0.0	2.4234705625e-08	0.0	9.70183e-05	0.0	9.41255053489e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36243.55078125	112.44140625	12643.069839477539	1313594973.2330475	22763.666015625	14.349609375	518184490.47092056	205.9112892150879	23411.22265625	55.234375	548085346.2605133	3050.836181640625	0.952639	18.253902	0.091371972	-0.0441566864	-0.0128166656	-0.0004277965	-0.0278610457	-0.0032472514	-0.0637614232	0.0251556756	-0.0157113113	0.075107297	-0.0687868445	-0.10315932400000001	0.000475267	-0.029946187599999997	0.0894181677	-0.1266660629	0.0445539115	-0.016897	0.1097672941	-0.0308788217	0.0394658334	-0.1057780092	0.0397661269	-0.1020444342	-0.0158986373	0.0806554543	0.1068015648	-0.0023343345999999997	-0.0852246277	0.009319221800000001	0.0427897236	-0.048782435	-0.0615913917	-0.04486858639999999	-0.032808838	-0.0900985567	-0.11523641119999999	-0.0602801119	-0.0099370706	0.0217512974	-0.034555926699999996	0.1109689295	-0.0402528903	0.0335835281	-0.0690616191	0.0555607808	0.14964393869999998	0.0013611723999999998	0.0518518841	0.0370057649	0.0042671259999999996	-0.0414859281	0.021436388100000002	-0.0980243665	0.0201649401	-0.033498528199999995	-0.0737779831	0.07639992150000001	-0.0650510725	0.0766484435	0.0023844531	0.0406477896	-0.012950184699999999	0.1665127673	-0.0236308756	0.05478705019999999	-0.0154821241	0.0366025737	-0.00043375769999999997	0.0374903799	0.0337198281	-0.019590138899999998	0.021180920699999998	-0.0268123259	0.0011995526	-0.0931291523	-0.0395890932	-0.0136587449	-0.0605080752	-0.0694882518	-0.12172425460000001	0.08466907130000001	0.014609758799999999	-0.0556267079	-0.05509393940000002	0.0102901603	0.0172120228	0.0726584992	0.1425849307	0.0070293989	-0.0395511734	0.0865447283	0.0779441312	-0.031293083799999996	0.012684281	-0.1087743475	-0.05100449940000002	-0.0620260651	0.040211303500000004	0.06150585610000001	-0.0309783583	0.15050208199999998	0.056794745099999995	0.0230658978	0.0288007797	-0.04696039690000001	-0.09968145640000001	-0.08496494019999999	0.1324894076	-0.0033268238	-0.07285215839999999	-0.11086751710000001	-0.143981162	-0.0483301746	-0.010477579	0.0031451469	0.0675393897	0.0551893742	-0.08292018030000001	-0.0201935449	-0.1238201754	-0.04236094519999999	-0.029188051099999997	-0.0335437075	-0.0248109354	0.15908424640000002	0.0339313455	0.028748529	-0.0883438871	0.0780085907	-0.0600735741	-0.0658337967	-0.1547004747	0.0039620134000000005	0.10672027369999999	0.0997502796	0.0990023658	0.09775999380000001	0.0960293686	0.0938191336	0.0010553200000000002	0.0064966500000000005	1.1137003024000004e-06	4.2206461222500014e-05	-0.0491536	-0.048263772	0.002329391687667984	0.00241607639296	0.00679275	0.02154235	4.614145256250001e-05	0.0004640728435225001	-0.000268921	-4.900399999999998e-05	7.231850424099999e-08	2.401392015999998e-09	-0.00025238	-0.00025238	6.369566440000001e-08	6.369566440000001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36189.98046875	-53.5703125	2869.7783813476562	1309714686.3285065	22758.216796875	-5.44921875	517936431.7735634	29.69398498535156	23393.935546875	-17.287109375	547276220.3713417	298.8441505432129	0.8554049999999999	16.390772	0.0634383808	-0.0493888553	-0.034308862999999995	0.0183171293	0.017025688799999997	0.06620780379999999	-0.060647344900000004	0.0256663211	-0.0263495943	-0.0024737139	-0.0587883399	-0.0108286087	-0.0404777534	0.0322257741	0.1155312708	-0.0059672811	0.0339003087	-0.1614115868	0.04465245599999999	-0.0270638006	-0.034678944100000005	-0.0746310736	0.0738230571	0.14725510279999998	-0.1360848458	0.0261950629	0.0112262829	-0.0802305311	0.0881067274	0.09134014630000001	0.055433628799999995	-0.0175307487	-0.0574053683	-0.090264643	0.09672899199999999	0.0467160848	0.014588413	0.07885758	-0.028173375	-0.0452081243	0.0831857768	-0.0348974865	0.08311955780000001	-0.0733911626	-0.08189087219999999	0.024641786000000002	0.0747580051	-0.1309429932	-0.1246530046	-0.0028999939000000003	-0.0166886327	0.0050495205	-0.1437606178	0.013382271299999998	0.0575554275	-0.0278142366	-0.0027115540999999997	0.0152391331	0.0362506304	0.0492776847	-0.0841052012	0.0449745446	0.0325159248	-0.1048263376	-0.0367785734	-0.063491744	-0.055214567199999995	0.0217318087	-0.0288966884	-0.018954253600000002	0.020992242400000003	-0.0361582981	0.0809020437	0.0192485862	-0.06420436339999999	-0.0940120758	-0.0783139455	-0.0641346948	-0.0370537543	0.026670585299999997	-0.053159861100000004	0.0375010875	0.1117942708	0.012168372299999999	-0.0044554664	0.0493906054	-0.0058461786	0.035669971	-0.07799357650000001	-0.07422028929999999	0.0626718512	0.1248365048	-0.049263891	0.0106277933	-0.013215456499999998	-0.12872794869999998	-0.0141107711	0.1013806461	0.0226446544	-0.029187357200000007	-0.0877010341	-0.1105109936	-0.0163977838	0.10499046890000001	-0.0620744763	-0.0316892693	0.0638593932	-0.014077304099999997	-0.1122004603	-0.11695306529999999	0.11102779300000001	0.0183171086	0.0027663719	0.1564682743	0.11642377710000001	-0.013138801	-0.0222422221	0.0279724546	-0.0265913746	0.066795993	0.0795967615	-0.0097113998	-0.08724514480000001	0.1054361013	-0.0950605457	0.0157113784	0.0499449959	0.053714113	-0.11260589619999999	-0.1094328016	0.0370282302	0.0802215114	0.0764596319	0.0900229544	0.0110043458	0.0996270376	0.0985109326	0.0966600102	0.0940880769	0.0908143174	0.0035046	0.00244928	1.2282221159999999e-05	5.9989725184e-06	-0.007672329999999998	0.04148127	0.0017206957608129	5.8864647628899975e-05	-2.26158e-05	-0.006815365800000001	5.114744096399998e-10	4.644921098780965e-05	-0.000192759	7.616199999999998e-05	3.7156032081e-08	5.800650243999997e-09	-0.000169747	8.263299999999999e-05	2.8814044009000003e-08	6.828212689000002e-09	-9.50543e-05	-9.50543e-05	9.03531994849e-09	9.03531994849e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36287.77734375	97.796875	9564.228759765623	1316802784.5495758	22774.0390625	15.822265625	518656855.2202759	250.34408950805664	23420.490234375	26.5546875	548519362.8184547	705.1514282226562	0.874151	16.749976999999998	0.07520734579999999	-0.0096220792	0.0132119685	0.0215755079	0.1073924585	-0.027653228999999998	-0.021302938799999997	0.0095200294	0.0160234647	-0.0310658941	-0.0634570683	0.0700857522	-0.038864707799999995	-0.045323097199999995	0.0646626905	-0.09671064230000001	-0.0196785251	-0.0309800481	-0.032322335099999995	0.0458658653	-0.0244422652	0.042930475999999995	0.0048551211	-0.0089045159	-0.0848357994	-0.037731079199999996	0.0724861996	-0.0628674949	-0.0695024591	-0.0074202655	0.0075773172	-0.054628146600000003	0.1487002858	-0.0626303214	0.10339344380000001	0.031007411800000002	0.0298908293	-0.015471039099999999	0.047559673499999996	-0.0241239863	0.0058724786	0.0161126549	-0.0814727963	-0.1367785494	0.071825081	-0.0417785221	-0.055939662300000005	-0.1547311506	0.012737389699999999	-0.0005498014	0.012784113500000001	-0.0860937502	0.1273335516	-0.0646674849	0.1123721285	0.0337231586	-0.0823151379	0.0837986032	0.0201062498	0.10464116529999999	0.0757042441	0.0721417964	0.09765466269999999	-0.1341803337	0.0247575304	-0.046402650999999996	0.0193356943	0.0078840348	-0.030095519700000007	0.038416229100000004	-0.026494567099999998	-0.039505863599999996	0.08736432539999997	0.0995294927	0.0419242259	-0.027199302	-0.0311035865	-0.0303559615	0.0524917936	-0.0235735237	0.0173251621	-0.0457647877	0.042960749900000005	-0.0025446635999999997	-0.020493006499999997	0.0111954531	-0.1054444492	-0.0229217422	-0.049896761	0.058803184	-0.0293501465	0.0972293908	-0.0447560304	0.059554864299999996	-0.0413540802	-0.0489570696	0.1315531282	-0.1299984917	-0.020358093	-0.0054453886	0.0831639973	-0.0284554966	0.05532242230000002	0.027047717599999997	-0.0091172652	-0.049731245599999994	0.039591530699999995	-0.0193518252	-0.0302883292	-0.0356919423	0.09429150800000001	-0.1492999112	0.09099526919999999	0.0629054168	-0.022771609900000003	-0.050349833600000005	-0.0384438275	0.1073869607	-0.0729359552	-0.1239351717	-0.017427215	-0.0119282951	0.0043026204	-0.1152031334	-0.07521642519999999	-0.05345431690000002	-0.0308796496	0.08452156970000001	0.09374191400000001	-0.0078088838	-0.0491583867	0.013649383300000002	-0.11092231150000001	-0.015734044699999998	-0.053230065	0.0994792142	0.0979222811	0.0953454172	0.0917754626	0.0872496007	0.00351237	7.769999999999826e-06	1.23367430169e-05	6.037289999999729e-11	-0.0453848	-0.037712470000000005	0.0014222303935009005	0.0020597800710400005	0.0258714	0.0258940158	0.0006693293379599999	0.0006705000542506496	-0.00028063700000000003	-8.787800000000003e-05	7.875712576900004e-08	7.722542884000005e-09	-0.000275301	-0.00010555399999999996	7.5790640601e-08	1.1141646915999994e-08	-5.66245e-05	3.842980000000001e-05	3.20633400025e-09	1.4768495280400008e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36200.74609375	-87.03125	7574.4384765625	1310494017.7441561	22782.806640625	8.767578125	519056278.42410666	76.87042617797852	23357.423828125	-63.06640625	545569247.8866615	3977.371597290039	0.955831	18.315071	0.07606643300000003	-0.0345944438	0.0076035485	0.06501317570000001	0.1212355894	-0.0130042807	0.008258315	-0.0643691044	-0.0178648645	-0.0185716673	-0.0956098943	0.0755899443	-0.0390535662	-0.0406554083	0.0150412372	-0.0609348026	0.0122479446	-0.08448350869999999	-0.1399617761	-0.0006149387	0.0210188181	-0.0097966304	-0.0840449476	-0.0017273593	0.0922075383	0.038734826800000004	0.0878512187	0.030182166	-0.0874719579	-0.006998644399999999	0.0282225483	-0.0053158183	0.015244001699999999	-0.0311750107	-0.1039315967	-0.0327282022	-0.0173816712	0.07217951709999999	-0.0444829622	0.0245563533	-0.0047516617	0.0139003887	-0.047127076799999994	-0.010779181	0.0453292869	0.0336099029	-0.0785934873	0.06472419110000001	0.0201731914	0.0364606981	0.0365943639	0.052389394400000004	0.0083760544	0.010123465	0.0467101831	-0.056807983	-0.0109808475	-0.0011007445	0.036542304399999996	-0.0821205434	-0.1569615775	0.031906499399999996	-0.0119544614	0.0778402138	-0.016664887	-0.0702933456	0.0022423287	0.0261932006	-0.07711261900000001	0.0756543065	0.0042166394	-0.0656550617	0.010144139699999999	0.1128724149	0.0151459231	0.0561227563	-0.0268421121	-0.09353082720000001	0.0544809317	-0.053597627300000006	-0.0199016574	-0.0471892516	-0.0217950194	-0.0020750111	0.0703166266	0.056646979800000004	0.0096869506	0.011537603700000001	-0.08468475869999999	0.1386038345	-0.0791166285	0.1293710593	0.0659442312	-0.010462069000000001	0.029768351800000002	-0.0362981548	-0.0029863478	0.0144276618	0.013879221499999999	-0.0280967796	0.1161971629	0.1390111872	0.0265557871	0.0025188285	0.015094330500000001	-0.0104337019	-0.0628840521	0.0813852897	0.032928364700000004	0.0177752774	0.0815091437	0.0793733096	-0.0047256089	-0.029048782000000002	0.0134167968	-0.0056027938	-0.0272011517	0.008176922	-0.008952384399999999	0.0569129929	-0.0064932648	0.051336169800000005	-0.11268303589999999	-0.0170863819	0.0572572543	-0.0442719712	-0.0036246344	-0.15073036539999998	0.1199626872	-0.0403126258	0.0062571423	-0.016048897700000002	0.0348022647	0.0183617258	-0.0881797528	0.09930684570000001	0.097236992	0.0938191336	0.08910065240000001	0.08314696120000001	0.00349877	-1.3599999999999895e-05	1.22413915129e-05	1.8495999999999718e-10	0.000216878	0.045601678	0.002079513036415684	4.7036066884e-08	0.00530897	-0.02056243	2.81851624609e-05	0.0004228135275049	-0.000185117	9.552000000000003e-05	3.4268303689e-08	9.124070400000007e-09	-0.000320931	-4.5630000000000015e-05	1.0299670676100001e-07	2.0820969000000007e-09	0.0	5.66245e-05	0.0	3.20633400025e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
