csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29
35139.8984375	n/a	n/a	1234812462.197815	21436.916015625	n/a	459541368.2609597	n/a	21796.138671875	n/a	n/a	475071661.0036049	n/a	n/a	n/a	-0.0111072155	-0.0338297095	0.0404702652	-0.021383377999999998	0.035715761299999996	-0.033810354199999997	0.0591004636	-0.11851465130000001	0.08771700519999999	-0.0119194301	0.0708039424	-0.035530710099999994	0.0752168754	0.0379976772	-0.1001770479	0.0387813146	-0.026932987400000004	0.0367047798	-0.0942398074	0.006201396600000001	-0.0777071896	0.0923440184	-0.1483669597	0.045185376799999996	-0.1459880835	-0.0750768982	0.0911693534	0.0078532641	-0.0100423736	0.1554137971	-0.07342728030000001	0.0988363969	-0.0679798571	0.0662202412	-0.0451089249	0.023303854	-0.005576459399999999	0.0735409747	-0.0034281837	0.0866530341	-0.0484398428	0.0613026763	0.09349626949999999	-0.003214228	-0.0242553378	0.0063446797	-0.0069821685	-0.008129911	0.0160151818	0.030148361499999998	0.013347369	-0.0883510297	-0.0271663867	0.0291141794	0.0698837952	0.1006619825	-0.0525430624	0.09252455429999999	-0.0824236254	0.032822161600000004	-0.0538808145	0.0024691729000000003	-0.1470666293	0.0171302791	-0.0497658632	0.0118938931	-0.1158461517	0.010662193799999999	-0.026414882999999997	0.0219593046	-0.1731514371	0.011384516599999998	0.029834222200000007	-0.0664778441	0.0164622296	-0.055437946200000005	0.14203059810000002	-0.0548298946	0.1700628657	-0.0071890107	0.044363445099999996	-0.09401049189999999	0.0387884379	-0.015691328799999998	0.0536201266	-0.017485630800000002	0.0353602318	-0.0311139413	0.0270747317	0.0656776127	-0.0709806417	0.07148650990000001	-0.0173009942	-0.1007630075	0.0573503716	-0.0588063719	-0.0459304167	0.0999969158	0.09998766320000001	0.099972243	0.099950656	0.09992290359999999	0.0150544	n/a	n/a	0.00022663495936	0.13793200000000005	n/a	0.019025236624000016	n/a	0.271975	n/a	n/a	0.07397040062500003	-2.42136e-05	n/a	n/a	5.862984249600002e-10	0.00135399	n/a	n/a	1.8332889201e-06	0.000562271	n/a	n/a	3.1614867744100003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35008.8359375	-131.0625	17177.37890625	1225618593.6987915	21389.240234375	-47.67578125	457499597.80380636	2272.980117797852	21718.265625	-77.873046875	6064.211429595947	471683061.75805664	0.920638	21.86059	0.07717354000000001	-0.0261129545	-0.0328217706	0.0765277039	-0.0437892042	0.0397015744	0.0170677387	0.0539720058	-0.0963782652	0.0266134696	0.1284703215	-0.0063684176	-0.0440796424	0.0154894418	0.065266234	0.11683735619999999	0.043271693	0.0022824589	0.0016423427	-0.059514165	0.0280437832	-0.0741902688	0.0312500012	-0.0931780019	0.0346669691	-0.007736063299999998	-0.019948388100000002	0.077148482	0.0214207136	-0.0076655241	0.050162789299999996	0.0378133155	0.11750533949999999	-0.09792008699999999	-0.0140278429	0.0211929806	-0.0558870374	0.0083193029	-0.051216566500000005	0.0567044518	0.046769923600000006	-0.10839071730000001	0.0812567649	0.0290434231	-0.035994926000000003	0.0062464993000000005	0.0320144141	-0.0215116307	-0.021546573399999998	-0.0229731153	0.049941248	-0.0590086714	-0.0445068651	-0.046290910899999996	0.0383331914	0.0168637923	0.1096281402	-0.059620835199999986	-0.0710871094	-0.0769416841	-0.060781778099999996	0.0515803543	0.0196058146	-0.024245695600000002	-0.0960028425	-0.07579787639999999	-0.040437015699999995	-0.0641501822	-0.0585512521	-0.093446117	0.0301296311	-0.0626973297	-0.0501574965	0.0198169866	-0.061942805499999996	0.006602426800000001	-0.0906399888	0.016765243200000002	0.1160937355	0.1510466355	0.1283651407	-0.0224010699	-0.0591356931	0.050795794299999995	-0.0466183226	-0.045651486799999995	0.013163326000000001	-0.030061454799999998	-0.0174877035	-0.0319596635	0.0935133732	-0.0024829126	0.0066420538000000005	0.1130068102	0.012534216899999999	-0.0378327237	-0.0406066108	0.1272195325	0.099972243	0.0998889875	0.0997502796	0.0995561965	0.09930684570000001	0.00995518	-0.00509922	2.60020446084e-05	9.91056088324e-05	0.141681	0.003748999999999947	0.020073505761	1.40550009999996e-05	0.263423	-0.008552000000000004	7.313670400000007e-05	0.06939167692900003	-0.0007345999999999999	-0.0007103863999999997	5.046488373049596e-07	5.396371599999998e-07	0.00153546	0.00018147	3.29313609e-08	2.3576374116e-06	0.000258661	-0.0003036100000000001	9.217903210000004e-08	6.690551292099999e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35080.50390625	71.66796875	5136.2977447509775	1230641754.3164215	21363.654296875	-25.5859375	456405724.91638565	654.6401977539062	21689.9140625	-28.3515625	803.8110961914062	470452372.03863525	0.8078699999999999	19.182909	0.06578895899999995	-0.015297959299999999	-0.0419165473	0.1124251624	-0.0434858474	0.046347542400000004	0.0459466991	0.056962948799999996	-0.0727747665	-0.0198590428	0.1060747092	0.0449994521	-0.040567676000000004	-0.013089982	-0.0033804262	0.0517612945	-0.0093963149	-0.100159001	-0.1027857971	-0.0124545541	-0.0839557854	0.05747973660000001	-0.0347179778	-0.08900588710000001	0.0077074856	0.0411232038	-0.0179150427	0.0093019712	-0.0769602028	-0.0508255025	-0.050196959900000004	-0.053545743	0.0816222381	0.0477178912	0.0172470939	-0.030215319700000007	0.027201264	-0.0990822623	-0.0181550554	0.11450750900000001	0.0159449467	-0.1233734576	-0.0447367045	0.17409295870000002	-0.032404896	-0.0056484840000000005	-0.0816770179	-0.0124259305	0.0006943744999999999	-0.0133879724	0.08926694199999999	-0.0606494755	0.0009424874	-0.0446624842	0.042521426900000006	-0.0317096502	0.09993889789999999	-0.0545008109	-0.0796185316	-0.0885634625	-0.0194665758	-0.046079435499999995	-0.0270517144	0.0041789451	-0.133802455	-0.024737859100000002	0.1089963431	0.0600389874	-0.0443461587	0.0264220273	-0.0705351263	-0.0059219172	-0.0327038704	0.0722220509	-0.0357269859	-0.0732271826	-0.07191895400000001	-0.0082096125	0.002124892	0.0392314822	-0.11207342869999999	0.0609805465	-0.0970458431	0.0879971623	-0.0062786714000000006	-0.0490498397	-0.0178206538	-0.045477929	0.10181961140000001	-0.1368794858	-0.0798681557	-0.06753933349999999	0.0894591031	0.2146608502	-0.0597526611	-0.068967824	-0.0065745531999999995	-0.0314253518	0.09992290359999999	0.0996917334	0.09930684570000001	0.09876883410000001	0.09807852800000001	-0.000364579	-0.010319759	0.00010649742581808098	1.32917847241e-07	0.15666	0.01497899999999999	0.0245423556	0.00022437044099999975	0.28980500000000003	0.026382000000000017	0.0006960099240000009	0.08398693802500003	-0.0008255079999999998	-9.09079999999999e-05	8.264264463999982e-09	6.814634580639995e-07	0.00168685	0.00015138999999999994	2.2918932099999978e-08	2.8454629225e-06	0.000218795	-3.986599999999997e-05	1.5892979559999978e-09	4.7871252025000005e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35130.37109375	49.8671875	2486.736389160156	1234142973.1845856	21351.416015625	-12.23828125	455882965.87228775	149.77552795410156	21699.626953125	9.712890625	94.34024429321288	470873809.904789	0.801819	19.039223	0.05798873600000001	-0.034841827	-0.0284399795	0.057017300800000004	-0.0544165046	0.0656433884	0.06463012509999999	0.034377697799999996	-0.0245472964	0.0317281161	0.0324235789	0.0843977481	-0.058631656	0.023114341099999998	0.0004970249	-0.017140157	0.0873587796	-0.0702012256	-0.0270493682	0.0204530132	-0.1454760836	0.0083590495	-0.021688010499999997	-0.0718292353	-0.010265696099999999	0.0332149192	-0.0751426712	0.0745015723	0.016783765200000002	-0.0596472695	0.0231374351	-0.0759640643	0.0277111159	-0.0625042306	-0.07064056190000001	0.0487336283	-0.0450237195	0.1071599357	-0.0111641394	-0.043962999800000006	-0.040321412200000004	0.1414174968	-0.1954071819	0.0137567304	-0.062085399299999997	-0.0157467803	-0.0413884488	-0.0275561532	0.0095658917	0.0107090223	0.0610929759	-0.0414657237	-0.0315458889	-0.0656473192	0.0634304682	-0.0588087199	0.0460255175	-0.0016022235999999998	0.0076134991000000015	-0.0923628087	0.0169394611	-0.058485431500000004	0.022503656099999998	-0.0618723696	-0.0499134741	-0.1202152178	0.0804837139	0.0541115262	-0.061876826600000004	0.0563014874	-0.0496321879	0.0088803091	0.079711647	0.016553832	-0.06997095589999999	0.0066559122	-0.0860072548	0.007388855699999999	-0.020991206000000002	0.0039894371	-0.0054327031	-0.0549496607	-0.0039030161	-0.1368889702	0.0047700688	0.1020763073	0.0179043885	0.0642210433	-0.0180287084	-0.0641884163	-0.17601887859999998	0.0330698884	0.048349265999999995	0.042422712599999995	0.0860963658	-0.133558146	0.050528547400000005	-0.07348385959999999	0.0998489097	0.0993960955	0.09864292570000001	0.09759167619999999	0.0962455236	-0.000423755	-5.917599999999998e-05	3.501798975999997e-09	1.79568300025e-07	0.129316	-0.027343999999999983	0.016722627856000004	0.0007476943359999988	0.289865	5.9999999999948976e-05	3.599999999993878e-09	0.08402171822499999	-0.00113668	-0.0003111720000000002	9.682801358400012e-08	1.2920414224e-06	0.00182594	0.00013909000000000013	1.934602810000004e-08	3.334056883600001e-06	5.85458e-05	-0.00016024920000000002	2.5679806100640005e-08	3.42761069764e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35034.1484375	-96.22265625	9258.799575805664	1227391556.7407837	21355.99609375	4.580078125	456078569.15626526	20.97711563110352	21696.400390625	-3.2265625	10.41070556640625	470733789.9103127	0.78959	18.748857	0.08987452499999994	-0.0158556243	-0.022136614500000002	0.10028321119999999	-0.0538030057	0.0792972682	0.0631973824	0.0079353569	0.0069884176000000004	0.0180898271	-0.009360514399999999	0.1087851245	0.0098560786	0.011367198500000002	-0.0334199403	-0.0850038011	0.0894794811	0.0484336959	0.0680066628	-0.014570863	0.043116975700000004	-0.028283385699999997	-0.020048746200000002	-0.0328056634	0.0356332798	0.048225892400000005	-0.0772406059	0.052060626500000005	-0.0600089654	-0.0762725332	0.0390513348	-0.047580251399999995	0.0295931902	-0.0661791878	-0.0693746043	0.0285992992	-0.1305903022	-0.1462379349	-0.0863748152	0.044963692400000005	-0.0387076518	0.0419348652	0.025186296299999997	0.0776065432	-0.0346462572	0.0370995095	-0.026046611600000002	0.0023151968	0.0144857224	-0.010794446899999999	0.0681767825	-0.0582163761	-0.0201269816	-0.0656212525	0.0784211022	-0.0551088038	0.0091659134	0.0072326076000000005	0.0300707642	-0.0867717566	0.056862433	-0.043928177	0.0156151095	-0.0199429974	0.1297307436	-0.0739493796	-0.063385157	-0.026973865299999997	0.0046052194	-0.0191674194	-0.0598963726	0.028725389100000002	0.053386362	0.053832084800000006	-0.032569342	-0.1083144585	-0.0387782801	0.0799461473	0.0771778485	0.0260170471	-0.012495353899999999	-0.036089345099999996	0.0347949675	-0.011594483700000002	0.0380313481	-0.0082750393	0.0055589344999999995	0.12344159910000001	-0.0331790648	-0.1577750822	0.058519418899999995	-0.0410404884	0.021285625099999997	0.0178754692	-0.0281562316	-0.0392081963	-0.0089087942	0.06411811099999999	0.0997502796	0.0990023658	0.09775999380000001	0.0960293686	0.0938191336	-0.00330094	-0.002877185	8.278193524225e-06	1.08962048836e-05	0.0873805	-0.04193550000000002	0.00763535178025	0.0017585861602500011	0.289839	-2.599999999997049e-05	6.759999999984654e-10	0.084006645921	-0.000993148	0.00014353199999999982	2.0601435023999947e-08	9.863429499040002e-07	0.00234176	0.00051582	2.660702724e-07	5.4838398976e-06	-0.00018281900000000005	-0.0002413648	5.8256966679040015e-08	3.3422786761000015e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35079.59765625	45.44921875	2065.631484985352	1230578171.7243805	21388.296875	32.30078125	457459243.2131348	1043.3404693603516	21766.7109375	70.310546875	4943.573001861572	473789705.0366821	1.193733	28.345245	0.16595891	-0.0057701897	-0.0190533942	0.1272606893	-0.044520807999999995	0.0480096047	0.0076217087	0.0388630024	-0.0162798623	0.0282742236	0.031862811	0.0762561614	0.0399717943	-0.011652256399999998	0.026957432799999997	-0.0815038026	0.0747996951	-0.0691548539	0.0141627347	-0.0019419365	0.09781812320000001	-0.0820973777	-0.0499336134	-0.127612379	0.16091043859999998	0.0508355139	-0.1166763411	-0.0422907014	0.0642294818	0.0335104055	0.012078141	-0.0665504317	-0.0276910282	0.0372549031	-0.0362821423	-0.0056424752	-0.056568799100000004	-0.0366539779	-0.1714693702	-0.024743397599999998	0.024054279100000003	0.022697361200000002	0.0766368042	0.0650128865	0.057937862199999995	-0.1851483311	0.0070768979	0.0103742916	0.0207694829	-0.041595506000000004	0.0671458702	-0.0803147593	0.0665399886	-0.049766605	0.041261698	0.0040343232	0.045987384299999996	-0.0042438191	0.0220516758	-0.0819274442	0.033039468100000004	-0.0182513469	-0.0161769244	-0.0377896491	0.06526032009999999	-0.1180398413	-0.0619825339	-0.0160826839	0.0936300026	-0.0376440755	-0.029869943	-0.0435412793	0.1281851366	0.040523329500000004	0.005571174	-0.1163676627	-0.18122973690000002	-0.0204088988	0.0214700848	0.0586343313	-0.0359276161	-0.037663732799999995	-0.024076202	-0.0756533586	-0.0865168001	-0.1563252778	-0.007363730799999998	0.0717519588	0.0431026043	-0.0283844056	0.08233577190000001	0.0807237949	-0.030133052999999996	-0.07880026309999999	-0.0806017807	0.028668524100000002	0.038730279900000004	-0.012554668400000002	0.0996270376	0.0985109326	0.0966600102	0.0940880769	0.0908143174	-0.0166647	-0.01336376	0.00017859008133760002	0.00027771222608999997	0.142036	0.0546555	0.020174225296	0.0029872236802499998	0.255581	-0.03425800000000001	0.0011736105640000006	0.06532164756099999	0.000123425	0.001116573	1.2467352643290002e-06	1.5233730625e-08	0.00249882	0.0001570600000000001	2.4667843600000032e-08	6.2441013924e-06	-0.00018281900000000005	0.0	0.0	3.3422786761000015e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35271.08203125	191.484375	36666.26586914063	1244049227.6551664	21408.8671875	20.5703125	458339594.25201416	423.13775634765625	21838.970703125	72.259765625	5221.473728179933	476940641.37195206	2.797264	66.42115	1.31001855	0.033503588	-0.1317098659	-0.1858672723	0.1367796211	-0.1204385236	0.0578507805	-0.0128701674	-0.016812674099999998	-0.11133543289999999	-0.10727195689999999	-0.0890000352	-0.1427454568	-0.0038341104999999997	-0.12896722019999998	0.0802921866	0.1686081461	-0.1738592009	0.0629067263	-0.0224028927	0.0854289987	0.0615172176	0.1241150273	0.0764452306	-0.1308578789	-0.1225801265	-0.0803824462	0.066945002	-0.1035669493	0.1166758827	-0.0576967279	-0.0109738296	-0.17053752719999998	-0.0152633016	-0.0815897902	0.0455372057	-0.0072449468999999985	0.1817062565	-0.05837748860000001	0.019549871899999998	-0.11363459640000001	0.049509196500000005	-0.0627506537	0.035819175	0.118077469	0.0378812295	-0.0371015793	-0.001806	-0.049516791399999996	0.21304307460000002	-0.049623392	0.1907105425	0.0101283155	0.1528163499	-0.0889683197	-0.0732712963	-0.0139068741	-0.0403944498	-0.0025543931	0.1769680122	-0.0332158532	-0.1537898326	0.1220827169	0.0512057118	-0.06795086759999999	-0.1320195872	0.0253340935	-0.04862283269999999	0.06515357690000001	-0.0006225528	-0.0585215309	-0.08335999570000001	0.049349719900000005	0.0068718152	-0.084016077	0.0849624464	0.2376124402	-0.11727635939999999	-0.0708513409	-0.12075748189999999	0.0381724403	-0.0004957696	-0.0521064921	-0.1575914416	-0.0539039687	-0.0077591817	-0.10968149630000001	0.0236911908	-0.1641550518	-0.1024209784	-0.0213895761	-0.0908292112	-0.11049615300000001	-0.04993762	-0.0013458097	0.0210102048	0.082013835	0.0781266203	0.0994792142	0.0979222811	0.0953454172	0.0917754626	0.0872496007	0.0453739	0.0620386	0.00384878788996	0.0020587908012100003	0.212616	0.07057999999999998	0.04520556345599999	0.004981536399999997	0.208448	-0.047133000000000015	0.0022215196890000006	0.043450568704000006	0.018302900000000004	0.018179475000000004	0.00033049331127562513	0.00033499614841000017	-0.000939622	-0.0034384420000000003	1.1822883387364e-05	8.82889502884e-07	0.000804603	0.000987422	9.75002206084e-07	6.47385987609e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35128.8671875	-142.21484375	20225.061782836918	1234037309.8770142	21427.18359375	18.31640625	459124196.7602692	335.49073791503906	21783.365234375	-55.60546875	3091.9681549072266	474515000.93417734	2.442207	57.990314	0.77661535	0.0467588334	0.0708892954	-0.0633634198	0.1859008889	-0.0652100975	-0.0179422737	0.060185939699999996	0.0875871402	-0.175816862	-0.06925545	-0.23705970640000001	-0.2289588218	0.0463896753	-0.16794156699999999	0.0240411467	-0.0800510372	0.0790535311	-0.113670725	-0.1237935268	-0.0748930338	0.0309169082	0.0774349736	-0.0867307996	0.013626361299999999	-0.0730720967	-0.1597993389	-0.0920363744	0.0364036788	0.0709754759	-0.19668713149999997	0.14143353460000002	-0.1251105824	0.07467367059999999	0.0800184758	0.0068435585	-0.0310583857	0.0158602292	-0.0398340361	-0.07935919179999999	0.0110829831	-0.0611972227	0.0068779769999999995	0.0131493495	0.0146037075	-0.0673181209	0.13559674300000002	0.0837956097	0.026463724700000003	0.1428694551	-0.0767886895	0.008901255	0.023421846200000002	0.19855866379999998	-0.0374193409	0.011985790900000001	-0.0047353097999999995	0.1093537309	-0.1268139045	0.2624098157	-0.0511868329	-0.24909577030000002	0.09639842380000001	-0.0095001638	-0.0603144059	0.08801391199999999	0.022764425699999997	-0.0052639797	-0.1571913705	-0.052298335099999996	-0.0083996068	-0.1973452652	0.0459982686	0.0996830221	-0.053507884400000004	-0.0294799748	0.06567118059999999	-0.1857291462	-0.0554931868	-0.0833881367	0.0234541476	0.006686789300000001	0.0532322562	0.08538363789999999	-0.052878565700000005	-0.057604927800000004	-0.0408403631	-0.0379364628	0.06011293	0.1713933097	-0.0321186234	-0.021228841000000002	-0.0159904568	-0.0241810477	-0.1122361085	-0.0227403876	-0.08984388310000001	-0.0205566707	0.09930684570000001	0.097236992	0.0938191336	0.08910065240000001	0.08314696120000001	0.05979590000000001	0.014422000000000003	0.00020799408400000013	0.003575549656810001	0.29036100000000004	0.07774500000000006	0.08430951032100002	0.00604428502500001	0.6212529999999999	0.41280500000000003	0.170407968025	0.3859552900089999	0.0211523	0.002849399999999995	8.119080359999972e-06	0.0004474197952899999	0.000592298	0.00153192	2.3467788864e-06	3.50816920804e-07	0.00185615	0.001051547	1.105751093209e-06	3.4452928225e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35089.79296875	-39.07421875	1526.7945709228516	1231293570.589737	21384.48828125	-42.6953125	457296339.05091864	1822.889709472656	21788.3515625	4.986328125	24.863468170166016	474732263.8110962	2.355474	55.93082800000001	0.8727344499999999	0.0749804053	0.0812539099	-0.0261819554	0.0903679159	0.0338868442	-0.010432467800000001	-0.0309448196	0.0709417943	-0.1021496717	0.0022513617	-0.22600223460000002	-0.1117597877	-0.10138116330000001	-0.039902249199999996	0.0101787444	-0.0879009944	0.045407654699999994	0.0316786196	0.1624972781	0.0500289688	-0.155488273	0.1273910889	-0.0140573265	0.1520239387	0.0021936977	0.039278262599999995	-0.12310977529999999	0.0067655676	0.0337012956	0.017631263799999998	-0.0717640763	-0.020533333	0.0682073266	0.0362685512	-0.0454687079	0.0021077141	-0.0448099075	0.0829086156	0.0668443656	-0.0024177576	-0.0514316887	-0.0024181408	-0.0547673038	-0.0749248345	0.1096285005	-0.0294578958	0.0954769492	0.0008901449	0.0078654663	-0.0503208678	-0.069020099	0.0392701265	0.0831567628	0.0484843434	0.011748741399999998	-0.0651492502	0.0393143198	-0.1276996886	0.1846930809	-0.16832882710000002	-0.0566686059	0.047031073300000004	0.0437209263	-0.026780587400000003	0.0685146597	-0.1525984124	0.027357401400000002	0.1093278833	0.1085012892	0.1750631159	-0.11747489380000001	-0.0038050540000000004	-0.0082289552	0.0596173942	-0.1042389613	-0.0501710074	0.077222825	-0.0753823112	-0.0420157873	-0.0326782126	-0.031613151299999996	0.0120218874	0.0492918822	0.030895276099999997	0.0466445641	0.060678341399999995	-0.0596241746	0.0229223457	0.008219633	0.0120530723	0.0262604346	0.038489439300000004	0.012211180700000001	0.0016032693	-0.0204946635	0.0066377999	-0.0058688249	0.0991099747	0.0964557418	0.092084548	0.08607420269999999	0.0785316931	0.037605300000000015	-0.0221906	0.0004924227283599999	0.0014141585880900005	0.193265	-0.09709600000000003	0.037351360225000005	0.009427633216000004	0.543285	-0.07796799999999993	0.006079009023999988	0.29515859122500004	0.011362	-0.009790299999999998	9.584997408999997e-05	0.000129095044	0.0020494	0.0014571019999999998	2.123146238404e-06	4.20004036e-06	-0.000406045	-0.002262195	5.117526218024998e-06	1.64872542025e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
