Measure:volume	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	MaskVol	EstimatedTotalIntraCranialVol
sub-0001	2839.4	2548.2	5700.8	2453.5	554.1	5797.2	7534.0	5478.6	3595.5	8632.0	6279.6	5200.1	2938.1	4812.8	1156.1	3462.8	3569.4	888.3	2858.8	3498.8	6090.7	4247.1	11760.4	6961.0	2048.4	11756.6	16156.5	11285.5	7618.9	7361.9	236.3	641.3	933.5	9101.4	2440.0	2960.5	5048.6	2522.3	526.7	6071.5	9123.9	4172.7	3574.8	7456.4	6585.2	5611.0	3389.5	5782.2	1360.9	3521.4	3215.6	1235.8	3013.5	3111.4	6192.1	4026.3	11901.3	7881.3	1649.8	13895.0	14117.2	10267.3	6577.9	8774.2	227.7	508.3	581.2	9030.1	28318.7	28074.4	206393.722588	206114.433221	412508.155809	1327933.0	1201948.163836
sub-0002	3844.6	2811.8	7535.4	2935.4	656.9	8052.2	11709.6	8203.7	4238.7	12404.6	6917.2	6264.3	4048.0	5693.9	1510.5	4117.5	4185.7	935.9	3208.6	3313.1	7259.3	4676.9	13415.9	11388.4	3080.9	12714.6	20274.2	13095.4	8993.5	12062.8	242.4	677.8	892.5	10082.3	3665.2	3011.7	6131.0	2844.1	636.7	7291.9	13813.8	6889.5	3997.1	10416.9	6983.0	6414.8	4246.5	6441.3	1950.5	5375.1	4014.8	1302.9	4123.0	3851.5	7368.2	4663.8	13210.1	11286.1	2035.8	14448.1	17145.0	12660.1	9198.0	10493.3	328.7	635.1	523.3	10858.7	35088.2	34452.3	256178.31114	254962.644217	511140.955357	1601336.0	1692712.587
sub-0003	2905.9	2682.4	7321.8	2572.0	909.3	6592.1	10128.1	6609.5	3684.6	10176.3	6693.1	4638.4	2876.1	5558.6	1297.6	4237.2	3543.3	1230.7	2675.3	3079.2	8498.4	4639.9	14616.2	9667.6	3225.7	13942.6	19207.6	12709.0	7713.9	12650.2	377.0	672.3	726.7	10808.9	2737.5	3340.6	5444.7	2813.1	813.8	6260.0	12536.7	5799.1	3466.8	10944.0	7278.4	5467.7	3846.3	5674.0	1389.2	5013.7	3492.5	1239.7	3580.6	3526.0	7940.5	4321.4	13336.5	9911.9	1920.8	15347.1	16655.1	12316.4	6216.8	9304.8	403.9	689.1	544.5	10117.1	36838.0	35743.5	247886.328132	240920.498878	488806.827011	1486426.0	1325368.010617
sub-0004	2276.2	2976.4	6161.7	2373.2	956.9	5638.5	9639.8	6999.5	3384.9	9175.6	6379.6	5214.8	3194.9	5751.6	1334.5	3875.7	2855.4	979.5	2869.5	3757.3	6531.2	4600.6	12088.7	8257.3	2311.9	13234.0	18248.8	8857.5	6876.6	7630.5	228.0	587.4	679.6	9562.5	2537.0	3024.5	5881.5	2162.8	883.3	5772.3	10657.3	5795.5	3018.7	9116.5	6988.7	5310.1	3659.6	6667.6	1157.6	4089.5	2509.6	1145.6	2632.0	3340.8	5994.3	4478.6	11923.1	8540.6	2058.3	13144.5	18504.5	9201.2	6331.9	7807.7	317.4	565.9	522.7	8428.4	26283.8	26281.9	213227.45635	211447.583658	424675.040008	1399947.0	1338131.287899
sub-0005	3259.4	2699.7	7655.2	3256.2	894.9	6612.7	11400.2	6438.5	4822.4	13489.5	6483.1	5770.1	3168.0	5077.4	1576.4	3021.9	3909.8	912.5	3743.8	3174.0	7655.9	4054.9	13580.6	9041.9	3042.3	12492.1	18351.5	10399.6	7672.2	9087.6	265.7	553.1	686.2	10843.7	2382.8	2873.6	5769.1	3262.1	793.1	6622.3	11450.6	6123.1	3980.9	12030.9	6396.7	5397.1	3210.3	6173.9	1540.8	4328.0	3517.4	1259.9	4345.3	3070.8	8006.4	4626.7	15567.0	8940.5	2131.4	12529.6	16902.8	11908.0	7338.1	7814.7	379.4	506.5	551.2	10412.9	32730.4	32684.0	236595.744286	236418.171814	473013.9161	1552057.0	1581896.5295
sub-0006	3770.9	2843.8	6297.4	3275.0	859.8	7393.0	11173.3	7790.0	4108.5	11283.9	8333.5	6598.9	4388.0	5780.3	1280.6	3888.3	3937.7	1421.5	4668.7	4149.3	7137.0	5146.3	13765.3	9732.5	2525.4	16484.3	21045.0	16697.9	8405.1	9490.4	300.9	611.3	835.1	11372.9	3445.8	3109.4	5836.5	3227.8	1243.3	6600.9	11720.4	7003.6	3109.0	12584.7	8362.6	6900.4	4325.8	8176.3	1408.2	4353.2	3564.9	1934.8	4509.6	3900.8	7956.1	4162.9	15060.8	11471.8	2244.4	15776.9	20692.4	12934.1	8105.6	10041.5	389.3	601.2	686.3	11219.3	38221.1	38077.9	265486.077195	266888.675367	532374.752562	1593649.0	1354293.234785
sub-0007	2960.1	2667.0	5594.4	2301.7	1116.4	6507.0	10587.1	7308.7	3782.9	8176.8	6289.9	4645.4	3959.4	6515.4	1630.8	3209.5	2974.0	905.2	3402.4	2492.5	7150.0	4301.0	12394.0	8014.1	2771.5	13277.1	17469.5	10180.9	8098.2	8929.8	327.4	708.0	704.8	9111.7	3027.8	2351.2	5562.6	2428.3	928.1	5836.0	11326.6	6908.2	3578.1	8636.3	6390.8	5223.0	3523.0	7179.7	1587.5	3630.4	2945.9	1268.6	3143.6	2930.8	7081.2	4164.0	13139.8	8554.5	2015.9	13661.8	15786.6	10145.5	6519.5	7774.2	360.4	749.4	661.1	9387.6	28914.2	26593.0	218347.123269	216934.077526	435281.200795	1455576.0	1427446.163529
sub-0008	2870.0	2892.8	7450.9	2337.8	784.9	7468.0	10832.6	6354.6	3950.9	10121.3	7211.7	4541.5	4583.7	5794.2	1494.4	4149.0	4003.3	904.9	2965.4	2261.3	7473.3	4916.2	13087.4	12922.5	2353.8	15294.5	20958.4	11675.2	8759.0	9349.3	309.6	536.3	698.0	10914.7	3793.9	2970.0	6307.8	2794.2	943.6	6918.2	11552.7	5440.4	3309.4	9750.3	8275.0	4775.9	4622.4	6592.4	1677.3	5416.1	3687.5	1331.6	3759.7	2623.7	7444.7	5106.5	14353.6	12895.1	1801.1	14329.2	20438.0	11613.6	6901.9	8442.7	382.4	507.8	648.9	10059.1	29945.8	30213.5	243358.92235	242361.650437	485720.572787	1587936.0	1654753.210314
sub-0009	2703.6	2457.4	5206.4	2285.4	636.7	4967.9	7443.5	5702.4	3237.4	7624.0	5011.8	4812.1	3133.3	4202.5	1159.9	3726.5	2482.7	738.6	2563.3	3911.5	5630.0	4124.9	10727.1	6657.3	1919.4	9778.2	13882.4	9876.8	5761.8	6369.2	277.7	581.1	711.3	8450.3	2056.8	2661.7	5368.9	2369.5	642.4	4239.4	7945.2	4411.7	3334.8	7896.2	5989.2	6290.3	3031.4	4364.6	1251.9	3641.2	2411.5	908.3	2692.3	3799.9	6022.0	3226.5	11226.5	7372.0	1645.5	9175.1	13721.8	8894.6	5292.0	7942.3	289.4	515.1	465.1	8065.5	16980.3	16816.3	175420.517269	177067.250295	352487.767564	1258822.0	1092941.805296
sub-0010	2128.0	2806.4	5650.7	2623.8	966.3	4921.0	8492.2	4960.4	3696.2	9983.3	5513.0	5422.7	3871.4	4197.9	1268.1	3213.6	3088.5	918.3	2882.0	3347.5	5477.2	3825.4	10625.5	7380.6	1756.1	9967.3	14072.6	8734.3	6531.4	6867.6	197.3	574.2	532.1	8558.1	2641.0	2186.9	4995.5	2611.7	710.3	4429.7	8331.2	5116.1	3024.0	10756.9	5354.9	4913.6	3101.8	5437.6	1257.5	3556.0	2808.4	1011.7	3188.6	3295.4	4929.1	3701.2	10474.4	7105.8	1480.9	10247.9	15371.5	9635.5	5726.5	6651.3	199.1	536.1	511.3	8646.7	25920.7	24416.8	191435.25773	190334.137366	381769.395096	1265833.0	1093207.499499
