rh.aparc.a2009s.area	rh_G&S_frontomargin_area	rh_G&S_occipital_inf_area	rh_G&S_paracentral_area	rh_G&S_subcentral_area	rh_G&S_transv_frontopol_area	rh_G&S_cingul-Ant_area	rh_G&S_cingul-Mid-Ant_area	rh_G&S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg&S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet&P_trans_area	rh_S_oc_middle&Lunatus_area	rh_S_oc_sup&transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med&Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0001	624.0	835.0	733.0	1087.0	835.0	1827.0	853.0	897.0	378.0	221.0	1474.0	789.0	254.0	631.0	2480.0	4090.0	450.0	441.0	1265.0	1092.0	1236.0	2003.0	739.0	1837.0	2013.0	1707.0	1367.0	1110.0	1459.0	1442.0	594.0	200.0	362.0	1205.0	543.0	523.0	1356.0	1745.0	262.0	189.0	1006.0	2186.0	1045.0	1629.0	1803.0	722.0	395.0	862.0	921.0	561.0	261.0	1507.0	1696.0	1645.0	436.0	1974.0	414.0	989.0	418.0	775.0	1344.0	336.0	452.0	1017.0	1244.0	1062.0	1667.0	1099.0	896.0	303.0	886.0	582.0	3951.0	213.0	79444.7	1014544.0	1201948.163836
sub-0002	715.0	756.0	932.0	1247.0	1011.0	2065.0	1031.0	1053.0	511.0	236.0	1756.0	1218.0	310.0	839.0	2936.0	4389.0	633.0	538.0	1821.0	1198.0	2117.0	2107.0	816.0	2017.0	2444.0	2146.0	1900.0	1323.0	1471.0	2175.0	706.0	233.0	336.0	1800.0	661.0	812.0	2086.0	2330.0	330.0	143.0	1072.0	2420.0	1419.0	1824.0	2008.0	926.0	369.0	987.0	1249.0	605.0	394.0	1623.0	1677.0	1667.0	486.0	2500.0	765.0	1275.0	348.0	1169.0	1834.0	335.0	654.0	1080.0	1685.0	1252.0	1796.0	1232.0	700.0	325.0	1267.0	930.0	5092.0	215.0	96331.0	1270074.0	1692712.587
sub-0003	790.0	874.0	894.0	1050.0	912.0	2088.0	981.0	920.0	377.0	174.0	1533.0	890.0	259.0	584.0	2231.0	3971.0	350.0	542.0	1377.0	917.0	1364.0	1850.0	824.0	1994.0	2043.0	1709.0	1729.0	1404.0	1603.0	1648.0	601.0	426.0	214.0	1099.0	569.0	416.0	1627.0	1584.0	283.0	216.0	912.0	2279.0	1180.0	1472.0	1985.0	970.0	419.0	832.0	946.0	707.0	372.0	1475.0	2263.0	1711.0	301.0	2775.0	568.0	739.0	463.0	932.0	1315.0	287.0	561.0	1141.0	1473.0	991.0	1942.0	1308.0	957.0	197.0	879.0	908.0	4046.0	268.0	84491.7	1184521.0	1325368.010617
sub-0004	708.0	1072.0	853.0	1040.0	874.0	2376.0	952.0	1183.0	293.0	232.0	1473.0	846.0	253.0	459.0	3374.0	5145.0	540.0	400.0	1557.0	968.0	1132.0	1910.0	858.0	1914.0	2159.0	1524.0	1264.0	1116.0	1520.0	1524.0	554.0	300.0	259.0	1330.0	493.0	591.0	1623.0	2088.0	314.0	138.0	897.0	2525.0	1121.0	1716.0	1831.0	830.0	462.0	886.0	879.0	899.0	306.0	1397.0	1470.0	2367.0	194.0	2046.0	677.0	916.0	554.0	766.0	1200.0	463.0	507.0	1093.0	1409.0	918.0	1645.0	1162.0	1027.0	197.0	862.0	1061.0	4435.0	168.0	86098.3	1119876.0	1338131.287899
sub-0005	740.0	841.0	970.0	1156.0	978.0	2144.0	807.0	952.0	443.0	234.0	1725.0	1151.0	390.0	887.0	2404.0	4747.0	454.0	506.0	1497.0	1286.0	1570.0	1961.0	860.0	1935.0	2019.0	1860.0	1584.0	1501.0	2243.0	2010.0	706.0	147.0	276.0	1612.0	524.0	633.0	1572.0	1961.0	306.0	248.0	1010.0	2845.0	1324.0	1686.0	2744.0	954.0	424.0	876.0	1196.0	753.0	441.0	1365.0	1521.0	2075.0	148.0	2653.0	986.0	964.0	542.0	1128.0	1604.0	365.0	558.0	935.0	1543.0	1080.0	1621.0	1500.0	919.0	251.0	706.0	1054.0	4602.0	226.0	92437.4	1225864.0	1581896.5295
sub-0006	829.0	959.0	987.0	960.0	1104.0	2158.0	871.0	1015.0	330.0	222.0	1777.0	1014.0	356.0	783.0	2485.0	4837.0	564.0	451.0	1564.0	1298.0	1376.0	2410.0	995.0	2108.0	2336.0	2008.0	1599.0	1438.0	1852.0	1699.0	599.0	172.0	288.0	1626.0	569.0	647.0	1958.0	2019.0	534.0	201.0	1004.0	2638.0	1270.0	1928.0	2254.0	848.0	389.0	847.0	1080.0	769.0	441.0	1351.0	2329.0	1673.0	297.0	2159.0	743.0	848.0	504.0	573.0	1391.0	357.0	593.0	1223.0	1773.0	863.0	1936.0	1113.0	793.0	241.0	878.0	953.0	4560.0	281.0	91898.2	1247786.0	1354293.234785
sub-0007	712.0	715.0	813.0	1089.0	832.0	2052.0	959.0	992.0	370.0	199.0	1411.0	1027.0	218.0	589.0	3546.0	4146.0	502.0	395.0	1638.0	1108.0	1129.0	1930.0	927.0	1968.0	2175.0	1498.0	1411.0	1235.0	1644.0	1571.0	635.0	134.0	219.0	1262.0	569.0	524.0	2097.0	2347.0	265.0	133.0	905.0	1945.0	1418.0	1496.0	1907.0	845.0	327.0	794.0	959.0	914.0	212.0	1413.0	1499.0	1567.0	113.0	2195.0	563.0	1154.0	671.0	711.0	1387.0	337.0	655.0	955.0	1392.0	1002.0	1715.0	1095.0	1142.0	352.0	925.0	1154.0	4328.0	119.0	85154.3	1134965.0	1427446.163529
sub-0008	808.0	889.0	1012.0	1237.0	886.0	2238.0	1111.0	1271.0	455.0	206.0	1639.0	1076.0	259.0	854.0	3259.0	5433.0	550.0	528.0	1760.0	1174.0	1972.0	1753.0	822.0	2177.0	2345.0	1618.0	1772.0	1436.0	1789.0	2103.0	628.0	507.0	345.0	1417.0	547.0	722.0	1681.0	2060.0	344.0	268.0	1017.0	2305.0	1238.0	1762.0	2199.0	1067.0	475.0	834.0	1117.0	620.0	373.0	1616.0	2131.0	2271.0	353.0	2283.0	736.0	946.0	664.0	1180.0	1678.0	284.0	686.0	1230.0	1965.0	1043.0	1782.0	1323.0	1087.0	305.0	1136.0	885.0	4972.0	238.0	96757.6	1271852.0	1654753.210314
sub-0009	491.0	864.0	862.0	1115.0	845.0	1912.0	1015.0	998.0	336.0	267.0	1551.0	815.0	326.0	405.0	2619.0	3912.0	342.0	486.0	1384.0	1025.0	1146.0	2153.0	655.0	1731.0	1614.0	1756.0	1494.0	1227.0	1645.0	1548.0	602.0	105.0	302.0	995.0	813.0	582.0	1296.0	1718.0	306.0	119.0	940.0	2222.0	1136.0	2308.0	1743.0	770.0	364.0	694.0	880.0	555.0	284.0	1072.0	1398.0	1769.0	265.0	2052.0	542.0	1030.0	500.0	618.0	1297.0	316.0	436.0	812.0	1177.0	896.0	1350.0	1210.0	853.0	328.0	945.0	699.0	3412.0	71.0	78322.4	961027.0	1092941.805296
sub-0010	567.0	878.0	674.0	908.0	784.0	1669.0	782.0	844.0	339.0	201.0	1662.0	902.0	312.0	744.0	2382.0	4360.0	467.0	276.0	1581.0	1020.0	1000.0	1789.0	772.0	1615.0	1523.0	1341.0	1392.0	965.0	1400.0	1352.0	550.0	123.0	283.0	1055.0	554.0	547.0	1098.0	1673.0	266.0	156.0	890.0	2299.0	1045.0	1703.0	1716.0	660.0	354.0	652.0	920.0	627.0	384.0	1208.0	1088.0	1783.0	175.0	1848.0	862.0	937.0	620.0	641.0	1051.0	234.0	510.0	858.0	1482.0	754.0	1056.0	1072.0	888.0	261.0	849.0	638.0	3904.0	107.0	74884.1	996538.0	1093207.499499
sub-0011	654.0	827.0	780.0	858.0	891.0	1881.0	928.0	926.0	402.0	207.0	1586.0	768.0	157.0	635.0	2317.0	4595.0	467.0	418.0	1598.0	911.0	905.0	1963.0	791.0	1874.0	1749.0	1574.0	1649.0	1205.0	1600.0	1620.0	575.0	144.0	289.0	1099.0	574.0	386.0	1552.0	2037.0	295.0	222.0	787.0	2330.0	1283.0	1823.0	1845.0	766.0	369.0	782.0	884.0	509.0	242.0	1176.0	1534.0	2143.0	382.0	2369.0	998.0	547.0	659.0	782.0	1087.0	205.0	556.0	989.0	1416.0	882.0	1465.0	1143.0	1056.0	187.0	833.0	954.0	3534.0	175.0	80600.6	1074820.0	1243840.702788
sub-0012	639.0	1035.0	938.0	1178.0	1003.0	2399.0	984.0	1091.0	342.0	162.0	1562.0	1121.0	232.0	806.0	2616.0	3932.0	454.0	433.0	1474.0	1112.0	1273.0	2170.0	922.0	2034.0	2157.0	1919.0	1895.0	1432.0	1787.0	1497.0	632.0	170.0	225.0	1281.0	477.0	491.0	1845.0	1993.0	282.0	122.0	841.0	2548.0	1224.0	1755.0	1985.0	1011.0	398.0	752.0	928.0	816.0	403.0	1996.0	1413.0	1651.0	319.0	2542.0	618.0	967.0	547.0	606.0	1359.0	248.0	619.0	1099.0	1435.0	857.0	1998.0	1400.0	901.0	332.0	670.0	802.0	4220.0	200.0	87574.0	1111331.0	1264759.854439
sub-0013	551.0	832.0	971.0	951.0	696.0	2029.0	987.0	1100.0	275.0	169.0	1163.0	950.0	282.0	516.0	2454.0	3950.0	374.0	574.0	1536.0	896.0	1552.0	1096.0	759.0	1793.0	2133.0	1612.0	1612.0	1477.0	2072.0	1546.0	630.0	432.0	261.0	1332.0	479.0	483.0	1780.0	2088.0	298.0	188.0	902.0	1927.0	1367.0	1090.0	2267.0	727.0	345.0	857.0	879.0	685.0	182.0	1222.0	1255.0	1710.0	156.0	2010.0	414.0	833.0	562.0	693.0	1196.0	299.0	568.0	807.0	1191.0	1036.0	1799.0	1311.0	1076.0	253.0	634.0	1056.0	3881.0	245.0	80309.8	990010.0	1265525.676304
