Measure:mean	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
sub-0001	97.8647	106.6513	95.1908	93.7827	76.5882	88.7125	94.7936	87.179	105.2542	90.41	94.9981	88.7683	95.855	87.7699	84.6192	93.1441	97.1861	83.9407	95.3372	92.4338	89.1318	103.9181	92.322	97.958	101.835	95.9685	92.0434	95.274	92.4818	96.4432	85.8532	77.5909	100.8745	94.6666	96.6826	105.4993	92.8339	93.0496	75.3119	88.5601	93.3577	85.331	107.6529	86.1916	95.7938	89.0248	94.7035	88.3256	87.1695	92.7011	96.8308	83.357	92.0531	88.971	89.3404	103.875	91.7695	99.7949	101.4062	93.7094	89.9958	94.897	91.5484	95.8494	81.9573	77.8051	96.0555	94.5961	102.414	102.5757
sub-0002	100.4357	104.0197	98.5978	91.7578	79.6678	90.8574	100.0369	91.236	100.0748	95.9916	94.0761	87.6238	93.1655	90.1438	88.8227	94.6036	98.2737	87.1008	96.1569	83.1283	93.5937	100.7107	96.1207	98.595	98.6235	97.5851	94.9152	97.4339	95.2129	98.0079	87.8571	78.4608	96.58	94.3279	97.739	100.1201	94.5592	92.9797	77.6412	88.5553	95.7014	87.4264	100.6528	93.1635	94.6229	87.5829	96.781	86.9201	87.4589	95.4939	95.9835	85.5569	93.6088	87.1348	90.6928	99.8342	93.4662	97.6123	99.7204	94.7273	92.8433	95.6203	91.3053	95.3337	86.696	77.6781	96.5763	91.9276	100.8038	100.4788
sub-0003	95.0003	102.9182	96.2253	90.0825	80.9211	91.8736	99.3568	91.3835	99.4436	93.8744	92.7996	87.2629	91.5692	90.938	88.3158	95.4326	96.2243	89.8276	95.7665	86.7207	92.354	99.8502	94.0184	98.0506	99.5595	96.5032	94.1857	97.2987	92.9417	97.1553	93.9024	77.2171	94.7868	91.4594	97.9489	101.6805	95.346	90.5056	81.7348	90.59	97.662	89.625	100.0846	93.5716	94.4272	86.5111	95.0889	90.7576	88.3949	96.0151	97.3654	90.5742	96.1195	86.6387	93.5299	99.6701	94.8077	97.4667	98.809	95.683	93.9837	97.4269	92.7515	99.3072	90.303	81.4455	95.5948	90.6806	100.0758	100.4352
sub-0004	96.5786	101.3483	99.3071	95.1519	82.3558	89.5732	98.7797	89.6088	101.722	92.2631	97.512	90.2529	94.8059	91.8002	88.9628	95.8858	98.9032	86.9547	97.7335	94.2863	93.6968	100.9356	95.9664	99.3239	101.168	96.5069	95.2525	96.9315	94.3855	99.1939	86.6204	75.0569	96.1935	93.8843	97.6577	103.5165	95.3043	92.2852	77.6868	90.298	94.886	87.4088	102.3061	91.6273	96.2943	90.1201	96.1717	89.9171	88.9911	95.1881	94.9775	89.4865	94.3223	90.0983	90.202	99.5014	92.899	98.0354	103.722	94.8616	94.2079	95.337	89.7717	95.8	87.9818	74.3924	95.4836	91.107	102.208	100.1404
sub-0005	99.3885	102.7788	96.9282	92.6029	81.2037	90.4837	99.4703	92.1689	99.8952	94.2346	94.7219	86.7653	90.5244	89.8589	87.4705	96.1269	99.3533	89.8397	97.7557	88.5947	94.6221	99.4989	96.2946	97.7946	100.79	97.4886	94.6939	98.7161	94.1619	99.9861	87.2231	77.6953	98.1384	92.8006	97.2802	102.2627	94.9341	92.0344	82.2072	88.3557	96.3766	88.0572	100.039	93.8745	96.0398	86.6302	94.3157	88.5769	87.2999	95.3887	95.9704	88.4623	94.3764	87.0928	93.397	98.9173	94.4377	97.0164	101.4927	95.5085	94.1103	96.8057	90.9725	97.4509	89.9079	78.0141	96.4339	92.2799	99.9222	99.5161
sub-0006	97.9161	102.0115	96.8689	93.1515	81.8039	91.6849	98.0168	92.304	100.4449	93.3762	95.0731	88.3596	95.134	91.5456	90.7668	96.1331	97.8711	90.3797	97.965	88.858	94.0286	102.0088	96.0074	97.2166	98.3278	97.3578	94.8674	98.3513	95.2107	98.5161	88.8954	80.0705	97.5991	94.0458	98.6473	103.5399	95.7143	90.6079	79.1093	90.1022	96.4117	88.5023	101.4086	93.0668	95.5673	89.8304	96.3825	90.8425	87.1305	93.0918	96.3609	88.9792	93.9088	87.7037	93.0749	101.2548	93.9628	98.0565	101.1876	94.2817	94.813	97.4331	92.4511	97.6837	93.2439	78.3391	97.4766	93.4688	101.1148	100.8495
sub-0007	98.5585	100.1498	99.2371	90.3646	79.6257	89.3449	98.5302	89.9853	100.685	92.2284	95.2501	85.8285	91.8857	92.3343	88.235	95.0569	96.5543	87.7102	96.5721	84.6613	94.229	97.3037	96.4383	96.7478	97.4516	96.9003	94.4505	97.258	94.9493	98.4721	88.9713	76.4398	96.3376	93.188	99.1534	100.0535	95.7981	89.546	78.4458	88.7169	96.9947	88.1663	101.3048	93.3393	96.6155	85.3068	96.4929	90.3184	88.3726	95.0733	96.4732	90.8554	96.5749	83.8104	93.0437	98.723	95.4284	96.8066	102.1205	96.1249	93.5336	96.3245	93.3117	98.8447	90.825	79.1725	99.4775	93.285	99.3406	99.6093
sub-0008	97.9179	104.0143	95.593	92.3844	80.4888	92.5487	97.6734	88.927	102.148	91.3761	94.3096	88.865	94.4909	90.7957	91.4475	95.7101	97.1305	87.373	95.2514	90.0299	93.3138	101.1914	95.1709	98.9001	100.3372	96.6841	93.5147	97.4087	96.1761	98.7441	88.3148	76.808	97.3406	94.4851	98.5203	102.4092	94.4706	92.3063	82.6481	89.8535	95.2593	86.2918	101.458	92.1173	95.3878	87.179	95.8578	89.4707	89.9243	95.8126	96.0657	91.9474	93.8017	88.0077	92.1949	100.6246	94.3648	97.8628	100.2407	95.3235	93.5321	96.6459	90.8017	96.6473	89.6846	75.2923	95.5908	92.3392	100.9783	99.5144
sub-0009	98.8113	104.1632	97.9256	95.7762	77.2736	89.4752	95.0222	88.6046	101.3864	88.5443	93.7245	88.6394	91.3353	87.1318	87.9536	96.82	96.3721	83.6981	95.3798	92.9742	91.1818	101.2085	96.381	97.8159	95.4513	97.3145	94.521	95.9299	92.0023	98.3314	84.2667	77.2655	99.3651	95.8989	98.0248	102.3926	95.8248	94.9624	77.7173	87.8397	94.493	87.1803	102.8591	89.9409	92.8752	90.2431	93.235	87.252	87.6319	95.3381	95.3708	83.9045	93.9847	92.3949	89.0402	100.7977	92.9416	98.2405	102.6329	94.0499	94.1567	94.4224	89.3198	97.3715	83.4247	73.2712	96.1543	94.227	100.6511	100.9197
sub-0010	97.8406	104.0799	97.4075	94.4411	83.866	91.44	99.1057	92.3881	100.399	93.5168	94.4598	91.5863	93.3463	91.862	90.5324	96.6735	96.6735	87.0868	96.1829	91.3909	94.2516	102.3381	95.8991	99.8947	98.2755	95.9822	95.3983	97.695	95.2529	99.0656	85.2098	79.2272	96.182	93.7095	98.4429	104.8472	96.9433	91.3828	80.4208	89.5161	97.2789	90.6015	101.0282	94.1463	96.4504	89.3506	96.8519	90.6076	88.1587	96.5814	96.3151	87.8117	95.7284	90.1718	92.8454	101.6264	95.4734	98.1029	102.6397	97.1458	95.7949	97.1608	92.0304	98.7093	82.6845	77.2154	96.2402	91.6584	100.8263	100.7067
