Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	BrainSegVolNotVentSurf	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	SupraTentorialVolNotVentVox	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol
sub-0001	9123.6	582.0	11406.0	46698.6	6236.1	4049.2	4767.5	1613.2	1022.8	1441.6	16630.4	3354.0	1326.3	1253.1	554.8	3135.1	77.5	523.1	7351.6	338.0	11704.5	47459.6	5894.9	4253.7	4734.4	1583.1	3849.7	1405.4	499.3	3264.6	21.2	566.1	0.0	953.2	0.0	0.0	0.0	0.0	0.0	168.9	875.9	612.6	451.0	474.1	954.7	1035978.0	1014544.0	1013970.464299	215212.604401	216509.704089	431722.30849	206393.722588	206114.433221	412508.155809	52096.0	579143.30849	917352.464299	899420.464299	896844.0	1327933.0	0.861916	1.104817	12.0	15.0	27.0	1201948.163836
sub-0002	9663.0	283.0	15479.3	58391.9	7645.1	3829.9	5357.7	1875.2	1325.3	1369.9	23171.7	4177.1	1725.7	1132.3	741.6	4351.4	23.3	533.6	9339.1	457.0	14499.1	58213.9	7264.4	4376.6	5362.1	1912.7	4364.1	2054.6	624.2	4507.5	7.7	641.7	0.0	1389.5	0.0	0.0	0.0	0.0	0.0	181.5	1036.7	643.4	564.2	534.4	1007.6	1294048.0	1270074.0	1269914.479755	278383.220757	272846.303642	551229.524399	256178.31114	254962.644217	511140.955357	61775.0	729961.524399	1146516.479755	1126214.479755	1124177.0	1601336.0	0.764482	0.946018	12.0	3.0	15.0	1692712.587
sub-0003	5914.6	638.1	14898.8	63365.7	7419.4	3107.3	4486.0	1787.0	772.8	1196.9	22172.0	3780.1	1428.7	768.4	639.1	4040.7	27.3	397.9	4276.3	765.5	15335.8	64534.3	7413.8	3226.7	4700.5	1635.7	3976.6	1401.5	502.9	3949.0	57.5	463.2	0.0	822.4	0.0	0.0	0.0	0.0	0.0	170.2	907.9	657.2	565.4	624.5	875.2	1198768.0	1184521.0	1184519.570234	243138.335779	241065.407445	484203.743223	247886.328132	240920.498878	488806.827011	55089.0	666343.743223	1041502.570234	1029725.570234	1028008.0	1486426.0	0.904479	1.121519	7.0	8.0	15.0	1325368.010617
sub-0004	5699.1	309.4	14747.8	59323.1	7115.0	3656.4	5267.3	2118.7	535.8	1181.2	20687.2	4044.4	1626.0	802.2	680.7	4119.3	91.9	602.7	5361.3	187.2	14678.5	59572.1	6650.5	3681.4	5357.7	2093.6	3760.6	1532.2	593.5	4001.8	24.5	527.4	0.0	1163.5	0.0	0.0	0.0	0.0	0.0	121.2	869.3	526.4	474.6	488.8	952.1	1134250.0	1119876.0	1119772.814918	245927.785511	244634.989399	490562.77491	213227.45635	211447.583658	424675.040008	57767.0	666421.77491	986806.814918	974690.814918	973108.0	1399947.0	0.847637	1.046196	14.0	9.0	23.0	1338131.287899
sub-0005	5141.9	372.4	15091.6	57191.0	8321.8	3623.7	5436.2	1644.9	1008.1	1960.0	23997.3	4350.1	1333.6	931.9	741.0	4354.8	20.2	587.2	4219.7	557.0	14494.8	56164.0	7478.4	3773.5	5421.3	1648.7	4623.6	1761.1	761.7	4370.1	26.3	618.3	0.0	724.3	0.0	0.0	0.0	0.0	0.0	184.5	906.0	504.9	740.8	683.6	941.4	1240529.0	1225864.0	1225260.167085	275194.487799	274690.763186	549885.250985	236595.744286	236418.171814	473013.9161	60987.0	723713.250985	1096504.167085	1085620.167085	1084371.0	1552057.0	0.784204	0.981137	17.0	12.0	29.0	1581896.5295
sub-0006	3979.0	524.3	12051.4	51248.2	7962.3	3395.2	6113.0	2182.3	1007.8	2752.4	21976.6	3749.2	1346.6	903.9	732.5	4430.0	63.8	538.1	3456.4	464.9	12220.0	51382.0	7167.2	3452.3	6063.3	2071.0	4110.6	1481.2	651.5	4664.1	11.5	552.6	0.0	1123.2	0.0	0.0	0.0	0.0	0.0	194.7	955.9	617.1	692.7	639.2	881.9	1261042.0	1247786.0	1247767.400215	266846.029868	262822.617785	529668.647653	265486.077195	266888.675367	532374.752562	60892.0	692684.647653	1133177.400215	1124328.400215	1122849.0	1593649.0	0.931144	1.176739	15.0	13.0	28.0	1354293.234785
sub-0007	11373.5	523.7	13241.0	54373.4	7711.7	4059.9	5274.5	2105.3	1118.6	2145.2	18946.0	4016.3	1535.6	792.8	587.6	3806.1	52.4	647.0	14051.9	415.9	12678.2	52467.6	7145.6	4211.9	5387.4	1950.7	4206.1	1729.6	722.6	3939.4	40.4	612.7	0.0	1290.9	0.0	0.0	0.0	0.0	0.0	143.7	991.6	559.6	473.5	491.4	805.6	1165805.0	1134965.0	1135209.864964	253949.704674	255195.959494	509145.664168	218347.123269	216934.077526	435281.200795	59814.0	675343.664168	1032711.864964	1005687.864964	1003942.0	1455576.0	0.816707	1.019706	9.0	15.0	24.0	1427446.163529
sub-0008	5790.9	301.3	15494.1	63583.7	7827.2	3975.6	5450.7	1996.5	867.6	2153.7	24060.4	4219.8	1855.7	1018.2	767.2	4548.0	12.8	378.0	4340.8	278.3	14462.0	63017.0	7791.7	3920.7	5518.7	1884.6	4359.4	1737.0	701.3	4499.4	9.8	515.3	0.0	1069.3	0.0	0.0	0.0	0.0	0.0	160.2	860.6	658.0	474.1	514.0	878.0	1286511.0	1271852.0	1271738.447522	283785.650666	284797.224069	568582.874735	243358.92235	242361.650437	485720.572787	62523.0	757102.874735	1129386.447522	1118452.447522	1116819.0	1587936.0	0.777464	0.959621	10.0	13.0	23.0	1654753.210314
sub-0009	8155.1	326.2	12755.0	52615.8	5839.5	3341.6	4205.3	1395.3	898.5	1674.0	17451.6	3776.5	1424.0	929.8	534.7	3350.2	67.6	502.2	7941.5	473.7	10926.4	49858.3	5553.6	3247.1	4349.2	1337.3	3840.0	1413.5	549.2	3357.1	19.8	530.6	0.0	1132.4	0.0	0.0	1.7	0.0	0.0	145.1	731.3	514.2	354.8	349.6	698.3	981845.0	961027.0	960627.655408	217806.378251	216663.509592	434469.887843	175420.517269	177067.250295	352487.767564	48993.0	585103.887843	855248.655408	837711.655408	836301.0	1258822.0	0.898351	1.151774	17.0	18.0	35.0	1092941.805296
sub-0010	4502.3	425.9	12425.8	52477.8	6442.6	4025.8	4716.5	1759.4	671.3	1553.8	19053.8	3865.9	1455.6	787.4	736.9	3760.1	70.6	485.5	3032.9	352.4	11808.4	50437.6	6930.9	3740.4	4808.5	1725.9	3917.6	1389.1	680.9	3596.8	18.9	332.4	0.0	852.3	0.0	0.0	0.0	0.0	0.0	149.0	1093.6	616.8	660.1	698.7	872.3	1007855.0	996538.0	996548.922899	214520.213801	219918.314002	434438.527803	191435.25773	190334.137366	381769.395096	54912.0	591457.527803	880713.922899	872249.922899	871058.0	1265833.0	0.921925	1.157907	10.0	15.0	25.0	1093207.499499
