Measure:mean	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior
sub-0001	20.4759	34.2942	87.1831	54.6337	83.5436	69.4622	73.6278	95.7103	26.4847	22.4487	83.2908	56.2249	54.7446	37.9261	63.719	88.5119	52.6029	47.0202	22.2461	36.782	86.3508	53.6889	82.5909	68.8397	72.7951	93.5427	57.3384	55.6703	64.3346	88.5964	53.2143	47.6978	0.0	69.7336	0.0	0.0	0.0	0.0	0.0	68.2246	102.6687	96.5919	99.4449	102.2183	106.7143
sub-0002	22.2817	39.9	85.8564	58.9127	83.9569	72.4853	79.0729	93.5061	29.5868	27.4383	83.0758	61.4007	59.2572	41.9305	66.2673	87.9034	57.5	47.6737	22.5589	31.3515	85.3923	57.1276	82.6797	70.9052	78.2497	92.7001	58.865	58.9192	67.7689	87.3256	57.0	46.004	0.0	66.2434	0.0	0.0	0.0	0.0	0.0	71.3961	99.0347	91.4831	91.4761	97.9488	101.3681
sub-0003	22.675	34.7572	85.3634	59.5372	81.278	68.1619	74.9906	92.7183	35.8	25.9205	83.7188	58.6796	55.6831	40.4123	62.4862	87.2634	46.3333	47.4887	28.7428	25.3205	84.9798	57.4734	82.3317	67.3043	74.4478	92.535	58.1308	55.902	63.6821	87.819	45.3571	50.8927	0.0	66.3592	0.0	0.0	0.0	0.0	0.0	73.9	98.6965	92.183	94.995	96.2068	101.5365
sub-0004	22.2523	38.3759	82.8338	55.1798	84.6136	71.7929	79.7617	95.8084	34.6769	22.2626	82.8131	60.1694	59.02	35.3658	66.936	89.4641	50.977	49.5409	20.7547	36.4545	82.9384	54.2239	83.2706	71.6552	77.944	93.1626	59.2149	59.621	68.4131	88.7031	50.0	46.7607	0.0	68.1404	0.0	0.0	0.0	0.0	0.0	76.6792	104.039	91.1339	94.905	99.5103	103.1545
sub-0005	24.1612	36.7391	85.6826	57.2252	82.09	68.1718	73.1027	89.9972	28.5327	21.6936	82.8759	58.5987	55.9372	37.4042	62.4291	87.6986	54.8125	54.4073	26.6331	27.976	84.401	54.8429	79.4636	67.9539	73.3004	89.4614	56.3121	55.4497	64.6433	85.7379	49.5	50.7401	0.0	66.5583	0.0	0.0	0.0	0.0	0.0	67.0637	97.8229	90.8636	91.5063	94.7933	103.0623
sub-0006	29.2406	30.8611	87.9451	58.1419	83.715	72.4046	80.5258	97.3298	27.1153	19.9753	82.5402	60.088	57.3316	34.0067	66.5964	87.219	53.4	52.5179	28.7356	29.2659	86.8474	55.5292	81.7602	73.4382	80.4458	97.5881	58.108	56.8509	68.1926	87.152	59.4286	53.3987	0.0	67.3342	0.0	0.0	0.0	0.0	0.0	71.0244	102.277	100.4718	97.1575	97.1289	103.5569
sub-0007	18.6915	34.7024	84.2843	56.7105	82.7715	68.5827	76.2995	96.878	28.454	19.6685	83.3268	59.94	59.0446	36.208	66.6869	88.4953	49.95	48.7153	16.483	35.1263	85.1467	55.8427	81.2482	68.4369	75.8223	96.2224	59.6211	60.1644	67.6341	88.7008	38.8333	46.6443	0.0	65.412	0.0	0.0	0.0	0.0	0.0	73.3548	99.9184	89.0293	94.496	97.7654	99.1453
sub-0008	26.5404	42.7033	86.5264	57.686	85.1751	71.9471	78.1856	95.3288	35.7687	21.3866	84.7662	62.685	58.83	39.8648	64.7106	90.2316	54.0	49.6481	27.5749	33.3401	86.3801	56.5236	83.9014	71.4548	76.8519	93.9729	60.2501	59.4033	65.4959	89.2891	49.75	49.7812	0.0	64.4387	0.0	0.0	0.0	0.0	0.0	67.0593	101.562	92.5596	96.7722	100.7153	102.8045
sub-0009	21.5573	38.7844	85.2963	54.4782	83.3247	69.7309	73.2367	92.9038	31.1014	21.9684	84.2136	58.6612	56.3837	41.6219	64.0163	87.9589	45.0526	46.1452	22.7669	27.1587	86.1758	54.2415	81.9011	69.3987	72.7917	93.3926	56.2518	56.7725	64.9584	88.3676	53.25	46.3828	0.0	68.4546	0.0	0.0	81.0	0.0	0.0	73.6134	102.5286	90.4194	97.3878	100.8583	103.8768
sub-0010	26.2577	35.164	85.4468	56.882	81.9796	69.6555	73.7063	93.2905	33.0967	23.1566	83.4626	59.512	56.7901	38.6736	64.4582	89.2742	48.5273	50.9186	33.9967	34.4414	85.5224	56.0617	83.4482	70.5816	73.4439	94.6244	58.2098	57.2954	64.7393	88.5543	49.1667	50.283	0.0	66.3893	0.0	0.0	0.0	0.0	0.0	70.5041	102.5792	100.451	95.7958	95.7666	105.1887
