csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33
39451.4921875	n/a	1556420235.8203735	n/a	23351.31640625	n/a	545283977.9048004	n/a	23246.744140625	n/a	n/a	540411113.1396828	n/a	n/a	n/a	0.0485286417	-0.0086210416	0.0100990147	-0.032956024300000004	0.011613666399999998	-0.1196223841	0.0319143625	-0.0080115771	0.0467176421	0.13174745289999998	-0.0634731603	0.19289107260000002	-0.019941243	0.0178431888	0.1626405101	-0.190897541	0.10109286519999999	-0.0403884213	0.11201411859999999	-0.1269571202	0.028157722200000002	-0.1217489664	0.0735326662	-0.025246857799999998	0.1006106142	-0.0302139449	0.01794559	0.0521104938	-0.0198995826	0.011265161599999999	-0.1478603036	0.0841914307	-0.011481350900000001	0.07373189320000001	-0.0072114976	0.0779270128	-0.1602805131	0.015438123400000003	-0.1654625043	0.0340754372	-0.1508512264	0.0519262236	-0.0924647976	0.0919400785	-0.0949528517	0.0015461767	0.0376248792	-0.0753515135	0.0584230891	-0.020992835699999997	0.025493281200000002	-0.1562578468	-0.0017699697	-0.0148420206	0.036352404399999996	-0.0860735193	-0.0183234368	0.0474153517	-0.005831280899999999	-0.0028646046999999996	-0.0190744131	0.0320370032	0.0331564198	0.0180105945	-0.076941001	-0.050698198	0.0522183875	0.0568939833	0.0182202619	-0.0162008596	0.0127498201	-0.132459123	0.1525765654	-0.05901983650000001	0.0514367316	-0.0897214116	0.06511718799999999	-0.09557616570000001	0.11911390599999999	-0.0656868669	0.049057660700000005	-0.016250962600000002	0.0423172114	-0.1064176814	0.0650867648	-0.07810355349999999	0.1371931034	-0.0506719479	-0.0066314365	0.1538807642	-0.009937424200000001	0.08463305060000001	-0.12597748720000002	0.0715388396	-0.0045304877	0.1626458152	-0.0515468537	0.08876862320000001	-0.09524523359999999	0.0449688963	-0.06890247719999999	-0.0048101165	0.0539938855	-0.010006474599999999	0.031279475099999995	-0.0281905844	0.0959706645	-0.028806980299999996	0.0723830094	-0.045287056299999996	0.025698302200000002	-0.1767804171	0.0164009957	-0.047381804900000005	0.0726349342	-0.104013421	0.1626019993	-0.0863414228	0.1271087458	-0.011237134499999999	0.0531852867	-0.0394798962	-0.0049043244	0.0228695103	-0.0124461402	-0.0230392015	0.070794355	-0.0380694523	-0.0390301073	0.051082198499999995	-0.1632683708	0.054693588499999994	0.0032322958000000003	-0.046994489900000005	-0.0031595221	0.0055978638	0.0420346178	0.10115930199999999	-0.0373970767	-0.0106665557	0.0656455929	0.0231843528	0.0555095668	-0.10818100720000001	0.0495980692	0.039224946000000004	0.0133627692	0.0699233836	-0.0110291007	0.0903489333	0.0903433624	0.09033407789999999	0.09032108009999999	0.0903043695	0.0902839469	0.0218365	n/a	0.0004768327322500001	n/a	-0.00373099	n/a	n/a	1.39202863801e-05	-0.0193757	n/a	0.00037541775049	n/a	-0.00157364	n/a	2.4763428496000003e-06	n/a	0.000228274	n/a	5.210901907600001e-08	n/a	0.00220946	n/a	n/a	4.8817134915999984e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39286.76171875	-164.73046875	1543449646.3458405	27136.127334594727	23369.716796875	18.400390625	546143663.1661415	338.5743751525879	23270.01171875	23.267578125	541.3801918029785	541493445.3907623	1.300194	20.218443	0.07454096	0.0515639947	0.0314652115	0.0790125631	-0.0177388559	0.0621440724	0.0162860248	0.058959167699999995	-0.1344754456	0.032769326200000004	-0.06063073190000001	-0.045025059900000004	0.006770035400000001	-0.0395229888	0.0024584811	-0.0074095143	-0.0602613216	0.12199261199999999	-0.0162992375	0.0307989398	-0.0812421206	0.0331942047	0.0603136267	-0.10747280810000001	0.0365465337	0.060418035999999994	0.048700900400000004	0.1478353264	-0.033285498999999996	0.0319828178	-0.14537008880000002	-0.0594133224	0.0687393773	0.020384885800000002	0.016720501999999998	0.036544857400000005	-0.1067858516	-0.122748921	-0.0051378295	0.0230738743	0.0555817236	-0.0775741531	0.0179792456	-0.050424072800000004	0.0018463627999999999	-0.0893014794	-0.1219017694	-0.1369277106	0.0186266595	0.1285177555	0.0475026419	-0.0157989667	0.019860793600000003	-0.07714653	0.0335349308	-0.0225019925	0.0048602741999999996	0.0653204049	0.0742078604	-0.08156391360000001	0.0623830508	-0.0124261789	-0.012555503300000001	-0.0003383634	0.1155621084	-0.0893773475	-0.1347872589	0.0411818485	-0.042231864800000005	0.0327873127	0.0883097916	0.07024269400000001	0.011173487900000001	0.0021515875	0.0778242311	-0.049219859299999995	-0.0151382416	0.0063787842	0.0090390968	0.0789615764	-0.025032826499999997	-0.0055348831000000005	0.0739953321	0.0997892132	-0.0321247881	0.1146869327	-0.0759980805	0.0516687195	0.09005751960000001	-0.0280042687	-0.0375393983	-0.069404647	-0.0920503916	0.026679993500000002	0.1356131581	-0.050780090599999994	-0.0727619396	-0.08396338539999999	0.0036519064	-0.0146944822	-0.0577060856	-0.042629491299999996	-0.1494063716	0.0409254921	-0.0165505629	0.10401776880000001	-0.0616039776	-0.1106314475	-0.00023247150000000005	-0.0262740308	-0.0608588983	0.0824079761	-0.034576108599999995	-0.0308118267	-0.002492453	-0.08217875	0.0702351128	0.0588553359	-0.008844694	0.062142872099999996	0.05198833889999999	0.1172564059	0.0405890302	-0.026843161400000003	0.0291877734	-0.0081608589	-0.0616049567	0.090938515	0.0505299945	0.0001566968	0.030244764700000006	-0.0208833485	-0.0243867311	0.030621867400000002	0.0018919381	-0.087257974	0.0284915591	-0.0936874048	0.0419892759	0.0094654598	-0.09530769730000001	-0.016583126	0.0158519771	-0.049918408899999996	-0.060355888899999995	0.0913672365	-0.0397962609	0.09661337619999999	0.0304756939	0.0378058224	0.09033407789999999	0.0902839469	0.0902004158	0.09008351560000001	0.0899332895	0.08974979300000001	0.017874399999999995	-0.0039621000000000075	0.0003194941753599998	1.5698236410000054e-05	-0.0115235	-0.007792510000000002	6.072321210010001e-05	0.00013279105225	-0.035727499999999995	-0.016351799999999996	0.0012764542562499995	0.0002673813632399999	-0.00104714	0.0005265000000000001	1.0965021796e-06	2.772022500000001e-07	0.000146303	-8.197100000000002e-05	2.1404567809e-08	6.719244841000003e-09	0.00188924	-0.00032022	1.0254084839999998e-07	3.5692277776e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39339.78125	53.01953125	1547618388.7978516	2811.0706939697266	23388.04296875	18.326171875	547000553.9080963	335.848575592041	23298.2890625	28.27734375	799.6081695556641	542810273.2398071	1.3829360000000002	21.505112	0.06750127	-0.0908694124	-0.0430140383	0.0711962067	-0.0817375383	-0.0774290683	0.0370205502	0.0654710797	0.0026684227000000004	-0.072603504	0.08870609689999999	-0.0078640563	0.1395887036	-0.0217951607	0.0073383042	0.0360486929	-0.0429305041	0.0441789675	-0.0239252534	0.0392959524	-0.0303219469	0.0496191075	-0.0028987086	0.0091067873	0.0018629035000000001	-0.0450027218	0.09669815710000004	0.0616529882	0.0852343642	0.022421720299999996	-0.1069980077	0.0702347535	-0.023019335099999996	-0.0063861039000000005	0.0188617318	-0.045012812699999995	-0.0012185022	0.0371452018	-0.10052086519999999	-0.0179342376	0.0446794696	-0.0595207325	0.0304522273	-0.05179214099999999	-0.1356031467	0.0016426865	-0.0026132968	0.040132745299999995	0.00656668	-0.010595708700000001	0.0540132852	-0.0831092639	0.0578524965	-0.0452404619	0.0104525837	-0.0660398132	0.14088959310000002	0.0176916758	0.061819570199999986	0.0396715926	0.0551047854	0.0014152171	-0.024534509700000002	0.0352935406	-0.0629113377	0.15400821480000002	0.11152043689999999	-0.0581712844	-0.1281297504	-0.11312256679999999	0.006216526700000001	0.052955617999999996	-0.12433344269999999	-0.0057607698	-0.051645549000000006	0.047243765300000004	-0.06116598650000001	-0.028357849900000006	0.0446250184	0.0988825348	0.0080091888	0.11185574109999999	0.0151589576	0.0003607456	0.0718201226	-0.03162622	-0.0375455813	0.09027510400000001	-0.0050296727000000005	0.0367482533	0.1271858525	0.0160229772	-0.021620618799999998	-0.0416845137	0.0004926685	-0.0174276493	0.044667476399999996	0.0350557572	-0.0222864789	-0.05648220690000001	0.0669334807	0.0048665475	-0.1106473187	0.0039508584999999995	0.034428673	-0.0112081705	-0.0960426607	-0.0802156564	0.0468458954	0.0406221222	-0.0744599375	-0.048122308200000005	0.0201796075	-0.0457823053	-0.0347479536	0.0191020349	0.0937214038	0.0317880211	0.0789266156	0.028903199900000006	-0.036095660099999996	0.010981443300000001	-0.0502922185	-0.0088627689	-0.0339140777	-0.0658891933	-0.0219563916	0.0299839007	-0.051604984699999995	0.1190621971	-0.0537417983	0.1600679787	0.0453462658	0.0074725157	0.0197588698	0.042111414900000005	-0.049456940199999994	-0.0372849306	-0.1489404529	0.0414345189	0.059739047300000014	0.098931578	-0.1214898215	0.1576050903	0.11801761109999999	0.0073204809999999985	-0.0078813259	0.0157723011	0.0810956474	0.044389073700000004	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.0891926543	0.0886846456	0.0195839	0.0017095000000000062	0.0003835291392100001	2.9223902500000213e-06	0.00864702	0.02017052	0.0004068498770704	7.47709548804e-05	-0.021053400000000003	0.01467409999999999	0.0004432456515600001	0.00021532921080999974	-0.00136474	-0.00031759999999999986	1.8625152676e-06	1.0086975999999994e-07	-0.0	-0.000146303	0.0	2.1404567809e-08	0.0017342	-0.00015503999999999995	2.4037401599999985e-08	3.0074496400000003e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39317.32421875	-22.45703125	1545851983.7223053	504.31825256347656	23347.576171875	-40.466796875	545109313.1015053	1637.5616493225098	23260.021484375	-38.267578125	1464.4075355529785	541028599.4535866	1.323932	20.587587	0.052915349999999986	0.042314239299999994	-0.10648500300000001	-0.0818123771	0.0533492859	-0.049399571100000005	-0.1130403654	-0.0736906351	0.0269657153	0.005366385699999999	-0.051576890800000004	-0.0054718486	-0.04629824900000002	-0.0278064196	0.0610160622	0.025494230899999998	0.0708742426	-0.013877990900000001	-0.0213931252	-0.0823212175	-0.1402438835	0.0212899144	-0.0040744004	0.0167831798	0.0755599699	0.05678971190000001	-0.0334190167	0.0758976441	0.014730106599999999	0.0830985367	-0.1297329724	-0.0037111266999999997	-0.0235375381	0.042901302999999995	-0.0222803591	0.0264955809	-0.024355725	-0.1158087121	-0.1419343965	0.0216385743	0.0944980867	0.0149809288	0.0074921000000000015	0.0163449437	-0.0483362356	-0.0792123505	-0.0400596279	0.111865243	-0.0460478738	0.1336119432	0.037292785499999995	0.0334343664	-0.049836983200000004	-0.06401501429999999	0.007910921500000001	0.0220776421	0.0116325198	-0.0536570635	-0.0043433388	-0.012927929	0.0346453423	-0.014830775800000001	0.0426887034	-0.0155466746	0.0163572627	0.0366614984	-0.0092739808	-0.11815976199999999	0.07051409639999999	0.041283929	-0.12540678060000002	-0.0505281925	0.017921368400000002	-0.0019370882999999999	0.0672064457	-0.0468139856	-0.004879364000000001	0.0960665364	0.012576050900000002	-0.0150453777	-0.0122669084	0.0064610668999999996	-0.023048782900000002	-0.0201059505	-0.12357926529999999	-0.0910501709	-0.0369282402	-0.036703878599999996	0.0232034088	0.0275869083	0.0463189099	0.012962589699999999	-0.0702658902	0.0103663623	0.08379710580000001	0.1307131768	-0.0321621505	-0.0931737039	-0.025102326499999997	0.0757441225	0.0570587822	-0.0553285108	-0.063372208	0.002615426	0.0439199633	0.0943424709	-0.0175767678	-0.016995946499999998	-0.061183429000000004	-0.038474825	-0.022799958999999998	0.1625787949	0.11052917550000001	-0.0003594243	-0.0482098329	-0.0076858589	-0.05523630349999999	0.139438091	-0.0047711878999999995	0.07065788099999999	-0.1337754803	-0.0708620771	0.0138962852	0.0402948828	-0.0480494912	-0.0457037703	-0.0754523617	0.0688221725	0.0404125211	-0.0486557516	0.0398136714	-0.0795805596	0.025081596299999998	0.0472118191	0.0127064924	-0.0199159394	0.0987556684	-0.0148443185	-0.0754965798	0.0211387883	-0.0277625694	-0.0078988037	-0.049237565700000006	0.021316846	-0.0379187975	0.0060860176	-0.012216873999999999	0.0018101505	0.0365415223	-0.0590688482	0.0902598131	0.08998706460000001	0.0895330941	0.0888988159	0.0880855073	0.08709480630000001	0.0196786	9.469999999999618e-05	0.00038724729795999984	8.968089999999276e-09	-0.00281863	-0.01146565	0.0001314611299225	7.944675076899999e-06	-0.025092	-0.004038599999999996	0.000629608464	1.6310289959999968e-05	-0.000839392	0.0005253479999999999	7.04578929664e-07	2.7599052110399993e-07	-0.0	0.0	0.0	0.0	0.00151322	-0.00022098	4.883216039999998e-08	2.2898347684e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39306.8125	-10.51171875	1545025508.9101562	110.49623107910156	23302.03125	-45.544921875	542984660.3759767	2074.339908599853	23216.416015625	-43.60546875	1901.4369049072266	539001972.610569	1.254319	19.505083	0.06949842000000002	0.1410864568	0.0509302471	0.026162106	0.054245538499999996	0.1280345427	-0.1034866265	0.0059712388	-0.0826543054	0.0451551043	-0.0624271197	0.0371095043	0.0188980099	-0.056917271100000014	0.17004071399999998	-0.044983040499999995	-0.0077573022	-0.030901252	0.1031932679	-0.0138274773	-0.064835685	-0.0023113869	-0.0311631442	0.025379736400000002	0.10921581539999999	0.0359807515	-0.1001343657	0.00011748430000000001	-0.10659422439999999	0.029898055	-0.120348662	0.11215478050000001	-0.0502408286	0.0511100677	-0.0070382479	-0.0202352082	-0.0467556799	0.1781900079	0.014618886599999999	-0.0184146482	-0.1166505575	-0.0164934612	-0.041382052200000005	-0.0443481229	0.1208114828	0.0214997844	0.0685291552	-0.0251089494	0.036950209500000004	0.0897550667	-0.0283120273	-0.0528365559	0.1315252747	-0.128654243	0.0859901818	-0.00030405950000000003	-0.0346320872	-0.061314468899999995	0.0299393324	-0.0448073729	-0.0035935592999999997	0.0648046308	-0.06555416139999999	0.0316976984	-0.0318350925	0.0243905635	0.09481808779999999	0.0160318569	-0.048199184000000006	0.1421932539	0.037125787599999995	0.046607137400000005	0.0402459918	0.054622074900000005	0.0838578807	-0.0204813545	0.022295258999999998	-0.0316449125	0.0086147312	-0.049459990999999995	-0.0694594284	-0.10336128060000001	-0.0161825076	0.1440922468	-0.09610775390000001	-0.027990271400000002	-0.10425296560000001	-0.0186437398	0.0394298191	-0.1145584808	0.0968962138	-0.029101164900000007	-0.030921063199999998	-0.0479675709	0.0119571651	0.0088640063	-0.0126695748	-0.0709653054	-0.08697472619999999	0.1848261088	0.0594860114	0.05390489019999999	-0.051705384400000005	0.0172921128	0.0164695313	-1.185e-05	0.0393846024	-0.09403326529999999	-0.0037674428999999996	-0.0669796939	0.0686703806	-0.04667562	0.043923756200000004	0.053609456500000006	0.029304762	0.1071517909	-0.0319656708	-0.1817684866	0.00022395369999999998	-0.014198973	0.11143134539999999	0.0093921348	0.028537704700000006	-0.0242143684	0.0174973251	0.0938519205	-0.008371024	-0.0139162878	0.037728887200000005	-0.004369149	0.0930398792	-0.0364039799	-0.06779863280000001	0.0331900116	0.0087067221	0.09046247019999999	-0.0729503817	0.11181359800000001	-0.0276410019	0.0296346133	0.0587559712	0.0236640517	-0.0335993882	0.0884602142	0.0477528596	-0.044651284699999995	0.04594882980000002	-0.0028495807000000002	0.0521867004	-0.1202244965	0.0902004158	0.08974979300000001	0.08900042179999999	0.0879547967	0.0866163981	0.08498968130000001	0.0156146	-0.004063999999999997	0.00024381573316000006	1.6516095999999968e-05	-0.0526975	-0.04987887	0.0024879016724769	0.00277702650625	-0.0252112	-0.00011919999999999985	0.0006356046054400001	1.4208639999999968e-08	-0.000696692	0.00014270000000000005	4.853797428639999e-07	2.036329000000001e-08	0.00016601700000000002	0.00016601700000000002	2.756164428900001e-08	2.756164428900001e-08	0.00151321	-9.999999999940612e-09	9.999999999881223e-17	2.2898045041e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39079.66015625	-227.15234375	1527219837.9279938	51598.187271118164	23292.810546875	-9.220703125	542555023.1726112	85.02136611938477	23163.529296875	-52.88671875	2797.0050201416016	536549089.4871864	1.366768	21.253693	0.10036844999999996	-0.0823066119	0.09961106970000001	0.0237573002	-0.1180712049	0.0734235141	0.005616232099999999	-0.0337823862	-0.048840517400000005	-0.062321751900000014	0.012017014199999999	0.021216185699999997	0.0954928091	-0.0855618355	0.0601769837	-0.0242482192	0.0727474907	-0.1025966644	0.0717483732	-0.0533819462	0.043643986600000004	-0.023449319700000002	-0.05243726519999999	0.0561696958	0.0666726371	-0.0664426013	-0.047407807	-0.0505630813	0.0442107275	-0.0143506099	0.021136151800000003	-0.11419778550000001	0.0330567851	0.0092520369	-0.0772428838	-0.00025772560000000003	0.019452049	-0.0161336082	-0.0008002763	0.0121870458	0.008962307099999999	-0.08547883560000001	-0.0835907201	-0.0164079999	-0.0831055565	0.0809236501	-0.1022258716	-0.0810019798	-0.0725414608	0.024434047900000002	-0.0204093402	-0.011489183	-0.0259448354	0.055436128200000004	-0.0655465128	0.0247959302	0.1004788108	0.0102189173	-0.0647728363	0.0654790064	-0.04812568	0.134861685	-0.0581742979	-0.09428391650000001	-0.0588377437	0.0186784489	-0.0112095095	0.0522555715	-0.0076536679	-0.0773144365	0.09348537609999999	-0.0497354694	-0.0198286473	0.0395085727	0.0271316125	-0.0316150346	0.0519166726	-0.1004268506	-0.08183837440000001	-0.024810578399999998	-0.1205357611	-0.046105645300000005	0.059250079299999994	0.037676298500000004	0.0727128479	-0.056858740199999994	-0.0347021711	0.0344506518	-0.0667189683	0.0630174637	0.11329844929999999	0.0684573354	0.0006067093	0.07977758759999999	-0.052202272300000005	-0.0393468675	0.020359842	0.027429955099999997	-0.005375736999999999	0.09227697900000001	-0.0171932734	-0.057235145099999996	-0.025558687599999998	-0.014604176699999999	-0.0147217157	-0.0101931037	-0.0014580394	0.0619126535	-0.0778712627	0.048989499400000004	0.0484765389	0.0539437905	-0.0598735857	-0.014029721299999999	0.038968625	-0.0658126292	-0.00765439	0.0750330934	0.0642565805	0.0947626991	0.0787470367	0.0227622679	0.0782332952	-0.0036508609000000004	0.1057184664	-0.055997523099999995	-0.037323100899999996	-0.0534957801	-0.0252026412	0.0033164937	-0.1254989637	0.055656721900000004	-0.0349343934	-0.045018076799999994	-0.00242873	-0.0380428117	-0.1456182852	0.009210163	-0.0410852053	-0.0201893763	0.0452554621	-0.0875144695	0.1403843574	0.0180935473	-0.06848410769999999	-0.09117773539999999	0.021902564300000003	-0.1001209982	0.0046398116	0.018355598	0.0901261876	0.0894534963	0.0883360609	0.08677943689999999	0.08479136359999999	0.0823817253	0.018276	0.0026613999999999995	0.000334012176	7.083049959999997e-06	0.0231116	0.0758091	0.0057470196428100005	0.00053414605456	-0.0186715	0.006539699999999999	0.00034862491225	4.276767608999999e-05	-0.000555544	0.0001411479999999999	3.086291359360001e-07	1.9922757903999974e-08	-0.0	-0.00016601700000000002	0.0	2.756164428900001e-08	0.00151321	0.0	0.0	2.2898045041e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39100.10546875	20.4453125	1528818247.6673734	418.01080322265625	23331.48046875	38.669921875	544357980.8636627	1495.3628578186035	23191.763671875	28.234375	797.179931640625	537857902.212101	1.502887	23.370398	0.115692285	-0.1066902923	0.0392094202	-0.0534997687	-0.101272578	-0.0021912360999999997	-0.0201231104	-0.08894668550000001	0.0178418175	0.0272954009	-0.08982044060000001	-0.0380845702	-0.0328978148	-0.0217158157	-0.040780376	-0.0404398578	0.0653956423	-0.0222790696	-0.0446664334	-0.1019813366	0.0064263636	0.0613777646	-0.0764659575	0.0020125384	0.0367312823	-0.0196532254	-0.0130741944	-0.0195310613	0.1520925619	0.027552111400000003	-0.016216681	0.0056298112	0.0107108597	0.0892237589	0.0483331951	-0.031656378900000004	0.002123181	0.0383974442	-0.1171741057	-0.0315260346	-0.0631826665	0.0396510135	-0.032651042400000004	0.0169043034	0.0472943146	0.0277374404	0.0949279673	0.06607295839999999	-0.0128613346	-0.0701405469	-0.0349066431	0.040589352999999995	0.0025927618	-0.0448622117	0.027124222400000002	0.0812810161	-0.0081293425	0.1442149922	-0.0226202761	0.0253248021	0.0429062237	-0.011685138000000001	-0.060679808200000004	-0.08959768189999999	0.0817219841	-0.019450954	0.0595900709	0.0600980548	-0.025779833	-0.08613605099999999	0.0135155772	-0.0698586546	0.12193899849999999	0.0409459127	0.0631396752	-0.0195470741	0.0092405083	0.0444336526	-0.0105733524	-0.0325857972	-0.11077354060000001	0.007376867	0.0180252899	-0.0643988354	-0.012423164799999999	-0.0469992148	-0.0197416607	-0.014158335900000001	-0.0100375247	0.0687732668	-0.0574856304	0.0567831707	-0.0753594816	-0.042881778499999995	-0.128094255	0.0577621512	0.05940519320000001	-0.0176681351	-0.0257236713	0.0165014015	-0.042201323	0.014379263100000001	-0.071393082	0.026870366899999998	0.0020911369	-0.0674400272	-0.014934440600000001	0.0620848767	0.0528706019	0.0186059529	0.050342480099999996	0.039043113399999996	0.08643541769999999	0.0553928175	-0.1213756524	-0.0318410768	-0.0931127507	-0.08052425	0.010852392800000001	0.052271032	0.032501006400000004	-0.004266232	0.0338519599	0.0198708953	-0.0684608761	0.0287436846	0.0014592106	-0.0851177142	-0.017293636299999998	0.0646608976	-0.0045061827	0.0480544949	-0.0009390466999999999	0.023102234300000003	0.0441762819	-0.16414152029999998	0.0801936039	0.1170347305	0.09058697619999999	0.0366743907	0.0239621267	-0.0238707131	-0.0576686811	-0.0666765395	0.1250525189	-0.0645714827	-0.0489261782	0.0415616091	-0.0994585727	0.06732459219999999	0.09003714060000001	0.0890983693	0.0875409941	0.08537582789999999	0.0826179031	0.079286368	0.016196799999999997	-0.0020792000000000037	0.0002623363302399999	4.3230726400000136e-06	-0.0467751	-0.0698867	0.00488415083689	0.0021879099800100003	-0.0275127	-0.0088412	0.0007569486612900001	7.816681743999999e-05	-0.000148506	0.00040703800000000014	2.2054032036000002e-08	1.6567993344400007e-07	-7.12057e-05	-7.12057e-05	5.070251712490001e-09	5.070251712490001e-09	0.00129375	-0.0002194600000000001	4.816269160000004e-08	1.6737890625e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
