onset	duration	trial_type	img_gender	word_gender	response_time	response_hand	response_accuracy
1.0228	0.5	congruent	male	male	n/a	n/a	miss
7.5393	0.5	congruent	female	female	n/a	n/a	miss
12.0559	0.5	congruent	female	female	0.6498	right	correct
16.5725	0.5	congruent	male	male	0.4671	left	correct
22.089	0.5	incongruent	female	male	0.5154	right	correct
27.1056	0.5	congruent	female	female	0.4427	right	correct
32.1222	0.5	congruent	male	male	0.405	left	correct
36.6388	0.5	congruent	female	female	0.4403	right	correct
42.1553	0.5	incongruent	female	male	0.4746	right	correct
47.1719	0.5	congruent	female	female	0.4139	right	correct
51.6885	0.5	congruent	female	female	0.3541	right	correct
56.205	0.5	congruent	male	male	0.3505	left	correct
61.2216	0.5	congruent	male	male	0.3168	right	incorrect
65.7382	0.5	incongruent	female	male	0.6191	left	incorrect
71.7547	0.5	congruent	female	female	0.6564	right	correct
78.2713	0.5	congruent	female	female	0.6307	right	correct
82.7879	0.5	congruent	male	male	0.6109	left	correct
88.3044	0.5	incongruent	male	female	0.6033	left	correct
94.321	0.5	congruent	female	female	0.4566	right	correct
98.8375	0.5	congruent	male	male	0.4549	left	correct
103.3541	0.5	congruent	female	female	0.4732	right	correct
107.8707	0.5	incongruent	female	male	0.5625	right	correct
113.8872	0.5	congruent	male	male	0.4098	left	correct
118.4038	0.5	congruent	female	female	0.3721	right	correct
122.9204	0.5	incongruent	male	female	0.4614	left	correct
128.437	0.5	incongruent	male	female	0.4566	right	incorrect
133.4535	0.5	congruent	male	male	0.872	left	correct
138.4701	0.5	congruent	female	female	0.5523	right	correct
143.4867	0.5	congruent	female	female	0.5305	right	correct
148.0033	0.5	incongruent	male	female	0.5128	left	correct
154.5198	0.5	incongruent	female	male	1.0802	right	correct
159.5364	0.5	incongruent	male	female	0.5554	left	correct
165.0529	0.5	congruent	male	male	0.6438	left	correct
171.5695	0.5	incongruent	male	female	0.473	left	correct
176.08599999999996	0.5	incongruent	female	male	0.5514	left	incorrect
180.6026	0.5	incongruent	male	female	0.5487	left	correct
185.1192	0.5	incongruent	female	male	0.65	right	correct
189.6358	0.5	congruent	male	male	0.6342	left	correct
194.6523	0.5	congruent	male	male	0.6996	left	correct
199.1689	0.5	congruent	female	female	0.4379	right	correct
203.6855	0.5	congruent	male	male	0.8551	left	correct
209.2021	0.5	congruent	female	female	0.8334	right	correct
213.7186	0.5	congruent	male	male	0.5338	left	correct
218.2352	0.5	incongruent	male	female	0.9781	left	correct
224.7518	0.5	incongruent	male	female	0.5853	left	correct
229.2683	0.5	incongruent	female	male	0.5597	right	correct
235.2849	0.5	incongruent	male	female	0.3459	left	correct
240.3015	0.5	incongruent	female	male	0.4272	right	correct
245.318	0.5	incongruent	female	male	0.4276	left	incorrect
249.8346	0.5	incongruent	female	male	1.4218	right	correct
254.8512	0.5	incongruent	female	male	1.0461	right	correct
259.3678	0.5	incongruent	female	male	0.6324	right	correct
263.8843	0.5	congruent	female	female	0.7588	right	correct
268.9009	0.5	incongruent	male	female	0.4771	left	correct
273.9175	0.5	congruent	female	female	0.4813	right	correct
278.4341	0.5	incongruent	female	male	0.4916	right	correct
282.9506	0.5	incongruent	female	male	0.8640000000000001	right	correct
287.9672	0.5	congruent	female	female	0.6472	right	correct
292.4838	0.5	incongruent	male	female	0.6995	left	correct
297.0004	0.5	incongruent	female	male	1.2248	right	correct
301.5169	0.5	congruent	male	male	0.6112	left	correct
306.0335	0.5	incongruent	female	male	1.3425	right	correct
310.5501	0.5	incongruent	female	male	0.7228	right	correct
315.5667	0.5	congruent	male	male	0.5820000000000001	left	correct
320.0832	0.5	incongruent	male	female	0.5814	right	incorrect
324.5998	0.5	incongruent	female	male	1.0097	left	incorrect
329.1164	0.5	congruent	female	female	1.1519	right	correct
334.1330000000001	0.5	incongruent	male	female	0.4753	left	correct
339.1495	0.5	congruent	male	male	0.7336	left	correct
344.1661	0.5	congruent	male	male	0.5659	left	correct
348.6827	0.5	congruent	female	female	0.6422	left	incorrect
353.1993	0.5	congruent	male	male	0.4564	right	incorrect
359.2158	0.5	incongruent	male	female	1.0827	left	correct
363.7324	0.5	incongruent	female	male	0.9841	right	correct
369.2489	0.5	incongruent	female	male	1.0814	right	correct
375.2655	0.5	incongruent	female	male	1.0516	right	correct
379.7821	0.5	congruent	female	female	0.5229	right	correct
384.2987	0.5	incongruent	male	female	0.6342	left	correct
389.3152	0.5	incongruent	female	male	0.9886	right	correct
394.8318	0.5	incongruent	male	female	0.6408	left	correct
399.8484	0.5	incongruent	male	female	1.0151	right	incorrect
404.8649	0.5	congruent	male	male	0.7665	left	correct
409.3815	0.5	incongruent	male	female	1.2597	left	correct
413.8981	0.5	congruent	male	male	0.765	left	correct
419.4146	0.5	congruent	male	male	0.7094	left	correct
423.9312	0.5	congruent	female	female	0.9227	right	correct
428.9478	0.5	congruent	female	female	0.9649	right	correct
433.9644	0.5	incongruent	male	female	0.6572	left	correct
438.4809	0.5	incongruent	male	female	0.9456	left	correct
442.9975	0.5	incongruent	male	female	1.1928	left	correct
448.5141	0.5	congruent	male	male	1.4591	left	correct
453.0307	0.5	congruent	female	female	0.7534	right	correct
458.5472	0.5	incongruent	female	male	1.2378	left	incorrect
464.0638	0.5	incongruent	male	female	1.039	left	correct
468.5803	0.5	incongruent	male	female	0.9514	left	correct
475.0969	0.5	congruent	male	male	0.7436	left	correct
