onset	duration	trial_type	img_gender	word_gender	response_time	response_hand	response_accuracy
1.0249	0.5	congruent	female	female	0.688	right	correct
5.5414	0.5	congruent	female	female	0.7074	right	correct
10.058	0.5	incongruent	female	male	0.5977	right	correct
15.0746	0.5	congruent	male	male	0.569	left	correct
20.0912	0.5	incongruent	female	male	0.4372	right	correct
24.6077	0.5	incongruent	female	male	0.5366	right	correct
29.1243	0.5	congruent	male	male	0.5839	left	correct
33.6409	0.5	incongruent	male	female	0.4161	left	correct
40.1574	0.5	incongruent	male	female	0.5885	left	correct
44.674	0.5	incongruent	male	female	0.4528	left	correct
49.1906	0.5	congruent	female	female	0.5751	right	correct
53.7071	0.5	incongruent	female	male	0.5244	right	correct
58.2237	0.5	congruent	male	male	0.5817	left	correct
62.7403	0.5	incongruent	female	male	0.458	right	correct
68.2569	0.5	incongruent	female	male	0.3642	left	incorrect
73.7734	0.5	congruent	female	female	0.4756	right	correct
79.29	0.5	incongruent	female	male	0.5549	right	correct
84.3065	0.5	incongruent	male	female	0.6872	left	correct
88.8231	0.5	incongruent	male	female	0.7675	left	correct
93.3397	0.5	congruent	female	female	0.5078	right	correct
98.3562	0.5	incongruent	male	female	0.5972	left	correct
103.3728	0.5	incongruent	male	female	0.4764	left	correct
109.3894	0.5	congruent	female	female	0.7516	right	correct
113.9059	0.5	incongruent	female	male	0.568	right	correct
118.4225	0.5	incongruent	male	female	0.5744	left	correct
122.9391	0.5	congruent	female	female	0.7016	right	correct
127.4557	0.5	incongruent	male	female	0.6919	left	correct
131.9722	0.5	congruent	female	female	0.5283	right	correct
136.9888	0.5	incongruent	male	female	0.5026	left	correct
142.0054	0.5	congruent	male	male	0.5118	left	correct
147.0219	0.5	incongruent	male	female	0.4962	left	correct
151.5385	0.5	congruent	male	male	0.5344	left	correct
156.5551	0.5	incongruent	male	female	0.4347	left	correct
161.0716	0.5	incongruent	male	female	0.4761	left	correct
165.5882	0.5	incongruent	female	male	0.6744	right	correct
170.1048	0.5	incongruent	male	female	0.5237	left	correct
174.6214	0.5	congruent	female	female	0.494	right	correct
179.1379	0.5	congruent	male	male	0.4553	left	correct
183.6545	0.5	incongruent	female	male	0.5606	right	correct
188.1711	0.5	incongruent	female	male	0.6689	right	correct
192.6877	0.5	incongruent	male	female	0.5112	left	correct
197.2042	0.5	congruent	male	male	0.5496	left	correct
203.2208	0.5	incongruent	female	male	0.5248	right	correct
209.2373	0.5	congruent	male	male	0.5391	left	correct
214.7539	0.5	congruent	male	male	0.7034	left	correct
219.2705	0.5	congruent	male	male	0.6657	left	correct
223.787	0.5	congruent	male	male	0.5281	left	correct
228.3036	0.5	incongruent	female	male	0.4833	right	correct
232.8202	0.5	incongruent	female	male	0.5676	right	correct
237.3368	0.5	incongruent	male	female	0.7169	left	correct
242.8533	0.5	congruent	female	female	0.7793	right	correct
248.3699	0.5	congruent	female	female	0.6095	right	correct
253.8864	0.5	incongruent	male	female	0.5709	left	correct
258.903	0.5	incongruent	female	male	0.9771	right	correct
263.4196	0.5	congruent	male	male	0.4804	left	correct
269.9361	0.5	congruent	male	male	0.7767	left	correct
274.4527	0.5	incongruent	female	male	0.775	right	correct
279.9692	0.5	incongruent	male	female	0.6564	left	correct
286.4858	0.5	congruent	female	female	0.6136	right	correct
291.0023	0.5	congruent	female	female	0.589	right	correct
295.5189	0.5	congruent	female	female	0.7212	right	correct
300.0355	0.5	congruent	female	female	0.4616	right	correct
305.0521	0.5	congruent	male	male	0.6828	left	correct
310.5686	0.5	congruent	male	male	0.7802	left	correct
317.0852	0.5	congruent	female	female	0.5474	right	correct
322.1017	0.5	congruent	male	male	0.6268	left	correct
328.6183	0.5	congruent	male	male	0.777	left	correct
333.6348	0.5	incongruent	female	male	0.5744	right	correct
338.1514	0.5	incongruent	female	male	0.5417	right	correct
343.168	0.5	incongruent	male	female	0.7399	left	correct
349.1845	0.5	incongruent	female	male	0.5413	right	correct
354.2011	0.5	congruent	male	male	0.4465	left	correct
358.7176	0.5	incongruent	male	female	0.5309	left	correct
364.7342	0.5	congruent	male	male	0.4822	left	correct
370.2507	0.5	congruent	male	male	0.5125	left	correct
375.2673	0.5	incongruent	male	female	0.8358	left	correct
380.2839	0.5	congruent	male	male	0.5479999999999999	left	correct
386.8004	0.5	congruent	female	female	0.6934	right	correct
391.817	0.5	incongruent	male	female	0.5916	left	correct
396.8335	0.5	congruent	female	female	0.639	right	correct
401.8501	0.5	congruent	male	male	0.5073	left	correct
406.3667	0.5	congruent	male	male	0.6336	left	correct
410.8833	0.5	congruent	female	female	0.5998	right	correct
415.8998	0.5	congruent	female	female	0.6162	right	correct
420.4164	0.5	incongruent	female	male	0.5685	right	correct
424.93300000000005	0.5	congruent	female	female	0.3878	right	correct
430.4495	0.5	incongruent	female	male	0.7691	left	incorrect
434.9661	0.5	congruent	female	female	0.4804	right	correct
439.4827	0.5	incongruent	female	male	0.5037	right	correct
444.4992	0.5	congruent	female	female	0.5631	right	correct
449.5158	0.5	congruent	female	female	0.5563	right	correct
454.0324	0.5	incongruent	female	male	0.4516	right	correct
460.0489	0.5	incongruent	female	male	0.8809	right	correct
465.0655	0.5	incongruent	male	female	0.6742	left	correct
469.5821	0.5	congruent	male	male	0.5275	left	correct
475.0986	0.5	incongruent	male	female	0.5339	left	correct
