csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33
34924.2578125	n/a	n/a	1219703783.7539673	21778.955078125	n/a	474322884.2949867	n/a	21712.73828125	n/a	n/a	471443003.6700592	n/a	n/a	n/a	-0.0035977845000000007	0.045379444500000005	-0.0424257009	0.0284862415	-0.0065242093	0.046075316	0.15725426210000001	-0.1086792219	0.0156990615	-0.0569318108	0.09506128949999999	-0.0073793311	0.0463467679	-0.1312269583	0.1626473933	0.1019150085	-0.0421409729	0.0574882221	-0.2060538691	0.0687298096	-0.0576874697	0.09203182189999999	-0.023946143	0.11233231630000001	-0.028242392	0.11350852119999999	-0.1060589881	0.0407415943	-0.05960430780000001	-0.0096577575	-0.0201804481	0.1150077506	-0.1130502744	-0.1313780011	0.0863993073	0.0952831732	-0.0228960213	-0.005720669300000001	0.002685135	0.0185929591	-0.10346263480000001	-0.025400693199999998	-0.051293237	0.056836741100000004	0.0803249063	0.1548658201	-0.0006663626	-0.021144856200000003	0.1105101009	-0.0980106032	0.106140921	-0.1519464559	0.2572606968	0.0668193579	-0.0289220208	0.0462156833	-0.039787807	0.024496036800000003	-0.08867523640000001	0.1185587412	-0.02748184	0.026662980099999997	-0.11864451640000001	0.0031586012	-0.084446786	0.1969859513	-0.0644954642	0.0299177508	-0.1060724953	0.010529458799999999	-0.0630761088	0.07822563190000001	-0.045615928099999994	0.0868546544	-0.0937642806	0.0678604211	-0.0583067912	0.0898012718	-0.0672869744	0.0548790901	0.0583891666	-0.0672562796	-0.0021099236	0.1974016616	0.0037819838	-0.023694500299999997	-0.0520890144	-0.0946646035	0.0750121781	0.1059609141	-0.08739648400000001	-0.023179327000000003	-0.12210092869999999	0.23582040640000002	-0.0692255881	-0.0109877724	-0.0163962177	-0.038372898100000004	0.1217078847	0.1216831682	0.1216419777	0.014168300000000003	n/a	n/a	0.0002007407248900001	-0.042378	n/a	n/a	0.001795894884	0.012456900000000005	n/a	n/a	0.00015517435761000013	0.0025786	n/a	6.64917796e-06	n/a	-0.0	n/a	0.0	n/a	0.000563257	n/a	3.1725844804899996e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34940.82421875	16.56640625	274.445816040039	1220861197.0855865	21752.169921875	-26.78515625	473156896.3101234	717.4445953369141	21725.982421875	13.244140625	175.4072608947754	472018312.1956215	1.596855	29.079952	0.165251145	-0.0318965213	0.0546023407	0.024237043	-0.19012172219999998	0.21013805649999998	0.0753492097	-0.00022098189999999999	-0.16644672859999998	-0.028144762099999998	0.0300211587	0.0911174168	0.048188458499999996	0.0960441932	-0.052519575199999995	0.0137075802	0.0616224537	0.0492692758	-0.0934707589	-0.08593050220000001	-0.019633508	0.046569033899999994	0.1569053963	-0.07505705730000001	-0.132182827	-0.1063084433	-0.10431472189999999	-0.0807069995	0.0451230293	-0.1026969951	-0.0152348854	-0.0092144219	0.0356087543	0.0195246064	0.0426380625	-0.1134007029	0.08525982039999999	0.1450025191	-0.05834214309999999	-0.0253374644	0.0123218756	0.050908832599999995	-0.0124027451	0.0807634838	-0.1622338442	0.0606568507	-0.0882717492	-0.026178929500000003	0.043894471	-0.0420620854	0.0936928725	-0.0694548758	0.0165565142	0.1350587413	-0.19658447329999998	-0.0777599511	0.19771042170000008	-0.09724934240000001	0.1055064342	-0.1317591816	0.0238054239	-0.0110726307	0.0866026903	-0.0358163511	-0.0701211565	-0.0118355178	-0.019847108500000002	-0.0612885013	0.0741875033	-0.1054385864	0.041342508300000004	-0.0289987144	0.045388347	-0.0325824665	0.124165261	0.0025997314000000002	-0.05647273570000001	-0.09395491560000001	-0.18892781309999998	-0.0672668671	0.0314025552	-0.0783121508	0.1662741638	0.10137836550000001	0.1373415435	0.020089149299999998	-0.1308212802	0.0171622367	0.0470720638	-0.0022709923	0.0297670685	-0.1060066534	0.0230070115	-0.021951678399999997	-0.0569438269	0.0028746802	0.0076358025	-0.021400759100000003	-0.1179069025	0.1216419777	0.12141962949999999	0.12104935019999999	0.0204661	0.006297799999999994	3.966228483999992e-05	0.00041886124920999983	0.019581900000000003	0.061959900000000005	0.00383902920801	0.00038345080761000017	-0.050800800000000014	-0.06325770000000001	0.004001536609290002	0.002580721280640001	0.00216115	-0.00041744999999999977	4.6705693225e-06	1.7426450249999984e-07	-2.39859e-05	-2.39859e-05	5.7532339881e-10	5.7532339881e-10	0.00032997800000000003	-0.0002332789999999999	1.0888548048400002e-07	5.441909184099996e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35021.09765625	80.2734375	6443.824768066406	1226477281.0485992	21782.2890625	30.119140625	474468116.8023071	907.1626319885254	21762.677734375	36.6953125	1346.5459594726562	473614142.1702613	1.648936	30.028387	0.167901305	-0.0376009563	0.0450833312	-0.023051486099999997	-0.033180461800000005	0.12901775	0.08330104690000001	0.0262280604	0.0393211924	-0.12601691310000002	0.1649717725	0.1604980816	0.0675103829	0.0440633138	0.0120566198	0.1106957576	0.10313140359999999	-0.0548699026	0.0305460634	0.049028648499999994	-0.011492303	0.06254538330000001	0.21378540350000005	0.009861717800000001	0.0653692209	0.015249350200000001	0.05880866940000001	-0.033231059900000005	-0.1100815331	0.0529495876	-0.0506620327	0.10178987	-0.08641365779999999	0.0173937848	-0.0979752401	-0.0161343627	0.019260201299999998	0.10586604990000001	0.1428034573	0.0093156996	-0.15358345210000002	-0.0388093393	0.162437848	0.0512289543	0.0218227827	-0.06467849190000001	-0.1398537438	-0.0245255954	0.0584507688	-0.026288887900000002	-0.0730566457	0.0854386853	0.1202637956	0.106707365	-0.0250196486	-0.046096140199999996	0.1357019573	-0.11359854400000001	-0.070095528	-0.039607807599999996	-0.0760492316	-0.1189976305	0.200279668	0.061988577300000014	-0.0135958979	0.0952676648	0.0221296119	-0.128509023	-0.0709658726	-0.0010995355	-0.0040352266	0.0875791769	0.1679035235	-0.0320117895	0.0972022444	0.0224361248	0.0508530024	0.1501764485	0.0440096335	-0.0346360244	0.0422596665	0.0196277703	0.0213417389	0.0501074879	-0.10666144400000001	0.0333792854	-0.0553716934	0.1522977679	-0.14900944689999998	-0.0398410315	0.04485625099999999	0.015547256399999999	-0.0157399083	0.049237376500000006	0.059059563899999994	0.0460076009	-0.08664313130000001	-0.0867394329	0.0168334424	0.1215101995	0.120893123	0.1198669825	0.00909173	-0.011374369999999998	0.00012937629289689996	8.265955439289999e-05	-0.050617	-0.07019890000000001	0.004927885561210001	0.0025620806890000003	0.00252061	0.053321410000000014	0.002843172764388101	6.3534747721e-06	0.00270851	0.0005473599999999998	7.3360264200999984e-06	2.996029695999997e-07	-9.43634e-05	-7.03775e-05	8.904451259560002e-09	4.95299250625e-09	0.000372373	4.2394999999999976e-05	1.38661651129e-07	1.7973360249999982e-09	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35018.34765625	-2.75	7.5625	1226284672.57399	21756.615234375	-25.673828125	473350306.4566384	659.145450592041	21700.40625	-62.271484375	3877.737766265869	470907631.4150391	1.183705	21.556171	0.06315646999999999	-0.0609298216	0.05198633	-0.0314439817	-0.1246269454	0.07461208009999999	0.0004080739	0.0509704666	-0.0761064093	-0.18769820350000002	-0.1131758125	0.0470774403	0.0291886617	-0.0056760827000000005	0.0743463119	0.18324514449999998	-0.0442417637	0.047827407	0.0440894795	-0.0889906779	0.012263688600000001	0.017281991200000003	-0.0124661448	-0.1203146993	-0.0543158149	0.0472990166	0.1029944408	-0.0490506582	-0.0214519455	0.0630163167	-0.1659913083	0.10853616699999999	-0.1195494556	0.1141785371	-0.116570971	0.0133800927	-0.0209417877	0.0823958705	-0.0481378888	0.0645045589	-0.057299793099999996	0.0320536775	-0.075608028	-0.0281423109	0.1806593984	0.2180633279	0.049452704900000005	-0.057884693200000004	0.023491731800000002	0.1174778605	0.0341657029	0.0480561183	-0.0102637939	0.19466482289999998	-0.0968427424	-0.0858556689	0.0703276013	-0.0597467907	-0.0918428159	-0.15307473189999998	-0.0191831483	0.1199457585	0.0233812198	0.0830873562	-0.0755554558	0.0814865771	0.1105463909	0.11214523929999999	0.0971949561	-0.0186703846	0.1255627806	0.09735076779999999	0.016327444	-0.017656410600000002	0.166553341	-0.0766896022	0.013187383	-0.0783537757	0.1121178839	-0.0888631498	-0.0517382911	0.1272751512	-0.0193611214	0.0034195437	-0.108549702	-0.0606040279	0.175016941	-0.013317470900000001	-0.0552846082	-0.1065027942	0.0562287935	-0.014049295500000001	-0.110853955	0.1240753482	-0.103632315	0.08659550529999999	0.10006081509999999	-0.15096137980000002	0.0094886616	0.1213126213	0.12010478890000001	0.1181006348	0.00621922	-0.0028725099999999987	8.251313700099994e-06	3.86786974084e-05	-0.0303123	0.0203047	0.0004122808420900001	0.00091883553129	0.0162993	0.01377869	0.0001898522981161	0.00026566718049	0.00239271	-0.00031579999999999976	5.725061144100002e-06	9.972963999999984e-08	-7.427199999999997e-05	2.009140000000004e-05	5.516329983999996e-09	4.036643539600015e-10	0.000184253	-0.00018812	3.3949168009e-08	3.53891344e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34755.07421875	-263.2734375	69312.90289306639	1207915183.9508212	21737.86328125	-18.751953125	472534700.034317	351.63574600219727	21608.958984375	-91.447265625	8362.602390289307	466947108.388401	1.544629	28.128878000000004	0.099254904	-0.019103631399999998	-0.1376858642	-0.0779654223	-0.0656566069	-0.0873304515	0.0850473172	0.10525962720000001	0.011813521	-0.1623369478	-0.0873939075	0.09183219210000004	-0.0121392998	-0.0063300726	0.0710895047	0.031220623399999998	0.03583072	0.0449226262	0.08922313470000001	-0.0643393697	-0.0150890201	-0.10938382769999999	0.0950808685	-0.0223485572	-0.1737882582	-0.2080189364	-0.0831684806	0.06375743	0.011941733700000002	0.08434391470000001	0.029089873199999998	-0.001955575	0.1051686301	0.0017277501000000002	-0.019223042	0.0909652943	0.0303990446	-0.09383243289999996	-0.0917044684	0.040658111600000005	-0.0498076295	-0.0593616455	-0.0696174275	-0.0563610783	-0.0400838987	-0.054139031	0.0559292804	-0.0500939739	-0.1467362074	0.0363399996	-0.0522978608	0.06719395730000001	-0.046928415300000005	-0.007620126999999998	0.0141508418	-0.131952439	-0.060028251399999996	-0.0953754257	-0.1558642837	-0.0870591885	0.0288564802	0.12494957460000004	0.0494086316	0.06411051	-0.0126136767	-0.0900751488	0.0586482315	0.0052756452	0.0665048317	0.0437687725	0.1061501275	-0.1404285448	0.0926838705	0.1138598497	0.114335745	0.0560194037	0.0388008831	-0.0131039092	-0.0929809252	-0.0382015094	-0.0460671995	0.0074346214	-0.0162868384	0.0511912162	0.12426351210000001	0.060244251299999996	-0.0031635428000000004	-0.051112873499999996	-0.0084270878	0.0161626159	-0.1298836749	0.0815449112	0.0102224454	-0.0419975444	-0.009547778100000001	0.0215905885	-0.1119872516	0.031332305899999996	-0.0883564845	0.12104935019999999	0.11905633460000001	0.11575891279999999	-0.0007512339999999999	-0.006970454	4.8587228966116e-05	5.64352522756e-07	-0.08809319999999997	-0.057780899999999975	0.0033386324048099965	0.0077604118862399955	0.0272692	0.0109699	0.00012033870601000005	0.0007436092686399999	0.00244971	5.699999999999976e-05	6.0010790841e-06	3.2489999999999725e-09	-0.000303692	-0.00022942000000000004	9.2228830864e-08	5.263353640000002e-08	0.0	-0.000184253	0.0	3.3949168009e-08	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34732.28125	-22.79296875	519.5194244384767	1206331360.8291016	21731.25390625	-6.609375	472247396.3379059	43.683837890625	21643.177734375	34.21875	1170.9228515625	468427142.44174576	1.625609	29.603586	0.18240349100000006	0.0313327131	-0.051289267	-0.0148046238	-0.026711937999999998	-0.09466407119999999	0.1597789648	-0.06132822950000001	-0.0064439956	-0.0773109352	-0.0799728286	0.2143543895	0.0660187352	-0.1702269018	-0.0671177652	-0.079222733	0.009005204499999999	-0.010249992099999999	-0.0322277615	-0.0043364761	-0.0447546759	-0.046644505999999995	-0.031030596400000002	-0.045374885999999996	-0.0323678742	0.029069574700000007	-0.1062135151	0.0540356544	-0.0054031787	-0.118553277	-0.056824523499999995	-0.0625955521	-0.0813503958	-0.057572142300000004	0.0194509095	0.0350981079	0.16450693460000002	-0.041811870699999996	-0.0061406648	0.0055102597	-0.1474254465	0.023279822599999996	-0.0124508417	-0.024498969500000002	-0.100658408	0.0385733034	0.030092216499999998	0.029135689700000002	-0.0392820802	-0.1458586245	0.0681825845	-0.0759038815	0.0731604794	0.0230183825	0.0177535147	-0.067514216	-0.1033065019	-0.1372703263	-0.0238410824	-0.0432399437	0.0629920705	0.1122259816	0.19661274280000002	0.012496866499999999	0.1651929016	-0.046702390499999996	0.0287076427	-0.0379712632	0.0191872591	-0.0429042063	-0.0745359947	-0.022921347999999998	-0.0709008663	0.0793751753	-0.0780059659	0.015288015600000001	0.05533265	-0.010077521899999999	-0.08140875610000001	0.0290389739	-0.0602651662	-0.1274348871	0.047109833399999995	-0.0518853422	0.0175401772	0.10964789330000001	0.0326683981	-0.0824754275	-0.0577445656	-0.08838767130000001	-0.0396451313	-0.1739567787	0.0088652037	0.074946982	0.17552306190000005	0.0191827714	-0.0290150858	-0.07703559139999999	0.0768615603	0.1207205288	0.11775003070000001	0.11285322490000001	-0.000781325	-3.0091000000000105e-05	9.05468281000006e-10	6.104687556250001e-07	0.0085053	0.09659849999999998	0.009331270202249995	7.234012809000001e-05	0.0463071	0.0190379	0.0003624416364099999	0.0021443475104100003	0.00141348	-0.00103623	1.9979257104e-06	1.0737726129e-06	-0.000141018	0.000162674	1.9886076324e-08	2.6462830276e-08	0.000135836	0.000135836	1.8451418896e-08	1.8451418896e-08	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34721.2109375	-11.0703125	122.55181884765624	1205562488.9663696	21749.8046875	18.55078125	473054003.944397	344.1314849853516	21686.595703125	43.41796875	1885.1200103759768	470308433.1907997	1.225198	22.311794	0.14332480199999995	0.1302437074	0.0297214994	0.11786820029999999	0.035795307400000004	-0.11283026980000001	-0.10968033199999999	0.0644782801	-0.0691791934	-0.0334463031	-0.0550744991	0.0839763962	0.0362389194	-0.09748938189999999	0.0817449845	0.1123980803	-0.0588306362	0.1034757275	0.15182549539999998	-0.07385230549999999	-0.028561084	0.0425814083	-0.037406048399999996	0.0841182626	0.07879989650000001	-0.0189765453	-0.067523517	0.0197549291	0.0326433963	0.010653921499999998	0.1097514956	-0.0872748909	-0.1306503986	-0.085222706	0.0824838038	-0.1470301541	-0.001311458	0.0071600939	-0.065218927	-0.0132958014	0.09149495880000001	-0.0630175687	0.06255166549999999	0.10666921759999999	0.0138981952	0.0781141868	0.0784402251	0.1134062236	-0.0378615454	0.1826412516	0.0418679249	0.08714243740000001	0.0573262496	0.1265558515	-0.012403916599999999	0.10894377400000001	-0.1168635512	0.1011164533	-0.0207431714	-0.08849665050000001	0.0647389727	0.0247161202	0.0567390683	0.0630099131	0.0484302913	-0.0524979987	0.0870199806	0.058729364299999996	0.112770358	0.0912314265	0.0990158856	-0.0109944191	0.0213984404	-0.0600189323	-0.0544001897	0.0803958585	0.0349201264	-0.0214258026	-0.0484527961	0.06986707360000001	-0.013178423600000001	0.0225683648	-0.069749744	-0.0960397968	-0.1034322209	0.0014630709	-0.2038391782	-0.048176530099999997	0.1499411984	0.0517494199	0.1254628843	0.1094462357	-0.0577205367	-0.033830339300000005	0.07641588889999999	-0.027088209300000003	0.0398007474	-0.0540425136	0.056055893600000004	0.120326335	0.1161887065	0.1093977275	-0.0008215269999999997	-4.020199999999971e-05	1.6162008039999765e-09	6.749066117289996e-07	-0.0936063	-0.10211160000000001	0.01042677885456	0.00876213939969	0.0769552	0.030648100000000008	0.0009393060336100004	0.00592210280704	0.00137584	-3.7640000000000026e-05	1.8929357056e-06	1.416769600000002e-09	-0.000115681	2.533699999999999e-05	1.3382093761e-08	6.419635689999994e-10	0.00028335700000000003	0.00014752100000000004	8.029118944900001e-08	2.1762445441000007e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35029.953125	308.7421875	95321.73834228516	1227097615.9396973	21781.185546875	31.380859375	474420043.8273964	984.7583351135254	21783.970703125	97.375	9481.890625	474541379.5946083	1.281671	23.340214000000003	0.108901395	0.0584328254	0.1467349544	0.10988836130000001	0.045162385199999995	0.0903455025	-0.0822363999	0.0725854701	0.0805622229	-0.1118857432	-0.001372409	-0.055185789000000006	0.1281791906	-0.0514358292	-0.0914319002	-0.129967293	0.047263838899999994	0.0544596626	-0.1108114692	-0.1156356231	0.0696197043	0.0313708043	-0.0664287048	0.0568737789	-0.0090176398	-0.0026040445	0.1104353943	-0.0280179708	-0.0800376148	-0.12190184650000001	0.088611145	-0.09632899	-0.059701558099999996	0.0452176228	0.0582408996	0.0324464663	-0.08439396199999999	-0.0697296288	-0.0442641862	-0.012236916899999999	0.0898905777	-0.016886448000000002	0.0480985962	0.0994299738	-0.1031947	-0.060581117999999996	0.0709047629	0.08853373939999999	0.1382577032	0.0461898663	0.030483304	0.124745656	0.0230004942	-0.0700884705	-0.0399460891	0.1315533578	0.0704380619	0.0438070926	-0.1445776813	-0.063526938	-0.0200644702	0.0111385349	-0.05846178780000001	-0.1050300457	0.0617778083	0.07256030570000001	-0.0991576546	-0.0107076535	0.0106825622	-0.1246767941	0.064893029	-0.0616206863	-0.0911914678	-0.0776756323	-0.0711703656	-0.0605749432	0.057145828600000004	-0.1344624515	0.029389312200000007	-0.0693885195	0.0703597951	-0.10923928	-0.0012178443	-0.0230844923	0.0177817811	-0.0549287812	0.0009170566000000001	0.08484079470000001	0.15891548279999998	-0.0613782166	-0.0041199532	0.068109484	0.0945089193	0.0208889179	0.0791613209	-0.0274530484	-0.1699802812	-0.0027249552000000003	-0.010554595200000001	0.1198669825	0.1143757435	0.10540925529999999	-0.0007960819999999999	2.544499999999981e-05	6.474480249999902e-10	6.337465507239999e-07	-0.0675452	0.026061100000000004	0.0006791809332100003	0.004562354043040001	0.0329094	-0.0440458	0.0019400324976400003	0.00108302860836	0.00105171	-0.00032412999999999995	1.1060939241e-06	1.0506025689999996e-07	0.000248496	0.000364177	6.175026201599997e-08	1.3262488732899998e-07	0.000370431	8.707399999999997e-05	1.3721912576099998e-07	7.581881475999995e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34880.99609375	-148.95703125	22188.19715881348	1216683888.4922028	21751.685546875	-29.5	473135824.1301308	870.25	21744.005859375	-39.96484375	1597.188735961914	472801790.81253433	1.1650040000000002	21.215616	0.113718019	-0.0331008344	0.0626466103	0.0452377576	-0.0335730538	0.0567098988	-0.0575909221	-0.027481592200000002	0.0993276293	0.0566824456	-0.1806836891	-0.1058858866	0.0094346157	0.0029402865	-0.18442801539999998	-0.155968852	-0.0141699124	-0.0667231818	-0.095325862	-0.0853819258	-0.004045802	-0.0674018179	-0.083657946	0.06405380990000001	0.0559804513	0.0083803497	0.1133838635	-0.0029012622999999996	-0.0447272405	0.1403271391	0.0457097571	-0.0013907026000000002	-0.0245325475	0.0138896882	-0.011706604099999999	0.100164313	-0.0280359773	-0.1756531465	-0.0046583106	-0.1758718075	0.0027157049	-0.0180501882	0.0098764326	-0.125130984	-0.161132732	-0.0690726301	-0.0317706108	0.0028742709000000003	0.0727898717	0.0286040019	-0.0956874675	-0.0710841259	-0.0233755133	-0.1496588231	-0.0797978955	0.0306526752	0.0273213363	0.0235186112	-0.0076102322999999986	0.100833215	0.0522290468	0.1306232436	-0.1067752776	-0.20203775149999997	0.0306675514	0.0210817147	-0.05883907	0.0106343262	-0.1157303708	-0.1580698325	0.0154883447	-0.0467612036	-0.1255014762	0.033376816499999996	-0.0520221136	0.0027265212	0.10552185619999999	0.0895140344	0.09598160619999999	-0.0489061735	0.0434830471	0.0998659034	-0.0402475234	-0.0927067507	0.0316529952	0.09439980960000001	0.062219635499999995	-0.0663747458	0.13425553029999998	-0.0191738729	-0.12920458869999998	0.0872065342	0.1460045617	0.0081373601	-0.11733614490000001	0.0326299399	-0.0521502435	0.0775726674	0.061818439800000013	0.11934271980000001	0.112315068	0.1009072399	-0.000783663	1.241899999999995e-05	1.5423156099999874e-10	6.14127697569e-07	0.028613	0.0961582	0.00924639942724	0.000818703769	0.0290165	-0.0038928999999999978	1.5154670409999985e-05	0.0008419572722499999	0.0008968639999999998	-0.00015484600000000004	8.043650344959998e-07	2.397728371600001e-08	0.000270535	2.2039000000000065e-05	7.318918622500003e-08	4.857175210000028e-10	0.000466636	9.620499999999998e-05	2.17749156496e-07	9.255402024999995e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
