csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13
35600.5859375	n/a	n/a	1267401719.0933228	22913.63671875	n/a	525034747.67884827	n/a	23122.9140625	n/a	534669154.74176025	n/a	n/a	n/a	n/a	-0.0102109978	-0.0411520476	0.1354209829	0.15210392820000002	-0.0741642808	-0.20037843589999998	0.10394046259999999	-0.0804133508	0.12706405699999998	-0.16586034689999998	0.058752445300000004	-0.10525051880000001	0.0197809345	-0.05403204440000002	0.1579229963	-0.09062721230000001	0.11126159099999999	-0.0538420247	0.0976150686	-0.0696381422	0.14430629039999998	-0.1399780988	-0.059400197599999996	0.10482004519999999	-0.1210499292	0.044258625499999996	-0.0061339603000000005	0.0419757766	-0.0350551036	0.23924072329999999	-0.0434170313	0.0078053025	-0.0015991704000000002	0.0716941869	-0.11273204880000001	0.0552529463	-0.0166520878	0.20154075850000008	-0.019145639199999998	-0.0800486939	0.0330606751	0.0337330176	0.0042654315	-0.0593135544	-0.0984785338	0.0275331669	0.23579097629999998	-0.0937752508	0.111649746	0.0080393843	0.021932790299999998	0.18190028989999998	-0.005352514599999999	0.1061787125	-0.0732819487	0.0078730289	-0.23230188629999998	0.0250017492	-0.04608963	0.1438806177	-0.2492845043	0.1946784486	-0.0688616086	0.0128514	-0.117286845	0.133773478	-0.19765601	0.0604432775	-0.0444258055	0.1391891776	-0.029934543799999998	0.0967111055	-0.116561839	0.0365191466	-0.0189554803	0.056529243	-0.1681418847	0.0649551122	-0.0024468002	-0.0381079908	-0.0302090411	0.04533602900000002	-0.1688640116	0.042269254699999995	-0.0109970822	0.0685857062	-0.1788215266	0.1014493584	-0.0296028041	0.0641869601	-0.0098994736	0.010208399699999999	-0.028614843199999997	0.1132612421	-0.0455177863	0.1139908614	-0.0593078026	0.0824125043	0.0030368240999999996	0.004904566	0.0083930655	-0.1410624034	0.019030421999999998	0.009775320300000001	0.0658050458	-0.056759453499999994	-0.019655641	-0.12385762060000001	0.001391906	0.1133005454	0.11976137949999999	-0.0854288282	-0.0124725128	0.0003878779	0.1163926116	0.11110588789999999	0.11109021890000001	0.1110641056	0.1110275503	-0.0670345	n/a	0.0044936241902500005	n/a	0.115228	n/a	n/a	0.013277491984000002	-0.0134256	n/a	n/a	0.00018024673536	0.008773319999999998	n/a	n/a	7.697114382239996e-05	0.0017373899999999995	n/a	n/a	3.018524012099998e-06	-0.00252331	n/a	n/a	6.3670933561e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35589.3203125	-11.265625	126.914306640625	1266599720.305725	22949.34765625	35.7109375	526672557.84742737	1275.2710571289062	23172.01171875	49.09765625	536942127.0938873	2410.579849243164	1.287265	22.059753	0.12600419999999998	-0.051145364699999994	0.0709546422	-0.0098465893	0.1739129532	-0.0188773211	-0.2344853546	0.0101567973	-0.058728533	0.0481407249	0.011247253300000001	0.18255225719999998	-0.1366354432	-0.0292081129	0.13072185039999998	0.1606109966	-0.0314245096	-0.0327286356	-0.0333726942	0.0872570768	-0.1233924125	0.0903324617	-0.0616944376	-0.0881021564	-0.0766640786	-0.0403592225	-0.0731563705	-0.10698148369999999	0.0277819574	0.0334654275	0.0633814522	-0.024030848799999997	0.0030869557	-0.0625448189	-0.019631008000000002	-0.0137628747	0.0807141222	-0.0539799074	-0.0794987729	0.0339300134	0.0425645302	-0.10114018109999999	0.045332768200000005	-0.0011178074	-0.0664524809	-0.1012865152	-0.0050649438	-0.010380426	-0.1109185025	0.0587768318	0.0827141916	0.0654364191	-0.0081134886	0.0604586088	0.1045581589	0.0934052372	0.05015953	-0.2600259741	-0.0577185458	-0.0323793135	0.043759592699999995	-0.0705408745	0.081151657	-0.1272135017	-0.0241490628	-0.0815301413	0.1053294286	-0.16546206789999998	-0.019880555600000002	0.1334262088	-0.0162945341	-0.17676868769999998	0.1853439075	-0.0685376074	0.0037608558000000003	0.052279243899999994	-0.0673286203	-0.1384954826	0.024551249100000002	-0.013528036200000001	0.067794356	-0.0440260104	0.10820254119999999	-0.034615491400000004	0.07288458469999999	-0.1176316805	0.043198942000000004	-0.056524696	0.0126833252	-0.0415742796	-0.0085495441	0.0672564514	0.0746283806	-0.0395387165	0.099906638	0.025051833500000002	-0.096171305	0.018029485	0.0062710448	-0.0011825513	0.0756870647	0.0193853999	-0.0333208748	0.0186018347	-0.03275516	0.0167219966	0.0767762583	-0.036932432599999995	0.013863663600000001	-0.0372259424	0.0672770349	0.0495890042	0.1038314095	-0.0417646025	-0.0038717359999999998	-0.018217141399999998	0.1110641056	0.1109231287	0.1106882998	0.1103598175	-0.0677302	-0.0006957000000000074	0.0045873799920399996	4.839984900000103e-07	0.118867	0.003639000000000003	1.3242321000000025e-05	0.014129363688999998	-0.0334151	-0.019989500000000004	0.0003995801102500002	0.0011165689080100002	0.00718415	-0.0015891699999999974	2.5254612888999915e-06	5.1612011222500014e-05	0.00156333	-0.00017405999999999954	3.029688359999984e-08	2.4440006889e-06	-0.00225294	0.0002703699999999998	7.309993689999991e-08	5.075738643600002e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35510.44921875	-78.87109375	6220.649429321289	1260992003.7174225	23001.849609375	52.501953125	529085085.4523048	2756.4550819396973	23177.833984375	5.822265625	537211988.2072487	33.89877700805664	1.442483	24.719707	0.08699840000000003	-0.0038141289000000003	-0.0897239602	0.0314316162	0.0691743375	-0.0793272333	-0.1269725501	0.1058779821	-0.0686963724	-0.06689849469999999	0.12270417039999999	0.0197966506	-0.016011061899999998	0.0454856138	0.1282388031	0.13102825140000002	-0.1085080565	-0.0830239818	-0.0188105613	0.1250826474	0.018077396699999998	-0.12388450640000001	0.0254697173	-0.0032997107	-0.06696190269999999	-0.2291118908	-0.075975618	0.0714886063	0.08853109519999999	0.0032330097999999996	0.007613390500000002	-0.0434884046	0.0638415831	-0.0231616054	-0.1203131206	0.028476087799999997	0.0217353731	0.058537568899999996	-0.0313341084	-0.10125644	0.1208173682	-0.036705855600000004	0.0769576085	0.064979532	-0.0105430555	-0.08983179279999999	-0.035297443	0.0090929773	0.0846815133	-0.11326195119999999	0.060203893099999996	0.0314869208	-0.1767847546	0.0103407708	-0.0325480324	0.0107317299	-0.0826189118	-0.20742021079999998	0.0042903767	0.146014915	-0.0948769927	-0.0669513774	-0.0959548907	-0.1125125201	0.0395327567	-0.1366373094	0.0998772009	-0.029303267400000006	0.0510445065	0.0337742595	-0.19323699030000002	-0.10061046970000001	0.1332269508	-0.0037856493	-0.0170220203	0.0427371925	0.016040142099999998	-0.0302487248	-0.0032159726000000003	-0.1354934221	-0.0745209218	0.0644164993	0.1650065361	0.1342258592	-0.0001607195	-0.0476623993	0.16806567449999998	-0.144405908	-0.0568603112	0.0955700667	-0.037095727	-0.0012943902000000001	-0.028645445	-0.0187653832	-0.025992305499999997	0.0573674933	-0.0459245257	-0.022260503100000002	-0.055117736699999996	0.042416824699999994	-0.0169950299	0.0960669601	-0.19485816690000002	-0.0229125969	0.1050957233	-0.034662714500000004	-0.0325281685	0.0246068049	0.036186857	-0.0619482032	0.031359124	-0.1209106268	0.0226001397	0.1527481507	-0.0660809297	0.024986381000000002	0.11098055650000001	0.1105891995	0.1099379598	0.1090283678	-0.0395266	0.028203600000000013	0.0015623521075599995	0.0007954430529600005	0.118927	6.000000000000451e-05	3.6000000000005393e-09	0.014143631329	-0.034097900000000014	-0.0006828000000000043	4.662158400000058e-07	0.0011626667844100006	0.00707994	-0.0001042100000000004	1.0859724100000088e-08	5.01255504036e-05	0.00115217	-0.0004111599999999998	1.6905254559999983e-07	1.3274957089000003e-06	-0.00160727	0.0006456700000000001	4.1688974890000015e-07	2.5833168529e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35577.89453125	67.4453125	4548.870178222656	1265786579.276749	23001.91796875	0.068359375	529088230.2411041	0.004673004150390625	23215.69921875	37.865234375	538968690.2154694	1433.7759742736816	1.369151	23.463024	0.12987200000000002	-0.0177793771	-0.1388333184	0.0449779326	0.0591671737	-0.0489512553	-0.0327159123	0.13125936470000002	-0.042589370599999996	-0.15148049730000002	0.0279787147	-0.141903435	-0.1384856166	0.022846267400000002	0.045767595599999995	-0.0101652051	0.1739743768	0.039552797599999995	0.0610518861	-0.0597784712	-0.029069008799999997	-0.0521271692	0.0671612013	-0.027968597400000003	-0.0756545837	-0.012363710900000002	0.04438643849999999	0.1647654601	0.1056756925	0.08614421779999999	-0.08807285	-0.1843015063	0.062289220599999987	0.0656247043	0.1092011742	0.0535244939	-0.042485768099999995	0.0157271631	0.12412586140000001	0.028815265299999997	-0.10198045689999999	0.0044289561	-0.0177434803	-0.09970905529999999	-0.06125638820000001	-0.0061110057	0.0190202928	0.0373539497	-0.0522940477	-0.0045273663	0.0266934048	-0.0473707517	-0.0173629735	0.0188488219	-0.059999381	-0.0128399485	-0.060156043	-0.1002467678	0.1217536782	0.0055528964	0.2028159844	0.1255864722	-0.060061346900000014	0.1327725641	0.0553696946	-0.09178253759999999	0.0644613156	0.09360646939999999	0.14557791960000002	-0.05650920490000001	-0.0686545183	-0.1330694349	-0.011041116	0.0711848534	-0.0123266606	-0.1153409458	-0.027555684900000002	0.032112444500000004	0.0944871481	0.08825976279999999	0.0383511485	-0.0665892079	0.0023277553	0.07406256929999999	0.1070287274	0.024766647599999997	-0.06387290309999999	0.0134087017	-0.04849307940000002	0.042017897699999994	0.07664630830000001	-0.12380785650000001	-0.1252088173	0.0821105956	-0.0950677742	-0.029084397999999997	0.1187301473	-0.085723423	-0.0169618329	0.07275626339999999	-0.0195165839	0.0141061276	0.0185583553	0.1599267975	-0.0770686865	0.1309410355	0.061720083099999996	-0.0436301949	-0.0152262397	0.0983742904	-0.0384759093	-0.13466335570000001	-0.053305277000000005	0.0515713356	0.06763436	-0.0793015497	0.11085527220000001	0.11008893369999999	0.10881562460000001	0.10704120869999999	-0.038512	0.0010145999999999974	0.0014831741439999995	1.0294131599999948e-06	0.08117919999999999	-0.03774780000000001	0.0014248964048400009	0.006590062512639999	-0.0227208	0.011377100000000008	0.00012943840441000017	0.00051623475264	0.00598347	-0.0010964699999999996	1.202246460899999e-06	3.58019132409e-05	0.00106504	-8.713000000000015e-05	7.591636900000026e-09	1.1343102016e-06	-0.00119622	0.00041105	1.6896210250000006e-07	1.4309422884e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35790.6171875	212.72265625	45250.928482055664	1280968278.6621704	22969.126953125	-32.791015625	527580792.98877335	1075.250705718994	23152.98828125	-62.7109375	536060866.3516998	3932.661682128906	1.128011	19.330627	0.08030975000000001	0.1896174966	-0.19649027170000002	0.018564243799999998	0.12146439949999999	-0.154373235	0.1653125819	0.20454946629999998	-0.130872069	-0.0594764016	-0.007027471899999999	0.0755936757	0.0004434321	-0.00715557	-0.0410300757	0.0777337044	0.0302967139	0.0767734539	0.0671030062	-0.023684355	0.0797137854	-0.0832555874	-0.0121940655	0.0382364875	0.11061358449999999	0.0384073421	-0.1065331223	-0.0680322322	-0.0431967882	0.0725018672	0.1127020422	0.088925109	-0.098017889	0.021685845699999998	-0.0096373062	0.0549918766	0.10672651650000001	0.0125702466	-0.0637606111	0.0418025875	0.1336606199	0.0269727123	-0.1503551476	-0.0195349965	-0.0872481149	0.0453461837	-0.0907817359	0.025821558199999997	0.05858822900000001	-0.1483818617	-0.021613272700000002	-0.1819325388	0.0059552042000000005	-0.21979704	-0.1735057882	0.0169488047	0.058183429400000014	-0.0891569495	-0.0598873338	0.0611300267	0.0876058874	-0.0869483086	0.036714334	0.13604566769999998	-0.1907455997	-0.1228227276	0.0367966219	0.0455802796	0.172586446	-0.2186666482	-0.026865342400000002	0.050751860700000005	-0.0225336607	0.015898781299999998	0.1117564122	0.017177498200000002	-0.0373550121	0.058514735199999994	0.064401048	-0.085689622	-0.0744407712	0.0280269438	-0.0293054558	0.052815621900000005	-0.0870279874	-0.10514842939999999	-0.0386845688	0.0601872799	0.022340358199999997	-0.0080614691	0.064681757	0.0332368199	0.1318611064	-0.0780233921	0.011699436799999999	0.0267267655	0.0373356102	0.0867036029	-0.029393401099999997	-0.0466623027	-0.0696244203	0.015795753	0.0237615723	-0.10568535789999996	0.0350852366	-0.0363117848	0.0508821259	0.13061374039999998	-0.0240608023	0.0352076516	0.0406577431	-0.07776360339999999	-0.09962682240000001	0.08091274400000001	0.0490416471	-0.0717902182	0.1106882998	0.10942308369999999	0.1073250918	0.10441029119999999	-0.041456699999999985	-0.0029446999999999945	0.0017186579748899994	8.671258089999968e-06	0.119436	0.0382568	0.0014635827462399994	0.014264958095999997	-0.0183127	0.004408099999999997	1.9431345609999984e-05	0.00033535498129000005	0.00576374	-0.00021973000000000045	4.82812729000002e-08	3.32206987876e-05	0.0006823469999999999	-0.000382693	1.46453932249e-07	4.6559742840899994e-07	-0.0012878	-9.157999999999996e-05	8.386896399999993e-09	1.65842884e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35424.76953125	-365.84765625	133844.50758361813	1254914296.3421786	22949.896484375	-19.23046875	526697748.64352804	369.81092834472656	23093.017578125	-59.970703125	533287460.86359024	3596.4852333068848	1.28071	21.947412	0.048113200000000016	-0.1244565314	-0.1481712523	0.1138526369	0.0202675306	0.0100456993	-0.10782118210000001	0.11020317310000001	-0.0200370623	0.0039672041	0.0865315824	-0.1205086664	-0.0590898349	0.1072511484	-0.0905918371	0.060693213899999994	0.12733799140000002	0.1396390554	0.100018317	-0.0491265651	0.1200344719	-0.0477743025	-0.051291097800000005	-0.071727905	-0.069377463	-0.069413498	0.053546015	0.0751740589	-0.0445432599	0.0026220487	-0.1163761859	0.0456209195	-0.0064225525	-0.022348281600000002	-0.0408770294	0.1205271319	0.0400385391	0.1535749401	-0.009349418299999999	0.0623122181	-0.019269489299999998	0.0538584093	0.0408250454	-0.1076869212	0.0411948411	0.1061812488	0.024291870099999998	-0.09300457720000001	0.0627274956	0.11002036	0.0801845096	0.0136188756	0.0685222139	0.09786730099999999	-0.0485656099	-0.10597624539999999	-0.1097440304	-0.0871112575	-0.04638293809999999	0.0628058681	0.1332214686	0.028380175	0.1203913066	0.2019548098	0.0662016987	-0.051665404500000005	0.1380245667	-0.006853961600000001	-0.0072469961	-0.0501568983	-0.1225311074	-0.0468741187	-0.0350458127	-0.035789001200000004	0.0185107612	-0.1782511829	0.0701007927	0.0408069441	0.047766303899999994	0.0183251152	-0.0260090981	-0.15223569369999998	-0.048522572699999995	0.063975907	0.0058048641	0.0705246607	0.0492713485	-0.0008109219	0.0627079334	-0.01944622	-0.0947845369	-0.0101346013	-0.0133647858	0.0186711653	-0.0886555499	0.006428673	-0.0802732265	-0.14182783359999998	0.0371219219	0.0056949298	-0.084516505	-0.0206303777	0.1410000104	-0.0841416873	-0.0830175189	0.0751853379	-0.022387421	-0.0232629007	0.0119538914	0.0874816485	-0.0747157575	0.16708384199999998	0.051195636100000004	-0.0353660214	-0.0410959365	0.12487022880000001	0.110479702	0.1085926509	0.1054714048	0.10115143789999999	-0.0415047	-4.800000000000637e-05	0.00172264012209	2.304000000000612e-09	0.0844346	-0.03500139999999999	0.0012250980019599992	0.00712920167716	-0.0161224	0.0021903000000000027	4.797414090000012e-06	0.00025993178176	0.00591395	0.00015021000000000045	2.256304410000013e-08	3.4974804602500004e-05	0.0006823469999999999	0.0	0.0	4.6559742840899994e-07	-0.0012205400000000006	6.725999999999933e-05	4.523907599999909e-09	1.4897178916000016e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35562.3125	137.54296875	18918.06825256348	1264678070.3476562	22958.2421875	8.345703125	527080884.3399048	69.65076065063478	23219.306640625	126.2890625	539136200.8713722	15948.927307128906	1.314283	22.522753	0.10154235000000003	-0.0863423342	0.0115310783	-0.1364948135	0.0433048799	-0.0157557886	-0.1671807445	0.0285060971	-0.0593241146	-0.0321616603	0.055982720599999994	-0.003234183	-0.0696711616	-0.0776702527	-0.0192625738	-0.040861199999999986	-0.0669974091	0.10875301050000001	0.06691767059999999	-0.0289789775	-0.0121557005	0.0255870757	0.0356272006	-0.0416053226	0.0195386619	0.0087798438	-0.051411196799999996	0.0371592589	0.0759380972	-0.0997972975	3.1561e-06	0.11709881220000001	-0.1369027126	-0.0859647999	0.1659968975	-0.175127968	-0.1294149342	0.118317251	0.1121425692	-0.1163247477	0.10996365429999999	0.0002373432	0.045233786500000005	0.014095863	0.05865818900000001	-0.0895474571	0.1497850939	-0.1980416862	0.0509052362	-0.0503965165	0.0970118081	-0.13045981880000002	-0.029183422599999998	0.08683689650000001	0.041458065499999995	0.1329016119	-0.050803053499999994	-0.030717687	0.1553676816	-0.0374300342	0.04483314309999999	-0.0148854298	0.0583363392	0.0390700649	-0.0833143657	-0.0756547888	0.103088573	-0.0823836197	0.0166873301	0.0784068683	-0.0417421897	-0.0752338303	-0.0377409462	-0.0543549421	-0.0426626882	-0.0058461776	0.032609038300000004	0.039594139300000004	0.1242867364	0.056916348600000014	-0.0078105499	-0.0165411919	-0.0295094463	0.0321485087	-0.0928350691	0.08032704610000001	-0.0488170414	-0.151967827	0.0426642201	-0.1420121328	-0.0993268959	-0.0249772795	-0.060274191	-0.146841431	-0.0298683377	-0.0719657891	-0.0600843383	0.2786756191	0.1376243961	-0.030064505099999996	0.1456169552	0.0157084727	-0.1621131946	-0.0235481271	-0.0309350448	0.0053339737	0.1473417158	0.10621475050000001	-0.0197584214	0.0667041461	-0.1031296008	-0.0792967346	0.0079311323	-0.1131961556	-0.0205187218	-0.0008840612	0.1102295573	0.10759888449999999	0.103260836	0.0972842479	-0.0380423	0.003462399999999997	0.00144721658929	1.1988213759999984e-05	0.0283415	-0.056093099999999986	0.0031464358676099994	0.0008032406222500001	-0.037874800000000014	-0.02175240000000001	0.0004731669057600004	0.0014345004750400006	0.00579717	-0.00011678000000000037	1.3637568400000084e-08	3.36071800089e-05	0.0006823469999999999	0.0	0.0	4.6559742840899994e-07	-0.000932631	0.00028790900000000063	8.289159228100034e-08	8.69800582161e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35584.68359375	22.37109375	500.46583557128906	1266269706.4673007	22918.060546875	-40.181640625	525237499.2302284	1614.5642433166504	23230.013671875	10.70703125	539633535.1954994	114.64051818847656	1.084714	18.588648000000006	0.10276775	0.0544278895	-0.0181578349	-0.1955504251	0.0410753622	-0.024762698599999997	-0.0116201029	0.0418487179	-0.1155886497	0.045413030199999996	0.0424720297	0.0246924657	0.08934705359999999	-0.0942527735	0.0117948246	-0.18417078739999998	0.0228387895	-0.05759154	0.0686523782	0.0127096481	0.10863087619999999	-0.0509608983	-0.026627679100000003	0.0654125011	0.006563490799999999	0.035673907000000005	0.1369053712	0.0472984554	0.19198476109999998	0.1007899757	0.012029901899999999	-0.0630453024	0.0333187086	-0.0421185379	0.06389367209999999	-0.0270345585	0.041137647799999996	0.047644027400000004	0.0527141173	0.0373849144	-0.1015233656	-0.0183571447	-0.056411602699999994	0.0305890152	0.0074823399	0.0992532009	0.0552620853	-0.0104866696	-0.051712461900000006	0.0804259654	-0.0268614839	0.011106101399999999	0.12270278849999999	-0.04439996190000002	-0.0529284851	0.1023965671	-0.0144211926	0.014188211000000001	0.1620094746	-0.0228938925	-0.0626436144	0.1781485815	0.0500563596	-0.0266260438	0.062821887	-0.0212450246	0.0490414879	-0.12142179609999999	0.0049264838	-0.0327282994	-0.058835299699999996	0.073088598	-0.0459478112	0.0519963265	-0.0418384772	-0.0033734471000000004	0.0034847065000000003	0.1617794145	-0.0094343751	-0.0037041884000000003	-0.0446362083	0.0525938825	0.0190277592	-0.0465586581	-0.0715319254	-0.0492178688	-0.0551642849	0.0490908103	0.1021054948	0.0324101958	0.039416441499999996	-0.0937012997	-0.0882964715	-0.0994767567	-0.0019071157999999999	-0.0255339589	0.10502540699999999	-0.0890662105	-0.119018725	-0.0262955073	0.0935085069	-0.0035979147999999996	0.1473274195	0.014870071799999999	-0.0386946323	0.0656108064	0.048765776799999994	-0.12334092890000001	-0.016751695100000002	0.0835118524	-0.055515105	0.11130772289999999	0.0170006118	-0.07412918360000001	-0.014041435500000001	-0.0338776669	0.1099379598	0.1064432791	0.10070086519999999	0.09283197900000001	-0.033088900000000004	0.004953399999999997	0.0010948753032100002	2.4536171559999968e-05	0.0739313	0.0455898	0.00207842986404	0.0054658371196899995	-0.0392985	-0.001423699999999993	2.0269216899999802e-06	0.00154437210225	0.00505567	-0.0007415	5.498222499999999e-07	2.55597991489e-05	0.0006823469999999999	0.0	0.0	4.6559742840899994e-07	-0.0006581139999999999	0.00027451700000000016	7.535958328900009e-08	4.331140369959999e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35522.83203125	-61.8515625	3825.6157836914062	1261871595.520401	22918.005859375	-0.0546875	525234992.5703468	0.00299072265625	23242.3671875	12.353515625	540207632.4785767	152.6093482971191	1.08776	18.640852	0.06903794999999997	0.0094274123	0.062468385700000004	-0.0753539961	0.0588941734	-0.0017906565	-0.0839793143	0.0137204075	-0.0726169406	0.0623536858	-0.0239068878	0.0222177683	0.0574591784	-0.0437987179	0.023534645899999998	-0.1256780374	-0.0109380085	-0.0232601537	-0.041448953999999996	-0.0003114532	0.146755233	0.0902636346	-0.0818282428	0.0027233096000000004	-0.0088105045	-0.0113202652	0.1046069614	-0.0849480215	-0.0046600464	0.0336733794	-0.0873949048	0.11590574099999999	0.010503274299999999	0.0012812308	-0.1332760651	0.0029212953999999997	-0.1110565462	-0.0352602148	0.0025109387	-0.024652256299999998	0.0071363669	-0.0057437342	-0.0195935857	0.0661143556	0.0888816735	0.062369253300000004	-0.0441525174	-0.10618732410000001	0.196592968	0.0661707683	0.0085561611	0.015535989299999999	0.047729972999999995	0.0105006873	0.030801872	0.09326129779999999	0.0291637765	-0.0554203419	0.1512536934	-0.0394020698	-0.05831615	0.030019964700000002	-0.0022626473	-0.019058327	0.0465545954	-0.0133903345	0.0661325165	-0.1327731041	-0.012114728	0.0257512996	0.025377790600000002	0.0394256019	-0.0572841695	0.023418272099999998	-0.048618210599999996	0.01099402	0.0029091232	-0.0122891293	-0.09050066970000001	0.037585173900000005	-0.07022367780000001	-0.050792836200000004	0.043946004500000004	-0.0883328282	-0.051314414800000006	0.015507206200000003	0.09380565910000001	0.1417517227	0.0036117034999999997	0.1135242735	-0.1114177225	0.027942494100000003	0.027749868900000002	0.0007198428999999999	-0.021737325699999997	-0.0298923983	-0.015954584299999998	0.018734768500000002	-0.0693433679	-0.1410645687	0.0035497065000000007	-0.08847517070000001	0.0283817015	-0.042994864	-0.000448444	-0.071391755	-0.1391378788	-0.0026648313	0.11960213619999999	0.0708957842	-0.1498429124	0.0605288821	-0.0322721753	-0.0261059535	-0.0298699903	-0.0051635059	0.1096050192	0.105127573	0.09780015460000001	0.08782140769999999	-0.0374412	-0.0043522999999999964	0.0014018434574400002	1.894251528999997e-05	0.116769	0.042837700000000006	0.0018350685412900005	0.013634999361000004	-0.0418012	-0.002502699999999997	6.2635072899999824e-06	0.0017473403214399994	0.0049636	-9.206999999999965e-05	8.476884899999936e-09	2.4637324960000005e-05	0.000687943	5.596000000000073e-06	3.131521600000082e-11	4.73265571249e-07	-0.000368875	0.00028923899999999984	8.365919912099994e-08	1.36068765625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
