csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36
33737.34375	n/a	n/a	1138208363.305664	22225.15625	n/a	n/a	493957570.33691406	22678.09375	n/a	514295936.13378906	n/a	n/a	n/a	n/a	-0.029446343700000002	-0.1134846133	-0.0543932585	-0.0058571252	0.027756547799999996	-0.068555054	-0.004350142800000001	0.12842577119999998	-0.0349982447	0.0327004892	0.0052327855	-0.0123139284	0.0406993619	-0.0839041133	0.0800909432	-0.0151397505	0.0043047077	-0.0064872516000000005	0.053127165	-0.0487528322	0.011204776000000001	0.0030231127000000003	-0.0306887962	0.1033706551	-0.0405491543	0.1223267717	-0.1156188016	0.0449575468	-0.0192005151	0.1507313907	-0.08444110880000001	0.0079743981	-0.011650973200000001	0.1008378822	-0.0243838756	0.026573779500000002	-0.0867173441	0.0200787729	-0.0616267824	0.024753822999999998	-0.0810217584	0.054164742300000006	0.1012296988	-0.046667140999999995	-0.0038084226	0.0780689765	0.0562100713	-0.007602492	-0.0995459616	0.06513478219999999	-0.17543410850000002	-0.1044321096	0.029413323300000002	0.0591172751	0.0222473823	-0.0150315477	-0.046655906799999994	0.0272347113	-0.037436517	-0.10219466279999999	0.0077638801	0.05124628639999999	0.044499235	-0.0070507984	0.0013083881	0.0706722278	-0.043531222300000005	0.0167565561	-0.1084577409	0.031817084100000004	0.0361492266	-0.027113997	0.0625991777	-0.0876649788	0.024313001400000003	-0.0811277529	0.0360077915	-0.046936768499999997	0.0216096933	-0.0211442102	0.0529517815	0.0392601482	-0.07652762440000001	0.031952807	-0.0382466817	0.0864449308	-0.0804789936	0.1184112995	-0.07005800429999999	0.044232952400000004	-0.041761350499999995	0.0639300362	-0.10183006359999999	0.0302747693	-0.172486232	0.10438604679999999	-0.1271589447	0.0096506584	-0.05308368980000002	-0.0059670148999999995	0.0508668251	-0.022178922400000002	-0.0296374448	0.0345821243	0.0322932785	-0.0792263734	-0.042435913	0.037052714900000006	0.032591527	-0.050185630700000004	-0.015375268899999999	0.11631657849999999	-0.0339900654	-0.0261744187	0.039897566	0.058828718099999996	-0.0011251844000000001	0.0999969158	0.09998766320000001	0.099972243	0.099950656	0.09992290359999999	-4.91546e-05	n/a	2.41617470116e-09	n/a	-0.08172239999999999	n/a	n/a	0.006678550661759998	0.0534841	n/a	0.0028605489528100003	n/a	-0.000532978	n/a	2.84065548484e-07	n/a	0.000394075	n/a	n/a	1.55295105625e-07	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33976.92578125	239.58203125	57399.54969787598	1154431485.5445712	22232.41796875	7.26171875	52.73255920410156	494280408.7371979	22677.658203125	-0.435546875	514276181.5777626	0.1897010803222656	1.299799	24.434992	0.033326301100000004	-0.074408751	-0.0014932441	0.082510793	0.006232830500000001	0.0732853818	-0.0046969792	0.0733012356	-0.0212035756	0.0016613522	0.0902058127	0.0022373663	0.0380846473	0.0499974121	-0.1533858504	-0.038077286099999996	0.0052222748	-0.0726749208	0.0443100771	-0.056678275099999995	-0.0034856726	0.057673681799999994	-0.0123401552	0.013324208999999998	-0.08578697689999999	0.0264504694	0.0081191505	0.08098022	-0.0503108506	0.0023219494	-0.057412091799999995	-0.0167584505	0.09656552460000001	0.045925052	-0.053071931600000004	0.0298961708	-0.1158023226	-0.0242880122	0.0151595724	-0.084876131	-0.12001124449999999	-0.0185983492	0.09620048380000001	0.1000342516	-0.0102743204	0.0781003299	-0.17910363149999994	0.0246443473	-0.0363014271	-0.005798493199999999	-0.0713018074	0.0375053652	-0.0416705575	0.2349759448	0.0873317313	0.1710514711	-0.0078437226	-0.09927974310000001	0.1017324285	-0.0799208267	0.058771373499999995	-0.048950289400000006	0.0417697868	0.0496739004	1.1273099999999999e-05	-0.0813691349	0.0151077322	-0.0330198057	0.010793766299999999	0.0383910991	0.0624009662	-0.0354883312	0.0452658321	0.0294310169	-0.10222603460000004	-0.16573035279999998	-0.0836087324	0.0041051721	-0.0813594148	-0.013555918600000001	0.0306560433	-0.0306334484	0.0103469428	-0.0336614554	-0.08292566030000001	0.0541841329	-0.0850315362	0.08659802470000001	-0.07601806679999999	0.07583932980000001	-0.0835008905	-0.0234122927	0.0422571095	0.0142249823	-0.0672677889	0.0082736659	0.0087275831	0.0015843335	0.07438505849999999	0.0477046387	-0.0629421332	0.12321783369999999	-0.09499166810000001	0.0599549884	0.061342475999999986	-0.0464696697	-0.061314483600000004	0.1310902075	-0.12970566630000002	0.049402280800000004	-0.051356151399999994	0.001848784	-0.0091481406	0.1008193997	-0.0160735869	-0.10564924769999999	0.20711615960000002	-0.042551898899999996	0.099972243	0.0998889875	0.0997502796	0.0995561965	0.09930684570000001	-3.24535e-05	1.6701100000000002e-05	1.0532296622499997e-09	2.7892674121000005e-10	-0.066691	0.015031399999999988	0.0002259429859599996	0.004447689481	0.0589903	0.005506200000000003	0.0034798554940900003	3.031823844000003e-05	-0.000772537	-0.000239559	5.96813416369e-07	5.7388514480999996e-08	0.000409956	1.588099999999998e-05	2.5220616099999933e-10	1.68063921936e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33794.1640625	-182.76171875	33401.8458404541	1142045524.6831665	22188.49609375	-43.921875	1929.131103515625	492329358.902359	22683.09765625	5.439453125	514522919.28297424	29.587650299072266	1.137476	21.383465	0.056227106500000006	0.0320378228	0.0006698357	0.0762694083	-0.0478053217	0.0655719411	0.0784814539	-0.014254168400000001	-0.0723833741	-0.0067755526	0.024462997	0.0881899687	0.1120304224	0.0904093826	-0.12242568279999999	-0.021177839900000002	0.0590712384	0.052724544000000005	0.0911506447	0.0078317638	0.049607445099999994	0.0175648569	-0.011184628899999998	0.0230681692	-0.09769105130000001	0.0085662714	0.0439570628	0.0991798216	0.09845924699999999	-0.0096418325	-0.074805607	-0.050828741100000005	-0.0860334983	-0.0670747922	0.0204753261	-0.0119390937	-0.048911095	0.0189654763	0.0339491677	0.0708211057	0.1172291448	-0.007773193199999999	0.11928352619999999	-0.0288891189	-0.0030529033	-0.0360582123	-0.007134952	-0.0802247196	-0.030125016600000002	-0.0184335148	0.050031747	0.07295897059999999	-0.0415301635	-0.007844902800000001	-0.0782259231	-0.0026660934	0.0591251268	-0.064009155	-0.0447689391	0.0278359282	0.0336022533	-0.0589043995	-0.0182960369	0.1094613458	-0.0502273561	-0.08177958099999999	-0.060965064900000004	0.0544505546	-0.0167547368	0.0578417188	0.023760537999999998	0.1196527255	0.0869749298	0.1009303114	-0.08521664820000001	-0.0469437914	0.015455906100000001	-0.06871964559999999	-0.0840442828	-0.0245517484	-0.0366223817	-0.036980888999999996	0.0191167823	-0.0373290463	-0.1558083033	0.0596289146	-0.0384901239	0.08633062679999999	0.09544159349999999	0.048092448499999996	0.064239294	0.016210826499999997	0.013790076799999999	0.0269719761	0.0477101012	0.0267712305	-0.0803552666	0.1012555577	0.055276047300000006	-0.006539250799999999	0.027157744100000002	-0.0479489353	0.054793823	-0.0335669725	-0.18764174530000002	0.0148119428	-0.055739963200000006	-0.0623222179	-0.0013605494	0.0172827047	-0.037645241	0.1058226118	-0.0267189856	0.0580371812	0.045832284	0.08804309310000001	0.0366187071	0.0378907179	0.09992290359999999	0.0996917334	0.09930684570000001	0.09876883410000001	0.09807852800000001	-0.00232621	-0.0022937565	5.4112529641e-06	5.2613188812922485e-06	-0.0392392	0.0274518	0.0007536013232399999	0.0015397148166400002	0.0534931	-0.005497200000000001	0.00286151174761	3.0219207840000012e-05	-0.000782268	-9.731000000000019e-06	6.11943223824e-07	9.469236100000036e-11	-0.0	-0.000409956	1.68063921936e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33819.15234375	24.98828125	624.4141998291017	1143735065.249771	22207.3671875	18.87109375	356.11817932128906	493167157.40045166	22715.228515625	32.130859375	515981606.5170632	1032.3921241760254	1.228684	23.098083	0.0690154734	0.0745927784	0.027544431600000002	-0.0078712572	-0.052415340199999993	-0.0096369497	0.0917608691	-0.034483728	-0.015912387099999998	-0.0823484637	0.1384589322	0.106956711	0.0670273637	-0.0388788115	-0.0786046059	0.050234031299999996	-0.0797445476	0.035244223	0.0378470287	-0.0073300071	-0.0783013351	0.005597745699999999	0.0141661274	0.022168309	0.0133581022	0.0022279645	0.0280043467	0.0160191581	-0.0266278077	0.0379768354	0.11220990130000001	0.0535367516	0.0049757039000000005	-0.0706738039	0.2028206328	-0.1056063539	-0.0109407465	0.0328243161	0.0435916774	-0.0150770077	0.15249013320000002	0.0029816256	0.0955677393	-0.0134888016	-0.0777980163	0.09961551449999999	-0.0351956119	0.0510721487	0.1628168465	-0.0308119762	-0.0966680685	0.1312695399	-0.0258558997	-0.0360301535	0.0372702571	-0.035484942900000004	0.08485868519999999	-0.073596291	-0.11539470240000001	0.0762834879	-0.0012032548	0.0235743193	-0.0283263254	0.0996388961	-0.048988608600000004	-0.012589945	-0.086697997	0.0364357472	-0.0405726846	-0.0149825005	0.193815133	0.0782304081	0.006194461700000001	-0.014959479599999999	-0.09076821859999999	-0.0357644785	0.049708460499999996	0.0865604285	0.0057994055	0.0114064254	-0.0039975556	-0.0030467275	0.0877347334	-0.011533852399999999	-0.059572255	-0.016401350500000002	-0.0027201275	0.007038640600000002	0.047433417900000004	-0.1110716738	0.0632449042	0.1141883016	0.0149360043	0.0063680117000000005	0.1292965509	-0.0454259416	0.09232170220000001	0.0308978215	-0.0712894865	-0.0696378006	0.099554578	0.1031387448	-0.0441226121	-0.016616618899999998	-0.0592910418	-0.09044453050000001	-0.09182248470000001	-0.0376888346	-0.12971768720000001	-0.1085812395	-0.0723446841	0.1305356442	0.0299066456	-0.1437864612	0.07868750940000001	0.0489095737	0.0272999283	0.015246874399999999	0.0998489097	0.0993960955	0.09864292570000001	0.09759167619999999	0.0962455236	-3.65866e-05	0.0022896234	1.33857929956e-09	5.2423753138275585e-06	-0.07197519999999999	-0.03273599999999999	0.0010716456959999991	0.0051804294150399974	0.0706658	0.0171727	0.004993655289640001	0.00029490162529000004	-0.000841756	-5.948800000000001e-05	7.085531635359999e-07	3.5388221440000014e-09	0.000276855	0.000276855	7.6648691025e-08	7.6648691025e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33798.8125	-20.33984375	413.70924377441406	1142359726.4101562	22226.84765625	19.48046875	379.48866271972656	494032756.7341461	22741.630859375	26.40234375	517181774.14407736	697.0837554931641	0.950775	17.873663	0.07435282451	0.100854212	0.054222069000000005	-0.0014700828	-0.0290583114	-0.052350854800000006	0.0421795159	0.0231692766	-0.0221300909	0.048909206399999995	-0.0398410784	0.0760619523	0.1763763221	-0.0473142609	0.0600632516	0.0074679386	-0.0391283094	0.0310436157	0.0702443676	-0.0450069756	0.08582961880000001	-0.12919526369999998	-0.0393761852	0.0240816058	-0.027517977000000002	-0.0039924712	-0.0702096909	-0.0168453754	-0.0784556854	0.0790653843	0.0245847352	0.013972175600000001	-0.09088184490000001	-0.1042951152	-0.0358312239	0.0994014968	-0.048176888200000004	-0.0913515639	0.147056235	0.0914884166	0.11994636730000001	-0.0495412391	-0.0949638093	-0.0492280516	0.0189272825	-0.0822181472	0.0617805499	0.0331945252	0.0084387856	-0.0328006548	-0.04377897309999999	-0.074191066	0.0604028233	0.0744108119	-0.0755152102	-0.08642734279999999	-0.049784889400000004	0.00047797769999999995	-0.08505715259999999	0.1081396276	0.052787657	0.007868664499999999	0.0157020005	0.0202446896	-0.023819505499999997	0.0373320748	-0.0374925799	-0.023516498700000003	-0.0060006352	0.0592235029	-0.0118812052	0.1230118418	0.1137917133	-0.10986012369999999	-0.009192792	0.030523271600000002	0.12121391140000001	-0.0231045223	0.0759491522	-0.059907590199999985	-0.09415816619999999	0.0148776137	-0.029956984	0.0802715012	-0.0093161424	-0.0400812698	-0.0075955553	0.0048732603000000005	-0.0896484148	-0.1031711303	0.127129457	0.0517440588	0.0955589607	-0.0815031104	-0.0552736671	-0.0182515813	0.10234377830000001	0.014424658799999997	0.046509437199999996	0.0522522637	0.0535016549	-0.0826383536	0.085747955	-0.012610205	-0.028250461600000002	-0.0524215971	0.0377420752	-0.0873228723	-0.011155478500000001	-0.0796245028	0.0158989905	-0.0402753331	-0.1925666824	0.17027588289999998	0.0138599265	0.044716815800000004	-0.0089620059	0.0051080284999999994	0.0997502796	0.0990023658	0.09775999380000001	0.0960293686	0.0938191336	-3.00709e-06	3.357950999999999e-05	9.042590268099999e-12	1.1275834918400999e-09	-0.04428	0.02769519999999999	0.0007670241030399994	0.0019607184	0.0440187	-0.02664710000000001	0.0019376459496899996	0.0007100679384100004	-0.00066827	0.00017348600000000004	4.465847929e-07	3.0097392196000017e-08	5.08021e-05	-0.0002260529	5.109991359841e-08	2.58085336441e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33750.2890625	-48.5234375	2354.5239868164067	1139082011.8023071	22180.9453125	-45.90234375	2107.025161743164	491994334.9561157	22772.716796875	31.0859375	518596630.3106728	966.3355102539062	1.060443	19.935312	0.10976666291	0.0692993921	0.053554883600000006	-0.0386353006	-0.1187082198	-0.16833147739999998	-0.09092877	0.0277867514	0.020060153600000002	-0.0296599012	-0.0454276877	0.0243988493	0.0961049831	0.0594906914	0.0719362342	-0.0090084692	-0.0833106625	-0.0547214105	0.0025566298	-0.029586819500000007	-0.0202634544	0.0286839648	-0.0956735775	0.028199142599999998	0.0178953553	-0.034651608	0.0498926563	-0.0451179695	-0.0898076366	0.09198182070000001	0.0258212234	0.11049298199999999	-0.0524133334	-0.1132904376	-0.044114035	0.063746275	0.0177650322	0.049513858499999994	-0.0050851877	0.0670022517	0.1430956081	0.067505841	-0.0271312334	-0.0391542833	0.128647327	0.1414535505	-0.1240346556	0.0719121054	-0.044164181100000005	-0.026082757400000003	0.1351435556	-0.1432253234	-0.07315299110000001	0.0316646301	0.0999757102	-0.0171860358	0.025142659700000004	0.10737370199999999	0.13797211939999998	0.0727130492	0.024005369500000002	0.0416039824	0.0009961103	-0.0758364086	-0.120894926	0.1755272825	0.055802324800000004	-0.0424345209	-0.055391244299999996	0.01189621	0.0008081763000000001	0.0511247233	0.1200265355	-0.0320021394	0.0326878664	0.025017605800000002	-0.0164933497	0.0819012572	0.0663474133	0.1056466915	0.011935731000000002	-0.021706863700000002	-0.0045687039	0.004513862800000001	-0.012682690200000001	-0.0837315226	0.0827997907	-0.0835403228	-0.0712329553	-0.0160460473	0.04711439940000002	0.0771905923	0.0446359682	0.08750554	-0.0619256965	0.1026101269	0.0411698405	-0.0066750045	-0.055959391399999996	0.0465073277	0.12350192439999999	0.03333231	0.19030609980000002	0.0211523233	0.0056737076	-0.1460121498	-0.053267981799999996	0.1491219923	0.0099943416	0.10004061980000001	-0.040263727400000004	-0.0172706339	0.1182720752	-0.022211676099999998	-0.0823445012	0.0643631741	0.036290809300000004	-0.030452535899999997	0.0996270376	0.0985109326	0.0966600102	0.0940880769	0.0908143174	-0.00552078	-0.0055177729100000005	3.04790118084e-05	3.0445817886329878e-05	-0.126148	-0.08186800000000001	0.006702369424000002	0.015913317904000003	0.0365746	-0.007444099999999995	0.0013377013651599998	5.5414624809999923e-05	-0.000517519	0.00015075099999999994	2.678259153610001e-07	2.272586400099999e-08	7.052189999999999e-05	1.9719799999999994e-05	3.8887051203999983e-10	4.973338379609999e-09	-0.000128265	-0.000128265	1.6451910224999997e-08	1.6451910224999997e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34094.29296875	344.00390625	118338.6875152588	1162420813.0389555	22277.9609375	97.015625	9412.031494140623	496307543.5327759	22791.341796875	18.625	519445260.90198135	346.890625	1.1706379999999998	22.006884	0.15305974500000002	-0.0689583471	0.11479785990000001	-0.0517397273	0.068115902	-0.042411848700000004	0.040751064	0.09192755359999999	0.0836340013	0.097822946	-0.0676550757	0.027399544799999998	0.0345814677	-0.058523523	0.024939336800000003	-0.0409765511	0.013848558600000001	-0.0451731046	0.0584631054	0.010616949799999999	-0.018132629299999998	-0.0065047477	-0.0363074115	-0.045907115899999996	-0.0680677767	0.10014802560000001	-0.0823321633	0.0372454489	-0.11337484199999999	-0.075751928	-0.0340997893	0.052280845199999995	-0.0628326313	0.0813951282	-0.0666476646	0.012993153600000001	0.07836570030000001	0.0792454037	0.0402732289	-0.07684394280000001	0.0525015109	0.0661380409	-0.136053053	0.0059362742	-0.0988661666	-0.1333564279	0.0375133144	0.09033727609999999	0.008957900100000001	-0.0705902621	0.0792577448	-0.0643379058	0.059061028700000004	-0.026801289300000003	-0.0101831662	0.0185739613	-0.1169810137	-0.025426633900000002	-0.12609380550000002	-0.0472297135	0.0590713121	0.1310025797	0.0835395905	-0.0638445636	0.07395768929999999	0.0205523254	-0.038439899	-0.13619308289999998	0.0565954632	0.026453823900000003	-0.0433541979	0.032038476600000004	0.0275438335	-0.0987891498	0.0239074907	-0.025572888999999998	0.0216333964	-0.0380376289	-0.0313211542	-0.0174919617	-0.0728911919	-0.0165920074	0.0104873765	-0.0176552604	0.029050128300000002	-0.029564041699999998	-0.0004922701	0.0584354734	-0.08287129780000001	-0.106228096	-0.041274856299999996	0.0087312135	-0.0497878529	0.1073756301	-0.009600247099999999	0.17055213519999998	0.1082246579	-0.0311589394	0.0037302444	-0.0402916819	-0.005689565	0.0325383329	-0.0450174245	0.1159293662	-0.0264201558	0.1028906543	0.17307342760000002	-0.1039093094	0.0455128011	-0.0645389691	-0.06279652150000001	-0.0634807466	-0.16406210000000002	-0.011348149699999999	-0.0039731284	-0.0076151525	-0.0008125064999999999	-0.06722563969999999	0.0994792142	0.0979222811	0.0953454172	0.0917754626	0.0872496007	-0.00569632	-0.00017554000000000007	3.244806154240001e-05	3.081429160000003e-08	-0.0079889	0.11815910000000003	0.013961572912810005	6.382252321e-05	0.0218857	-0.014688899999999996	0.00047898386449	0.00021576378320999995	-0.0007805429999999998	-0.0002630239999999997	6.092473748489996e-07	6.918162457599985e-08	0.000139728	6.92061e-05	4.789484277209998e-09	1.9523913984e-08	-0.000196759	-6.849400000000003e-05	4.691428036000003e-09	3.8714104081000006e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33781.0	-313.29296875	98152.48426818848	1141155961.0	22286.103515625	8.142578125	66.30157852172853	496670409.90915304	22766.1484375	-25.193359375	518297514.6782837	634.7053565979004	1.189775	22.366648	0.0996810922	-0.011545773899999999	0.06595231309999999	0.09445327630000001	0.10671490550000001	0.0209211511	0.0034963579999999998	0.06291524820000001	-0.051796784900000004	0.0935245813	-0.1016922258	-0.0585970785	0.028754568900000006	-0.1417581681	0.0420909181	-0.0614797812	0.1067923286	0.0069072092	0.11482833199999999	-0.036022052	0.0374236474	-0.0082940571	-0.0658324391	-0.046132512599999995	0.0804329723	-0.0894153218	-0.0584977334	0.0048192645	0.0056721598	0.009095673299999999	0.0249341585	0.0221508027	-0.010770056	0.0289224889	-0.1135881312	-0.0514906433	0.09429404640000001	-0.0270487003	0.0069039706999999995	-0.1787180622	0.0001678505	-0.049750008899999996	-0.08647709210000001	-0.0243529975	-0.029545731000000002	-0.0582500117	-0.0502578893	-0.1574995935	0.1054144318	0.05299735	-0.0757107393	-0.0319176633	-0.0224818767	0.0122586394	0.028759215600000002	-0.0740644133	-0.0993982978	0.0992697963	-0.0021892897	-0.016185236000000002	0.11584593289999999	-0.032037936600000004	-0.0389519724	-0.07363347860000001	0.10896424880000001	-0.0205274589	0.0211324191	-0.038173855699999995	-0.0074613267000000014	0.0349364584	-0.10108407369999999	-0.050907879	0.0203888841	-0.1521357032	0.0089175681	0.0271741035	0.0478821426	-0.173945915	0.0307736027	-0.1015072364	-0.0415542302	-0.025142123500000002	-0.06745181360000001	-0.018459473	0.0143884349	-0.1041304497	-0.0876225367	-0.0433458868	-0.036745209300000005	0.13061133119999999	-0.0058259507	0.028335985	-0.056572943099999995	-0.0439062637	-0.016280447	0.0242273466	-0.014626788500000001	-0.0877617283	0.0633079174	-0.046486708	0.0483687941	0.014072369	-0.08982854039999999	-0.0756606886	0.0649882537	-0.0266031115	0.1245584241	-0.0323150118	0.0658449207	0.0119214781	-0.1008591152	0.0673843759	-0.00354177	0.09278518960000001	-0.0569477879	-0.013804780800000001	-0.0730751379	-0.0455720612	0.09930684570000001	0.097236992	0.0938191336	0.08910065240000001	0.08314696120000001	1.03722e-05	0.005706692199999999	1.0758253284e-10	3.2566335865540843e-05	-0.0428852	-0.034896300000000005	0.00121775175369	0.00183914037904	-0.0133658	-0.0352515	0.00017864460963999996	0.00124266825225	-0.0007532959999999997	2.72470000000001e-05	5.674548636159994e-07	7.423990090000054e-10	-0.00016486599999999998	-0.00030459399999999994	9.277750483599997e-08	2.7180797955999996e-08	-0.00034145	-0.00014469099999999996	2.0935485480999988e-08	1.165881025e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
