onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0138	1.6288	control	1.6288	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
15.022	1.0944999999999983	control	1.0944999999999983	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.0302	1.2451000000000008	control	1.2451000000000008	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0384	0.7837999999999994	control	0.7837999999999994	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0466	1.0283999999999978	control	1.0283999999999978	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0548	1.357999999999997	control	1.357999999999997	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.063	1.9665999999999997	emotion	1.9665999999999997	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0712	2.8083000000000027	emotion	2.8083000000000027	right	correct	n/a	male	black	black	black	anger
50.0794	1.3100000000000023	emotion	1.3100000000000023	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0877	1.9795000000000016	emotion	1.9795000000000016	left	correct	n/a	male	black	black	black	fear
60.0959	3.0341000000000022	emotion	3.0341000000000022	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1041	2.063699999999997	emotion	2.063699999999997	right	correct	n/a	female	asian	black	asian	fear
70.1123	1.3643999999999892	control	1.3643999999999892	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1205	0.8060999999999865	control	0.8060999999999865	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1287	0.7737000000000052	control	0.7737000000000052	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1369	0.7404000000000082	control	0.7404000000000082	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
90.1451	0.7129999999999939	control	0.7129999999999939	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1533	1.1876000000000033	control	1.1876000000000033	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.1615	2.18419999999999	emotion	2.18419999999999	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1697	1.8208999999999946	emotion	1.8208999999999946	left	correct	n/a	male	black	black	black	anger
110.1779	1.5955000000000013	emotion	1.5955000000000013	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1861	1.6261999999999972	emotion	1.6261999999999972	right	correct	n/a	male	black	black	black	fear
120.1943	1.210800000000006	emotion	1.210800000000006	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2025	1.2934000000000054	emotion	1.2934000000000054	left	correct	n/a	female	asian	black	asian	anger
130.2107	1.0601000000000056	control	1.0601000000000056	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
135.2189	0.7117000000000075	control	0.7117000000000075	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
140.2271	0.6923999999999921	control	0.6923999999999921	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2353	0.9730000000000132	control	0.9730000000000132	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2435	1.1545999999999879	control	1.1545999999999879	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.2517	0.5833000000000084	control	0.5833000000000084	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2599	1.5579000000000178	emotion	1.5579000000000178	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2681	1.7295000000000016	emotion	1.7295000000000016	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2763	2.1721000000000004	emotion	2.1721000000000004	right	correct	n/a	male	black	black	black	anger
175.2845	1.7127999999999872	emotion	1.7127999999999872	left	correct	n/a	female	black	asian	asian	anger
180.2927	1.2675000000000125	emotion	1.2675000000000125	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3009	1.0060999999999751	emotion	1.0060999999999751	right	correct	n/a	female	asian	asian	black	fear
190.3091	1.0738000000000056	control	1.0738000000000056	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.3173	0.754400000000004	control	0.754400000000004	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3255	0.7019999999999982	control	0.7019999999999982	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3337	0.7985999999999933	control	0.7985999999999933	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
210.3419	1.3362999999999943	control	1.3362999999999943	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3501	1.0329000000000121	control	1.0329000000000121	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.3583	1.4325999999999794	emotion	1.4325999999999794	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3665	1.2672000000000025	emotion	1.2672000000000025	left	correct	n/a	female	black	asian	asian	fear
230.3748	1.3336999999999932	emotion	1.3336999999999932	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.383	1.3393999999999835	emotion	1.3393999999999835	left	correct	n/a	male	black	black	black	fear
240.3912	1.5879999999999939	emotion	1.5879999999999939	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3994	1.2436999999999898	emotion	1.2436999999999898	right	correct	n/a	female	asian	asian	black	anger
