csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14
31951.189453125	n/a	1020878507.4694864	n/a	18961.9296875	n/a	359554777.47369385	n/a	19780.44921875	n/a	391266171.2955475	n/a	n/a	n/a	n/a	-0.054721249699999995	0.09240927410000001	-0.0760996924	-0.0738206963	0.1209074251	-0.11881999210000001	0.0923349381	-0.1208450239	0.10545107570000001	-0.1396962913	0.10938736119999999	-0.24288613050000002	0.0175106918	-0.0865651016	-0.08750379050000001	0.126631389	-0.19133662710000002	0.022523376600000002	-0.0800913314	0.0268329664	-0.0513505767	0.016989857	-0.051533184800000006	0.0401547857	-0.029321122400000007	0.0598691054	-0.031775279100000005	0.18248384399999998	-0.027631450099999996	0.037114549	-0.0655202894	0.0723137986	-0.0913482099	0.00369803	-0.2001737221	0.2552346665	-0.0621224057	0.0568518789	-0.0405359008	0.0292318202	-0.0204839429	0.0099991797	-0.08184210730000001	0.042812743	-0.0120217924	-0.0582811749	0.15070819970000002	-0.0623781305	0.0262885073	0.0912797987	-0.0054843252	-0.057923854000000004	0.014197327099999999	0.0691291708	-0.004770443	-0.0330529681	0.0025499996	0.0379595534	-0.1184400128	-0.04516010980000002	0.07872047929999999	-0.00125453	-0.0209987506	-0.0385120682	0.058120462699999986	0.058162009	-0.078496888	-0.12183954359999999	0.11968205470000001	0.0461748037	-0.0284460123	-0.028116650099999998	0.0269216415	0.011622165	-0.07553351	0.0173148747	-0.0941489928	0.0038263384999999996	-0.1011081498	0.19916670530000002	-0.0812639796	0.12867636359999998	-0.0788217263	0.1838038031	-0.0066915253	-0.10673926130000001	0.0793256536	-0.1091167976	0.0238896482	-0.212144655	0.124695134	-0.0831471663	0.11212743300000001	-0.0618881467	0.0661982243	-0.014877421100000001	0.0841018579	-0.1005464952	0.0323639426	-0.012496860700000001	0.0234646757	0.0814105387	-0.17386276690000002	-0.0121324858	0.0850688191	-0.0780364621	0.0362424034	-0.0031614035	0.10764058859999999	-0.12185284560000001	0.0221600066	-0.0176968148	0.0713833131	-0.1668977348	0.0183855437	-0.0014676592000000001	0.0011199089	-0.055033347	-0.0766661858	0.0161426103	-0.0143453739	0.0675424492	-0.1295278751	0.0264962174	-0.14127588970000002	0.10894839460000001	0.0264321228	-0.0549928363	-0.028751255400000002	0.0696892693	-0.0944528865	-0.036886526	-0.015075893200000001	0.14519669400000002	-0.1505978192	-0.031468928199999996	0.0069201254	0.0181599812	0.006840605400000001	-0.0032190849	-0.09997136390000001	0.0769306837	-0.1848923151	-0.0089132457	0.052448028499999994	0.0143220302	0.0207457444	0.055981519900000005	-0.0676752225	-0.0322568423	0.0641825723	0.0636353048	-0.0094218697	-0.0300252833	0.0903489333	0.0903433624	0.09033407789999999	0.09032108009999999	0.0903043695	0.0902839469	-0.000211627	n/a	n/a	4.478598712900001e-08	-0.0602241	n/a	0.00362694222081	n/a	0.0817491	n/a	0.006682915350810001	n/a	-0.00384237	n/a	n/a	1.47638072169e-05	0.00126882	n/a	n/a	1.6099041924e-06	0.000604214	n/a	3.650745577960001e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31899.099609375	-52.08984375	1017552555.8888283	2713.351821899414	18952.908203125	-9.021484375	359212729.35608286	81.38718032836914	19705.1640625	-75.28515625	388293490.7300415	5667.854751586914	1.60784	29.714729	0.20718791600000006	0.14027758710000002	0.0345294014	-0.0583807084	0.0786509918	0.050570693099999994	-0.11806463810000001	0.1024541298	0.0083891872	0.1478547703	-0.0671320722	-0.021776515	-0.1269848222	0.04845988389999999	0.0038376190000000004	0.025738546	0.084208843	-0.07043421379999999	-0.0409823592	-0.0784177221	-0.08943659179999999	-0.0710753271	-0.0103596142	0.0229224606	0.09612007980000001	-0.0688214734	0.0977399699	0.04304907400000002	0.0028833909000000003	0.0692853045	0.014987916399999999	-0.0912454224	0.022457759900000002	0.0037277586	0.16796428289999998	-0.0036941622999999996	0.049241037599999996	-0.10163375960000001	-0.061273079	0.1111876309	0.0365751884	0.0023219639	-0.11058704650000001	-0.042908855	0.0909607225	-0.0573339945	0.0404657925	-0.0287121083	-0.0035901514000000008	0.020557023	-0.0680611585	-0.0480745611	-0.0857147164	-0.1306331466	0.06050525230000001	-0.0072143837	0.0744187129	-0.0900515734	-0.0470162011	0.1205098543	0.0111743188	-0.0743427391	0.0129619108	0.0222676974	-0.0413677821	0.0294156438	-0.1220897548	0.0813884635	0.021197994700000004	3.86927e-05	0.030363556899999998	0.0974399838	0.12655462779999999	-0.029938905	0.0873843626	0.1065169564	0.0620077824	-0.0701382608	0.09422100900000001	-0.0830175996	0.1046759286	-0.1414916067	0.0867209776	0.0313142495	0.15104241710000002	-0.0625865606	0.0013578684	0.1429454196	0.024615468199999997	-0.0143808535	-0.0794191046	-0.0092258515	0.029379205	-0.0148458006	-0.038380795	0.0211579546	-0.1004099866	0.0961535269	-0.1131909879	0.0112409762	0.0032482347	0.0812754407	0.0198473558	-0.013598775700000001	0.0044407494	-0.012952361499999999	0.0403589629	-0.0180114714	0.024044407	0.0829629644	-0.0404961262	-0.09177118	0.0065082816000000005	0.0548572393	-0.1277048291	0.0877272297	-0.057554978799999996	0.014813853899999996	-0.0806556113	-0.0956117721	0.0271242785	-0.0173688055	-0.0283671287	0.026721169399999998	-0.0370100603	0.1373032767	-0.0613540312	0.0709532101	0.018171261799999998	0.0665700017	0.026818131499999998	0.0590054163	0.1605051765	-0.0835934053	-0.057190440099999997	-0.0464185559	-0.0099127416	0.0700291027	-0.0517303581	0.055962547300000005	-0.0215002216	0.0795353713	0.09734893060000001	0.093743446	-0.1378946512	-0.0356485961	-0.0241048788	-0.1106188994	0.033328227200000005	-0.0559365488	-0.0028902940000000003	-0.0009307018	-0.0867764016	0.08992155269999999	-0.0644883656	0.09033407789999999	0.0902839469	0.0902004158	0.09008351560000001	0.0899332895	0.08974979300000001	-0.000156871	5.4756000000000016e-05	2.9982195360000023e-09	2.4608510641e-08	-0.00676339	0.05346071	4.57434442921e-05	0.0028580475137040995	0.0743305	-0.007418600000000011	0.005525023230249999	5.503562596000017e-05	-0.00174349	0.00209888	4.4052972544e-06	3.039757380100001e-06	0.000738299	-0.0005305209999999999	2.8145253144099997e-07	5.45085413401e-07	0.000308538	-0.00029567600000000003	9.519569744400001e-08	8.742429697600003e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31700.841796875	-198.2578125	1004943370.6304971	39306.16021728516	18910.1484375	-42.759765625	357593713.9282837	1828.3975563049319	19625.54296875	-79.62109375	385161936.81825256	6339.518569946289	1.408792	26.03611	0.06010283800000001	0.0648991296	0.038970527000000005	0.0663798989	0.041687215	-0.014745116899999999	-0.0359516338	-0.05026989849999999	0.049159248899999994	0.1277533825	0.006802489100000001	-0.0016179895000000002	-0.0635726857	0.042332865899999995	-0.0072393539	-0.16922519870000002	0.06810384400000001	0.025458297799999998	0.0441581942	-0.12689691720000001	-0.0498422415	-0.0586003173	-0.0158385461	-0.10293759699999999	-0.000939218	-0.021773688599999997	-0.0157424601	0.0892200094	-0.0214296167	-0.1569935804	-0.1181708833	-0.055855539100000004	0.05243601639999999	0.0470113832	0.0340855085	-0.0346738852	-0.000279369	-0.0708099257	-0.006572941999999999	-0.0513376225	-0.026141560699999997	0.0667396348	0.0574878005	0.057674946399999996	0.0851736835	0.0429744915	-0.0113315858	-0.0212169674	0.1111190749	0.023117261	0.036442921	0.0209627706	0.1296766429	0.0183862767	-0.0857353649	-0.044503763700000004	0.0594785674	-0.0069261051	-0.0192968093	0.161111191	0.08762871130000001	-0.0929798967	0.0373086208	0.0647689905	-0.0889166016	-0.0629074404	0.0326482493	0.0094208686	0.0689300432	0.0578579546	-0.0052409797	-0.049003387999999995	0.0782364585	0.0061512345999999996	-0.0267618552	0.0595761971	0.076044073	0.0610222838	0.0567042302	-0.079390966	0.0487033013	0.013113763799999999	0.0100209699	0.0173160054	-0.00051806	0.012423181699999999	-0.0048962838	0.1498055564	0.0087386711	-0.0706534223	-0.048413045300000006	0.011749673200000001	-0.0683086665	0.1431077117	-0.0075924751	-0.0413747469	0.064272378	0.1110304699	-0.0947694731	0.0583848203	-0.0336790887	0.0139760344	-0.0525244983	-0.0081604746	0.0291229627	-0.05273160599999999	0.0566303709	0.0191274724	0.0077518287	-0.042545168	0.1116433127	-0.018897848999999998	0.0372718782	-0.0143021329	-0.1550329581	-0.05007892	-0.0286098187	0.050141510800000004	0.0398671608	-0.047073538	-0.057211134500000003	0.0271745451	0.10281644699999999	0.0510894865	0.0672604555	0.051750877699999996	-0.0021610626000000003	-0.0963916489	0.0926490697	-0.022912815299999997	-0.0154606148	-0.047026144699999994	0.0012410159	-0.0064359055	-0.0146965465	0.0593676386	0.0602988204	0.0247034218	-0.107457212	0.0127108324	0.04827207730000002	-0.027920662000000002	0.0779059543	0.19999977559999998	-0.0008004231	0.09252450400000001	0.080746839	0.0552389775	0.0641721808	0.0433888837	0.0457806667	0.0186453649	0.0182124039	0.0130693924	0.0419460721	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.0891926543	0.0886846456	-0.000136373	2.0498000000000006e-05	4.2016800400000017e-10	1.8597595129e-08	-0.00258585	0.00417754	6.686620222500001e-06	1.7451840451600007e-05	0.104322	0.029991500000000008	0.010883079684	0.0008994900722500002	-0.00133876	0.0004047300000000001	1.6380637290000004e-07	1.7922783376e-06	0.0006247630000000001	-0.00011353599999999992	1.289042329599998e-08	3.903288061690001e-07	0.000308538	0.0	9.519569744400001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31457.646484375	-243.1953125	989583522.3359108	59143.960021972656	18859.158203125	-50.990234375	355667848.13049704	2600.004001617432	19532.6484375	-92.89453125	381524354.9829712	8629.393936157227	1.536666	28.399355	0.05689058299999999	-0.09295183439999999	-0.11379484570000001	0.032857593	-0.0830055325	0.048115549800000004	0.0921666834	-0.0437182452	0.14404358679999998	0.11128321890000001	-0.0037134676	0.0391196471	-0.050951812699999995	-0.06303913530000001	-0.0147613122	-0.0786448504	-0.0385679626	0.0991985369	-0.15543094529999998	-0.1744405987	-0.1431883625	-0.0689361385	0.0371040766	-0.0486927762	0.10407314349999999	-0.20939294600000002	-0.0685488603	-0.0114515243	0.027815330899999997	-0.1235089758	-0.0505053873	0.0588756858	-0.056136887	0.107629061	-0.0049722076	0.0701257596	-0.0535511837	0.04711065230000002	0.06246315280000001	-0.0552621578	0.044097925700000006	-0.0892400574	-0.0040008968	0.07059357570000001	0.1355451234	0.1800868449	0.1409552425	0.0268184873	0.0346519426	0.0457293308	-0.047004619000000004	-0.086298949	-0.0071692037	-0.0577544482	0.07859235099999999	0.0509644618	0.0033648873999999997	-0.0728845875	-0.14222958019999998	0.0038339316	0.1378150503	0.12124319550000001	0.0637433192	-0.025462858999999997	0.0378723208	0.0557463525	0.0440657072	0.0768178371	-0.0572940454	0.041028333	0.020763606599999998	-0.0030370296000000003	0.0786290759	0.034602319900000005	-0.026687946400000002	-0.0773272922	-0.0649666562	0.0852646392	0.1141675804	0.0023510613	-0.057674235199999986	-0.008168237	0.0304475951	-0.10478157140000001	-0.1356410565	-0.0563369899	0.0514665896	0.1508556454	-0.10053731099999999	-0.077996094	-0.057343875499999995	-0.0066387266	0.06269260360000001	0.144650801	0.0897422422	-0.171693622	-0.0710130744	0.09394299490000001	-0.1203732179	0.0585363291	-0.0395471429	0.07012995400000001	-0.0907425174	0.007748462399999999	-0.060028653700000004	-0.1674265355	-0.058719947	0.0076377482	-0.1339286321	-0.12557928640000002	0.06094845860000001	0.0012240267	0.047664457	0.0240966665	0.0134061857	-0.0797711368	0.051479890599999995	-0.0257723911	-0.13927315880000002	-0.09187324949999999	0.1290644883	-0.08770529029999999	0.0646274072	0.0602121653	-0.1828603721	-0.037553136800000005	-0.1179157631	-0.0131344331	0.029928967200000007	0.0681758849	-0.0675261263	-0.0363261286	0.020778980500000002	0.1002722696	-0.0357364125	-0.0044315789	0.023547872999999997	0.036767248100000004	-0.1545761728	-0.0083985324	-0.09193940490000001	0.1748321516	0.0047652467	-0.0318443432	0.0870955393	0.0655532313	-0.002009786	-0.0426226464	-0.0160287448	0.0235892787	-0.0073812727	0.0061938997	-0.0204899254	-0.0916529861	0.056626414000000014	0.0902598131	0.08998706460000001	0.0895330941	0.0888988159	0.0880855073	0.08709480630000001	0.0037201	0.003856473	1.4872383999729002e-05	1.383914401e-05	-0.00260896	-2.3109999999999797e-05	6.8066722816e-06	5.340720999999906e-10	0.141305	0.03698299999999999	0.019967103025	0.0013677422889999992	-0.00137219	-3.3429999999999875e-05	1.1175648999999917e-09	1.8829053961e-06	0.00033763300000000005	-0.00028713	8.244363690000002e-08	1.1399604268900006e-07	0.000308538	0.0	9.519569744400001e-08	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31420.072265625	-37.57421875	987220941.1770973	1411.8219146728516	18882.62109375	23.462890625	356553379.37013245	550.5072364807129	19591.662109375	59.013671875	383833224.20792013	3482.613468170166	1.462899	27.036057	0.173865396	-0.0337373473	0.009739938	0.1195576276	-0.0275622062	0.060402853099999994	-0.0189431711	-0.0947361555	0.1380714582	-0.1560956617	-0.0881287695	0.0273523354	-0.0269568177	-0.0725288954	0.0042598818	-0.1772969368	0.0185525772	-0.08917003789999997	-0.0552976017	-0.09878131109999999	-0.0645888888	0.07926148849999999	-0.1007644691	0.21205246989999998	-0.0008175614999999999	-0.0628725872	-0.0316915509	-0.0418590033	0.0093963666	-0.0384877808	-0.0792164439	-0.0341500522	0.0731902691	0.0028853956	0.0214754917	-0.0142023094	0.0134460372	0.0147938162	0.0958792719	-0.0280247147	-0.12181685099999999	-0.0299491036	0.1467310148	0.0828578581	-0.1257980083	-0.0315047583	-0.1598720456	-0.0631991237	-0.016622419	-0.04243074769999999	-0.0540046088	0.12457552039999999	-0.017232375600000002	-0.0198116917	0.0080883962	-0.058688184000000004	-0.070313504	-0.0010013621	0.0519389748	0.0613213616	0.0326909153	0.0691127428	-0.0050318426	-0.0050802254	0.060618773099999995	0.064279415	0.0890134696	0.06986867	0.0274579654	-0.0803009608	-0.0744515969	0.0397051738	-0.1377711305	-0.0129367883	0.059434779800000004	-0.0361579176	0.030458587000000002	0.0743304758	-0.0773577332	0.1914484223	-0.0584094368	0.0661193815	0.06626176389999999	-0.0404629606	-0.093864141	0.08472939369999999	0.1793873479	-0.011633928100000001	-0.1195610264	0.08774586890000001	-0.0530405695	0.010050189000000001	-0.010221954	0.1576389145	0.0316178063	0.033512394	-0.0729009376	-0.09590120869999999	-0.137710175	0.06148204769999999	0.0445485364	0.045233742	0.0885292138	0.1102948789	-0.0388364073	-0.0016862560000000001	-0.0200893246	0.0359168502	0.015766833600000002	0.04157877	0.0106265996	-0.0601578854	-0.0104814559	-0.0152387935	0.06772283700000001	-0.05758256	0.08965961119999999	0.1009752216	0.0952299802	0.064879116	-0.026937077900000002	0.1833263345	-0.0173955297	-0.0177841187	0.1213231452	0.0361121553	0.0451386374	-0.0577202054	0.1191266635	-0.034962502799999996	0.07803638759999999	-0.0194546263	-0.07813603599999999	-0.0394420033	0.0464937294	0.0656551608	-0.067171859	0.0865602217	-0.0702325988	0.025693382999999997	0.0343261883	0.0371263971	-0.0282443512	-0.0690036796	0.089262535	-0.0191109288	-0.1409536425	-0.0194984247	0.0524470867	-0.0098654555	0.0182371299	-0.0092783622	-0.1105565618	0.0744495017	-0.101469572	0.0902004158	0.08974979300000001	0.08900042179999999	0.0879547967	0.0866163981	0.08498968130000001	-0.000120006	-0.003840106	1.4746414091236002e-05	1.4401440036000001e-08	-0.0886316	-0.08602264000000001	0.007855560518560002	0.007399894592569602	0.0956078	-0.045697199999999986	0.009140851420839998	0.00208823408784	-0.0019834	-0.0006112099999999997	3.7357766409999974e-07	3.933875559999998e-06	0.000492532	0.0001548989999999999	2.399370020099997e-08	2.4258777102399996e-07	0.000308538	0.0	9.519569744400001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31604.03515625	183.962890625	998815038.157486	33842.34512710571	18925.9296875	43.30859375	358190814.53619385	1875.634292602539	19693.689453125	102.02734375	387841404.27612686	10409.578872680664	1.357754	25.092854	0.194666475	-0.0276076953	-0.0382374068	-0.0873142615	-0.0105120231	-0.023873304300000002	0.0852424068	0.0957756823	0.0390823558	-0.2143868007	-0.0618262092	0.0015968202	-0.049010600999999994	0.0081927076	0.00015101440000000002	0.0111923667	-0.0918323548	-0.0867584417	-0.0081398081	-0.0724932271	0.0028981321000000003	-0.0333497394	-0.1200386484	0.099482493	-0.0933927588	0.0045318451	-0.0068859859	0.0644740559	-0.1103752034	-0.0453842333	0.0163190901	-0.0858091289	0.0551312158	-0.059689545499999996	0.054487676900000004	-0.0816967317	-0.1823399938	0.09099882779999999	-0.106613882	0.0132997273	-0.0542935029	0.025691631099999997	0.09721739859999999	-0.0097660059	0.044823830700000004	0.0334310722	0.1046690992	0.0835626678	-0.0264861804	-0.0602365672	0.039466689	-0.0245569278	0.025361451400000002	-0.1732219629	-0.011407433500000001	-0.020127598	0.028721383399999998	-0.1250596118	0.0676963783	0.0037107892	-0.0955192016	-0.0105486607	0.0092223024	-0.0091185994	0.0688501854	-0.0284256613	-0.12353640980000001	-0.0059139987	-0.0587205927	0.0792448865	0.047017706799999996	0.06785006190000001	0.0015070832999999999	0.046579273	0.0775361847	-0.0110430661	-0.1114456946	-0.09225197289999999	-0.0519139338	0.1360998265	0.0178978213	-0.022587250299999997	-0.053755388499999994	0.013050937299999999	-0.029605522599999996	-0.0664672598	0.1393313732	-0.1256220342	-0.0510988976	0.1425612301	-0.0028266084999999997	-0.0231503551	0.0262409136	0.0170117692	0.1269338445	0.1237560642	0.053491753200000006	0.0139918986	-0.0528156489	0.160297901	-0.0455117494	0.0233963946	0.021679671299999998	0.0038641618	-0.014041051899999999	0.0035418491999999998	0.1414969586	0.0624582547	0.1119314198	-0.0018915626999999999	0.0823330353	0.0153538338	0.11599888539999999	-0.12037424470000001	0.06583862389999999	0.012308369599999999	0.0265515402	-0.0264609014	0.0380753978	0.0523995271	-0.0827459231	-0.0786558129	0.10253252689999999	0.055827578200000005	-0.1069463619	0.10799623109999999	0.053388365099999995	0.0753502656	0.0050575861	-0.057490104199999996	-0.1220617134	0.0558129588	0.060760624900000004	0.0526651352	-0.0234174654	-0.0602187182	-0.0713141384	-0.0343144799	0.0413605024	-0.0152568526	-0.0103577979	0.0437544971	0.050436284000000005	-0.0310298867	-0.0267267944	-0.1151385347	-0.0456490781	-0.033070563	-0.0306798376	-0.2280124241	0.026153219	0.038192992	-0.0324085085	-0.020592954	0.1318370847	0.0901261876	0.0894534963	0.0883360609	0.08677943689999999	0.08479136359999999	0.0823817253	-0.000118681	1.3250000000000049e-06	1.7556250000000137e-12	1.4085179761000002e-08	-0.0202989	0.0683327	0.00041204534121000013	0.004669357889289999	0.040255300000000015	-0.05535249999999999	0.0016204891780900006	0.0030638992562499984	-0.0008804689999999998	0.0011029309999999997	1.2164567907609993e-06	7.752256599609999e-07	0.00017586400000000002	-0.00031666799999999993	1.0027862222399997e-07	3.0928146496000005e-08	0.000308538	0.0	9.519569744400001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31565.96875	-38.06640625	996410383.1259766	1449.051284790039	18955.53125	29.6015625	359312164.96972656	876.2525024414062	19741.119140625	47.4296875	389711784.92435074	2249.575256347656	1.385404	25.60387	0.108883824	-0.0173895863	0.0394052533	-0.0264369016	0.039199325800000004	-0.0630808863	0.0700204732	-0.0182486314	-0.1794245105	-0.10708407810000001	-0.0805040298	0.022305041499999997	-0.1496113325	-0.012711674	0.056964562	-0.1306849968	-0.076976994	0.0963779784	0.0694054515	0.032733122999999996	0.1178145215	0.018874615900000002	-0.056930223499999995	-0.0481439545	0.0046844955	0.1542154549	-0.012360263500000001	-0.0425386125	-0.0429177492	0.1490651415	-0.0587343875	-0.0274265709	-0.160204076	-0.0181182823	-0.0036621819	0.0708554689	0.014670526699999999	-0.1460413832	0.0688334217	-0.0185076812	-0.0273358111	-0.014604026499999999	0.0607930364	-0.0330960608	-0.0455011783	0.0185030663	0.0539466734	0.082962412	-0.0217632256	0.0537249699	-0.0356432836	-0.11216930289999999	-0.0690862322	-0.0335939107	-0.008694176	0.0131145428	-0.0770368946	0.0184264975	-0.0520383794	-0.006942383199999999	0.10317288289999996	-0.0419867353	-0.053022775	0.032906405	-0.13995637630000002	-0.0187992004	-0.0180202479	-0.0429451559	-0.0553391583	-0.1564189304	-0.09373235490000001	-0.1160031289	-0.1100283537	-0.06199295940000001	0.012909471499999998	0.0234901019	-0.0756209835	-0.0318723881	-0.2024031133	-0.028600563399999997	0.0461281447	-0.1159485749	-0.0805038131	0.0868018099	0.0164801293	0.0294752458	-0.104134726	-0.0655878681	-0.0425485212	0.0614389024	-0.1987890817	-0.0335574672	-0.0087774072	0.0446470758	0.0355801298	-0.0242130537	0.145269973	-0.09774430869999999	0.1227764082	-0.0365610641	0.1190957267	-0.1734098711	0.0156556327	0.0455943455	0.060285327	0.0396597163	0.0172396353	0.0825966406	0.0751327656	-0.0056739423	0.0126300474	-0.106812339	-0.0808597234	0.0020827638	-0.0411108525	0.0374860594	-0.0065143063	-0.0102460321	-0.006856216899999999	-0.0558778988	0.0036809309999999997	0.07291066269999999	-0.08870863529999999	0.028670598399999997	-0.1048330281	-0.0666529169	0.0705042955	0.0294055313	-0.10265350599999999	0.0233248309	-0.027918259700000003	0.011672616299999999	0.10292233320000001	0.05409980440000002	-0.0435561425	0.09284507019999999	-0.0251052873	0.0685402877	-0.0601338767	0.059641790300000004	-0.1291159192	-0.0721144179	0.0744198635	0.0580602813	-0.09994908220000001	0.0545630396	-0.0100856787	0.1148838771	-0.0215487081	0.0672794605	0.0627744135	-0.053669798	-0.11986372890000001	0.0604960125	0.045705719000000006	0.09003714060000001	0.0890983693	0.0875409941	0.08537582789999999	0.0826179031	0.079286368	-0.00709561	-0.006976929000000001	4.8677538271040995e-05	5.03476812721e-05	0.00185233	0.02215123	3.4311264289e-06	0.0004906769905129	-0.0119818	-0.052237100000000015	0.00014356353123999994	0.0027287146164100013	-0.000570881	0.000309588	9.584472974399998e-08	3.2590511616099995e-07	8.76037e-05	-8.826030000000002e-05	7.789880556090003e-09	7.67440825369e-09	0.00015601499999999996	-0.00015252300000000006	2.4340680224999992e-08	2.3263265529000017e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
