csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	a_comp_cor_204	a_comp_cor_205	a_comp_cor_206	a_comp_cor_207	a_comp_cor_208	a_comp_cor_209	a_comp_cor_210	a_comp_cor_211	a_comp_cor_212	a_comp_cor_213	a_comp_cor_214	a_comp_cor_215	a_comp_cor_216	a_comp_cor_217	a_comp_cor_218	a_comp_cor_219	a_comp_cor_220	a_comp_cor_221	a_comp_cor_222	a_comp_cor_223	a_comp_cor_224	a_comp_cor_225	a_comp_cor_226	a_comp_cor_227	a_comp_cor_228	a_comp_cor_229	a_comp_cor_230	a_comp_cor_231	a_comp_cor_232	a_comp_cor_233	a_comp_cor_234	a_comp_cor_235	a_comp_cor_236	a_comp_cor_237	a_comp_cor_238	a_comp_cor_239	a_comp_cor_240	a_comp_cor_241	a_comp_cor_242	a_comp_cor_243	a_comp_cor_244	a_comp_cor_245	a_comp_cor_246	a_comp_cor_247	a_comp_cor_248	a_comp_cor_249	a_comp_cor_250	a_comp_cor_251	a_comp_cor_252	a_comp_cor_253	a_comp_cor_254	a_comp_cor_255	a_comp_cor_256	a_comp_cor_257	a_comp_cor_258	a_comp_cor_259	a_comp_cor_260	a_comp_cor_261	a_comp_cor_262	a_comp_cor_263	a_comp_cor_264	a_comp_cor_265	a_comp_cor_266	a_comp_cor_267	a_comp_cor_268	a_comp_cor_269	a_comp_cor_270	a_comp_cor_271	a_comp_cor_272	a_comp_cor_273	a_comp_cor_274	a_comp_cor_275	a_comp_cor_276	a_comp_cor_277	a_comp_cor_278	a_comp_cor_279	a_comp_cor_280	a_comp_cor_281	a_comp_cor_282	a_comp_cor_283	a_comp_cor_284	a_comp_cor_285	a_comp_cor_286	a_comp_cor_287	a_comp_cor_288	a_comp_cor_289	a_comp_cor_290	a_comp_cor_291	a_comp_cor_292	a_comp_cor_293	a_comp_cor_294	a_comp_cor_295	a_comp_cor_296	a_comp_cor_297	a_comp_cor_298	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
22709.93359375	n/a	n/a	515741083.8325348	16579.279296875	n/a	n/a	274872502.003788	15973.84765625	n/a	255163808.9450836	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.18487e-06	n/a	5.1622356916899997e-11	n/a	0.021697	n/a	0.000470759809	n/a	-5.3104e-06	n/a	2.820034816e-11	n/a	-0.000212293	n/a	4.506831784899999e-08	n/a	0.000174822	n/a	n/a	3.0562731684000013e-08	0.0	n/a	0.0	n/a
22260.1171875	-449.81640625	202334.79933166504	495512817.2012329	16618.00390625	38.724609375	1499.595371246338	276158053.82814026	15863.48046875	-110.3671875	251650012.58241272	12180.916076660156	1.430562	35.079376	0.10027731616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.68911e-06	-3.49576e-06	1.36095325921e-11	1.22203379776e-11	-0.016908000000000003	-0.038605	0.00028588046400000017	0.0014903460250000001	0.0125254	0.0125307104	0.00015688564515999994	0.00015701870312866814	0.000506478	0.0007187710000000001	2.56519964484e-07	5.16631750441e-07	-8.91692e-05	-0.0002639912	6.969135367744e-08	7.95114622864e-09	0.0	0.0	0.0	0.0
21942.736328125	-317.380859375	100730.60989761351	481483677.5656166	16586.484375	-31.51953125	993.4808502197266	275111463.92211914	15783.3740234375	-80.1064453125	249114895.5637217	6417.042580604553	1.164243	28.548845	0.051925299224127	0.0960641219	0.0204352607	0.11404691539999999	0.0013002897999999999	0.09097955419999999	0.010948294099999999	0.0899718383	0.1378857298	0.0019100534	-0.1136965378	-0.0466519833	0.10359452529999999	-0.0243497582	0.22344530969999998	-0.0968903705	0.016125945200000002	-0.0902523309	0.0739488891	-0.0961770062	0.0650444461	-0.0338371217	0.067540687	-0.073964167	0.09784319039999999	-0.012944631699999999	-0.036993016600000005	0.0235059108	-0.15361700150000002	0.0595764226	-0.123007455	0.0721549625	-0.0422513047	0.0380514949	-0.0187503999	0.0055439918	-0.0108537819	0.0120782257	-0.0480784893	0.0145581038	-0.18073033170000002	-0.062468637300000004	0.0162816368	-0.10074462220000001	0.0805534863	-0.0384870364	-0.0092260268	0.0220603395	0.0073798062	-0.0225816496	0.06415395809999999	0.017336149	-0.0577658374	-0.0633151004	-0.0012377033	0.0002037555	0.0693560449	0.009596872099999999	-0.13183418130000002	0.0194149969	-0.0216465272	0.0076151614	-0.0541643507	0.006846247099999999	-0.0142608448	0.0028903717	-0.0577919074	0.011587726699999999	-0.0376893133	0.0048072786	-0.054057796100000007	0.0170855243	-0.0077055905000000015	0.0629736011	-0.0006464263	0.049638179500000004	-0.044124325	0.005783119000000001	-0.0238863982	0.0022911967	-0.0413156604	0.0057252876	-0.006152495500000001	0.0978008299	-0.0094574044	0.068300329	-0.0400450811	-0.015836389	0.019120503799999997	-0.0198256007	0.01969911	-0.0291510539	0.0289471697	0.0323157488	-0.1075534581	0.09115064279999999	0.030391197400000007	-0.0573162759	0.0288998431	0.0358080421	-0.0429638201	-0.014092091999999999	0.0149529155	-0.0195395174	0.0377582938	0.0817580204	-0.0265963039	-0.018839086799999998	0.0312657586	0.0325864153	-0.036188035800000004	-0.024536283500000002	0.0328860706	0.023271093	-0.048330898399999996	0.0097842457	0.0440036714	-0.046685337400000006	0.059885845300000004	0.0054207075	0.0302596781	0.014165436100000001	-0.0696135931	0.10644001060000001	-0.0009642774000000001	-0.0171126133	-0.0428713897	0.0662905934	0.0275601237	-0.0034798465	-0.026138948199999998	-0.1011646357	0.01916816	0.024139662200000002	-0.0550568762	-0.005528180400000001	-0.0547305225	-0.1425462428	0.0025575155	-0.052180682	0.23402570809999998	-0.03147232	0.0594359775	-0.1044181431	0.3321616252	-0.07323536309999999	0.1041127272	-0.15338395400000002	0.1041439419	-0.019293893700000002	0.20268755149999998	-0.18343900030000002	0.0020456032999999997	-0.0654876477	0.0105964674	-0.0262620506	0.0062544197	-0.0915101063	0.0808540032	-0.0424325805	0.055680260700000005	0.0096853693	-0.06810980700000001	0.00035140769999999995	-0.0005864202	0.0244921538	-0.015581381000000004	0.0512249771	-0.0133233643	0.0018828204	-0.0205486668	0.0501471957	-0.032158953399999995	0.0191749794	-0.0609224671	0.015444378500000001	-0.024663456099999998	0.0084441903	-0.0122699844	0.020753161000000003	0.028257043	-0.0329265266	0.0206273485	-0.0147143742	-0.0090159773	0.0537554416	-0.0067378688	0.056511765199999994	-0.0683251164	0.089025353	-0.21023028629999999	0.036509007999999996	-0.0158461066	-0.0551821178	0.0312884325	-0.051317651799999996	0.0342931187	-0.028131392	0.0776057138	-0.01126557	0.048893680599999996	-0.0190339614	0.0720426458	-0.016962691999999998	0.07897210730000001	-0.029264899100000002	0.1042908461	-0.0020764198	0.0515633126	-0.078622722	0.0193702693	-0.0821239626	0.0181172068	-0.0752636347	0.0191388085	0.056689144500000004	-0.0415789813	0.0838047208	-0.052179143600000005	0.0157232494	-0.0141659897	-0.013907049599999999	-0.0453288571	0.0791372365	-0.0348144192	0.0476256722	0.0588290963	-0.006333329499999999	-0.0388603599	-0.046174853700000004	0.04540086769999999	-0.054346285099999996	-0.001067667	-0.020286523600000002	0.047174492	0.0014378707	-0.0703834013	0.002427725	-0.0204647381	0.0640280086	-0.0105495521	0.023250038799999997	-0.0050173155	0.0353085265	-0.0909732127	0.09804290800000001	-0.011950306599999998	0.070701395	-0.0112662394	0.0887853253	-0.0448533479	0.0178915493	-0.019493266999999998	0.0729130394	-0.0485776824	0.0104924875	-0.0491926985	0.0115796877	-0.0359930274	0.015177463899999999	-0.0230424732	0.0649748788	0.0777032419	-0.0792826459	0.0370703361	-0.0242244904	0.0491723461	-0.053573906100000006	0.0830823864	-0.0023682543	-0.0148434732	0.0184575451	-0.0152369124	-0.046135618200000006	0.0663131473	-0.056076784500000004	-0.0123971105	0.0602934257	-0.0394246581	0.0632645426	0.007070429000000001	-0.0919569813	0.0485908071	0.0139879871	-0.0289972322	0.0048683239	0.007450266	0.0540459725	-0.0084123717	-0.0028639763	0.0489753254	0.08510083130000001	-0.0635966845	0.048522803600000004	0.0137493376	-0.08795922279999999	0.07566636360000001	0.009973306099999999	0.09640639990000001	-0.04586076150000002	-0.0118425431	0.0617312622	0.008608272	-0.038017804700000005	-0.0405818028	0.015798659	0.0297276362	-0.1441346811	0.0646842735	0.0646832257	0.0646814794	0.0646790346	0.0	0.0	-1.14127e-10	-3.689224127e-06	1.3024972129000002e-20	1.361037465923891e-11	0.00868809	0.02559609	7.54829078481e-05	0.0006551598232881001	0.00817589	-0.004349509999999999	6.68451772921e-05	1.8918237240099992e-05	0.0008568289999999999	0.00035035099999999994	7.341559352409999e-07	1.2274582320099994e-07	-0.0	8.91692e-05	7.95114622864e-09	0.0	0.0	0.0	0.0	0.0
21607.046875	-335.689453125	112687.40893936154	466864474.65844727	16586.912109375	0.427734375	0.18295669555664065	275125653.324131	15731.595703125	-51.7783203125	247483103.36658096	2680.99445438385	1.441257	35.341614	0.22430943411412696	0.0192416219	0.0439907988	-0.0129415607	0.052912766900000005	0.055724338	0.0064034613	0.09918348699999999	0.1151368282	-0.0109212387	-0.0141792547	0.059623249	0.0890252592	-0.010629374799999999	0.1294902776	-0.1496905013	-0.0821364527	-0.16841625989999998	0.0488339014	-0.0834491011	0.07884967150000001	-0.0259959367	0.0715051191	-0.058641065	-0.0470434354	-0.0387959346	0.0481546588	-0.0146820486	-0.012322598300000001	0.0618743783	-0.0783026534	0.0219387133	-0.05850514690000001	0.0400076285	-0.0064483566	-0.040650731600000004	0.0019273543	0.0212236035	-0.0889405901	0.0582322419	-0.0758433837	0.021314281400000003	-0.0272703962	0.0163594038	0.03658698	-0.044325387	0.057997533	0.0096953982	-0.045025185999999995	-0.0477932051	0.0917449494	-0.039163140299999996	-0.1203037501	0.0021612442	-0.0974018868	0.010973221799999999	-0.0122315776	-0.0330816952	0.0319458435	-0.11358634210000006	-0.0646099574	-0.0369852355	-0.0381099121	0.0734149512	0.016698839	-0.0362905499	-0.0520458762	0.0474549071	0.10517664199999999	0.0564312534	-0.021685209900000002	-0.0586024516	0.0171013583	-0.054545790999999996	-0.0065857274	0.0273850214	0.07131970650000001	0.0191869156	-0.002079829	0.0425346549	0.0265576587	-0.0174217968	-0.052017494299999995	-0.0335686673	-0.0873361327	-0.013209815500000001	0.0109237691	0.0064461355	0.0652441348	-0.0219449807	-0.0237238163	-0.0590804179	0.014982704599999999	0.0831460928	0.015224961499999997	-0.0425460789	-0.0058028655000000005	-0.0357821985	-0.038527433300000004	0.0028600423	-0.0097182931	0.0484821548	0.0144372402	0.0360948568	0.025052508900000003	0.036745662400000004	0.0197616844	-0.0023221405	-0.0160000869	0.0366904944	-0.0022697329	0.0175340062	-0.053633863399999995	0.0213447085	0.017094413	-0.0029068366999999997	0.0583071629	-0.0457864775	0.0473012976	0.0237122844	-0.0637620309	0.0109156774	0.1232189221	-0.0416717654	0.0253222271	-0.024854568799999997	-0.0112200879	0.0404111115	0.0115408779	0.0464062441	0.0270567695	0.044543857699999995	-0.10063661800000001	0.017993000800000002	-0.026757819500000002	-0.08836463900000001	0.0305615721	-0.0443934391	0.0246661567	0.06513319740000001	0.1619899742	-0.1096994927	0.0399287279	-0.1132503733	0.1802541379	-0.0755916679	0.06945333320000001	-0.07462498320000001	0.0493445204	-0.0842494907	0.1393653986	-0.0667815503	-0.0038732281	0.0357088359	0.107208938	-0.0047919856	0.025051175099999996	0.0196298066	-0.0520925879	-0.1097439265	-0.045564557199999994	0.021740110099999998	-0.0225632821	0.0461652802	0.0720109852	-0.0789326656	0.0570219063	0.025172690600000002	-0.0569143	0.0732255503	-0.0772745111	-0.0223004021	-0.0721902602	0.0036990057000000002	0.059563049800000004	0.0391510121	0.0829017147	0.010677401299999998	-0.0208399886	-0.0033715533000000003	-0.0137588348	0.0033668243	-0.0027338864	0.0626742345	0.0862425575	0.0019378166	0.0094877141	-0.0173502405	0.043386178899999996	0.08540234779999999	-0.1246462709	0.051086079000000006	-0.10226445810000001	-0.179507715	-0.0080337264	-0.0278569386	0.06551065980000001	-0.0143258418	0.0758800825	-0.018122141	0.0762736259	-0.0194203231	0.045021690999999996	0.013336823999999999	-0.000491941	0.033059942	0.0124513745	-0.0149345794	0.00473564	0.0485999575	-0.0117238004	0.0424469857	0.038365478	0.017850945400000002	-0.032105921600000004	0.0088750136	0.0124703466	-0.0181258806	0.024793323199999998	0.0813505248	-0.016630527	0.0037414205	-0.0404359604	0.0021250974	-0.0646655424	0.011348238799999999	0.1077982535	0.0160409274	-0.0924883992	-0.1145821665	0.020837892	0.0461111286	-0.0321678394	-0.0573168529	0.10968284380000001	0.0012838328	0.0171657002	0.0437667005	-0.0494102744	0.029605214900000006	-0.0692097456	0.012276283700000001	-0.0896835708	0.0059917022999999995	0.1184196284	-0.0480804531	0.0316419583	-0.0084461074	0.0432020701	-0.0019420998000000001	0.042347931500000005	-0.0063738175	-0.0644559555	0.0410080316	-0.0082495922	0.0068758278	-0.0458178029	0.0786809733	-0.038691503700000004	-0.022888080699999997	-0.0047713697	-0.048067889100000004	0.0155983328	0.07437546240000001	0.0581998387	-0.012239336399999998	0.0885346181	0.0215398439	-0.0509269281	-0.048621757599999996	-0.07618405339999999	0.0692213085	0.0056182915	0.0496951584	0.017665286699999998	-0.06186252160000001	0.0658850089	0.0670407014	0.0028831128000000004	0.021047228900000003	0.00548454	-0.046967157	-0.0016169491	0.015632960300000002	-0.0373000956	0.0133944728	-0.0563182297	-0.0603816143	-0.030280359399999998	0.0724127963	0.0427594667	0.0087139027	-0.0499767049	0.07013403230000001	0.0419722791	-0.0520149457	0.0032774790000000002	0.0313026996	-0.0089061488	0.0029591322	-0.0040422217	-0.0237086877	0.0274545406	0.0075475846	-0.0271029931	0.0180420689	-0.0854508242	0.0348461264	0.0646814794	0.0646720496	0.06465633429999999	0.0646343351	0.0	0.0	1.7914e-05	1.7914114127e-05	3.2091139600000004e-10	3.20915484955181e-10	0.179315	0.17062691	0.032153869225	0.029113542416148094	0.0351573	0.026981410000000004	0.0012360357432900002	0.0007279964855881003	0.0006916380000000001	-0.00016519099999999986	4.783631230440001e-07	2.7288066480999958e-08	-0.000368473	-0.000368473	1.3577235172900008e-07	1.3577235172900008e-07	0.0	0.0	0.0	0.0
