csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45
29792.236328125	n/a	887577345.430851	n/a	20167.75	n/a	406738140.0625	n/a	20723.443359375	n/a	n/a	429461104.66922385	n/a	n/a	n/a	-0.08936900800000001	0.06375024809999999	0.1107764716	-0.0600844025	0.020225463500000002	-0.0203055196	0.035226730899999996	0.0521500853	-0.17335880050000002	0.2193138824	-0.0462539051	0.0711113582	-0.022807737	0.0459896554	-0.0244359242	0.0312127086	-0.14145590759999999	0.0175803181	-0.0008083557000000001	0.049279877400000005	-0.0455328406	0.0968356593	-0.0547033889	0.10084130349999999	-0.0785172243	0.068706978	-0.1441775898	0.011497426299999999	0.3834187302000001	-0.00043024599999999996	-0.1031960851	0.0054534831999999995	0.15320598789999998	-0.0437664332	-0.05009264150000002	0.1368075149	0.0798288244	0.058307904699999996	-0.0836384691	0.015443693999999999	0.05109647480000002	0.0185537543	0.08469836480000001	-0.0334583314	-0.0384493134	-0.0861104462	0.09464303369999999	-0.1274850478	0.058690670599999994	0.1141068611	-0.0505565204	0.013770268600000002	-0.016184758	0.0376124369	0.0346849526	-0.2156853196	0.1707173707	-0.0424160446	0.070265215	-0.0172523844	0.0406974534	-0.0392084035	0.0314142706	-0.026705496000000002	0.030989801	-0.0371424555	0.024610242	-0.0155068523	0.1574246359	-0.0449234913	0.1322333438	-0.1319950852	0.150305609	0.0944991878	-0.2301920617	0.24154649179999998	0.19101254399999998	-0.051664037	0.0035190719000000002	0.0397148664	0.0631320064	-0.055635390800000004	-0.008368212199999999	-0.0193156131	0.051398157400000005	0.1351948333	-0.0615563644	-0.0335933157	0.11862893199999999	0.0382779314	0.09145732880000004	-0.0548943752	0.1217078847	0.1216831682	0.1216419777	0.0363814	n/a	0.00132360626596	n/a	0.034949199999999986	n/a	n/a	0.0012214465806399994	-0.0557337	n/a	n/a	0.00310624531569	-0.000918605	n/a	8.43835146025e-07	n/a	0.000866749	n/a	7.512538290010001e-07	n/a	0.000911484	n/a	n/a	8.308030822559998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29643.056640625	-149.1796875	878710806.9993019	22254.579162597656	20146.931640625	-20.818359375	405898854.5320168	433.4040870666504	20723.26171875	-0.181640625	0.032993316650390625	429453576.2638092	1.480658	29.553276	0.35985599999999995	0.0160395212	0.1276091323	0.035132653300000004	0.03251727	0.1870927912	-0.0150539115	0.0005974567	-0.0755002563	0.1191160711	0.20195749129999999	0.0759851838	0.1054352739	-0.0569797015	-0.266719605	-0.2068492366	0.0583932386	-0.0332960628	-0.0763311187	0.0815431464	0.023175902400000004	0.0063003105000000005	-0.059614644	0.0989144092	0.0291799778	0.1159979925	0.04659768809999999	-0.0737258396	-0.0091290901	-0.0180423958	-0.10832569759999999	0.0070516177	0.087056256	-0.0076616461	-0.146593083	0.0281370188	0.0176622336	-0.038661859300000004	0.0335468798	-0.19261122309999998	0.0205470739	0.0024056458	0.0710637618	-0.0064071788	0.0650824908	-0.0323663192	0.0279394658	0.1130297535	0.1553034333	0.0546321067	0.0435950825	0.0268723875	0.1838922925	-0.004364289600000001	0.0359236677	-0.0400279646	0.07925393809999999	0.1803120634	-0.26215575539999997	-0.0982116186	-0.0489775721	0.1175328849	-0.19643826890000002	0.0005183418	0.039627000600000004	0.08800183019999999	-0.0712505752	0.012501969699999999	-0.11166386369999999	-0.013313345	0.13529928089999999	-0.1485160344	0.0010766292	-0.0378819111	0.0365487336	0.050692454299999995	0.0051404213	-0.08652490859999999	0.028075250299999997	-0.0338472934	0.06385969179999999	0.1460699733	0.0237183995	0.15616963820000002	0.018542326499999998	-0.032148083	0.07602217019999999	-0.0086281329	-0.0030797126000000003	0.0994229215	0.0143742978	-0.001138691	0.1535746227	0.1216419777	0.12141962949999999	0.12104935019999999	0.00227225	-0.034109150000000005	5.1631200625e-06	0.0011634341137225002	0.0885268	0.05357760000000001	0.0028705592217600014	0.00783699431824	-0.231277	-0.17554329999999999	0.030815450174890006	0.053489050729	-0.000251615	0.0006669899999999999	6.3310108225e-08	4.448756600999999e-07	0.0017875	0.000920751	3.19515625e-06	8.477824040010001e-07	0.0005667059999999999	-0.000344778	1.1887186928399999e-07	3.2115569043599987e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29199.9296875	-443.126953125	852635893.7549437	196361.49658584595	20060.447265625	-86.484375	402421544.4969216	7479.547119140625	20551.990234375	-171.271484375	29333.92136001587	422384302.59384537	1.614868	32.232048	0.2426213700000001	0.0769677485	0.037930092	-0.1677008882	0.0738160048	0.1619275594	0.0768488417	-0.1419904574	0.0264247481	0.1225021205	0.0969428602	-0.08934337519999999	-0.1850091335	-0.004584040300000001	-0.2110613447	-0.1435133842	0.0702320995	0.1982359009	0.07124240280000001	0.1125005921	0.0417166195	0.0202765453	0.0773408119	0.0267653004	-0.1396284199	-0.0994746334	0.11037176039999999	0.0545953209	0.1602166239	0.0545829634	-0.0947700834	0.0963663903	-0.0234949739	0.0908018074	0.09326537119999999	-0.0153040144	-0.058742953099999995	-0.031861638399999996	-0.048779690099999995	0.0442753966	-0.078114764	-0.038753346	-0.11502883960000004	0.0772465215	0.0315124013	-0.1182424027	0.10489496949999999	-0.0076312442000000015	0.2023069503	-0.19777705920000002	-0.1662297236	0.0603965184	0.16216130550000002	0.1376528367	-0.08791356630000001	0.0410421187	0.122934758	0.1241747602	0.0263761884	0.036698740699999996	0.0220604129	0.1823176704	-0.1829146278	-0.06312434809999999	0.2386663939	-0.0734601717	0.1345846868	-0.1053691214	0.045598037300000005	-0.1135366941	0.0403215123	-0.0682436102	-0.0392248939	0.1384988684	0.1020464206	-0.0705044126	-0.0393886433	-0.0623002553	-0.07354930059999999	-0.029827614500000002	-0.11927560390000001	-0.09407237869999999	0.1131807264	-0.000359783	-0.0753911126	0.0740725902	-0.0327156153	-0.032049020299999995	0.0974668389	-0.0902429718	0.0621905292	0.0156703263	0.08594149400000001	0.1215101995	0.120893123	0.1198669825	-0.00192802	-0.00420027	3.7172611204e-06	1.76422680729e-05	0.110105	0.021578199999999992	0.0004656187152399997	0.012123111025000001	-0.339994	-0.108717	0.011819386089	0.115595920036	-0.00181105	-0.001559435	3.2799021025e-06	2.4318375192250003e-06	0.00164476	-0.00014273999999999992	2.7052354576e-06	2.037470759999998e-08	0.000106363	-0.000460343	2.1191567764899995e-07	1.1313087769e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29498.919921875	298.990234375	870186276.5571938	89395.16025161742	20132.337890625	71.890625	405311028.94229513	5168.261962890625	20586.423828125	34.43359375	1185.672378540039	423800846.03119284	1.7119490000000002	34.169735	0.36767706	-0.0248303427	0.044039706399999996	0.0892703363	0.07210793160000001	-0.038631818	0.1768486076	0.0673718956	0.0701237953	0.1142981968	0.1356884934	0.1208726461	-0.1363369408	-0.0781064462	-0.0245117433	-0.0685155435	-0.1585490193	-0.013017572199999999	-0.0968693724	-0.1137961795	0.0568112432	0.08987463529999999	-0.1594745892	0.0611446529	-0.0371065061	-0.032287859	-0.10623893179999999	-0.0953324545	-0.0787085001	0.0243688193	0.1424117539	0.0911430681	-0.0227791428	-0.0367517839	0.1336960045	-0.0739072315	-0.0440597675	0.049177815	-0.0620472417	0.0154826583	-0.2601301438	-0.1474375175	-0.0512101249	0.011665435900000002	0.0460001402	-0.07522153990000001	-0.0085168382	0.07151227339999999	-0.0160032487	0.1351947224	0.0924129145	0.0780388663	-0.1060402229	0.1554903134	0.08830210849999999	0.1001890333	0.105231954	0.0909252631	0.0956663683	-0.15114258279999998	0.0181143319	0.013839837800000001	-0.0825980588	-0.0041429488	-0.08417732050000001	0.150496484	0.0909180699	0.0415107839	-0.11219225039999996	-0.012545066499999999	-0.0656771192	-0.0113922672	0.1278437875	-0.1270687638	0.056053051	0.0575650727	0.015617916499999999	-0.0008886607000000002	0.013673916299999998	0.10897273460000001	-0.0744164368	-0.0318677454	0.0465529638	0.0096831759	0.0104445523	0.1507088289	-0.29721313309999997	0.0455428902	-0.012041231000000001	-0.0207599924	-0.0372129089	0.0993742901	-0.1255028234	0.1213126213	0.12010478890000001	0.1181006348	0.00604889	0.00797691	3.6589070232100014e-05	6.36310931481e-05	-0.08380469999999997	-0.1939097	0.03760097175408999	0.0070232277420899936	-0.219747	0.12024700000000005	0.014459341009000013	0.04828874400899999	-0.000931428	0.0008796219999999999	8.67558119184e-07	7.73734862884e-07	0.00164476	0.0	2.7052354576e-06	0.0	0.00013761	3.1247000000000014e-05	9.763750090000003e-10	1.89365121e-08	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29510.6015625	11.681640625	870875604.5806273	136.46072769165042	20123.2421875	-9.095703125	404944876.13677984	82.73181533813477	20623.705078125	37.28125	1389.8916015625	425337211.14947885	1.187086	23.693707	0.19168643	0.0211744519	0.0527159952	-0.0054324132	0.0674359364	0.0626830691	0.0549359552	-0.0806327452	-0.0708944014	0.1390048664	0.12267195060000001	0.0082362177	0.0489358608	-0.0632165642	-0.2652064772	-0.0329023817	0.0087979656	0.023306837799999997	-0.054030669100000005	-0.0834481954	0.0157992392	-0.0312469233	0.1155828149	0.191114235	0.0417844952	-0.0657075614	-0.1198553845	-0.024588847	0.0451244815	-0.021838007200000002	0.0800657782	-0.0580211983	-0.023695151400000003	-0.1807704148	0.0569687234	0.0604938793	0.094452965	-0.081557887	-0.1532947945	0.069548938	0.0425456494	-0.05429772150000002	0.0049774749	0.0824426833	-0.13852054	-0.026994321499999998	0.0430435675	0.05989080400000001	0.1585379548	0.1193259704	-0.0031240618	0.0521129495	0.074893668	0.0773165654	-0.0457856858	-0.0344875635	0.1224027847	0.1299718426	-0.1550836354	-0.0928342226	0.0270721139	0.09380416009999999	-0.0912622849	0.10543057939999999	-0.038939133	0.0282833056	0.14026384890000002	-0.0792313717	-0.098047662	0.0059656314	-0.0444353868	0.13504615949999998	-0.1709585285	-0.005834272	0.1195808384	0.11837837050000001	-0.08603246949999999	-0.062322830499999995	0.10162979960000001	-0.0022497756	0.0369219825	-0.0677863559	-0.032386426	0.0809020019	-0.0182743925	-0.11780415150000001	-0.039281515499999996	0.10912636390000001	0.084779077	-0.10475873390000001	0.0878427648	0.099358105	-0.1608160881	0.12104935019999999	0.11905633460000001	0.11575891279999999	0.00225851	-0.00379038	5.1008674201e-06	1.4366980544400003e-05	0.0293721	0.11317679999999995	0.012808988058239993	0.0008627202584100001	-0.174231	0.045515999999999966	0.0020717062559999977	0.030356441361	-0.000931428	0.0	8.67558119184e-07	0.0	0.00133659	-0.0003081700000000002	1.7864728280999995e-06	9.496874890000012e-08	0.000413505	0.000275895	7.611805102499997e-08	1.70986385025e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29704.060546875	193.458984375	882331212.9724158	37426.378635406494	20171.1953125	47.953125	406877120.33502203	2299.502197265625	20654.708984375	31.00390625	961.2422027587892	426617003.2292213	1.508545	30.109884	0.36313454	-0.0686086623	-0.0626897399	0.08891341039999999	-0.15299739099999998	-0.04462609	-0.0031107098	-0.05393794019999999	-0.0351610817	-0.10663902980000001	0.1469385693	-0.1008216461	0.1094111799	0.1347443145	0.09388486050000001	-0.13105009539999998	0.1974746513	-0.0703582623	-0.0173905975	-0.0512710382	-0.0796548012	0.0271901825	-0.1315394893	0.0965601249	0.10427604050000001	0.0062783336	0.041279938599999996	-0.0280288936	0.0607037121	-0.0187239499	-0.0216032737	0.1978850833	-0.061869364	0.05473674110000002	-0.117022495	-0.0213095226	-0.0551258857	0.018220016000000002	0.0181734785	0.1883966993	0.049890959400000004	-0.053673987	0.0204606752	0.0456437387	-0.2419568022	0.0831774634	-0.0736482396	-0.0042044649	-0.17629036539999998	0.10031656230000001	0.0840549935	-0.1536464843	-0.009997376700000001	0.0185138618	-0.0536692915	-0.0056348291000000005	-0.0989409373	0.1697908647	-0.0521701338	0.2007748133	-0.0845762518	-0.13880555220000002	-0.1058401041	-0.0009636847	0.0978032498	0.0185286829	0.00021285650000000002	0.22908308579999997	-0.0771916503	-0.0027307390000000003	-0.023551626099999997	-0.0644708571	0.038634348	0.0352979301	0.0141488222	0.07307871440000001	0.057936008899999995	-0.0560376684	-0.0996528444	-0.1202855206	0.0340788489	0.0482746408	0.0279257758	-0.1692538321	-0.0456388389	-0.008417966800000001	-0.013369603400000001	-0.052687629699999995	-0.1734018007	-0.1868466473	0.0179955956	0.0226668437	-0.1654100192	0.1207205288	0.11775003070000001	0.11285322490000001	0.0108359	0.008577389999999999	0.00011741672880999997	7.357161921209999e-05	0.07490539999999997	0.04553329999999997	0.0020732814088899976	0.0056108189491599954	0.040901	0.21513200000000002	0.046281777424	0.001672891801	-0.00022991	0.0007015179999999999	5.28586081e-08	4.921275043239999e-07	0.000415837	-0.0009207530000000001	1.7292041056899994e-07	8.477860870089998e-07	0.000669071	0.00025556600000000004	6.531398035600003e-08	4.47656003041e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29364.79296875	-339.267578125	862291066.0975494	115102.48956680296	20096.38671875	-74.80859375	403864759.1495514	5596.325698852539	20579.52734375	-75.181640625	5652.27908706665	423516945.69215393	1.508484	30.108669	0.12002284999999994	-0.017510333500000003	-0.012801414099999998	-0.060900385700000004	-0.0741255445	0.0122817522	9.362280000000001e-05	-0.0424131929	0.1338365232	-0.054877633099999996	-0.0813218106	-0.08722283880000001	0.1158891788	0.060707483	0.1006530168	0.0194722968	0.0095825643	-0.031141954399999998	-0.1290946181	-0.0917011619	0.0009459367	0.0673662791	0.050493396600000004	-0.1133281818	0.0182376477	-0.0595067182	-0.09354948689999999	-0.05909798	-0.1187763871	0.131878701	0.0734302151	0.1368393694	-0.0007139461000000001	0.0311326005	0.0757413316	0.0959526973	-0.1014645117	0.0491109984	0.1116506382	-0.0747109861	0.0917679416	-0.08762030400000001	-0.0394258114	-0.025069425	0.08836619429999999	-0.0415453672	-0.0117191191	-0.017552365900000002	-0.0369794493	-0.1346271209	-0.0656962627	-0.076366789	0.008283744000000001	0.0230071221	-0.0094496272	0.1277619079	-0.0305869222	-0.0893536941	-0.0378318247	0.1499979418	-0.0210129088	-0.1428127689	0.0629400371	0.11759363140000001	-0.0132628762	0.0079978362	-0.0410339234	-0.0322162181	0.0114272914	-0.012127213000000001	0.042462815300000005	0.1905470817	0.1584960433	-0.0962453333	0.0851750094	-0.0042047445000000004	0.1840414204	0.0177236087	-0.0583547038	0.0162798473	0.0125696921	0.0023848551	0.0131538249	-0.0038244023	0.0578989711	0.061973052800000004	0.0677622752	-0.0461953015	0.1366722493	0.0830624168	0.10501013220000001	-0.0580138504	0.09571241800000001	0.120326335	0.1161887065	0.1093977275	0.0024666	-0.0083693	6.084115560000001e-06	7.004518249e-05	0.0985529	0.02364750000000003	0.0005592042562500014	0.00971267409841	-0.0190686	-0.059969600000000005	0.003596352924159999	0.00036361150595999993	-0.000189152	4.075800000000001e-05	3.5778479104000004e-08	1.6612145640000003e-09	0.000175615	-0.00024022199999999995	3.0840628225e-08	5.770660928399998e-08	0.00094882	0.0002797489999999999	7.825950300099996e-08	9.002593923999998e-07	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29421.88671875	57.09375	865647418.0909576	3259.6962890625	20086.9765625	-9.41015625	403486627.4224243	88.55104064941406	20599.955078125	20.427734375	417.29233169555664	424358149.22076803	1.544317	30.823864	0.14829177999999998	0.012457620800000001	-0.042646654400000004	-0.0622008113	0.023099006000000002	0.0005492993	-0.0031646248	0.0009939935	-0.0596930372	0.059993245099999995	-0.053359626900000005	0.011066557900000001	-0.0325309738	-0.0685122011	0.0355059495	0.0936933166	-0.0907596908	-0.1145481261	0.0064077589	0.18779628710000001	-0.0753020695	-0.08542889140000001	-0.1184615038	0.0568801788	-0.0737578393	0.0472761051	-0.05102818889999999	0.0426523503	-0.0391823407	0.0026961628999999997	-0.0913347462	0.12942168369999998	0.1312926991	0.0737299616	0.1244393857	-0.0030864139	0.0672461801	-0.1150812264	-0.0321788311	0.035877870299999996	-0.024047360499999997	0.0821966568	0.14756769460000002	0.0533627949	-0.0542925109	0.0908967991	0.0079785462	-0.0366521432	0.0837144269	0.0852761686	-0.0631161841	0.0343958589	-0.0011188038	0.0043226263	-0.005407841700000001	-0.0369064439	0.0668777252	-0.053298566500000005	0.0374284611	-0.026562715299999998	0.0117906351	0.09941942529999999	0.06627289809999999	-0.1093820826	-0.0320984567	0.1054137691	-0.1632240698	0.0448608875	0.111047035	-0.0125271971	-0.0440619502	-0.126228461	-0.0106031935	-0.0911386802	0.0024834522	-0.0221973223	0.0639092342	-0.09202562630000001	-0.0858813333	-0.039278231600000005	-0.044570285700000004	-0.027375262200000004	-0.1834151166	0.043754691799999995	-0.0582565436	-0.0439438923	-0.0063750385	-0.1294881412	-0.016218531799999998	0.0428834103	-0.1785214147	-0.1024994726	0.0025724757	0.1198669825	0.1143757435	0.10540925529999999	0.00247823	1.1629999999999887e-05	6.1416239329e-06	1.3525689999999736e-10	0.0450429	-0.05351	0.0028633200999999995	0.0020288628404100005	-0.080602	-0.0615334	0.00378635931556	0.006496682403999999	-0.000147841	4.1310999999999984e-05	2.1856961281000003e-08	1.7065987209999987e-09	0.000549596	0.000373981	3.02055763216e-07	1.3986178836099995e-07	0.0006993769999999999	-0.000249443	6.222181024900001e-08	4.891281881289999e-07	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29416.529296875	-5.357421875	865332195.8739053	28.70196914672852	20087.326171875	0.349609375	403500672.7352944	0.12222671508789062	20571.861328125	-28.09375	789.2587890625	423201478.5036049	1.30483	26.043812	0.15223927000000004	-0.009009830699999999	0.0753428965	-0.009194951	0.1267149574	0.0058343405	-0.0484682714	0.012422126	0.0469054303	-0.06509450650000001	0.0086594847	0.0422395287	0.0609213703	-0.016081758	-0.0062282168	0.18947021170000009	-0.2129819712	0.0240876973	-0.0778569815	0.1495123589	-0.0940797096	0.0466882947	0.09372776109999999	-0.0083990439	-0.1399974571	-0.0557814873	0.0238279289	0.1273205526	0.0285735639	-0.0223289942	0.1344978158	0.0669000316	0.10945959570000001	-0.1166811577	-0.0097627817	0.0739556356	-0.0553024246	0.1754697096	0.0860714608	0.0929506825	0.040579418	0.12269348699999999	-0.0674515901	-0.12041110220000001	0.0774300648	0.0772509325	-0.0071724436	0.0607676334	0.0321143894	-0.11371650720000001	-0.015155508600000001	0.12989711199999998	0.0175391462	-0.0682110157	-0.030603213599999998	0.012831758899999999	-0.0689926089	-0.0082971043	-0.0098663637	-0.08455940210000001	0.0471629967	0.011472566699999999	0.2489284175	0.0111951248	-0.0087021212	0.1735143904	-0.0275451271	-0.22741440989999998	0.0689097838	-0.0433758236	-0.07032042549999999	-0.0269815768	-0.011397923600000002	0.0177472911	-0.1223668172	0.1282884573	-0.0126868477	0.0252593746	-0.105964091	-0.0140011589	0.05223044599999999	-0.0423253404	-0.1372992275	-0.2517007363	0.0901848221	0.0160194848	0.002870106	0.0166857799	0.0068365891	0.0310590668	0.022706672200000003	0.0366475821	0.0552531386	0.11934271980000001	0.112315068	0.1009072399	0.00241661	-6.162000000000009e-05	5.8400038921e-06	3.7970244000000095e-09	0.131285	0.08624209999999999	0.0074376998124099985	0.017235751225	-0.101423	-0.02082100000000001	0.00043351404100000013	0.010286624929	-0.0005531059999999999	-0.00040526499999999987	3.05926247236e-07	1.6423972022499994e-07	0.000859672	0.0003100760000000001	7.39035947584e-07	9.614712577600003e-08	0.000512427	-0.00018695	3.4950302499999984e-08	2.62581430329e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
