csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38
34788.04296875	n/a	n/a	1210207933.5955966	23069.525390625	n/a	532203001.7486916	n/a	24447.283203125	n/a	n/a	597669656.0137978	n/a	n/a	n/a	-0.0249345191	-0.058457463099999996	0.009949063900000001	-0.0529427416	0.0390621111	-0.0007934263000000001	0.0720167172	-0.0045582044	0.1344616472	-0.1269072635	0.054974899199999996	-0.0117132959	0.1619404878	-0.0195437371	0.08514330869999999	-0.0796147844	0.0971847912	-0.0556914291	0.2596903166	0.023706227000000003	-0.031040389900000007	0.09688269320000001	-0.0670022901	0.0736407791	-0.0080229685	0.1209481956	-0.1938998832	0.1286209121	-0.0707953147	0.097647413	-0.0378122429	0.0688013219	-0.1787337595	0.038475293199999996	-0.0627698442	-0.11585500900000001	0.185075364	-0.20277935030000002	0.031317955099999996	0.0150423085	-0.0356184607	-0.029732682799999997	0.0287761058	-0.1158368891	0.0870202474	-0.05636441	0.04590158019999999	-0.0314352206	0.1592016378	-0.12281294179999999	0.0530504759	-0.0178636225	0.033428909300000004	-0.0414513438	0.030943772799999998	-0.0314532108	0.101052558	-0.060437628300000004	0.0193817337	0.11551326320000001	-0.168904837	0.16783513170000006	-0.09984993369999999	0.047599647800000006	-0.049161808099999996	0.1560835787	-0.0253191817	0.0854544209	-0.13439648699999998	0.0897393734	-0.018330914099999998	0.1344766336	-0.10298585099999999	0.07583832139999999	-0.1045212728	0.12181457609999999	-0.0985915571	-0.12646892869999998	0.0522887167	0.0149258545	-0.1055180343	0.2602070742	0.017056798300000002	0.011001379399999999	-0.050408918399999995	-0.0194454815	0.11110588789999999	0.11109021890000001	0.1110641056	0.1110275503	-0.0314394	n/a	n/a	0.0009884358723600002	0.141123	n/a	n/a	0.019915701129	-0.109603	n/a	n/a	0.012012817608999998	0.00287395	n/a	8.2595886025e-06	n/a	0.000609451	n/a	3.7143052140100003e-07	n/a	-0.0006451930000000001	n/a	4.162740072490001e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34831.26171875	43.21875	1867.8603515625	1213216792.9200592	23040.779296875	-28.74609375	530877510.6073036	826.3379058837891	24426.466796875	-20.81640625	433.3227691650391	596652280.1788367	1.347778	23.35248	0.04003350000000002	-0.0740536049	-0.0165010835	-0.0218453758	-0.0557213717	0.1110114821	-0.0433185545	-0.0360004358	0.026626556200000002	0.088536944	-0.0556536882	0.0533784992	0.0937111576	0.1487476925	-0.0614617471	-0.0010788057	-0.0035467359999999996	0.1656530209	0.0972162938	0.1055567462	-0.054031335300000004	0.011681867	0.054373828	0.044192450999999994	-0.0085286392	-0.0717782714	0.0639723266	-0.0524359118	-0.067256492	-0.1221392417	-0.0177982638	0.0757216981	0.030874868	0.0617723797	0.005999005	0.0188540037	0.0305638403	0.0089608473	-0.1382953411	0.012884236499999998	-0.1450882255	-0.0707164304	0.0494919537	0.0528513232	-0.0108750468	0.1208786414	-0.058836995	0.0833178829	-0.0567575461	0.12227822039999996	-0.0260647748	-0.0416824602	-0.00132015	0.0713510937	-0.1113256108	0.0104778691	0.011553571	0.148480324	-0.024984701499999998	0.0759524534	0.08614908980000001	-0.0011256847	0.0254618271	-0.038891553100000004	-0.0495346295	0.0098549054	0.1405548451	-0.037499532	0.0436187288	-0.0036344526	-0.0386158869	0.0477518653	0.0390581921	0.0829548431	-0.0351631263	-0.0301741945	-0.0341278796	-0.0020393804	-0.0208072294	-0.1293045792	0.1283513176	-0.120564415	-0.0753930765	0.0730079913	0.021136438799999997	-0.1221130539	0.08180982690000001	0.1110641056	0.1109231287	0.1106882998	0.1103598175	-0.0438129	-0.012373500000000004	0.00015310350225000005	0.00191957020641	0.132575	-0.008548	7.3068304e-05	0.017576130625	-0.106977	0.002625999999999989	6.8958759999999455e-06	0.011444078529	0.00285794	-1.601000000000033e-05	8.167821043599997e-06	2.5632010000001053e-10	0.00049462	-0.00011483100000000005	2.446489444e-07	1.3186158561000006e-08	-0.000446314	0.00019887900000000009	1.99196186596e-07	3.955285664100002e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34566.984375	-264.27734375	69842.51441955566	1194876408.781494	23006.576171875	-34.203125	529302547.1522865	1169.853759765625	24309.30078125	-117.166015625	13727.875217437744	590942104.4732819	1.253311	21.715681	0.07151515	-0.0587440718	-0.0764010926	0.0390319975	-0.0433826426	0.1071346161	0.0428895787	-0.0338294372	0.0025514942999999997	0.0661700977	-0.028349431	-0.0453762963	0.1901115548	0.09897108810000001	-0.0975633681	0.0552196779	0.0678076937	0.1383389784	0.09683486710000001	0.0837450415	0.017788915500000002	0.012689363	0.0971191768	0.065005027	-0.0998658266	-0.035208655400000004	0.0833065095	-0.0365662988	0.0157234778	0.0124117598	-0.031083191	0.0352515196	0.025621221800000003	0.1603352183	-0.050291822300000004	0.1482348139	0.1034611109	-0.0018276426000000002	0.0205076484	0.0125145793	0.0215096556	-0.0595285363	-0.043694242	0.050381256799999996	0.128754784	0.06112282440000001	-0.042146993099999995	0.10612915279999999	0.006342158299999999	0.0895482309	0.0047916432	-0.0169317789	-0.0136517522	-0.0002001373	-0.1869158455	-0.06221402190000001	0.0711061227	0.0693398458	-0.0931325682	0.144801651	0.0296035438	0.0835352703	0.0628053946	0.0473761246	-0.012386101399999998	-0.043897566900000004	0.1545136049	-0.0038102249	-0.0610490969	0.0367348021	-0.0259640778	-0.053776120999999996	-0.005667785799999999	-0.1405958466	0.0048524026	0.09723975300000001	-0.10480204779999999	-0.0166083181	-0.0624371805	-0.09857125609999999	0.0792243125	0.0316878824	-0.0705167892	0.0876119892	0.0098246576	-0.1276177185	-0.0341328032	0.11098055650000001	0.1105891995	0.1099379598	0.1090283678	-0.0438249	-1.1999999999998125e-05	1.4399999999995496e-10	0.00192062186001	0.123565	-0.00900999999999999	8.118009999999982e-05	0.015268309225000004	-0.08682579999999998	0.020151200000000025	0.0004060708614400009	0.007538719545639997	0.00223126	-0.0006266799999999997	4.9785211876000015e-06	3.927278223999996e-07	0.0007147789999999999	0.00022015899999999996	5.109090188409999e-07	4.846998528099997e-08	-0.000446314	0.0	1.99196186596e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34318.6171875	-248.3671875	61686.259826660156	1177767485.6621704	22959.4453125	-47.130859375	527136129.0576782	2221.3179054260254	24211.4921875	-97.80859375	9566.52101135254	586196353.9453735	1.178398	20.417694	0.12804355	-0.062026709299999996	-0.092865459	0.037218966400000005	-0.023453830699999997	0.1784387797	0.17018885809999998	-0.0829193888	-0.0312186256	-0.061104920800000004	-0.023401763199999998	-0.0851917068	0.1677625241	0.09640831679999999	0.10770098199999999	0.0731237086	-0.10847177359999999	0.049791145099999996	-0.0020806445	0.0030975677	-0.0577517068	-0.0040815786	0.0672649882	0.10907916320000001	-0.1180128882	0.0044253287	-0.0366888416	0.1122006323	0.0366122671	0.084988118	-0.0214894481	-0.0027401240999999996	-0.0114890168	0.0254000832	0.034996251400000004	-0.1444389543	-0.047426929400000005	0.0954585315	0.19840680030000002	0.1171899533	0.0251151468	-0.0719439843	-0.0652900911	0.0843559126	0.2474246391	0.0232614345	-0.0181785493	0.1970309968	0.1639625867	0.0036293454999999997	0.0334152554	-0.0552490157	-0.0387817246	-0.0077336104	-0.17243278829999995	0.1069311589	-0.143623697	0.0725817955	-0.033272042599999996	-0.041324487	-0.0365462426	0.0210774448	-0.0399418824	0.1246942973	-0.0266925114	0.007274395699999998	-0.0399500079	-0.11688514259999999	-0.08455573960000001	-0.044872366799999994	0.0294944714	-0.125123075	0.0533542458	-0.17279019350000002	-0.095164915	0.0505105783	0.1066428679	0.1048034269	0.0604421932	0.0284193323	0.0113990978	0.023233421400000002	0.0944037746	0.0352791322	0.2783068615	0.0149313402	0.0499910133	0.11085527220000001	0.11008893369999999	0.10881562460000001	0.10704120869999999	-0.0223353	0.021489599999999998	0.00046180290816	0.00049886562609	0.07139010000000001	-0.0521749	0.0027222201900099995	0.0050965463780100004	-0.0458721	0.04095369999999998	0.0016772055436899984	0.00210424955841	0.00246362	0.00023236000000000006	6.0694235044000016e-06	5.3991169600000024e-08	0.000678632	-3.614699999999994e-05	4.6054139142399995e-07	1.3066056089999955e-09	-0.000446314	0.0	1.99196186596e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34292.58203125	-26.03515625	677.8293609619142	1175981182.3700106	22959.951171875	0.505859375	527159357.8148842	0.2558937072753906	24182.259765625	-29.232421875	854.5344886779785	584781687.3721657	1.083433	18.772257	0.08736260000000001	-0.0600715175	-0.0821891882	0.019877245800000002	-0.0346250943	0.1491310888	0.1464088299	-0.0480235294	-0.008877175400000001	-0.0102053918	-0.026858876	-0.1553826667	0.1152860667	0.0068485245	0.1218630001	0.0828903327	-0.0247451421	0.0766295222	-0.0078265071	-0.1270338911	-0.0528666936	0.0653274004	0.056603226799999996	0.1215148133	-0.1759827696	0.0781685734	0.032311219	-0.0394078127	0.0255709734	-0.0062133482	0.0107597463	0.1029152659	0.0708618517	0.0936607983	-0.0034352589	-0.0660738734	-0.078466275	-0.05906380570000001	0.0187287337	-0.0040511457	0.0316955527	-0.075343907	-0.04948427389999999	0.0729527962	0.22376417170000001	-0.0172093531	-0.0295929706	0.1705163396	0.123603793	0.0330870666	0.0779102693	-0.0258417642	-0.1002915467	-0.0659137536	-0.1019642212	0.0948813856	-0.100799579	-0.061723398799999996	-0.07528164700000001	0.024179400400000002	0.0139582841	0.07464171509999999	-0.08894219119999999	0.1625138826	-0.010463714300000001	-0.0795922063	0.1374356363	0.0024228292	0.0081296909	0.1440598147	-0.10400456949999999	0.0113017275	0.055363656	-0.10276709769999999	-0.0942627484	0.09467559099999999	0.0892602869	0.0010429308	0.0984667689	-0.0344773336	-0.0731829728	-0.0531629194	-0.0080546022	-0.0759291679	-0.0706697849	0.0521091376	0.0815035854	0.1106882998	0.10942308369999999	0.1073250918	0.10441029119999999	-0.0250427	-0.002707400000000002	7.3300147600000105e-06	0.00062713682329	0.118113	0.046722900000000005	0.00218302938441	0.013950680769000004	-0.0593553	-0.013483199999999999	0.00018179668224000005	0.00352305163809	0.00222186	-0.0002417600000000001	4.9366618596e-06	5.844789760000008e-08	0.00043141	-0.000247222	1.861145881e-07	6.111871728399997e-08	-0.000446314	0.0	1.99196186596e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34508.6484375	216.06640625	46684.69190979004	1190846816.9829712	22992.935546875	32.984375	528675085.062748	1087.968994140625	24257.3984375	75.138671875	5645.820011138916	588421378.9556273	1.2551219999999998	21.747061	0.08420560000000002	-0.0083677804	-0.09121412970000001	-0.0444142976	-0.0218950597	0.0707630098	0.0792237013	0.0135581813	0.025265532400000002	-0.0223882554	-0.089912053	-0.1115939794	-0.10608572179999999	-0.0022597948	0.1469011613	0.0582117273	0.006674079499999999	0.1235835466	0.0723348461	-0.10747358439999999	0.10542401359999999	0.2034950689	-0.0658866573	-0.0320247347	0.044124039299999994	0.0196108017	-0.0694392333	0.0307865629	0.0364180813	0.0295249735	-0.0139980601	-0.097597965	0.0741120695	-0.0347956896	-0.1006746987	0.0986633118	-0.0760604723	-0.0469711075	-0.019340333799999998	0.0059723263	-0.1135470038	-0.032399151200000004	-0.0558762292	0.0675356664	0.0318324902	-0.055110983899999993	-0.020277015500000002	0.0893762576	0.0596082208	0.0179880139	0.0213402979	-0.0405224068	-0.1403437007	-0.0414102759	0.09845178060000001	0.1322426712	-0.0127651781	0.0523257497	-0.1199764714	0.0013241767999999999	0.1406105649	0.14030544890000002	-0.047628164900000006	0.010717816399999998	0.1002286842	0.042077449100000004	-0.12953059349999999	0.0759425561	0.1393448467	0.0657951891	-0.09690094070000001	-0.045847149000000004	-0.08472417630000001	0.008912498	0.1026649779	-0.082165065	0.09752559820000001	-0.0306913483	-0.0340420376	0.10282073130000001	0.126860115	0.1011027322	-0.0821139078	0.0940108943	-0.0050906906	0.0710618868	-0.0723868436	0.110479702	0.1085926509	0.1054714048	0.10115143789999999	-0.024437200000000003	0.0006054999999999983	3.6663024999999815e-07	0.0005971767438400003	0.12901	0.010896999999999976	0.00011874460899999949	0.016643580099999996	-0.0431516	0.0162037	0.00026255989369000003	0.00186206058256	0.00150317	-0.0007186899999999999	2.2595200489e-06	5.165153160999999e-07	0.000629723	0.000198313	3.9655105672899997e-07	3.9328045968999985e-08	-0.0006592989999999999	-0.0002129849999999999	4.3467517140099993e-07	4.536261022499996e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34516.30859375	7.66015625	58.67799377441406	1191375558.93898	23010.9765625	18.041015625	529505042.3599243	325.47824478149414	24289.65234375	32.25390625	1040.314468383789	589987210.9802399	1.055262	18.284147	0.0819571	-0.0227027102	-0.1164209189	0.019222799	-0.0307264364	0.0503232368	0.069805739	0.0311327589	-0.009724499499999999	-0.0324088515	-0.06055019900000001	0.008990845899999999	0.016476151100000003	0.0066036924	0.0731312036	0.0350389625	-0.021789064500000004	0.026898187799999997	0.0365051829	-0.1230106704	0.1275973766	0.0823301514	5.3299e-06	-0.020596018100000002	0.1025122624	-0.143078342	-0.0654195625	0.0339282687	-0.0822484981	0.0406552607	-0.0144788012	-0.1392920345	-0.057790557199999995	-0.0077476372	0.0008116236999999999	0.0252967609	0.2304367353	-0.11754411039999994	0.046493198099999994	-0.0199757894	-0.0350862622	-0.027145002799999998	-0.08306485059999999	0.0416574855	0.0143813103	0.0203100419	-0.031068179700000007	0.0649491403	0.0523146094	-0.0078044979	-0.0243868984	0.0143993522	-0.036921030699999996	0.0306110827	0.0035994084000000007	0.05324123099999999	-0.0215829597	0.0099858588	-0.0890879662	-0.0086324012	0.0273328492	0.0692031649	-0.0441735318	-0.0739913575	0.0676186863	0.1260996729	-0.156429302	-0.0606292333	0.0838635153	-0.0859523782	0.01950302	0.0770030275	-0.1538146952	-0.049296239400000004	0.0723924875	-0.0953531317	-0.12049743460000001	-0.0139945794	0.038899421499999996	-0.0515482087	-0.09264212289999996	0.17233937600000002	0.0136652735	0.07303733849999999	0.0509160209	0.059748724800000014	-0.0465707569	0.1102295573	0.10759888449999999	0.103260836	0.0972842479	-0.0226	0.0018372000000000039	3.375303840000015e-06	0.00051076	0.0922974	-0.0367126	0.0013478149987599993	0.008518810046759999	-0.0582716	-0.01512	0.00022861440000000009	0.00339557936656	0.00167761	0.00017443999999999988	2.8143753121e-06	3.0429313599999955e-08	0.000451402	-0.00017832100000000006	2.0376376560399997e-07	3.179837904100002e-08	-0.000446314	0.0002129849999999999	1.99196186596e-07	4.536261022499996e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34611.26171875	94.953125	9016.095947265623	1197939437.7638092	23017.2734375	6.296875	529794876.4966431	39.650634765625	24299.951171875	10.298828125	106.06586074829102	590487626.9555093	1.3220889999999998	22.907379	0.07317500000000003	-0.0067093228000000005	-0.0485858592	0.1066721674	-0.016442543700000003	0.018821718	0.0946731173	0.0314559096	-0.1037563759	-0.0388512856	-0.0618182119	0.0480497663	0.09370638140000001	-0.012431231000000001	0.07888218059999999	0.0760383075	0.0611321533	-0.1092930059	0.0543457567	-0.0059541962	0.031512329500000005	0.0241833315	-0.0343485151	-0.0333629471	0.0086043461	0.0454683274	0.0227608595	-0.021806033500000002	-0.0717692759	0.060798996200000004	0.0714104498	-0.1669131047	0.049418074699999995	-0.055723702699999995	0.1061393682	0.0677467417	-0.0095854462	-0.0862878549	-0.0395813513	-0.0924530626	0.1753611962	-0.0074760205000000005	-0.0869727	-0.0471555943	0.056717340899999996	0.0255522572	-0.0182130842	0.05853689400000001	0.0716233077	-0.0366146688	-0.1086219642	0.053614104800000006	0.0051549017	0.026803739700000002	-0.0220620715	0.020987727799999998	0.0566438501	-0.11312298720000001	-0.0581234991	-0.0373071507	-0.0404936992	0.1387381428	0.0435634217	-0.024541763900000003	0.0491217886	0.013926858700000001	0.0238887455	-0.0187737298	-0.0339130731	-0.0335020303	-0.0283169537	0.0680610206	-0.0405955287	-0.0075069886	-0.0504998628	-0.046937535700000005	-0.040069180600000004	-0.1308517933	0.0318282553	0.1134089403	-0.0645775376	-0.08677126880000001	0.0617792408	-0.0775594398	-0.1394889988	-0.014417626599999999	-0.1072706507	0.1099379598	0.1064432791	0.10070086519999999	0.09283197900000001	-0.0256259	-0.003025900000000001	9.156070810000011e-06	0.00065668675081	0.07209759999999997	-0.020199800000000014	0.00040803192004000067	0.005198063925759996	-0.0409259	0.0173457	0.00030087330848999993	0.00167492929081	0.00123348	-0.0004441300000000001	1.5214729103999996e-06	1.9725145690000005e-07	0.000561901	0.000110499	3.15732733801e-07	1.2210029001000004e-08	-0.000348871	9.7443e-05	1.21710974641e-07	9.495138249000002e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34651.33203125	40.0703125	1605.6299438476562	1200714811.5399325	23000.142578125	-17.130859375	529006558.6140785	293.4663429260254	24309.23046875	9.279296875	86.10535049438477	590938685.9828032	0.918141	15.90831	0.06164956000000001	-0.0048953736	0.011066839399999999	0.0729272837	-0.015312373899999999	0.020843681399999998	0.0765499199	0.0429580904	-0.0873635475	0.0105357075	-0.0302274862	0.0058327442	0.0461353733	-0.0031115449	-0.0476600975	0.0572442367	0.0106652664	-0.1525584273	0.013037861699999998	0.08713346529999999	-0.0355563266	0.1438396315	-0.0773091224	-0.0971538581	0.044949507300000004	0.022012001099999998	-0.1000252143	0.0747573598	-0.251197719	0.0020717351	-0.0992370783	-0.0494823079	0.032132324500000004	0.0189268072	-0.154017891	0.0159938026	-0.1295451473	0.026641754900000002	0.0934406783	-0.0873241381	0.0815374536	0.0024073117000000003	-0.0410308527	-0.05775006360000001	0.0230906855	0.0478246341	-0.0169062268	0.060214625599999995	0.044201987000000005	0.0030107378	-0.0731153607	0.07596919440000001	-0.0165466457	-0.0299145083	-0.0338364438	-0.0293924689	0.0982729228	-0.020944748899999997	-0.023953920400000002	-0.2279091521	0.0671039703	0.026097521000000002	0.07891376929999999	-0.0532225868	-0.1270995543	-0.006087656800000001	-0.0394694319	-0.1081782463	0.0222084823	-0.061639891100000004	-0.1575138175	-0.05433656059999999	-0.1017946358	0.025734210299999997	0.0758990836	0.0681723487	-0.0657323851	0.1687641324	0.0539337945	0.13632410080000001	0.0005022282	0.086097181	0.0436589763	-0.1521032272	-0.07496014599999999	0.0613397968	0.0789828659	0.1096050192	0.105127573	0.09780015460000001	0.08782140769999999	-0.021604400000000003	0.004021499999999997	1.617246224999998e-05	0.0004667500993600002	0.0559885	-0.016109099999999973	0.0002595031028099992	0.00313471213225	-0.043146	-0.002220099999999996	4.928844009999981e-06	0.001861577316	0.00167431	0.0004408300000000001	2.8033139761e-06	1.943310889000001e-07	0.0005907880000000001	2.8887000000000122e-05	3.490304609440001e-07	8.344587690000067e-10	-3.26108e-05	0.0003162602	1.0634642766399998e-09	1.0002051410404e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34777.1484375	125.81640625	15829.768081665039	1209450053.4439087	23048.09765625	47.955078125	531214805.5720368	2299.689517974853	24340.40625	31.17578125	971.9293365478516	592455376.4150392	0.94806	16.426699	0.051469355	-0.0123188244	0.0825916419	0.060736575	-0.0231932542	-0.035147640099999995	0.0240213843	0.0078268802	-0.055608320999999995	0.10179771619999999	-0.0140780385	-0.044804923600000005	0.0007291842999999999	-0.0349176611	-0.051752985599999995	0.0274290446	0.0478257851	-0.146112923	0.1382580246	0.0022090516	-0.0813957996	-0.0335060711	0.09171883189999999	-0.186360707	0.08207868759999999	0.0339430904	0.1497684637	-0.1330368287	0.1195835759	0.016022258	-0.1199103546	-0.0387375744	-0.05249922519999999	-0.0368218809	-0.0714335116	-0.022090544700000003	0.0118756371	-0.1461597282	0.08939485119999999	-0.0750543184	-0.0147455875	0.0024142597	0.0019881524	-0.09430853880000001	-0.030104506800000007	0.045606089800000006	-0.024071097599999997	-0.022055117200000002	0.0269667163	0.0811924854	-0.012669853200000001	0.0712667436	0.0123104952	-0.0698539971	-0.0526474211	-0.0876362781	0.060743768899999995	-0.10166157519999999	-0.0228139233	-0.0179349383	-0.1199253667	-0.0142025436	0.1670186242	-0.0878580351	-0.0005996128	0.008762463	0.08494046599999999	0.1258377816	0.0295832835	-0.043220904000000004	0.0761272291	-0.1271838739	0.0098769241	0.0357250956	0.0264883523	0.0630465712	-0.0260955503	-0.100084221	0.1003252674	-0.0328088613	-0.0956374797	-0.0647523505	-0.0871102767	0.0177772451	0.0737511877	0.0037040518	-0.0175695727	0.10923086050000001	0.103653745	0.09456851919999999	0.0822826681	-0.025615	-0.004010599999999996	1.608491235999997e-05	0.0006561282249999999	0.0788345	0.022846	0.0005219397160000002	0.00621487839025	-0.0383487	0.0047972999999999965	2.3014087289999976e-05	0.0014706227916900002	0.0014253	-0.00024901000000000003	2.03148009e-06	6.200598010000002e-08	0.00051033	-8.045800000000005e-05	2.604367089e-07	6.473489764000008e-09	-9.94519e-05	-6.68411e-05	9.89068041361e-09	4.46773264921e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
