csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15
37370.17578125	n/a	n/a	1396530037.921524	25957.5	n/a	n/a	673791806.25	25483.29296875	n/a	649398220.5311433	n/a	n/a	n/a	n/a	-0.0264921792	-0.0495304346	0.1104612027	-0.0390628041	0.0536675999	-0.2186427509	0.0010003957	-0.2077026109	-0.0019134603	0.0555573524	-0.0426106401	0.0948947204	-0.0590069723	0.0773380157	-0.1380753925	0.3059354615	-0.0818149044	0.0807403013	0.0402719157	-0.0787984603	0.0807874388	-0.1126543666	0.1858603704	-0.0045680468	0.0850639525	-0.0195362068	0.0591538035	-0.1346711244	0.021511276200000002	-0.0164977036	0.20292533629999998	-0.134167066	-0.0147694824	0.0975249901	-0.0954456952	-0.048047327599999995	-0.0194018433	0.0858435286	-0.043977532	0.1105574052	-0.0444849045	0.0632034126	-0.21219554280000005	0.1213545624	-0.18693560539999998	-0.1206302013	0.0361945203	-0.0037585523999999998	0.1763862004	-0.09352973560000001	0.07127475330000001	-0.2247614872	-0.1082274424	0.1503129053	-0.1246060685	0.0521292026	-0.0654718866	0.1303653483	-0.1622659745	0.0595879596	-0.11100062210000004	0.0206880242	-0.0726876973	0.1744774664	-0.027851694500000003	0.0665380971	-0.0209650678	0.0429799664	0.0203000833	-0.11535961269999999	0.07856363129999999	0.0328881728	-0.027774006	0.1217078847	0.1216831682	0.1216419777	-0.0588272	n/a	n/a	0.00346063945984	-0.175243	n/a	n/a	0.030710109049000005	-0.0912736	n/a	0.008330870056960002	n/a	0.00217323	n/a	4.7229286328999986e-06	n/a	0.00281869	n/a	7.9450133161e-06	n/a	-0.00136716	n/a	n/a	1.8691264656e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37466.98046875	96.8046875	9371.147521972656	1403774625.445694	25913.998046875	-43.501953125	1892.4199256896973	671535294.7734412	25396.01171875	-87.28125	644957411.2188872	7618.0166015625	1.694028	30.326405	0.12833580000000006	-0.0789810799	-0.0408587132	0.1353106789	-0.0169161178	0.12463028400000001	-0.0020739020000000003	0.1246421276	0.2369520372	-0.0021867523000000002	-0.4266929293	0.11174293490000001	-0.21501395980000002	0.05992651440000001	0.1013262434	0.1245430132	-0.0408189273	-0.21066420149999998	0.0285027913	0.1936898282	0.0943474782	0.1733736377	-0.0511529504	-0.0384203071	-0.0992386009	-0.0367915609	0.08656676220000001	0.026402545	0.1690457166	0.13729245210000002	0.0451422559	0.021653384900000003	-0.0737850856	0.0067995159	-0.0032193409999999997	-0.0856046151	-0.0764806779	0.0065900548	0.11716498130000001	-0.0478844848	-0.023173526200000003	-0.00010747469999999999	0.14025014859999999	-0.0208670839	-0.3345613953	0.1964519804	-0.106624342	-0.287143575	0.0903806886	-0.1557312276	-0.0530538205	-0.2597303265	0.0094116566	-0.07477297349999999	0.1522926587	0.0317641021	-0.0363779475	0.023158887000000003	-0.17868729670000005	-0.0879128843	0.027293184300000002	-0.08559936060000001	-0.0034430196999999997	-0.1453651436	-0.04978185190000002	-0.1802154417	0.0561060746	0.0373271094	0.0112727748	-0.0300303269	-0.08806578109999999	0.007814482099999999	-0.05486541440000002	-0.1432728067	0.1216419777	0.12141962949999999	0.12104935019999999	-0.0586773	0.00014989999999999448	2.2470009999998344e-08	0.0034430255352899996	-0.175242	1.000000000001e-06	1.0000000000020003e-12	0.030709758564000007	-0.125845	-0.0345714	0.015836964025000004	0.00119518169796	0.00279582	0.0006225900000000001	7.8166094724e-06	3.8761830810000016e-07	0.00399707	0.00117838	1.5976568584900002e-05	1.3885794244000003e-06	-0.00129586	7.130000000000005e-05	5.0836900000000065e-09	1.6792531396e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37412.671875	-54.30859375	2949.423355102539	1399708016.826416	25920.892578125	6.89453125	47.53456115722656	671892672.0466957	25451.970703125	55.958984375	647802812.6727332	3131.407932281494	1.6803689999999998	30.081888	0.15239370000000002	-0.0191713225	0.0985777783	0.0520795307	-0.0806023458	0.0348351779	-0.1523910907	-0.1055502884	-0.1119191492	0.023720694599999998	0.1567671974	-0.1401112299	0.1656468487	0.0998768332	0.25913345190000003	-0.0390121842	0.2206463817	-0.09728630560000001	-0.0606389299	-0.1145152751	-0.17951875109999998	0.1946724169	-0.0072957055	-0.14756488539999998	-0.0336468278	-0.0674292634	-0.0041318891	0.0740928799	0.0344409492	0.11320296380000001	-0.011904422	0.052452174299999994	0.1214511978	0.06497758990000001	0.0090254538	-0.0357929521	-0.0195605789	-0.1443235605	-0.0201776704	-0.0038967035	0.08477644470000001	-0.0876603848	0.0346199003	-0.133345495	0.1831482652	-0.0603660622	0.0709126107	0.1282998826	0.014590115700000001	0.0111502844	-0.3268228388	0.17310641010000002	-0.12452368220000001	0.034084969300000004	0.1196579585	-0.2375119964	0.0171534077	-0.0378672219	-0.07525872110000001	-0.092827845	-0.0334328314	0.10821496539999999	0.0126732472	-0.0721550205	0.0203022627	0.0528983728	-0.0028653956	0.1388289058	0.0094034276	0.05675413610000001	-0.0068807315	-0.031829031	-0.0717014019	-0.1256816973	0.1215101995	0.120893123	0.1198669825	-0.0248587	0.033818600000000004	0.0011436977059600007	0.0006179549656900001	-0.199056	-0.02381399999999997	0.0005671065959999988	0.039623291136	-0.106117	0.01972800000000001	0.011260817689	0.0003891939840000004	0.00285203	5.621000000000011e-05	8.134075120900001e-06	3.159564100000013e-09	0.00454239	0.0005453200000000002	2.0633306912100007e-05	2.973739024000002e-07	-0.0003967280000000001	0.000899132	8.08438353424e-07	1.5739310598400005e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37476.9140625	64.2421875	4127.058654785156	1404519087.6480105	25851.755859375	-69.13671875	4779.8858795166025	668313281.0127296	25358.603515625	-93.3671875	643058772.2626686	8717.431701660156	1.389564	24.875906	0.2275334	-0.048680138600000006	0.0248895394	-0.026394144100000003	-0.07207909400000001	0.0039218479	0.009328583	-0.07673492700000001	-0.08727129460000001	0.0549870767	0.0036678449	-0.0300300008	-0.07524141820000001	-0.0901394191	0.1268888487	0.0210817339	0.2112159667	-0.1261298818	0.1131424449	-0.0221517769	-0.1607063004	-0.055151382400000004	-0.0990902391	-0.0646805862	-0.045261023	0.0969737485	0.0630429032	0.0958528314	-0.010675319499999999	0.0039837609	0.1272536387	-0.09180837720000001	-0.0155888726	-0.0761900236	-0.2108845807	0.0504069413	-0.0473226083	0.0010538539	0.0094464436	-0.045862828200000004	-0.051878000300000005	-0.0719638454	-0.0103596177	0.015473071000000001	0.1008440367	0.010659587	-0.08541773189999999	0.0177868528	0.1460629665	0.0682702645	-0.1444460572	-0.0105330247	-0.17061534670000006	-0.16587695019999998	0.0085835105	-0.0929117635	0.0001500701	0.0722259172	0.06962910509999999	-0.07501498940000001	-0.0880408551	0.0751441208	-0.0181347782	-0.0908636791	-0.1331511004	0.0294820879	0.0045368152000000005	-0.17499431010000002	-0.0223336684	-0.1850957719	0.0186769811	0.0668225821	-0.0899779024	0.05891674280000001	0.1213126213	0.12010478890000001	0.1181006348	-0.058734	-0.033875300000000004	0.0011475359500899998	0.0034496827560000004	-0.102889	0.09616699999999996	0.009248091888999995	0.010586146321000002	-0.129827	-0.02371	0.016855049929	0.0005621640999999998	0.00249595	-0.00035608000000000037	6.229766402499998e-06	1.2679296640000027e-07	0.00434229	-0.00020009999999999996	1.8855482444100005e-05	4.004000999999997e-08	-0.00131617	-0.000919442	8.453735913639998e-07	1.7323034688999996e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37452.03515625	-24.87890625	618.9599761962892	1402654937.344986	25859.251953125	7.49609375	56.19142150878906	668700911.5751991	25367.98828125	9.384765625	643534829.4376372	88.07382583618164	1.312684	23.499615	0.23272580000000004	0.0074190086	-0.0413207671	-0.023311663399999998	0.012913654299999999	0.0644733478	0.0548624859	0.071962367	0.1240069156	0.0663658516	-0.18211710120000002	0.0042046682	-0.051072424500000005	-0.010638448	0.2029476036	0.1052159633	0.0498531782	-0.0305707718	-0.110277186	0.0081942874	-0.20001433850000008	0.0196337155	0.057814611900000014	0.0368443754	0.1555407159	0.0025051787	0.049664186299999996	-0.0688469554	-0.1408565673	-0.020621846399999998	0.044226507400000004	-0.0013890424	-0.148144721	-0.0833278858	-0.0212832379	-0.11272736539999999	0.0001858478	0.0205233324	0.0214520858	-0.0273689447	-0.0359292038	0.0202058229	0.06598511480000001	0.0638344684	-0.19374459219999998	0.0938779374	-0.080915867	-0.1052777053	0.1012134065	-0.0410154443	-0.182305242	-0.0686168561	-0.015915406200000003	-0.023280464	-0.10947829349999999	-0.18581725510000002	-0.0206024803	-0.044372963	0.012986536699999999	-0.0156147245	-0.0301334233	-0.0627174166	0.069779866	0.0668526835	0.0258784327	0.09462532539999999	-0.0540930369	-0.0802051308	-0.0017677358	-0.1314306937	-0.1547520856	-0.047390424	-0.0007632394	0.1168895001	0.12104935019999999	0.11905633460000001	0.11575891279999999	-0.0670457	-0.008311699999999998	6.908435688999998e-05	0.00449512588849	-0.175896	-0.07300699999999999	0.005330022049	0.030939402816	-0.0560889	0.07373810000000001	0.0031459647032100004	0.00543730739161	0.00267842	0.00018247000000000006	7.1739336964e-06	3.329530090000004e-08	0.00367009	-0.0006722000000000004	1.34695606081e-05	4.5185284000000047e-07	-0.00201488	-0.0006987100000000003	4.881956641000003e-07	4.0597414144e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37320.16796875	-131.8671875	17388.955139160156	1392794937.2157135	25837.947265625	-21.3046875	453.88970947265625	667599518.9012184	25477.869140625	109.880859375	649121815.9468117	12073.803256988524	1.3653940000000002	24.44323	0.13088189999999994	0.0175005384	0.1089448291	0.0928941426	0.0179190685	0.035458845600000004	0.1088861243	0.0298916475	0.15375619199999999	0.0460388565	-0.1428530317	-0.1805265923	0.073022343	0.0264521085	0.10830001689999999	0.028314198999999998	-0.0463611936	0.1144575816	0.0426002325	-0.0308453193	-0.0558511255	0.0561915908	0.0335106193	-0.0797435819	0.2058712834	-0.1045763056	0.08453903800000001	-0.0595188806	-0.0134010098	0.033907413399999996	-0.1051804441	-0.0807582957	0.0986996726	0.0201896014	-0.0039210141	0.10744753289999999	0.011333995900000001	-0.1448336332	-0.0560012359	-0.0200993775	0.0870715533	0.0288380125	0.023735472999999997	0.099015045	-0.1603893575	0.1023250753	0.0151821519	-0.0865500497	0.11595806089999999	0.0193483739	-0.0909653253	0.1589993761	0.0657339114	-0.0104858323	-0.011280849099999999	-0.046709570199999995	0.0546808792	-0.13130325939999998	-0.157771051	0.0259052205	-0.1196984105	0.0105321351	0.1038751581	0.1721918663	0.050731439	0.047285782900000004	-0.0504208355	-0.0715657692	-0.0032045506	0.1041910016	0.11273317220000001	-0.048639017199999995	-0.1313293994	0.0546350068	0.1207205288	0.11775003070000001	0.11285322490000001	-0.0459079	0.0211378	0.0004468065888399999	0.00210753528241	-0.105683	0.070213	0.004929865368999999	0.011168896489	-0.0563385	-0.0002495999999999957	0.0031740265822500003	6.230015999999784e-08	0.00201218	-0.0006662399999999997	4.0488683524e-06	4.4387573759999973e-07	0.00365174	-1.834999999999988e-05	1.33352050276e-05	3.3672249999999547e-10	-0.00191384	0.00010104000000000016	1.0209081600000032e-08	3.6627835456e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37532.6484375	212.48046875	45147.94960021973	1408699698.7329712	25881.6015625	43.654296875	1905.6976356506348	669857299.4400023	25602.974609375	125.10546875	655512308.8483009	15651.378311157228	1.17467	21.028893	0.1939571	-0.0163393884	0.0357748015	0.045744876100000005	-0.0022507696	0.0535805579	0.0211640354	0.012269939399999999	0.0843280159	0.058083024500000004	-0.2189592568	-0.155426621	0.08786421039999999	0.0196333049	0.005695300699999999	-0.0020850162	-0.1024472743	-0.0296851747	0.11589209060000001	-0.0006204238	0.060943633399999995	0.1011132558	0.0252020856	-0.1005648698	0.1444149056	-0.0029088687	-0.10387573630000001	0.0676203575	0.08747960210000001	-0.3992963949	0.0273517479	0.0090300341	0.0497477678	-0.035247434700000004	0.0540889541	0.0557287789	-0.031248671800000002	-0.0840480591	-0.0052026658	0.053045184599999996	0.1263418272	0.008418259499999999	0.0464023292	0.011343981599999999	-0.1154977599	0.1099678781	-0.06984396080000001	-0.1435463468	0.0526317506	0.015293075	-0.0189564398	0.14944387779999999	0.11206146189999999	-0.0493342564	0.0068043178	0.0157627273	-0.0283047026	-0.0660716187	-0.1123985284	-0.1005951677	0.10647056960000001	0.203968965	-0.23859983780000002	0.18860019309999998	0.0431502879	-0.1281505503	0.0732408917	-0.0632585509	-0.0878630742	0.0221755012	0.0538612294	0.028238510699999997	0.0891084209	0.10464867539999999	0.120326335	0.1161887065	0.1093977275	-0.0227063	0.023201600000000003	0.0005383142425600001	0.0005155760596899999	-0.072324	0.033359	0.001112822881	0.005230760976	-0.07664850000000001	-0.02031000000000001	0.0058749925522500026	0.0004124961000000004	0.00276713	0.0007549499999999999	7.6570084369e-06	5.699495024999999e-07	0.0027262	-0.0009255400000000004	7.432166439999998e-06	8.566242916000007e-07	-0.0012526	0.00066124	4.372383376e-07	1.56900676e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37840.390625	307.7421875	94705.25396728516	1431895162.6525881	25924.76953125	43.16796875	1863.4735260009768	672093675.2484282	25657.091796875	54.1171875	658286359.4732704	2928.6699829101562	1.189227	21.28949	0.14344949999999998	0.030024364700000007	-0.0685830213	-0.0197301545	0.0135570298	0.06640326049999999	-0.1042355224	0.0683184699	0.06529533650000001	0.0535889963	-0.10241231070000001	-0.0794783136	0.21858208699999998	-0.08677480800000001	0.012650846	-0.0828569415	-0.1151698132	0.1138698717	0.0324666184	-0.0891628345	-0.0375989619	-0.0379567071	0.1713491077	-0.0388906508	-0.0308582212	0.0771257513	-0.0597227383	-0.1327161287	0.0028993749	-0.0457629705	0.031854225699999995	0.06667441860000001	0.0107861382	-0.22529709620000002	-0.1169154455	-0.1394165587	0.0057149668	-0.0032791935	0.033825609	0.1754085111	0.117381247	0.010980916200000001	0.08785421300000001	-0.0939039224	-0.1112489722	0.029909216800000006	-0.0769774105	-0.047418586	-0.07017340799999999	0.1268048797	-0.044998430199999995	0.2048598651	0.1889569938	0.06622115190000001	-0.0122689376	-0.0064915604000000005	-0.0491185318	-0.07977665980000001	0.133918686	0.1772864764	-0.1367859184	-0.016448149199999998	0.0583368221	0.0481271798	-0.0390143369	-0.012208501699999999	0.0759440922	-0.0330718808	-0.20783743370000002	-0.0494756469	-0.0130224145	0.0079605961	-0.0210063285	0.0829423816	0.1198669825	0.1143757435	0.10540925529999999	-0.0207898	0.001916499999999998	3.6729722499999925e-06	0.00043221578404	-0.13986500000000002	-0.06754100000000003	0.004561786681000002	0.019562218225000004	-0.107914	-0.031265499999999995	0.011645431396	0.00097753149025	0.00337524	0.0006081099999999997	1.13922450576e-05	3.6979777209999976e-07	0.0027262	0.0	7.432166439999998e-06	0.0	-0.00149902	-0.00024642	6.072281640000001e-08	2.2470609604e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37924.73828125	84.34765625	7114.527114868164	1438285773.7013092	25934.8046875	10.03515625	100.70436096191406	672614094.178772	25708.93359375	51.841796875	660949266.5278473	2687.57190322876	1.025341	18.355608	0.1291299	0.0522538174	-0.07376944889999999	-0.06926840440000001	0.025339847000000002	0.0778998966	-0.10827563800000001	0.12494432220000001	0.1488198757	0.1059960964	-0.0313587511	0.0113949307	0.1543265588	-0.1526272145	-0.082755315	-0.0365364866	-0.2316063954	0.0632942011	0.11213617279999999	-0.012674409099999999	-0.09904185480000001	-0.1386069795	-0.1461336883	0.0430174521	-0.0068936042	0.169907151	-0.1563473806	-0.0779408612	-0.16546396830000001	0.1208257684	-0.0192248431	0.019465762299999998	0.0011533293	-0.0589175207	0.0157176146	-0.030339795699999998	0.0294873737	0.0277407654	-0.017117197	0.2117484347	0.0316929664	0.0274335376	0.0961331626	-0.090004326	-0.1877268148	0.0553994133	-0.0774898143	0.07629928400000001	-0.090887799	0.1603196737	0.11562560640000001	0.031256935699999995	0.20307102230000001	-0.17706448800000002	-0.0416674081	0.0609672414	0.0006065492	0.0718493683	0.2155527968	0.061312127699999996	-0.0256888262	0.0474109389	0.1636733225	0.0729832378	0.0947036515	0.1100322951	-0.0719769713	0.000611185	-0.0153548814	0.085065789	-0.0061334441000000005	0.0403467286	-0.0164952864	-0.058979669299999996	0.11934271980000001	0.112315068	0.1009072399	-0.0201098	0.0006800000000000035	4.624000000000048e-07	0.0004044040560399999	-0.06709789999999999	0.07276710000000003	0.0052950508424100045	0.00450212818441	-0.0915527	0.016361300000000027	0.008381896877289997	0.00026769213769000077	0.00284771	-0.00052753	8.109452244099999e-06	2.7828790090000003e-07	0.0027262	0.0	7.432166439999998e-06	0.0	-0.00124012	0.0002589000000000001	6.702921000000002e-08	1.5378976143999996e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37639.5703125	-285.16796875	81320.77040100098	1416737253.3096313	25910.04296875	-24.76171875	613.1427154541017	671330326.6424713	25687.572265625	-21.361328125	659851368.9017067	456.306339263916	1.0604129999999998	18.983467	0.110522272	0.0302244167	-0.0023342968	-0.178617484	0.0073583039	0.0385465106	-0.059654087	0.0592386888	0.0864107879	0.0610322738	0.069169466	-0.13293225039999998	0.0111827702	-0.1227965685	-0.0751594741	0.0211822943	-0.1234313682	0.0453793552	0.10396475300000001	-0.0732352833	0.1501196991	-0.0021769655	-0.014607527700000001	0.029330914700000002	-0.029956450899999997	0.039348623900000004	-0.0719220635	-0.029630688199999998	-0.052238479500000004	0.107933473	-0.0913785089	-0.047024393	-0.027253978300000002	0.23422251530000002	0.132547681	0.0199530605	0.0209985822	0.0345552435	-0.107829478	0.1539276446	0.0325899042	0.009561872800000001	0.0521304434	-0.0517973466	-0.0585318451	0.0419580032	0.0562438655	0.1062817086	0.0953681277	0.09540677439999999	0.1227043756	0.0376323276	0.1440621195	-0.0554095457	0.0040660006	0.12906959939999998	0.1359497782	0.0269596483	0.0063581193	0.1178415595	0.1491887249	-0.021183397799999996	0.028852446299999997	0.0154453323	-0.007071095400000001	-0.0312934577	-0.12093898550000001	0.154838444	0.0655694085	0.1437178832	0.0440585905	0.014430672700000001	0.1069477407	0.0116793825	0.11875383099999999	0.1100111431	0.0959136145	-0.0007478279999999998	0.019361972	0.000374885959728784	5.592467175839996e-07	-0.0272958	0.039802099999999986	0.0015842071644099993	0.0007450606976399999	-0.083896	0.007656699999999988	0.007038538816	5.8625054889999815e-05	0.00270444	-0.00014327000000000006	7.313995713599998e-06	2.052629290000001e-08	0.00199544	-0.00073076	3.981780793599998e-06	5.340101776e-07	-0.00124012	0.0	0.0	1.5378976143999996e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
