csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
29843.015625	n/a	890605581.5939941	n/a	19685.18359375	n/a	n/a	387506453.11964417	20050.14453125	n/a	402008295.7240143	n/a	n/a	n/a	n/a	-0.050993100599999994	-0.0985620441	0.0656856222	-0.0087931401	0.0521949821	-0.031342874	0.0328425922	-0.0104763319	0.0142928884	-0.0895440272	0.0275063996	-0.0911299677	0.2176043766	0.1462695031	-0.0551017383	0.0197882625	-0.039506520499999996	0.017928121	-0.0015394663	0.0214628647	-0.0747972861	0.0691730558	-0.2090605522	0.08774498119999999	-0.050804659	-0.0437457379	0.031257225	0.0765255479	-0.0081195391	0.0443221503	-0.042296213	0.1334322764	-0.1143742848	0.0879605701	-0.0279143329	0.0780388166	-0.0761669884	0.11016175449999999	-0.17065492510000002	0.020049342	-0.0165374696	0.0492597108	-0.0761800704	0.014822924599999999	0.002401744	-0.10429893359999999	0.2085937518	-0.1299445923	0.1151799395	-0.0324978448	-0.043780502699999994	0.028341491	0.0795056418	-0.028332527799999997	-0.0468047404	0.14234960630000001	-0.1593650459	-0.053925308600000006	0.032896561	0.017635001799999998	0.0597388946	-0.0772169514	-0.0717772146	0.0716034957	0.061820459400000013	-0.0892369061	-0.001770906	0.1533761291	0.0157138283	-0.10341995640000001	-0.0594602722	0.0863605435	-0.0500691472	0.0207155988	-0.0315982148	0.040447679300000004	-0.0782000841	0.0632192407	0.0041113231	-0.0653289322	0.027826662999999998	-0.0100981858	-0.0266560003	0.012682819299999998	-0.034831029	0.0882218808	-0.0047278894	0.24170875530000002	-0.024333542200000002	0.0406444825	-0.041858842400000006	0.09114626470000001	-0.0402542752	0.07982509230000001	-0.0148842044	0.0588923374	-0.1251363234	0.0801219218	-0.1363734834	-0.015659813600000003	0.053198699599999996	-0.046694524	0.057714693399999996	-0.016291446	0.0214880231	-0.1066898273	0.0291246565	-0.07253282030000001	0.1592844527	-0.1126169819	0.11627298130000001	-0.1492422912	0.153844553	-0.0183982432	0.0636948376	-0.053216641399999993	0.051544281	-0.1463950971	0.0185827545	-0.0498209488	0.0866794278	0.070319852	-0.11452798880000001	0.06702692980000001	-0.06493233080000001	-0.022663099500000002	0.0209558009	0.0059874763	0.0783339525	-0.014186018500000001	-0.1722612934	0.023298010499999997	0.008952519300000001	-0.0779735934	0.0811695236	0.0072495099	0.0114883621	-0.1252807741	0.0771911255	0.0446458271	-0.15648372800000002	-0.08245577059999999	-0.05145858389999999	0.0643605464	0.0903489333	0.0903433624	0.09033407789999999	0.09032108009999999	0.0903043695	0.0902839469	0.0168043	n/a	n/a	0.00028238449849000004	-0.0574784	n/a	0.00330376646656	n/a	0.035293599999999994	n/a	n/a	0.0012456382009599994	-0.00160567	n/a	n/a	2.5781761489e-06	0.00151395	n/a	n/a	2.2920446025e-06	0.000758146	n/a	5.747853573160001e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29919.7734375	76.7578125	895192842.5513307	5891.761779785156	19650.677734375	-34.505859375	1190.6543312072756	386149135.4202614	20080.458984375	30.314453125	403224833.02316666	918.9660682678224	0.9907530000000002	19.880272	0.07275439999999997	-0.0065396021999999995	-0.065037976	-0.0146341967	0.007082916	0.0005151029	0.0414340645	0.0197218624	-0.0567619697	-0.006394918	0.0010714786999999999	0.0366106587	0.030408125699999997	0.1304214696	0.0405759674	-0.06083121690000001	-0.0496513317	-0.107565563	0.0273518448	-0.1329821549	0.0806270762	0.1583513255	-0.12209234949999999	0.039082483599999995	0.0731669115	-0.17913560850000002	0.0208490719	-0.1366586014	0.0779784344	0.0946826706	-0.0123269171	-0.0147279593	0.0474072443	-0.1258285333	-0.1046151164	0.039029069300000004	-0.015096878999999999	0.160878944	0.09167140480000001	0.1348625009	0.0776011606	-0.0599877406	0.1069694383	0.003968513	-0.0736633767	-0.049417717800000004	-0.0314553832	0.0483358215	-0.059939291	0.1183986365	-0.09008227960000001	-0.0096379672	-0.081657633	0.0724667446	-0.0558534838	-0.017991878200000002	0.0758544555	0.08648162039999999	-0.0499329876	0.026905921800000003	0.0275862286	-0.0681834971	0.05393432150000002	0.1615625927	-0.0696960837	0.0995937675	-0.0484034118	0.0157889902	-0.0134848903	-0.0352288937	0.0016024378	0.0070522963	0.06610043730000001	0.0159389945	0.0100942011	0.004393779600000001	0.0227899174	-0.10868376560000001	0.0847767873	-0.0087519281	-0.00033274910000000016	-0.0433554491	-0.0237092925	0.0341149794	-0.00043207239999999995	0.054336828200000006	0.018113366000000002	0.020928448	0.0939241268	0.0930949304	0.107978734	0.08469069779999999	-0.044642788200000005	0.08414640640000001	-0.12095110490000001	0.030749226600000002	0.0062032547	0.111845269	-0.08198187259999999	-0.19653709870000002	-0.08935831720000001	0.1904289305	0.1412490058	0.0706795269	0.025491026	-0.2114466833	0.0380579521	-0.0070325889	0.027284824500000002	-0.0160889463	-0.0411868242	-0.0364790669	0.0509154074	0.0391661055	-0.0322210402	0.0672622651	-0.1336851361	-0.0307979941	-0.0513870494	0.0633221949	-0.0425336861	0.0626847966	0.0746206536	0.0875364255	0.027893217999999997	0.0281907338	0.11669904369999999	0.0162442075	0.0931370384	-0.13135970560000002	0.047338074699999996	0.035347088799999996	0.0431342382	0.0430338162	-0.0573166656	-0.0823034216	0.055027984800000006	-0.09334246560000001	-0.0102988525	-0.020745236599999998	-0.06165947610000001	-0.0127098259	0.015027573999999997	-0.09931147539999999	0.023971034300000003	0.09033407789999999	0.0902839469	0.0902004158	0.09008351560000001	0.0899332895	0.08974979300000001	0.017881900000000003	0.0010776000000000015	1.1612217600000031e-06	0.00031976234761000016	-0.0574822	-3.7999999999982492e-06	0.0033042033168399995	1.4439999999986696e-11	0.0455246	0.010231000000000004	0.00010467336100000008	0.00207248920516	-0.00101419	0.0005914799999999999	3.498485903999999e-07	1.0285813561000002e-06	0.00120338	-0.00031057000000000003	9.645372490000002e-08	1.4481234244e-06	0.000431356	-0.00032679000000000003	1.86067998736e-07	1.0679170410000004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29847.453125	-72.3203125	890870458.0490723	5230.227600097656	19650.662109375	-0.015625	0.000244140625	386148521.3368263	20087.025390625	6.56640625	403488589.04361343	43.11769104003906	0.993705	19.939495	0.14895193	-0.0228423243	-0.08729995730000001	-0.0768872319	-0.0374710793	-0.0269864106	-0.0566116741	0.10021101519999999	-0.1000123359	-0.0733162048	0.0738849944	0.0555517824	-0.014739775600000001	-0.006482309300000001	-0.0238210938	-0.027769792999999997	-0.054987994299999995	-0.013307213500000001	0.0233838325	-0.20812930640000002	-0.0747474043	0.0759045611	0.049896465099999995	-0.0398306327	-0.0974508433	-0.0190422416	-0.009890442	0.0407129632	-0.0456156921	-0.047737393899999994	-0.0704036185	-0.049751845499999996	0.023586050600000002	-0.0235031951	0.06808902650000001	-0.069172101	0.0159764386	0.0293859806	-0.0648065434	-0.0081189139	0.05619929110000002	0.0661398597	0.0083339474	0.1583363446	0.0095138914	0.0500564918	0.1389967256	-0.0013238660000000001	0.023434309	0.060869985099999996	0.032553795499999996	-0.0725608707	-0.0520981964	0.0570990669	-0.0949132115	-0.0159680781	0.103004951	-0.11667396599999999	0.0081461805	0.09563081220000001	-0.0611454008	-0.07637160259999999	-0.0670799478	0.17048755489999998	-0.0031627159000000003	0.047593562400000004	0.0256612272	-0.0714863176	-0.016535728200000002	0.0265659744	-0.0009840027000000001	-0.017475263	0.0926940684	0.0794586941	-0.023417213	-0.0358255957	-0.056591695899999996	0.0048109731	-0.0345690055	0.0434465	0.0076525883999999985	0.062739481	-0.1074468411	0.0871873824	0.0359347487	0.0526067134	-0.0084561407	-0.0802099944	-0.0559727025	-0.0111213778	0.1210919204	0.11460690330000001	-0.006393679100000001	0.024162654300000003	0.0372921816	0.1147408684	-0.032167344300000004	0.054694626100000004	0.09811055029999999	-0.0129785792	0.1031793884	0.0632235124	-0.0605658415	0.0240301907	-0.026015540099999998	-0.060551243399999996	0.0073884274	-0.0872397975	0.0151724176	0.0822029107	-0.127291323	0.0326342671	-0.1134765725	-0.1016679721	-0.0354825602	-0.0450331654	0.012212439399999999	0.0094516308	0.0962763	-0.0002185844	-0.030771102400000007	0.0012039336	-0.0443995203	0.0385744377	0.0688757862	0.0011875428	-0.021149521	-0.068843533	0.0603359875	-0.0731593258	-0.0247055121	-0.016313988300000002	0.0061844706	-0.16353959869999998	-0.0892201582	0.024185209300000003	0.0031906788	0.017429953300000002	0.0396111373	0.07831725099999999	0.0331256607	0.0090638874	-0.0631807299	-0.09075426619999999	0.0066816233	0.0903043695	0.0901651549	0.0899332895	0.0896090116	0.0891926543	0.0886846456	0.0115821	-0.006299800000000003	3.968748004000003e-05	0.00013414504040999998	-0.00191327	0.05556893	3.6606020929e-06	0.0030879059813449	0.0316653	-0.013859299999999998	0.00019208019648999996	0.00100269122409	-0.000434099	0.000580091	3.36505568281e-07	1.8844194180100005e-07	0.000530825	-0.000672555	4.52330228025e-07	2.8177518062499995e-07	0.000219524	-0.000211832	4.819078657600001e-08	4.487279622399998e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30029.439453125	181.986328125	901767233.8689004	33119.023624420166	19664.1640625	13.501953125	182.30273818969727	386679348.2769165	20120.169921875	33.14453125	404821237.6851234	1098.5599517822266	1.21898	24.459831	0.12404882	-0.0500658286	0.0220365987	0.06428753549999999	-0.0504264901	-0.0141547027	-0.0582277262	0.0139022015	0.0264420859	-0.0723803681	0.0357403944	0.025305479199999998	0.0664473891	-0.1013588059	0.077038473	-0.0702486359	-0.11978166220000001	0.0042360167	-0.0153669616	-0.0889043168	-0.0262015502	-0.0562505266	-0.0077943574	-0.0215679119	0.0592194109	0.0245386313	0.023826509	-0.0360187568	-0.0162014342	0.0255712279	-0.029923021299999998	-0.10070334199999999	-0.0042478417	0.043289948499999995	0.0414806041	-0.0113111072	0.07256755599999999	0.0684362429	-0.043889424	0.0973627006	0.0089519783	-0.1644772782	0.0121021997	-0.0325825885	-0.0027609259000000003	-0.060239801399999994	-0.053253435999999994	-0.0661071265	-0.012660852700000001	-0.0570920847	-0.054208363899999994	0.1044327322	-0.026284875299999996	-0.0029002972999999997	0.0358514753	-0.0709345197	-0.11314062800000001	0.053199771900000005	0.08139234570000001	-0.0257776284	-0.0651038629	0.1885064343	0.07525401940000001	0.1007003311	-0.00011550969999999999	-0.12065409490000001	0.0137473094	0.0032243813000000002	-0.0269310164	0.09327525869999999	0.0692962851	-0.0503403828	-0.0148445029	-0.033494255099999995	-0.1168908541	0.0143522261	-0.063822265	0.11359617960000001	0.1534822525	0.049932309	0.0051388223	0.04935417860000001	-0.0264662154	0.0629698376	-0.0064773188	0.0016711298999999998	-0.0016530657999999998	0.0832656005	-0.0579750999	-0.0788443553	0.0302668379	0.0831418467	-0.0908198347	0.010163481700000001	-0.0722071004	-0.0459665462	-0.0325217581	0.0063372751	0.12255582029999999	-0.09640100230000001	0.0532416405	-0.0786765116	0.0076528402	0.0384577191	-0.0052156453	-0.0161809782	0.0766926572	-0.0801215654	0.0744849449	0.0097168147	0.0887215861	0.0072405147	0.1233025544	0.0345075284	0.0260348731	-0.013647774	-0.1093655445	-0.08104806860000001	-0.0841016644	-0.0190790945	0.11626619960000001	-0.09488217060000001	0.0041636394	0.0503376457	-0.049338125700000006	0.041812353	0.0512543383	0.0304786475	-0.0395724873	-0.08213900589999999	-0.0684661487	-0.0391119801	-0.0695336562	0.1356242926	0.0225928731	0.0637253184	-0.06187074190000001	0.022338300800000002	-0.014629093300000003	-0.07676674110000001	-0.033849961899999996	0.021867357599999998	0.0583964888	0.027502221	-0.09313672560000001	0.0902598131	0.08998706460000001	0.0895330941	0.0888988159	0.0880855073	0.08709480630000001	0.00270751	-0.00887459	7.87583476681e-05	7.330610400100002e-06	-0.0389619	-0.03704863	0.00151802965161	0.0013726009848769	0.0073593	-0.024306	0.000590781636	5.4159296490000006e-05	0.0002582	0.000692299	4.792779054009999e-07	6.666724000000001e-08	0.0004585530000000001	-7.227199999999992e-05	5.223241983999987e-09	2.1027085380900004e-07	-9.2297e-05	-0.000311821	8.518736209e-09	9.7232336041e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29897.13671875	-132.302734375	893838783.9796295	17504.01352310181	19677.478515625	13.314453125	177.27466201782227	387203160.73288345	20138.158203125	17.98828125	405545415.81409067	323.5782623291016	1.059721	21.264154	0.0329187476	-0.011683541399999999	-0.0173516195	0.0472376339	-0.02663806	0.0236909461	-0.0017345351999999998	0.0055088119	0.0559591521	-0.0475449171	0.0781611846	-0.0753184461	-0.015016130700000001	0.0304824004	0.0640975574	0.08703827619999999	-0.0411418089	-0.010529198500000002	-0.048687796500000005	-0.17980755129999998	-0.0042177726	0.0320912894	0.1155416093	0.0174961034	-0.0719741661	0.14810276630000002	-0.0666653316	0.0403682244	-0.0614625531	0.0412250716	-0.06521470759999999	-0.0450050529	0.07939109849999999	0.08354111809999999	0.0342302682	0.0159248155	0.059566836799999995	-0.0666981536	-0.0028593096	0.10174697279999999	-0.050005273899999994	-0.046843407999999996	0.0007850336	-0.1450227018	-0.0209172825	-0.118999268	-0.0231068006	0.0678272696	0.09059799980000001	-0.0690702187	-0.061124307999999995	-0.05043470110000002	0.0230494615	-0.0423168101	0.1844757642000001	0.028095859100000002	0.0319374262	-0.0035807103999999997	-0.0377306239	-0.0336235572	0.0065794553	-0.0416282329	0.1104278372	-0.14373370970000002	-0.050686206500000004	-0.0630079964	0.12688536050000002	0.0837059032	-0.0247847303	0.019977651000000003	0.0406162088	-0.0156067771	-0.0022032889999999998	-0.0189808783	0.0614531519	-0.0242209465	-0.1918025252	-0.0403666572	0.0414667625	0.0292869784	-0.0187463319	-0.0062849722999999994	-0.018486035300000002	-0.0068461413	-0.08317882809999999	0.0287307459	-0.0957471096	4.76104e-05	0.0249407981	-0.0856700122	0.0240024586	0.0581321549	-0.08478035	-0.0577601855	-0.0466216579	0.1439518002	-0.045903346399999996	0.0246989886	0.1959397715	0.132556573	0.0543127704	0.0268091723	0.0024175388	-0.12386415490000001	-0.1285554692	0.0619939025	0.0301225487	0.009470639599999999	-0.0402174928	0.032439957	0.035152139	-0.0658727338	0.0360911775	0.0405161636	-0.09016981689999999	0.0283122287	-0.0078010886	0.0343782448	-0.1241846026	-0.0276928385	0.0950644132	0.0824114627	0.033954916	-0.0378106544	-0.0010727288	0.0720896855	-0.0416555323	0.0169688242	-0.06600114809999999	0.0241998039	0.0401383846	-0.1040395037	0.0794843969	0.0812703222	-0.015664363	-0.0103096578	-0.0020977407999999997	0.0506267742	0.0648523584	-0.0066897884	-0.0033083108000000003	0.1122354549	0.0681298742	0.1447741086	0.0030441452000000003	0.0902004158	0.08974979300000001	0.08900042179999999	0.0879547967	0.0866163981	0.08498968130000001	-9.96976e-05	-0.0028072076	7.880414509497761e-06	9.939611445759999e-09	-0.03167	0.007291900000000005	0.0010029889	5.317180561000006e-05	0.00727836	-8.093999999999983e-05	6.5512835999999715e-09	5.29745242896e-05	-0.00015419200000000002	-0.000412392	1.7006716166400002e-07	2.3775172864000005e-08	0.000416171	-4.238200000000004e-05	1.7962339240000035e-09	1.73198301241e-07	-9.2297e-05	0.0	8.518736209e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29963.203125	66.06640625	897793541.5100098	4364.770034790039	19690.8359375	13.357421875	178.42071914672852	387729019.9175415	20169.50390625	31.345703125	406808887.824234	982.5531044006348	0.9272300000000002	18.605625	0.0641249664	-0.020980501800000002	0.0419187378	0.0615207775	-0.0388292573	0.045725808	-0.0619776513	-0.0305807403	0.0633349141	-0.008849736700000001	-0.0200332179	-0.0617168	-0.012644331799999999	-0.0393222554	0.0224137573	0.0627120746	0.0669107437	0.09607513220000001	-0.0709120202	-0.0413483728	-0.0832145718	0.145304025	0.015277591200000001	-0.0301388805	-0.0378960248	-0.0116417713	-0.060832577400000004	-0.016259873600000002	0.1728417952	-0.1259647067	-0.0420087709	0.012184603799999999	0.0579577371	0.0511443029	0.0073198128000000005	0.1338667681	-0.036034298199999995	-0.1421973427	-0.0045447054	-0.028528285299999998	-0.09404338779999999	-0.0179386118	-0.1871118624	-0.032301139900000005	-0.0623061904	0.0025142446	0.0120074301	0.0112781716	0.0477097469	0.0823446455	-0.0292522544	-0.0745884921	0.0790727458	-0.15899676570000001	0.026132569799999998	0.16297459109999998	-0.13631626019999998	-0.07947832099999999	0.0554913719	-0.1108954976	-0.0025165687	-0.090115091	0.0481237385	0.0811788631	-0.051694565199999994	0.0887855525	-0.0085956169	-0.0306238667	-0.0242918577	0.0476713904	-0.08800031900000001	-0.0277511169	-0.0469752763	-0.0512445853	0.0739399241	0.0192046473	-0.0733103533	-0.07004926610000001	-0.07176874379999999	0.041361955299999996	-0.0562416358	0.0492767829	0.025046363199999998	-0.02841398	-0.0476947267	0.012871993600000001	-0.033722608	0.0345868708	-0.0729648718	-0.0271790317	-0.0220391573	-0.0620866014	-0.0377176481	-0.07018947730000001	0.0747193324	0.0454306503	0.12278087160000001	0.1815674323	0.0076481874	0.0707123593	0.0097368019	0.0538462528	-0.1040761133	0.0260805031	0.0685715511	-0.1292413006	-0.0865066585	0.0779626067	-0.0045900485999999996	0.11356869929999999	-0.026886327999999998	0.053348605199999996	0.0454352119	0.1009490484	-0.069436249	-0.1063589561	0.1021628901	0.035944480099999995	-0.10182894029999999	-0.0645446513	-0.1110167099	0.0237959756	0.0236544833	-0.047996816100000006	0.0634091062	-0.13543840099999999	-0.1021280879	0.061816289	-0.0811994244	-0.04405730150000002	0.0015886343	0.1446398519	-0.0021325357	-0.1048545526	0.08654879550000001	-0.0454524316	-0.0775300686	-0.0485349594	-0.0197870026	-0.10455818759999999	0.0023015703	0.0923881001	-0.0526470576	0.023821724199999998	-0.016400487	0.0901261876	0.0894534963	0.0883360609	0.08677943689999999	0.08479136359999999	0.0823817253	-0.000103704	-4.0063999999999884e-06	1.6051240959999915e-11	1.0754519615999999e-08	0.0105031	0.0421731	0.00011031510961000002	0.0017785703636099997	-0.00416173	-0.01144009	0.0001308756592081	1.73199965929e-05	-9.61546e-05	5.803740000000002e-05	3.368339798760003e-09	9.245707101159997e-09	0.000264053	-0.00015211800000000002	2.3139885924000006e-08	6.972398680899999e-08	-9.2297e-05	0.0	8.518736209e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29954.10546875	-9.09765625	897248434.4329988	82.76734924316406	19709.328125	18.4921875	341.96099853515625	388457615.138916	20134.66015625	-34.84375	405404539.6076813	1214.0869140625	1.007999	20.226322	0.0414211108	-0.06725409610000001	0.0007906796000000001	0.0441379829	-0.0497460917	0.055935949900000004	-0.0879419918	-0.0103847561	-0.05769946400000001	0.0712854307	-0.138474305	-0.0187905614	-0.0164234989	-0.07818332160000001	0.0016049631	0.0417687702	-0.0208540977	0.1173811912	0.1026808872	0.0160030422	0.0522358181	-0.08696542539999999	-0.0024165235	-0.0704574331	0.09379502279999999	0.040465265699999996	-0.0091945694	-0.0336764562	0.0869183075	0.012041078700000001	-0.0089101225	0.1745025311	-0.0267487289	-0.005437850300000001	-0.049095829900000006	-0.10157198320000001	-0.0170371779	-0.02317941	-0.0038320125	0.050136475599999994	-0.0180931839	0.1076504273	-0.1193651705	0.049148272300000004	0.0452412966	-0.1422334454	0.0175435162	-0.0047660171000000005	-0.0389167329	0.0058390249	-0.0151843211	0.04514796150000002	-0.0880408139	0.08259024599999999	-0.0918673606	0.0346431231	-0.1939667048	0.0052127028	0.08233352599999999	0.06962990200000001	-0.0703215259	-0.0910990683	0.024177466600000003	0.0557390635	-0.0303549867	0.037190181600000004	-0.0258532523	-0.0338736529	-0.049055687699999996	0.0690489689	0.06565145160000001	-0.0832548249	0.00031472389999999997	-0.0460063567	0.008826086700000001	0.0156426938	0.0940781515	0.0319417052	-0.007499438499999999	0.0461335517	-0.081823593	0.0817146287	0.0528917942	-0.006660670699999999	0.10687419890000001	-0.11040866560000001	-0.0037903118	0.0179323953	-0.0812608951	-0.1077900601	-0.0793821235	-0.0234817378	0.0676366742	0.013073981200000001	-0.0402165382	-0.0022875122	0.0077777641	-0.1147746375	-0.0659564424	-0.0719994969	-0.0901093107	0.0475275099	-0.010341359100000001	-0.0781633277	-0.0717312449	-0.0811254617	-0.0170028097	-0.0079178775	0.010157830999999999	-0.0761585179	-0.0011712919	0.0088450595	0.0432637746	0.1428976908	0.0636342454	-0.0169890836	0.053336303	-0.0039152073	0.012968926100000002	0.085734706	-0.0642341007	-0.12095179710000001	-0.1307943274	0.1061503948	-0.0833991492	0.0205529857	-0.0458369042	-0.0095560884	-0.0281515707	-0.0309807896	-0.0129838371	0.046400923399999995	-0.0448985913	-0.1255870943	-0.0177659277	-0.0509129702	-0.0190317874	0.052646805899999996	0.0022135068	-0.0174156041	-0.0034904246999999996	-0.0327626765	-0.0239825245	-0.0520560616	-0.1583847918	0.09003714060000001	0.0890983693	0.0875409941	0.08537582789999999	0.0826179031	0.079286368	-9.97747e-05	3.929300000000003e-06	1.5439398490000025e-11	9.954990760089999e-09	0.0270608	0.016557699999999998	0.0007322868966400001	0.00027415742928999995	-0.023856	-0.01969427	0.0003878642708329	0.0005691087359999999	6.884630000000001e-06	0.00010303923	1.0617082918992896e-08	4.739813023690001e-11	0.000263788	-2.649999999999983e-07	7.02249999999991e-14	6.9584108944e-08	-9.2297e-05	0.0	8.518736209e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
