csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28
38737.00390625	n/a	n/a	1500555471.6328278	22508.923828125	n/a	506651651.9003334	n/a	23502.130859375	n/a	n/a	552350154.9311867	n/a	n/a	n/a	-0.1224603972	0.0551302419	0.13759298109999998	-0.2095846172	0.33352432989999997	0.1718224618	-0.1815479363	0.0033006683	-0.028394943399999997	0.0564405968	-0.1943174534	0.3198799699	-0.1316877201	0.0605849704	-0.0534303203	0.167740336	-0.0836849204	0.2325054192	-0.1463121643	0.12385391609999999	-0.1699491321	0.051416159100000004	-0.0709762107	0.1131470648	-0.0073732865	0.0701324024	0.0600606681	0.011503290800000001	-0.1285694082	0.09943226949999999	-0.024748232999999998	0.17398919670000002	-0.0266007247	0.0033105692	-0.0311344245	0.0137872803	-0.1080738514	0.019622716499999998	-0.0034001148	0.047954030099999996	-0.1058254547	0.1171754101	-0.0024834185	0.1291963677	-0.10470398550000001	-0.1283007657	0.036351702799999996	-0.0088372103	-0.0094894086	-0.0532644156	-0.0782969531	-0.0535025703	0.029934869300000007	0.32399906100000003	0.1460446326	-0.1791431268	0.1304641896	-0.3082493675	0.2731214039	0.1827705778	0.1297741094	-0.049220508899999994	0.0301364467	-0.065090016	0.17964231460000002	-0.16169842980000002	0.1408737069	0.288902396	-0.1241224287	0.1618377306	-0.080783488	0.0227093435	-0.0844977123	0.0033764837	-0.0876174416	0.11944241859999999	-0.20675848219999998	0.12271390689999999	0.061466104699999996	-0.1548210786	0.0182660089	-0.0112476377	0.11330263539999999	-0.0766162141	0.0622694137	-0.0640331808	0.0325812599	-0.10854849529999999	0.0039135545	-0.0009175432000000001	0.012666348400000001	-0.024834018500000003	0.1432114266	-0.0103897756	0.10131882199999999	-0.0050006782	-0.0862742714	0.0790689091	-0.0378033416	-0.0033611921000000003	0.0062802228000000005	0.0864573408	-0.06195446	0.0505623517	0.0927054568	-0.042762099299999995	-0.0237282985	0.1057874255	0.036261848799999996	-0.0451336763	0.0999969158	0.09998766320000001	0.099972243	0.099950656	0.09992290359999999	-0.071883	n/a	0.005167165689000001	n/a	-0.298032	n/a	0.08882307302400001	n/a	-0.192523	n/a	0.037065105529	n/a	0.0107388	n/a	n/a	0.00011532182544	0.0011954200000000006	n/a	1.4290289764000014e-06	n/a	-0.00329332	n/a	n/a	1.0845956622400003e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38643.125	-93.87890625	8813.249038696289	1493291109.765625	22505.357421875	-3.56640625	506491112.68634415	12.719253540039062	23384.619140625	-117.51171875	13809.004043579102	546840412.3520851	2.832646	57.559261	0.2498763	0.07581568	0.036162645800000004	-0.0611858538	-0.0265436104	0.2570074426	-0.08411052289999997	-0.19968815190000005	0.0217522679	-0.014603058600000001	-0.1871721596	-0.0299970063	-0.0882217327	-0.0060085814	0.1633663982	0.1465074939	0.1501423476	-0.15077915449999998	-0.3872215022	0.21534479199999998	0.0208868486	0.0755314725	0.1436537015	0.0332586946	-0.0220311429	0.0655232108	0.1062042817	-0.2162368319	0.1449856189	0.1275235517	0.004601538499999999	-0.16237138939999998	0.0842524666	0.0185223576	-0.1789441563	0.0057628409	-0.0509398683	0.2221018352	0.08801983140000001	-0.10653699259999999	0.09708744890000001	-0.015433693500000003	0.0043481540999999995	0.0365373042	0.0632161765	0.09034093779999999	0.0831403186	-0.028825292599999996	-0.0060212125	-0.0136325087	0.0428193655	0.0759766778	0.1234483827	-0.1126563635	0.021834967400000002	0.24547542079999998	-0.23514446739999997	-0.09607789779999999	-0.07306357320000001	0.23195872850000002	0.08152691	0.2066038566	-0.0700377427	0.12359131179999999	-0.0518241234	0.0138372076	0.1704395248	-0.1052556614	-0.12041449230000001	0.17419237559999998	0.1529330122	0.0643142927	0.0102214092	0.0437035948	0.0776821055	-0.102732911	0.1104987251	0.2080795247	-0.2456287812	0.09817665789999999	-0.0493520161	-0.2161691412	0.19822850239999998	0.0511932874	-0.0699071738	-0.0600090684	0.0344432655	-0.1012034552	0.1561752456	-0.09176895300000001	-0.0328234765	-0.2069843926	-0.06753369570000001	-0.1696707448	-0.1705028532	0.0040093439	-0.0108002384	0.0010924917	0.0317134007	-0.0775722446	-0.0335704938	-0.12912165890000002	-0.1024864153	-0.09813798230000001	-0.044693450499999995	-0.0636037421	0.0980109515	-0.0185839886	-0.0186830642	-0.0281898363	0.06198707	0.099972243	0.0998889875	0.0997502796	0.0995561965	0.09930684570000001	-0.0539361	0.017946900000000002	0.00290910288321	0.00032209121961000004	-0.217995	0.08003700000000002	0.047521820025	0.0064059213690000035	-0.21919	-0.026667	0.0480442561	0.0007111288889999997	0.0116911	0.0009522999999999996	9.068752899999995e-07	0.00013668181920999998	0.0005781919999999999	-0.0006172280000000008	3.34305988864e-07	3.809704039840009e-07	-0.00235834	0.0009349800000000002	8.741876004000003e-07	5.5617675556e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38642.02734375	-1.09765625	1.2048492431640625	1493206277.2351227	22510.052734375	4.6953125	506702474.10434335	22.04595947265625	23499.83984375	115.220703125	13275.810428619385	552242472.6819	2.136776	43.419209	0.4767076499999999	-0.132062965	0.223258426	0.17237730140000002	-0.2094112519	0.2649314003	0.1061026269	-0.2563701387	-0.10739883970000001	0.18674601870000002	-0.1068896292	0.0377066176	-0.047477001	0.15301280609999998	0.20481168670000002	-0.1561370317	0.0683471662	-0.07986711099999999	0.2160409306	-0.0594198021	0.018831692	-0.0333999342	-0.1139829394	-0.054428196799999995	-0.029687922000000002	0.0400140324	-0.0813299859	0.038362265	-0.043651526100000004	-0.048493200599999994	-0.1347872452	0.08895612550000001	-0.1333765539	0.054361522300000006	0.1630898047	0.0929286887	-0.046245588	0.0834614245	0.017255785	0.0007709238	-0.0203510734	0.1161806133	-0.1357546265	-0.0675891267	-0.0598249016	0.0653417365	0.08006296660000001	-0.0443746218	0.0026092002	0.06548205879999999	0.0513805214	-0.1169060584	0.0689837011	-0.237783685	0.2163020853	0.2350787567000001	-0.1648353596	0.1451646124	-0.2524039963	0.21927323399999998	0.2389243687	0.07273574099999999	-0.0238908696	0.2114080096	-0.0188590363	-0.1129943307	0.2559349093	0.11817439519999999	0.1312886258	-0.17690569280000001	0.0022045122	0.0086989533	0.07470674440000001	-0.0943016613	-0.0105062781	0.05990623780000001	-0.0164697001	-0.007228396800000002	0.0580722798	-0.1736085557	0.021109757799999997	0.11172732710000001	-0.0635771465	-0.049901476900000005	0.0178958461	0.0835883265	0.08627665109999999	0.0694629769	-0.018199756100000002	0.0215761394	0.0207149979	0.0207894972	0.11533036210000001	-0.09235223460000001	0.0793062049	-0.015520715400000001	-0.011126678300000001	0.1060623101	-0.07728835120000001	0.015209060600000001	-0.0872995272	-0.0362330104	-0.0663020781	0.0894475522	0.0309178766	-0.1182274035	-0.0148575587	0.0717286151	-0.0517759602	-0.0244092301	0.0770904585	0.09992290359999999	0.0996917334	0.09930684570000001	0.09876883410000001	0.09807852800000001	-0.0813932	-0.0274571	0.00662485300624	0.0007538923404099999	-0.150069	0.06792599999999999	0.022520704761	0.004613941475999998	-0.4760390000000001	-0.25684900000000005	0.22661312952100005	0.06597140880100003	0.00976331	-0.0019277899999999989	3.7163742840999948e-06	9.53222221561e-05	0.000370201	-0.000207991	1.3704878040099998e-07	4.3260256081e-08	-0.00200461	0.00035373	1.251249129e-07	4.0184612521e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38335.4921875	-306.53515625	93963.80201721193	1469609961.2578735	22471.29296875	-38.759765625	504959007.6873932	1502.3194313049316	23392.00390625	-107.8359375	11628.589416503906	547185846.7500154	1.848385	37.55912	0.27022155	-0.1125076528	0.1427303777	-0.010998138000000001	-0.1729614675	0.08689269349999999	0.045887201399999994	0.0014777587	0.0317290026	0.1240799399	-0.1906751739	0.24992100829999997	-0.1530797572	0.16429669019999998	0.0184498594	-0.172780785	0.042987315	0.2304917327	0.1057022683	-0.0508133736	0.035809695499999995	0.1450059923	0.0583444107	0.0284387683	0.1169934665	0.0569732682	0.0982016732	0.0510442716	-0.0718958148	0.1966615137	-0.0305719408	-0.0056970565	-0.033724630400000004	0.0161723213	-0.0391787168	-0.033084201	0.0370178813	-0.1456790972	-0.07487301240000001	0.0258156588	-0.0978080834	-0.10018641689999999	0.0073132993	0.0315469484	-0.0950513213	-0.020321043400000002	0.0474602722	0.0941662854	-0.09413528869999999	-0.1302145281	-0.0582452304	-0.1293226139	-0.0472779618	-0.1617435145	-0.1269098772	0.1962476059	0.0207670144	0.1835671825	-0.1641333921	0.0820256695	0.09797489	-0.035551405	0.0508908996	0.0685739724	-0.0709362867	-0.272877797	0.1541124674	-0.0021318051	0.12356335759999999	0.0278878335	-0.1759343068	0.0362160583	-0.0016323675	-0.0379184255	-0.08353702	0.0339778604	0.0136345726	0.0292353508	0.1482636192	0.0528962498	0.1861408889	-0.0736704933	0.0027638215000000002	-0.1636793771	0.0781691159	-0.025364543399999998	-0.0386362781	-0.0709075267	0.0318166123	0.035840564	-0.052909449000000004	0.0860240408	-0.0774753462	0.037645302400000004	0.045527483099999995	-0.1408567658	-0.021615161	-0.0462690692	0.0953921911	0.0060894323	0.09481674050000001	0.1029771951	0.0401252988	-0.0281767373	-0.14720692	0.1349328718	-0.0119000232	-0.06830752	-0.008845888199999999	-0.021738396400000002	-0.0719516326	0.0998489097	0.0993960955	0.09864292570000001	0.09759167619999999	0.0962455236	-0.0444862	0.036907	0.00197902199044	0.0013621266490000002	-0.130175	0.019894	0.016945530625000003	0.0003957712359999998	-0.432823	0.04321600000000009	0.187335749329	0.0018676226560000078	0.00685437	-0.0029089400000000005	8.461931923600004e-06	4.698238809690001e-05	0.000464372	9.4171e-05	2.15641354384e-07	8.868177240999998e-09	-0.00160363	0.00040098	1.607849604e-07	2.5716291769e-06	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38302.37890625	-33.11328125	1096.4893951416016	1467072229.877945	22478.595703125	7.302734375	505287264.7845497	53.32992935180664	23265.236328125	-126.767578125	16070.01886367798	541271221.4035072	1.715836	34.865723	0.2705769	-0.1264671856	0.0300553444	-0.08391035880000003	-0.1501969614	0.061216791	0.07513460599999999	0.15227252230000002	0.1137985436	-0.0249581416	-0.0967350427	0.06496365030000001	-0.09216164519999999	0.06820565349999999	-0.1088132303	0.010282114399999999	0.0303517747	0.034120258199999996	-0.0308431672	0.0021882565	-0.1600596884	0.21652328629999998	-0.1882543241	-0.1204191247	-0.11984937220000001	0.010174849	0.0153277346	-0.0051050644000000004	-0.025688968	0.1430236139	0.1621168147	0.0265311168	0.0332489725	-0.022549585299999998	-0.0878131358	-0.1483511854	0.0628608814	-0.0320388156	-0.0037637475	0.0441386262	-0.1233608985	0.106738604	0.0627334091	-0.1601941574	-0.047988647	-0.0684342785	-0.0050593339	0.0283138532	-0.028484678	-0.0329696972	-0.0900434975	-0.1204614245	-0.1513608673	0.0030332696999999997	-0.08551768289999999	0.2260511051	0.07908854059999999	0.024520319300000003	-0.1439636982	0.041298252	-0.0050607003	-0.12073450039999999	0.0736224666	-0.0706646204	-0.0992075082	-0.0590032796	-0.0322111061	-0.08881529769999999	-0.013185828500000002	0.031882051200000004	-0.0675645785	-0.0612593163	0.2173773296	0.019387687	0.036488669	0.0639222525	-0.20645556129999998	-0.0091640961	-0.17904356489999998	0.0503404692	0.1688159444	-0.046079483600000005	0.0560936185	-0.049684756399999995	0.0259628763	-0.11322177470000001	-0.0361114847	-0.1029723553	-0.038675482000000004	0.0143309781	0.09850827279999999	0.1319894944	0.0684178934	0.006972954599999999	0.0064175473	-0.0895464063	0.0449697308	-0.027457260499999997	0.0851502826	0.042588215199999994	0.033924176800000004	0.10796125	0.005363417	0.0363694821	-0.02547449	0.0177566656	0.1490583524	-0.0494685384	0.0835377098	-0.0098155511	-0.1102339856	0.0997502796	0.0990023658	0.09775999380000001	0.0960293686	0.0938191336	-0.0212486	0.0232376	0.00045150300195999994	0.0005399860537599998	-0.150946	-0.020770999999999984	0.022784694916	0.00043143444099999934	-0.287068	0.14575499999999994	0.082408036624	0.02124452002499999	0.00792147	0.0010670999999999996	1.1387024099999992e-06	6.27496869609e-05	0.000347976	-0.00011639599999999995	1.21087296576e-07	1.3548028815999988e-08	-0.00117086	0.00043277000000000013	1.8728987290000005e-07	1.3709131395999998e-06	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38458.125	155.74609375	24256.84571838379	1479027378.515625	22458.23828125	-20.357421875	504372466.69740295	414.4246253967285	23257.978515625	-7.2578125	52.67584228515625	540933564.6332741	1.296237	26.339491	0.36051099	-0.0723006694	-0.0680050859	-0.0172087231	-0.0648589242	0.0567633241	0.10177543619999999	0.047578635700000003	0.1728440386	-0.060423029800000014	0.0129568626	-0.0230151935	-0.112572481	0.0243113011	-0.048321385599999996	0.0610834654	-0.0652381875	-0.006063157	-0.0871325467	0.0794594934	0.0852589321	0.08912329470000001	-0.056657074	-0.0067183353	-0.2315322505	-0.21300925969999998	-0.1790153328	-0.0362671493	-0.0624763558	-0.0573691505	0.0425583448	0.0507242519	0.0062441068	0.004543045	0.0032247897	0.0532587492	0.053355773499999995	-0.033810095899999996	0.001079822	0.0365582965	-0.0305891669	-0.037965513	0.017635768	0.1228852405	0.032467047799999996	0.0588534307	-0.052713185	-0.0473423513	-0.0070103717	0.0633714039	0.129542481	-0.0396512211	-0.08255282929999999	0.1317079672	0.0341088498	0.1574858811	0.0524355025	0.013967141	-0.07946098730000001	0.0446248001	0.0489613371	-0.0662243037	0.046326966500000004	-0.155771704	-0.035005395099999996	0.0462026898	0.0386168934	-0.0608385359	-0.1479885822	0.0507320511	-0.0816917112	0.1188538336	-0.0201830001	-0.0340685135	-0.04340210269999999	0.1321124466	-0.1221832167	0.1052013704	-0.1142050498	-0.0395325527	-0.0272447938	-0.0195905669	0.0047650707	0.1814039324	0.0747375589	0.0020601841	0.0490852526	-0.0716354337	-0.0850398616	0.06490552620000001	0.0064892342	0.0214397202	-0.12002132230000001	0.0758341438	0.0128081993	0.0969626722	0.0362561088	0.09818082339999999	-0.1479582314	0.06518960480000001	0.09671337810000001	0.0822702607	-0.0165256697	-0.0146526274	0.047762006100000004	0.006400510999999999	0.0022237564	-0.0248077769	-0.0803165642	0.0405026833	-0.08539191439999999	0.0996270376	0.0985109326	0.0966600102	0.0940880769	0.0908143174	-0.0052536	0.015995	2.760031296e-05	0.000255840025	-0.0476857	0.10326030000000001	0.00227392598449	0.01066268955609	-0.16104200000000002	0.12602599999999994	0.02593452576400001	0.01588255267599999	0.00637683	-0.00154464	2.3859127296e-06	4.06639608489e-05	-4.9324799999999986e-05	-0.0003973008	2.4329358950399992e-09	1.5784792568064e-07	-0.000808207	0.00036265299999999984	1.3151719840899992e-07	6.531985548490001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38232.9375	-225.1875	50709.41015625	1461757509.8789062	22417.474609375	-40.763671875	502543167.86197287	1661.676944732666	23183.291015625	-74.6875	5578.22265625	537464982.3151588	1.116095	22.679014	0.16930491999999994	-0.09057979949999999	-0.0767230196	0.037366925499999995	-0.0918508038	-0.0944754526	0.012354873600000002	-0.0441793186	0.1501506219	0.0074751248	-0.005672645699999999	0.0267350191	0.005680551099999999	-0.001377459	-0.020009743	0.0969393734	-0.0559265717	0.0524105938	-0.040926290899999995	-0.0181942568	-0.0217385677	0.1353835568	-0.0688148715	0.0497472129	-0.0914506471	-0.031158489900000006	-0.1109088352	-0.0526247374	-0.0081451874	0.0074007633	0.0304530847	-0.0620059732	0.026041432799999997	-0.045217332400000004	0.0038029656	-0.0400041398	-0.041561251800000004	-0.1053792597	-0.1113698942	-0.0278131013	0.0596462564	-0.10073105689999999	-0.0698298841	0.0018730908999999999	0.0716310141	0.08320382429999999	0.0324366606	-0.10905245699999999	0.0105097146	0.12002280369999999	-0.0206391043	-0.1046660158	0.068639901	0.0924985627	-0.068601909	0.0310974323	0.048769173	0.0449894392	-0.0677696232	-0.10373950789999999	0.0723700229	0.0260670177	0.0764883045	-0.1020392715	0.0076918531999999986	-0.0647048441	-0.054163440300000004	-0.0179777093	-0.0588420407	0.0668783771	0.0714901049	0.0185479798	-0.0472837397	0.0320848609	-0.0538812833	0.11581479199999999	-0.0373244664	0.11941943099999999	-0.10959322099999999	0.0622998887	0.0847129367	-0.0413626183	-0.050378186299999995	0.021340495499999997	0.039360412000000004	0.0610746939	-0.060624375	0.0042596959999999994	-0.0516009074	-0.0165998742	-0.14325914050000002	0.049995248	-0.0486999417	-0.0112019631	0.1379119623	0.1121421977	0.0669575383	0.0535141758	-0.0049157116	-0.0326605028	-0.0083207956	-0.1441629275	-0.0330779166	0.0757063217	0.075182612	0.1002729129	0.0043264343	0.0337076021	-0.0344553081	-0.0177055604	0.0534017415	0.0994792142	0.0979222811	0.0953454172	0.0917754626	0.0872496007	0.00265338	0.00790698	7.0404254244e-06	6.252033272039997e-05	-0.08889119999999999	-0.041205499999999985	0.007901645437439998	0.0016978932302499994	-0.155548	0.0054940000000000275	0.024195180304	3.0184036000000294e-05	0.00476998	-0.00160685	2.5819669225e-06	2.27527092004e-05	0.000490392	0.0005397167999999999	2.40484313664e-07	2.9129422420223995e-07	-0.000660805	0.00014740200000000004	2.1727349604000013e-08	4.36663248025e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38749.10546875	516.16796875	266429.37196350103	1501493174.6283114	22457.572265625	40.09765625	504342552.06576914	1607.822036743164	23228.21484375	44.923828125	2018.150333404541	539549964.8274078	1.622232	32.963688	0.34969092	0.07015803	-0.08803670529999999	-0.1679517517	0.1099528758	0.0959360616	0.122595309	0.07099689769999999	0.1127112239	-0.2032575327	0.031497870899999995	-0.1292578677	0.050876258	-0.1790110461	0.0043519063	0.183008682	0.042431283300000004	-0.1270566959	-0.084331645	0.0676878747	-0.0294469692	-0.0508545644	0.11512279210000001	0.008983309	0.0378189964	-0.1663592947	-0.1207938549	0.060022906200000004	-0.06615827440000001	0.0478256211	0.0389113383	0.1639851541	-0.1584086206	0.1098994157	0.0713615881	0.0388587188	0.0801316437	-0.0073255234	-0.0296861425	-0.0693552909	-0.061500251	0.041969938	0.0076427853000000006	0.0610295599	-0.1698041478	0.0244500104	-0.08359005929999999	0.0329158088	0.0169397021	-0.1143606079	-0.0606452944	0.1180568201	-0.2006119536	0.2045799286	0.0842295272	0.0204587504	-0.0806675218	-0.0480196746	0.0658402084	0.0921663495	0.0199386205	-0.0262368275	-0.05288070809999999	-0.1848510279	-0.0472742317	0.20074907670000008	-0.08473371519999999	-0.11114957439999999	-0.0560184276	0.09578326640000001	0.12754016099999999	0.1390672417	0.0336316313	0.05955227940000001	-0.0522394569	-0.1398473901	-0.0909279664	-0.0359586777	0.1048188265	-0.049284044900000004	-0.007375927900000002	-0.0157937754	0.1301610486	0.0586927579	0.12705426779999998	0.06339231599999999	-0.022107997999999997	0.0137257167	0.041809822999999996	-0.0427585385	0.0794472354	0.007129035	0.0006175223	0.0024789205	-0.0857422333	-0.0393234134	0.0348309823	-0.045300131900000006	-0.0395019769	0.0379619488	0.040628879900000005	0.0614635091	-0.12342612130000001	0.13113445880000002	0.0925314226	-0.07739357059999999	-0.1205943792	0.05820777150000001	-0.042803564800000006	0.0032806989	-0.0782962743	0.09930684570000001	0.097236992	0.0938191336	0.08910065240000001	0.08314696120000001	0.014881899999999997	0.012228519999999998	0.00022147094760999994	0.00014953670139039994	-0.126703	-0.03781180000000002	0.016053650209000004	0.0014297322192400016	0.06925930000000001	0.2248073	0.0047968506364900005	0.05053832213329	0.00465423	-0.00011575000000000041	1.3398062500000093e-08	2.16618568929e-05	-0.000420261	-0.000910653	1.7661930812100001e-07	8.29288886409e-07	-0.000190342	0.000470463	2.2133543436899995e-07	3.6230076964e-08	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38221.96875	-527.13671875	277873.1202545166	1460918895.1259766	22416.693359375	-40.87890625	502508141.16824716	1671.084976196289	23295.201171875	66.986328125	4487.168155670166	542666397.6381264	1.783665	36.243999	0.29025766	0.055405080599999997	-0.1728754696	0.09244472109999999	0.045685682699999994	-0.0300187938	-0.0386825739	-0.1520659752	0.0715438287	-0.0816621047	0.17925413269999999	-0.0002196655	-0.06973307549999999	-0.1400808226	0.0171189651	-0.042475428200000005	-0.060833434900000004	0.1317966535	-0.0249617709	-0.0158429501	-0.1044392221	-0.0225361845	0.0643961627	-0.0789335678	0.16872916300000002	-0.0194611909	-0.029986082799999998	-0.1072663996	-0.0772590155	-0.0296942986	-0.07530596839999999	-0.036162009700000004	-0.024634568399999997	0.0075953815000000015	0.0469710276	-0.0224068012	-0.0377914719	0.0252361451	0.0584942632	0.040284067400000005	0.0652296854	0.09873588539999999	-0.014410830800000001	0.0038898536999999998	-0.0722817961	-0.049155778	-0.0372483826	0.060217824800000014	-0.0585160422	0.044566679299999995	0.1441096301	0.0401922203	0.17808613420000002	0.1120065401	-0.0066209349	-0.032556405499999996	0.0749938372	-0.043783523600000006	0.0411236322	-0.0015336219	0.0696594242	0.0750529286	-0.104995357	-0.1505252932	0.1727711256	0.0830421256	-0.0187809448	0.0023299192000000002	0.0099869052	-0.028211817099999998	-0.0221842081	-0.0183500342	-0.0864347231	-0.0100591116	-0.0496257167	-0.11563845519999999	-0.1331806965	0.047869399699999995	0.0588839036	-0.0589765104	-0.0285299413	-0.0104744556	-0.11064292740000001	-0.0216250682	0.00581947	-0.0060497732	0.032900402599999996	0.11274071779999999	0.0197371078	-0.0909450503	0.1047700791	-0.021661998999999998	-0.0192757302	0.029300613599999997	-0.0541769541	-0.045327603200000004	0.0015290776999999998	0.1106724481	-0.039903519900000003	0.070703372	-0.0038555883	0.058612178	0.0606950021	0.0269779923	-0.0411851249	-0.0468157037	-0.0726352173	0.0283372452	0.0035045603000000004	-0.0486855199	0.047903355	0.0991099747	0.0964557418	0.092084548	0.08607420269999999	0.0785316931	0.00678998	-0.008091919999999999	4.61038284004e-05	6.547916928639999e-05	-0.0597859	0.06691710000000001	0.003574353838810001	0.004477898272410001	-0.0482275	-0.11748679999999999	0.00232589175625	0.01380314817424	0.00335497	-0.0012992599999999993	1.6880765475999987e-06	1.12558237009e-05	-3.32387e-05	0.00038702230000000004	1.1048111776899996e-09	1.4978626069729e-07	7.86125e-05	0.0002689545	7.233652307025001e-08	6.17992515625e-09	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
