name	intensity-avg	volume
Left-wm-bankssts	95.5232	3071.7
Left-wm-caudalanteriorcingulate	105.2823	3188.4
Left-wm-caudalmiddlefrontal	96.9871	7669.4
Left-wm-cuneus	93.8877	2030.1
Left-wm-entorhinal	82.4481	983.4
Left-wm-fusiform	91.9941	6717.4
Left-wm-inferiorparietal	95.868	10527.0
Left-wm-inferiortemporal	88.8874	6531.0
Left-wm-isthmuscingulate	106.1618	3739.5
Left-wm-lateraloccipital	92.6363	11489.2
Left-wm-lateralorbitofrontal	93.0323	7520.1
Left-wm-lingual	89.4605	5267.7
Left-wm-medialorbitofrontal	93.2157	3614.1
Left-wm-middletemporal	86.9853	4965.9
Left-wm-parahippocampal	91.8031	1408.8
Left-wm-paracentral	94.1452	3960.1
Left-wm-parsopercularis	97.2038	3153.5
Left-wm-parsorbitalis	84.8771	884.1
Left-wm-parstriangularis	95.0133	2761.5
Left-wm-pericalcarine	89.2911	2804.0
Left-wm-postcentral	91.3339	7653.1
Left-wm-posteriorcingulate	103.0895	4906.6
Left-wm-precentral	94.0523	13099.6
Left-wm-precuneus	101.9108	9523.4
Left-wm-rostralanteriorcingulate	98.5876	3463.3
Left-wm-rostralmiddlefrontal	97.4176	12402.2
Left-wm-superiorfrontal	94.6225	20322.0
Left-wm-superiorparietal	97.4882	11758.1
Left-wm-superiortemporal	92.48700000000001	7370.1
Left-wm-supramarginal	95.7662	8789.3
Left-wm-frontalpole	87.1003	305.6
Left-wm-temporalpole	76.555	468.8
Left-wm-transversetemporal	100.7395	1267.1
Left-wm-insula	94.9864	9967.1
Right-wm-bankssts	98.3519	2518.1
Right-wm-caudalanteriorcingulate	105.2673	3304.2
Right-wm-caudalmiddlefrontal	94.7033	6810.1
Right-wm-cuneus	93.5868	2341.4
Right-wm-entorhinal	80.0351	886.6
Right-wm-fusiform	90.1791	6471.0
Right-wm-inferiorparietal	94.368	10915.6
Right-wm-inferiortemporal	87.5459	6338.6
Right-wm-isthmuscingulate	106.7158	3610.7
Right-wm-lateraloccipital	90.4893	8664.6
Right-wm-lateralorbitofrontal	94.7199	7838.3
Right-wm-lingual	91.2209	5337.5
Right-wm-medialorbitofrontal	97.3678	4304.1
Right-wm-middletemporal	86.8901	6217.9
Right-wm-parahippocampal	89.9793	1378.3
Right-wm-paracentral	94.9638	5100.6
Right-wm-parsopercularis	95.1838	3146.7
Right-wm-parsorbitalis	82.8547	1327.9
Right-wm-parstriangularis	93.8569	2763.0
Right-wm-pericalcarine	89.6204	2744.9
Right-wm-postcentral	89.525	6258.8
Right-wm-posteriorcingulate	102.6806	4351.9
Right-wm-precentral	92.0585	13306.0
Right-wm-precuneus	98.8914	10465.8
Right-wm-rostralanteriorcingulate	102.2671	1907.3
Right-wm-rostralmiddlefrontal	93.8136	13006.3
Right-wm-superiorfrontal	94.1165	19155.2
Right-wm-superiorparietal	93.2154	10752.8
Right-wm-superiortemporal	89.7396	6478.9
Right-wm-supramarginal	94.9532	8066.1
Right-wm-frontalpole	87.9359	391.8
Right-wm-temporalpole	75.5046	581.3
Right-wm-transversetemporal	96.7173	638.1
Right-wm-insula	92.1898	9518.3
Left-UnsegmentedWhiteMatter	101.8812	36082.1
Right-UnsegmentedWhiteMatter	101.4592	33810.7
