onset	duration	trial_type	img_gender	word_gender	response_time	response_hand	response_accuracy
1.0231	0.5	incongruent	male	female	n/a	n/a	miss
5.5397	0.5	incongruent	male	female	0.7581	left	correct
11.0562	0.5	incongruent	female	male	0.4464	right	correct
17.5726	0.5	incongruent	female	male	0.4088	right	correct
22.5892	0.5	congruent	female	female	0.419	right	correct
27.6057	0.5	congruent	female	female	0.5163	right	correct
32.6222	0.5	incongruent	male	female	0.5187	left	correct
37.1387	0.5	congruent	female	female	0.466	right	correct
43.1552	0.5	incongruent	female	male	0.4373	right	correct
47.6718	0.5	incongruent	female	male	0.4245	right	correct
52.1883	0.5	incongruent	female	male	0.4019	right	correct
56.7048	0.5	incongruent	male	female	0.4182	left	correct
61.2214	0.5	congruent	male	male	0.4745	left	correct
66.2379	0.5	congruent	female	female	0.3538	right	correct
71.2544	0.5	incongruent	female	male	0.4921	right	correct
75.771	0.5	incongruent	male	female	0.3883	left	correct
81.2875	0.5	congruent	female	female	0.4277	right	correct
86.804	0.5	congruent	male	male	0.442	left	correct
93.3204	0.5	incongruent	female	male	0.8193	right	correct
97.837	0.5	incongruent	female	male	0.3785	left	incorrect
102.3535	0.5	incongruent	male	female	0.9309	left	correct
106.8701	0.5	congruent	female	female	0.5642	right	correct
111.3866	0.5	congruent	female	female	0.5255	right	correct
116.4031	0.5	congruent	female	female	0.4208	right	correct
122.4196	0.5	congruent	female	female	0.4121	right	correct
127.4361	0.5	congruent	female	female	0.3764	right	correct
132.4526	0.5	incongruent	male	female	0.4658	left	correct
137.4692	0.5	congruent	male	male	0.393	left	correct
142.9857	0.5	congruent	male	male	0.5213	left	correct
147.5022	0.5	incongruent	male	female	0.5306	left	correct
152.5187	0.5	incongruent	male	female	0.476	left	correct
158.0352	0.5	congruent	male	male	0.4703	left	correct
162.5518	0.5	incongruent	female	male	0.4385	right	correct
167.5683	0.5	congruent	female	female	0.5458	right	correct
172.0848	0.5	congruent	female	female	0.3682	right	correct
176.6014	0.5	incongruent	female	male	0.4404	right	correct
181.6179	0.5	congruent	male	male	0.5207	left	correct
187.6344	0.5	incongruent	female	male	0.513	right	correct
193.6509	0.5	incongruent	male	female	0.4743	left	correct
198.1674	0.5	congruent	female	female	0.6337	right	correct
202.68400000000003	0.5	incongruent	female	male	0.4139	right	correct
207.7005	0.5	congruent	male	male	0.3222	left	correct
212.217	0.5	congruent	male	male	0.3786	left	correct
216.7335	0.5	incongruent	male	female	0.3849	right	incorrect
221.2501	0.5	congruent	male	male	0.3862	left	correct
225.7666	0.5	congruent	male	male	0.4015	left	correct
231.2831	0.5	incongruent	female	male	0.7528	right	correct
235.7997	0.5	incongruent	female	male	0.649	right	correct
240.8162	0.5	congruent	male	male	0.4234	left	correct
245.3327	0.5	incongruent	male	female	0.6627	left	correct
249.8493	0.5	congruent	female	female	0.4219	right	correct
254.8658	0.5	congruent	female	female	0.4973	right	correct
259.3823	0.5	incongruent	male	female	0.6906	left	correct
264.8988	0.5	congruent	male	male	0.3759	left	correct
269.4154	0.5	incongruent	female	male	0.4732	right	correct
274.4319	0.5	incongruent	male	female	0.3995	left	correct
279.9484	0.5	congruent	male	male	0.4848	left	correct
284.4649	0.5	congruent	female	female	0.5201	right	correct
288.9815	0.5	congruent	male	male	0.4764	left	correct
294.9979	0.5	congruent	male	male	0.4078	left	correct
299.5145	0.5	incongruent	female	male	0.445	right	correct
304.031	0.5	incongruent	female	male	0.5333	right	correct
308.5476	0.5	congruent	female	female	0.3646	right	correct
315.064	0.5	congruent	female	female	0.551	right	correct
320.5805	0.5	incongruent	male	female	0.4303	left	correct
326.0971	0.5	incongruent	female	male	0.4395	right	correct
331.1136	0.5	incongruent	male	female	0.4248	left	correct
336.1301	0.5	incongruent	male	female	0.4791	left	correct
341.1466	0.5	congruent	male	male	0.4724	left	correct
345.6632	0.5	incongruent	male	female	0.4277	left	correct
352.1796	0.5	congruent	female	female	0.3891	right	correct
356.6962	0.5	congruent	male	male	0.4563	left	correct
361.7127	0.5	incongruent	female	male	0.5326	right	correct
366.2292	0.5	congruent	male	male	0.43	left	correct
371.2457	0.5	incongruent	male	female	0.3543	right	incorrect
376.2623	0.5	congruent	male	male	0.4505	left	correct
380.7788	0.5	incongruent	male	female	0.4599	left	correct
385.2953	0.5	congruent	female	female	0.5062	right	correct
389.8119	0.5	incongruent	male	female	0.4934	left	correct
394.3284	0.5	congruent	female	female	0.5718	right	correct
399.3449	0.5	congruent	male	male	0.5241	left	correct
403.8615	0.5	incongruent	female	male	0.4023	right	correct
409.378	0.5	incongruent	female	male	0.5297	right	correct
413.8945	0.5	congruent	female	female	0.419	right	correct
420.411	0.5	congruent	male	male	0.3343	left	correct
425.4275	0.5	incongruent	male	female	0.4846	left	correct
429.944	0.5	congruent	male	male	0.4109	left	correct
434.4606	0.5	incongruent	female	male	0.4422	right	correct
438.9771	0.5	incongruent	female	male	0.4415	right	correct
444.4936	0.5	congruent	male	male	0.9398	left	correct
449.0102	0.5	incongruent	male	female	0.8661	left	correct
453.5267	0.5	incongruent	female	male	0.5154	right	correct
458.0432	0.5	congruent	female	female	0.5537	right	correct
462.5598	0.5	congruent	female	female	0.3670000000000001	right	correct
467.0763	0.5	congruent	male	male	0.3333	left	correct
473.0928	0.5	incongruent	male	female	0.4676	left	correct
