lh.aparc.a2009s.area	lh_G&S_frontomargin_area	lh_G&S_occipital_inf_area	lh_G&S_paracentral_area	lh_G&S_subcentral_area	lh_G&S_transv_frontopol_area	lh_G&S_cingul-Ant_area	lh_G&S_cingul-Mid-Ant_area	lh_G&S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg&S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet&P_trans_area	lh_S_oc_middle&Lunatus_area	lh_S_oc_sup&transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med&Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0001	818.0	1050.0	950.0	883.0	539.0	1397.0	771.0	783.0	492.0	215.0	1486.0	902.0	251.0	761.0	2960.0	4378.0	435.0	484.0	1216.0	1157.0	1061.0	2179.0	789.0	1550.0	1618.0	1559.0	1991.0	1278.0	1430.0	1472.0	679.0	92.0	335.0	1368.0	340.0	614.0	1637.0	1540.0	173.0	236.0	635.0	1296.0	1085.0	1874.0	2015.0	692.0	335.0	1065.0	1239.0	586.0	380.0	1478.0	864.0	2060.0	257.0	1935.0	752.0	844.0	401.0	648.0	1262.0	204.0	440.0	924.0	1198.0	802.0	1739.0	1131.0	834.0	498.0	692.0	1036.0	3918.0	212.0	79197.7	1014544.0	1201948.163836
sub-0002	946.0	1430.0	966.0	1155.0	451.0	1769.0	937.0	874.0	642.0	200.0	1614.0	1120.0	367.0	867.0	3249.0	5304.0	546.0	467.0	1698.0	1173.0	1664.0	2450.0	805.0	1715.0	2446.0	2674.0	2497.0	1484.0	1567.0	2280.0	791.0	439.0	419.0	1425.0	675.0	872.0	2188.0	2127.0	287.0	157.0	909.0	1602.0	1282.0	1737.0	2038.0	750.0	359.0	1071.0	1201.0	796.0	445.0	1606.0	1010.0	2339.0	587.0	2501.0	761.0	988.0	643.0	778.0	1728.0	222.0	525.0	1145.0	1705.0	826.0	1958.0	1147.0	987.0	538.0	1025.0	1768.0	4367.0	415.0	96495.6	1270074.0	1692712.587
sub-0003	946.0	1075.0	973.0	1166.0	545.0	1487.0	747.0	904.0	460.0	184.0	1235.0	877.0	291.0	495.0	3329.0	5006.0	404.0	461.0	1304.0	801.0	1147.0	1814.0	930.0	1784.0	2060.0	2402.0	2622.0	1561.0	1751.0	1734.0	684.0	756.0	239.0	1320.0	523.0	714.0	1656.0	1702.0	197.0	200.0	796.0	1357.0	1195.0	1453.0	2014.0	752.0	442.0	1003.0	1212.0	726.0	356.0	1441.0	939.0	2195.0	501.0	2312.0	741.0	659.0	331.0	761.0	1208.0	282.0	479.0	1123.0	1371.0	831.0	2162.0	1450.0	874.0	435.0	731.0	1079.0	3615.0	245.0	85554.4	1184521.0	1325368.010617
sub-0004	865.0	1009.0	1100.0	942.0	575.0	1870.0	1095.0	1016.0	402.0	202.0	1438.0	1020.0	306.0	751.0	3416.0	4964.0	463.0	560.0	1848.0	892.0	1298.0	2257.0	937.0	1755.0	1768.0	1870.0	1727.0	1384.0	1647.0	1462.0	755.0	340.0	381.0	1313.0	528.0	556.0	1973.0	1647.0	194.0	266.0	698.0	1391.0	1240.0	2101.0	1984.0	737.0	358.0	1002.0	1213.0	903.0	357.0	1646.0	1064.0	2381.0	201.0	1545.0	733.0	887.0	665.0	608.0	1328.0	287.0	431.0	940.0	1358.0	890.0	1703.0	976.0	1173.0	436.0	666.0	1364.0	4476.0	235.0	86766.9	1119876.0	1338131.287899
sub-0005	926.0	1467.0	859.0	1036.0	596.0	1784.0	898.0	731.0	579.0	285.0	1700.0	958.0	328.0	937.0	3546.0	5169.0	418.0	498.0	1737.0	992.0	1494.0	2415.0	1042.0	1655.0	1996.0	1992.0	1806.0	1758.0	1968.0	1788.0	727.0	754.0	343.0	1454.0	419.0	849.0	1768.0	2060.0	288.0	351.0	813.0	2037.0	1110.0	1937.0	2672.0	586.0	365.0	1028.0	1264.0	688.0	411.0	1768.0	926.0	2386.0	218.0	2116.0	1389.0	738.0	540.0	778.0	1439.0	269.0	434.0	911.0	1578.0	943.0	1854.0	1469.0	753.0	472.0	902.0	1171.0	4771.0	295.0	93402.8	1225864.0	1581896.5295
sub-0006	1123.0	1259.0	908.0	1118.0	678.0	1567.0	936.0	929.0	441.0	210.0	1626.0	995.0	372.0	1025.0	3230.0	5166.0	547.0	553.0	1458.0	1092.0	1493.0	2539.0	726.0	2069.0	1772.0	2097.0	2688.0	1394.0	1534.0	2005.0	708.0	443.0	364.0	1419.0	656.0	592.0	1836.0	1847.0	285.0	318.0	788.0	1321.0	1206.0	2205.0	1944.0	715.0	391.0	950.0	1369.0	767.0	546.0	1310.0	1334.0	2167.0	263.0	2634.0	862.0	877.0	500.0	558.0	1492.0	246.0	486.0	1281.0	1461.0	896.0	2024.0	996.0	1040.0	579.0	828.0	1400.0	4477.0	277.0	92210.2	1247786.0	1354293.234785
sub-0007	1063.0	1078.0	932.0	968.0	545.0	1694.0	847.0	985.0	475.0	185.0	1295.0	909.0	316.0	843.0	3205.0	4692.0	491.0	464.0	1311.0	996.0	1192.0	1938.0	1207.0	1651.0	2288.0	1982.0	1714.0	1591.0	1526.0	1622.0	684.0	365.0	304.0	1333.0	386.0	785.0	2060.0	1784.0	239.0	281.0	745.0	1251.0	1332.0	1455.0	2121.0	696.0	304.0	972.0	1093.0	830.0	215.0	1793.0	1142.0	2205.0	418.0	1800.0	643.0	1001.0	323.0	820.0	1359.0	224.0	572.0	1010.0	1646.0	1008.0	1876.0	973.0	936.0	574.0	627.0	1483.0	4258.0	278.0	86209.1	1134965.0	1427446.163529
sub-0008	1008.0	1344.0	1081.0	1162.0	638.0	1638.0	1020.0	1057.0	472.0	215.0	1375.0	1062.0	262.0	829.0	3896.0	6110.0	542.0	610.0	1716.0	1075.0	1671.0	1742.0	809.0	1919.0	1728.0	1986.0	2256.0	1638.0	1715.0	2456.0	720.0	160.0	355.0	1417.0	510.0	845.0	1999.0	1775.0	286.0	200.0	981.0	1412.0	1241.0	1654.0	2080.0	802.0	375.0	1093.0	1350.0	586.0	317.0	1789.0	1499.0	2546.0	268.0	1974.0	880.0	928.0	700.0	780.0	1712.0	283.0	614.0	1224.0	2133.0	860.0	2230.0	1268.0	1006.0	804.0	957.0	1161.0	4834.0	363.0	96002.2	1271852.0	1654753.210314
sub-0009	662.0	1031.0	1079.0	933.0	535.0	1462.0	840.0	973.0	385.0	219.0	1393.0	808.0	272.0	837.0	2655.0	4495.0	380.0	409.0	1212.0	1029.0	1151.0	2121.0	695.0	1418.0	1705.0	1644.0	1863.0	1298.0	1470.0	1678.0	634.0	285.0	224.0	1185.0	414.0	469.0	1651.0	1589.0	242.0	183.0	576.0	1257.0	1188.0	2131.0	1875.0	850.0	340.0	807.0	1125.0	521.0	402.0	1278.0	840.0	1707.0	87.0	2105.0	588.0	908.0	564.0	646.0	1324.0	230.0	345.0	663.0	1227.0	821.0	1659.0	1057.0	835.0	558.0	572.0	1103.0	3470.0	234.0	77420.6	961027.0	1092941.805296
sub-0010	734.0	1165.0	830.0	892.0	494.0	1357.0	944.0	776.0	367.0	186.0	1592.0	793.0	249.0	708.0	2791.0	4188.0	438.0	427.0	1505.0	937.0	1164.0	1805.0	862.0	1399.0	1666.0	1691.0	1667.0	1162.0	1426.0	1318.0	594.0	325.0	234.0	1197.0	361.0	566.0	1425.0	1280.0	253.0	263.0	659.0	1435.0	1137.0	2091.0	1849.0	612.0	293.0	827.0	1114.0	660.0	281.0	1345.0	984.0	1803.0	261.0	1791.0	827.0	599.0	525.0	392.0	1079.0	267.0	425.0	990.0	1470.0	883.0	1603.0	936.0	949.0	396.0	586.0	878.0	3204.0	275.0	75455.6	996538.0	1093207.499499
sub-0011	1066.0	775.0	999.0	1027.0	489.0	1385.0	716.0	867.0	460.0	198.0	1295.0	1069.0	219.0	703.0	2969.0	4800.0	478.0	466.0	1553.0	937.0	1020.0	2101.0	851.0	1620.0	1556.0	2040.0	1479.0	1519.0	1477.0	1782.0	650.0	151.0	328.0	1319.0	475.0	698.0	1569.0	1660.0	246.0	232.0	773.0	1311.0	1392.0	2006.0	1907.0	801.0	314.0	853.0	1179.0	589.0	200.0	1544.0	945.0	2054.0	98.0	1802.0	879.0	824.0	360.0	618.0	1162.0	222.0	490.0	983.0	1320.0	800.0	1955.0	1182.0	715.0	512.0	724.0	1153.0	3981.0	324.0	81218.7	1074820.0	1243840.702788
sub-0012	838.0	1152.0	993.0	1068.0	685.0	1545.0	961.0	994.0	361.0	203.0	1504.0	943.0	319.0	753.0	3077.0	4763.0	417.0	441.0	1601.0	936.0	1170.0	2303.0	879.0	1624.0	1931.0	2112.0	2178.0	1504.0	1604.0	2224.0	657.0	141.0	321.0	1269.0	499.0	621.0	1474.0	1976.0	226.0	114.0	749.0	1270.0	1193.0	1940.0	2036.0	723.0	351.0	804.0	1113.0	698.0	457.0	1525.0	1409.0	2223.0	109.0	2169.0	685.0	1006.0	461.0	721.0	1545.0	267.0	384.0	1090.0	1447.0	830.0	1983.0	1252.0	914.0	614.0	599.0	1255.0	4295.0	260.0	86757.0	1111331.0	1264759.854439
sub-0013	660.0	813.0	1019.0	994.0	378.0	1737.0	966.0	1029.0	348.0	180.0	1219.0	973.0	265.0	790.0	2669.0	4617.0	406.0	565.0	1168.0	872.0	946.0	1535.0	873.0	1417.0	2004.0	1505.0	1846.0	1643.0	1722.0	1520.0	582.0	363.0	361.0	1400.0	467.0	569.0	1818.0	1900.0	184.0	193.0	657.0	1176.0	1341.0	1312.0	2333.0	739.0	357.0	916.0	1101.0	657.0	232.0	1289.0	888.0	2128.0	152.0	1711.0	580.0	856.0	401.0	569.0	1219.0	204.0	460.0	799.0	1030.0	861.0	1836.0	1108.0	934.0	430.0	453.0	1161.0	4293.0	268.0	78965.3	990010.0	1265525.676304
sub-0014	858.0	996.0	970.0	906.0	527.0	1703.0	886.0	927.0	409.0	151.0	1283.0	857.0	289.0	739.0	3438.0	4605.0	444.0	458.0	1522.0	932.0	1494.0	2225.0	1017.0	1486.0	1714.0	1652.0	1626.0	1485.0	1447.0	1706.0	698.0	340.0	296.0	1200.0	568.0	576.0	1435.0	1759.0	255.0	235.0	740.0	1309.0	1116.0	1588.0	2133.0	725.0	336.0	1020.0	1026.0	756.0	277.0	1467.0	940.0	2469.0	290.0	1807.0	777.0	1012.0	468.0	583.0	1396.0	287.0	562.0	1111.0	1370.0	799.0	1798.0	1098.0	888.0	459.0	637.0	1248.0	4042.0	238.0	82884.5	1120069.0	1194162.842278
sub-0015	869.0	1053.0	990.0	992.0	570.0	1578.0	942.0	774.0	399.0	205.0	1424.0	948.0	292.0	800.0	2758.0	4721.0	401.0	445.0	1602.0	955.0	1324.0	2049.0	1035.0	1708.0	1510.0	1912.0	1993.0	1494.0	1571.0	1856.0	844.0	584.0	265.0	1385.0	453.0	662.0	1804.0	1832.0	198.0	182.0	747.0	1390.0	1043.0	1886.0	1954.0	697.0	287.0	854.0	1054.0	845.0	276.0	1369.0	1250.0	1823.0	338.0	1727.0	892.0	857.0	562.0	669.0	1408.0	328.0	571.0	1142.0	1323.0	939.0	2078.0	1186.0	786.0	494.0	694.0	1091.0	3751.0	253.0	83940.7	1171623.0	1339820.259997
sub-0016	886.0	1111.0	942.0	1177.0	565.0	1589.0	790.0	897.0	360.0	233.0	1406.0	876.0	356.0	889.0	3276.0	5019.0	521.0	624.0	1563.0	1028.0	1051.0	1962.0	1018.0	1671.0	1806.0	2006.0	1978.0	1421.0	1513.0	1741.0	686.0	449.0	376.0	1518.0	381.0	615.0	2022.0	1913.0	231.0	209.0	754.0	1317.0	1195.0	1839.0	2029.0	770.0	456.0	1169.0	1291.0	796.0	380.0	1900.0	953.0	2024.0	234.0	2344.0	584.0	904.0	577.0	830.0	1559.0	377.0	554.0	886.0	1344.0	780.0	1829.0	1296.0	911.0	482.0	797.0	1334.0	4093.0	276.0	87537.6	1139249.0	1474210.897235
sub-0017	847.0	700.0	961.0	943.0	529.0	1452.0	866.0	928.0	341.0	171.0	1340.0	788.0	277.0	633.0	2799.0	4226.0	375.0	476.0	1364.0	758.0	913.0	1468.0	800.0	1479.0	1664.0	2041.0	1506.0	1282.0	1523.0	1363.0	651.0	207.0	238.0	1132.0	448.0	722.0	1745.0	1768.0	176.0	263.0	694.0	1151.0	1061.0	1247.0	2028.0	723.0	282.0	892.0	989.0	654.0	191.0	1377.0	1064.0	1732.0	356.0	1934.0	542.0	902.0	516.0	735.0	1219.0	229.0	403.0	929.0	1160.0	798.0	1755.0	1104.0	809.0	533.0	616.0	1240.0	3722.0	228.0	75977.6	1029582.0	1337595.153561
sub-0018	894.0	1164.0	1054.0	1100.0	622.0	1541.0	982.0	929.0	351.0	148.0	1570.0	1070.0	330.0	989.0	2573.0	4916.0	506.0	596.0	1318.0	1003.0	1700.0	1969.0	954.0	1765.0	2715.0	2106.0	2393.0	1284.0	1404.0	1949.0	761.0	132.0	249.0	1241.0	538.0	719.0	1988.0	1715.0	249.0	270.0	743.0	1526.0	1483.0	1683.0	1934.0	859.0	392.0	1015.0	1198.0	657.0	379.0	1394.0	1080.0	1828.0	450.0	2341.0	787.0	881.0	400.0	683.0	1574.0	344.0	575.0	1027.0	1805.0	620.0	1957.0	944.0	907.0	600.0	805.0	1295.0	3445.0	234.0	87605.4	1134499.0	1314539.920729
sub-0019	925.0	1111.0	1096.0	1117.0	587.0	1570.0	909.0	964.0	354.0	150.0	1191.0	968.0	397.0	872.0	2837.0	4216.0	568.0	517.0	1419.0	785.0	986.0	1870.0	1221.0	1675.0	1336.0	1833.0	1839.0	1352.0	1698.0	1849.0	653.0	417.0	316.0	1223.0	648.0	715.0	1418.0	1575.0	206.0	213.0	794.0	1233.0	1041.0	1403.0	2122.0	836.0	350.0	930.0	1341.0	965.0	306.0	1601.0	1085.0	2012.0	174.0	2020.0	726.0	952.0	424.0	482.0	1335.0	195.0	479.0	1032.0	1497.0	937.0	1891.0	893.0	896.0	511.0	650.0	1302.0	3100.0	347.0	81457.5	1113947.0	1196587.615369
sub-0020	857.0	917.0	1019.0	970.0	499.0	1805.0	1009.0	1073.0	363.0	142.0	1220.0	793.0	363.0	766.0	3000.0	4700.0	484.0	472.0	1667.0	924.0	1214.0	1877.0	912.0	1813.0	1645.0	2239.0	2131.0	1240.0	1579.0	2022.0	742.0	389.0	290.0	1277.0	550.0	572.0	2265.0	2053.0	236.0	303.0	658.0	1344.0	1076.0	1550.0	1922.0	857.0	306.0	944.0	1057.0	737.0	361.0	1743.0	1098.0	1914.0	46.0	2403.0	790.0	990.0	608.0	671.0	1669.0	253.0	525.0	1049.0	1489.0	833.0	1624.0	1052.0	879.0	568.0	679.0	1545.0	4448.0	251.0	86330.1	1150630.0	1315502.237016
sub-0021	1030.0	1254.0	1415.0	1325.0	794.0	2053.0	1341.0	1220.0	568.0	185.0	1365.0	1318.0	332.0	1075.0	3798.0	5935.0	488.0	566.0	1980.0	958.0	1784.0	1621.0	887.0	1892.0	2675.0	2150.0	1890.0	1991.0	1720.0	2194.0	894.0	450.0	392.0	1784.0	738.0	1099.0	2606.0	2704.0	269.0	288.0	908.0	1660.0	1401.0	1456.0	2563.0	957.0	384.0	1125.0	1222.0	924.0	356.0	2050.0	1391.0	2622.0	568.0	2724.0	985.0	1128.0	1045.0	991.0	1744.0	415.0	677.0	1317.0	1636.0	1244.0	2111.0	1259.0	937.0	566.0	889.0	1451.0	5165.0	466.0	105366.0	1372085.0	1609779.54358
sub-0022	1030.0	1100.0	1260.0	948.0	616.0	1515.0	948.0	956.0	349.0	152.0	1558.0	807.0	251.0	840.0	3020.0	5107.0	421.0	344.0	1427.0	1280.0	1368.0	2477.0	1160.0	1726.0	1779.0	1835.0	2175.0	1461.0	1513.0	1686.0	669.0	549.0	289.0	1575.0	505.0	602.0	1971.0	2199.0	211.0	272.0	696.0	1794.0	1378.0	1745.0	1869.0	706.0	279.0	983.0	1139.0	922.0	496.0	1551.0	1220.0	2176.0	342.0	1729.0	909.0	881.0	653.0	865.0	1532.0	255.0	539.0	1087.0	1767.0	661.0	2223.0	970.0	864.0	554.0	471.0	1478.0	4791.0	337.0	89815.1	1221000.0	1408518.840885
sub-0023	879.0	1270.0	902.0	1016.0	469.0	1539.0	709.0	892.0	383.0	190.0	1698.0	1182.0	282.0	696.0	2949.0	4637.0	427.0	538.0	1424.0	882.0	1261.0	2162.0	993.0	1786.0	1625.0	1874.0	1715.0	1336.0	1303.0	1557.0	730.0	359.0	299.0	1178.0	441.0	656.0	1375.0	1679.0	231.0	230.0	780.0	1429.0	1060.0	1783.0	1705.0	739.0	370.0	923.0	1143.0	768.0	477.0	1489.0	1106.0	1978.0	236.0	1799.0	593.0	793.0	607.0	666.0	1496.0	196.0	577.0	1033.0	1664.0	693.0	2233.0	1047.0	764.0	552.0	614.0	951.0	4434.0	365.0	82820.3	1084941.0	1210037.224423
sub-0024	986.0	1624.0	1001.0	1101.0	574.0	1605.0	990.0	852.0	547.0	257.0	1699.0	1394.0	394.0	1247.0	3431.0	5182.0	519.0	605.0	1880.0	1130.0	1785.0	2261.0	982.0	1678.0	2292.0	2034.0	2169.0	1572.0	2047.0	2028.0	603.0	487.0	368.0	1322.0	470.0	927.0	1814.0	1983.0	258.0	240.0	850.0	1726.0	1118.0	2014.0	2030.0	914.0	408.0	995.0	1308.0	749.0	466.0	2388.0	1463.0	2463.0	351.0	1719.0	1156.0	826.0	669.0	886.0	1447.0	382.0	477.0	1005.0	1533.0	1091.0	2369.0	1411.0	752.0	462.0	756.0	1077.0	4197.0	347.0	96140.2	1255311.0	1703918.889579
sub-0025	749.0	1330.0	881.0	866.0	686.0	1483.0	1007.0	948.0	331.0	155.0	1111.0	868.0	330.0	650.0	2987.0	5614.0	436.0	548.0	1510.0	768.0	1088.0	1776.0	827.0	1798.0	1766.0	1769.0	1674.0	1374.0	1433.0	1495.0	761.0	424.0	322.0	1346.0	470.0	1036.0	1634.0	1860.0	205.0	263.0	806.0	1087.0	1053.0	1341.0	2101.0	768.0	414.0	939.0	1078.0	599.0	448.0	1221.0	974.0	2148.0	235.0	1878.0	750.0	779.0	490.0	685.0	1407.0	300.0	495.0	1014.0	1305.0	890.0	1702.0	872.0	930.0	553.0	682.0	1339.0	4220.0	320.0	82402.2	1140770.0	1193695.388857
sub-0026	1014.0	1245.0	1089.0	982.0	601.0	1607.0	853.0	1037.0	349.0	190.0	1518.0	970.0	242.0	883.0	3166.0	5078.0	433.0	492.0	2106.0	1047.0	1365.0	2400.0	1030.0	1820.0	1828.0	1932.0	2734.0	1620.0	1519.0	1916.0	726.0	586.0	372.0	1595.0	477.0	1153.0	1679.0	1956.0	142.0	269.0	872.0	1515.0	1219.0	1689.0	1981.0	778.0	307.0	908.0	1168.0	764.0	495.0	1932.0	1200.0	2333.0	332.0	2333.0	948.0	875.0	386.0	763.0	1435.0	303.0	432.0	1146.0	1480.0	923.0	2512.0	1322.0	760.0	662.0	694.0	1151.0	4556.0	378.0	92573.1	1228402.0	1520543.146445
sub-0027	842.0	1113.0	1242.0	1009.0	558.0	1542.0	894.0	1148.0	368.0	189.0	1512.0	906.0	297.0	957.0	3201.0	5168.0	425.0	456.0	1199.0	971.0	1069.0	2241.0	694.0	1757.0	1705.0	1793.0	1573.0	1461.0	1394.0	1664.0	648.0	381.0	251.0	1157.0	560.0	616.0	1503.0	1764.0	246.0	253.0	757.0	1159.0	1201.0	1761.0	1793.0	824.0	384.0	826.0	1344.0	613.0	470.0	1391.0	1173.0	2166.0	128.0	1831.0	574.0	1105.0	502.0	567.0	1352.0	296.0	412.0	1157.0	1708.0	663.0	1769.0	926.0	880.0	493.0	670.0	1172.0	3707.0	275.0	82775.8	1091162.0	1143148.09348
