rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0001	923.0	765.0	1899.0	1529.0	355.0	2967.0	4583.0	2515.0	1057.0	4362.0	2480.0	3154.0	1877.0	3004.0	609.0	1169.0	1225.0	866.0	1517.0	1435.0	3606.0	1171.0	4448.0	3376.0	639.0	6086.0	6235.0	4842.0	3670.0	3881.0	267.0	397.0	375.0	2165.0	79443.6	1014544.0	1201948.163836
sub-0002	1214.0	939.0	2053.0	1782.0	388.0	3904.0	6374.0	3920.0	1205.0	5198.0	2872.0	3481.0	2195.0	3916.0	826.0	1557.0	1725.0	917.0	1884.0	1780.0	3944.0	1317.0	4619.0	4822.0	835.0	6432.0	6700.0	5945.0	4874.0	4886.0	351.0	457.0	341.0	2672.0	96326.6	1270074.0	1692712.587
sub-0003	860.0	734.0	1923.0	1611.0	460.0	3037.0	5463.0	3125.0	927.0	4870.0	2953.0	2964.0	1996.0	2997.0	557.0	1449.0	1371.0	795.0	1503.0	1526.0	4141.0	1160.0	4676.0	3849.0	674.0	6539.0	6394.0	5484.0	3289.0	3589.0	304.0	429.0	299.0	2547.0	84481.2	1184521.0	1325368.010617
sub-0004	905.0	732.0	2344.0	1569.0	435.0	2904.0	5271.0	3347.0	889.0	5165.0	2930.0	3079.0	2125.0	3725.0	526.0	1369.0	1171.0	869.0	1493.0	1647.0	3555.0	1364.0	4539.0	3550.0	682.0	6555.0	8121.0	4693.0	3850.0	3466.0	314.0	436.0	296.0	2163.0	86075.1	1119876.0	1338131.287899
sub-0005	851.0	684.0	2271.0	1910.0	456.0	3590.0	5469.0	3325.0	1146.0	6168.0	2548.0	3286.0	2078.0	3752.0	623.0	1550.0	1519.0	934.0	1996.0	1594.0	4520.0	1350.0	6123.0	4073.0	634.0	5870.0	7108.0	5537.0	4397.0	3507.0	369.0	391.0	324.0	2487.0	92436.0	1225864.0	1581896.5295
sub-0006	1055.0	709.0	1786.0	1878.0	552.0	3203.0	5291.0	3393.0	938.0	5733.0	2986.0	3733.0	2184.0	3825.0	519.0	1590.0	1460.0	1038.0	1925.0	1740.0	4119.0	1031.0	5119.0	4160.0	628.0	6946.0	7087.0	5265.0	4303.0	4096.0	314.0	414.0	393.0	2500.0	91888.1	1247786.0	1354293.234785
sub-0007	888.0	606.0	2330.0	1474.0	495.0	2872.0	5588.0	3922.0	1028.0	4390.0	2638.0	3099.0	2108.0	4012.0	645.0	1316.0	1401.0	849.0	1463.0	1433.0	3925.0	1149.0	4806.0	3739.0	549.0	6344.0	6874.0	5100.0	3612.0	3214.0	332.0	538.0	270.0	2151.0	85149.2	1134965.0	1427446.163529
sub-0008	1169.0	816.0	2483.0	1820.0	442.0	3850.0	6061.0	3359.0	996.0	5251.0	3434.0	3090.0	2376.0	3556.0	672.0	1784.0	1639.0	870.0	1875.0	1551.0	4149.0	1507.0	5329.0	5005.0	689.0	7143.0	8461.0	5601.0	4167.0	3929.0	340.0	421.0	395.0	2513.0	96742.6	1271852.0	1654753.210314
sub-0009	675.0	769.0	2162.0	1609.0	363.0	2541.0	4633.0	2679.0	1075.0	4576.0	2473.0	3601.0	1898.0	2853.0	587.0	1282.0	1172.0	755.0	1307.0	1730.0	3648.0	992.0	4512.0	3616.0	542.0	5063.0	6563.0	4899.0	3292.0	3361.0	307.0	461.0	283.0	2047.0	78322.2	961027.0	1092941.805296
sub-0010	854.0	584.0	1909.0	1846.0	403.0	2401.0	4574.0	2402.0	813.0	5431.0	2239.0	2819.0	1793.0	2953.0	528.0	1155.0	1391.0	706.0	1534.0	1661.0	3042.0	1047.0	4092.0	3251.0	495.0	4900.0	6662.0	4407.0	3271.0	2804.0	256.0	367.0	298.0	1996.0	74876.1	996538.0	1093207.499499
sub-0011	767.0	536.0	2471.0	1633.0	512.0	2365.0	4681.0	3053.0	1023.0	5183.0	2617.0	3103.0	1870.0	3496.0	523.0	1327.0	1357.0	694.0	1319.0	1609.0	3527.0	1115.0	4599.0	3664.0	465.0	5145.0	7267.0	4914.0	3135.0	3265.0	321.0	470.0	315.0	2253.0	80589.8	1074820.0	1243840.702788
sub-0012	901.0	814.0	1976.0	1561.0	443.0	3172.0	5520.0	3103.0	793.0	5377.0	2770.0	3474.0	2358.0	3382.0	644.0	1567.0	1643.0	900.0	1595.0	1863.0	4377.0	1199.0	5098.0	3514.0	719.0	6239.0	6387.0	5620.0	3443.0	3781.0	368.0	461.0	280.0	2169.0	87498.9	1111331.0	1264759.854439
sub-0013	769.0	870.0	2499.0	1200.0	382.0	3064.0	5297.0	3330.0	709.0	4392.0	2660.0	1933.0	2133.0	3607.0	607.0	1438.0	1383.0	709.0	1323.0	1023.0	4123.0	1136.0	5438.0	3240.0	734.0	4723.0	6303.0	4821.0	3717.0	3356.0	256.0	521.0	356.0	2239.0	80288.9	990010.0	1265525.676304
sub-0014	802.0	768.0	2155.0	1508.0	439.0	3008.0	5700.0	3182.0	781.0	4379.0	3121.0	2847.0	2070.0	3730.0	693.0	1358.0	1190.0	881.0	1237.0	1473.0	3456.0	1119.0	4332.0	3708.0	645.0	6352.0	7155.0	5117.0	3593.0	3083.0	322.0	476.0	345.0	2161.0	83115.6	1120069.0	1194162.842278
