lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0001	939.0	542.0	2051.0	1571.0	354.0	2872.0	4037.0	3075.0	1050.0	4820.0	2359.0	3030.0	1592.0	2940.0	582.0	1191.0	1628.0	648.0	1249.0	1459.0	3743.0	1108.0	4437.0	3139.0	744.0	5479.0	6835.0	5257.0	3870.0	3279.0	231.0	469.0	404.0	2211.0	79194.9	1014544.0	1201948.163836
sub-0002	1205.0	556.0	2425.0	1772.0	368.0	3967.0	5311.0	4427.0	1283.0	6057.0	2971.0	3330.0	2006.0	3718.0	698.0	1348.0	1830.0	703.0	1396.0	1530.0	4019.0	1214.0	4688.0	4580.0	1003.0	5896.0	8146.0	5980.0	4430.0	5893.0	244.0	498.0	593.0	2416.0	96489.3	1270074.0	1692712.587
sub-0003	1025.0	517.0	2423.0	1385.0	490.0	3036.0	4075.0	3297.0	963.0	4735.0	2935.0	2554.0	1809.0	2947.0	552.0	1306.0	1396.0	751.0	1051.0	1225.0	4294.0	1217.0	5061.0	3690.0	881.0	6066.0	7261.0	5602.0	3760.0	5408.0	253.0	517.0	389.0	2668.0	85534.4	1184521.0	1325368.010617
sub-0004	1079.0	917.0	2185.0	1556.0	461.0	3212.0	4882.0	3857.0	936.0	5143.0	2550.0	3237.0	1920.0	3333.0	617.0	1416.0	1579.0	773.0	1431.0	1653.0	3894.0	1235.0	4742.0	3370.0	877.0	6398.0	7883.0	4525.0	3956.0	3477.0	263.0	536.0	420.0	2448.0	86759.8	1119876.0	1338131.287899
sub-0005	1153.0	507.0	2801.0	1900.0	478.0	3389.0	5072.0	3497.0	1439.0	7001.0	2626.0	3409.0	2056.0	3666.0	696.0	1138.0	1681.0	706.0	1604.0	1476.0	4570.0	1103.0	5439.0	3876.0	813.0	6091.0	7915.0	4949.0	4364.0	4208.0	296.0	401.0	385.0	2696.0	93391.2	1225864.0	1581896.5295
sub-0006	1109.0	680.0	2139.0	1806.0	432.0	3494.0	4560.0	3497.0	1092.0	5569.0	3201.0	3728.0	1942.0	3547.0	504.0	1291.0	1793.0	878.0	1683.0	1739.0	3898.0	1234.0	4603.0	3936.0	827.0	6630.0	7564.0	6599.0	4264.0	4159.0	280.0	444.0	456.0	2635.0	92204.8	1247786.0	1354293.234785
sub-0007	1016.0	723.0	1730.0	1379.0	663.0	3231.0	4924.0	4026.0	1023.0	4391.0	2606.0	2784.0	1996.0	3490.0	688.0	1193.0	1576.0	714.0	1493.0	1207.0	4230.0	1349.0	4590.0	3649.0	969.0	6627.0	7422.0	4842.0	3965.0	4259.0	339.0	517.0	446.0	2148.0	86197.8	1134965.0	1427446.163529
sub-0008	1089.0	624.0	2925.0	1539.0	431.0	3638.0	5433.0	3683.0	1105.0	5643.0	3168.0	2640.0	2293.0	3366.0	672.0	1438.0	1905.0	736.0	1457.0	1275.0	4339.0	1284.0	4994.0	5211.0	837.0	7088.0	9115.0	5701.0	4478.0	4259.0	304.0	441.0	495.0	2668.0	95992.4	1271852.0	1654753.210314
sub-0009	790.0	653.0	2012.0	1476.0	357.0	2859.0	4259.0	3184.0	1020.0	4513.0	2145.0	3066.0	1712.0	2944.0	577.0	1418.0	1397.0	601.0	1281.0	1673.0	3695.0	1235.0	4317.0	3339.0	819.0	4893.0	6636.0	5276.0	3219.0	3083.0	275.0	484.0	343.0	1989.0	77412.7	961027.0	1092941.805296
sub-0010	801.0	614.0	2167.0	1708.0	483.0	2743.0	4060.0	2665.0	981.0	5163.0	2443.0	2777.0	1801.0	2480.0	544.0	1086.0	1534.0	640.0	1244.0	1628.0	3335.0	1068.0	4168.0	3044.0	769.0	5044.0	6304.0	4400.0	3305.0	3429.0	230.0	448.0	363.0	2094.0	75443.9	996538.0	1093207.499499
