csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20
37598.15234375	n/a	1413621059.6638336	n/a	21974.9765625	n/a	482899594.9224243	n/a	23394.04296875	n/a	n/a	547281246.4237213	n/a	n/a	n/a	-0.0792622729	-0.0352732084	-0.1332853357	-0.069417559	0.0448380883	-0.0873902065	0.0031223486	-0.047682882	0.0828592437	-0.1590218913	0.0081889692	-0.0977831818	0.1094960484	-0.0663559277	0.061414888	-0.04892716	0.0448000734	-0.11474575640000001	-0.1343189296	0.0015295983	-0.0755409597	0.042606295599999996	-0.043452486500000005	0.008217411899999999	-0.1237132918	0.1157958547	-0.0828976926	0.17132070859999998	-0.1505454435	0.059022520499999995	-0.0003133948	-0.12994198369999999	0.0585520437	-0.0001853236	-0.0531634784	0.1672643352	-0.1489363797	0.0357117682	0.0536872633	-0.0202220777	-0.0773458646	0.053493246200000004	0.11973946390000001	-0.163676629	-0.1349212636	0.060027930099999995	0.0187534811	-0.028184343100000002	-0.0288743633	0.13745326160000002	0.019831048400000002	0.0337509941	-0.0849369447	-0.0204104569	-0.036461003900000004	-0.0660095061	0.0727448009	-0.0387613644	0.11192823660000001	-0.22721317940000002	0.1959041777	-0.0929486334	0.0673587773	-0.0643560494	0.0256545923	-0.021147492599999998	0.1355342181	-0.005813628299999999	0.0204004175	-0.0397161839	0.023852092400000004	-0.10911082859999999	0.0213902527	-0.026570145400000002	0.050013061500000004	-0.024522621600000002	0.0136505477	-0.0816961546	0.0447338041	-0.00596246	0.1050976008	-0.0887283474	0.0417011609	-0.0057512429	0.1394679878	-0.09278839550000001	0.1307311357	-0.14060025869999998	0.0659138828	-0.0044544758000000005	-0.0996959449	0.0386258621	-0.0169520373	-0.1625784898	0.0612672978	-0.055293059400000004	-0.038833274	0.09769748240000001	0.1050248565	-0.0318387067	-0.1333969625	0.0621668198	0.0019359492	-0.0728845772	-0.0056944388	-0.0684763253	0.1276387215	0.0106522781	-0.0695352497	-0.0877084149	-0.0661071677	0.09707961400000001	-0.1483683408	0.11110588789999999	0.11109021890000001	0.1110641056	0.1110275503	0.0298505	n/a	n/a	0.0008910523502499998	0.0173268	n/a	0.00030021799824	n/a	-0.0984275	n/a	0.00968797275625	n/a	0.00292281	n/a	8.5428182961e-06	n/a	0.000107753	n/a	1.1610709008999997e-08	n/a	0.000544682	n/a	2.96678481124e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37657.56640625	59.4140625	1418092307.6411285	3530.0308227539062	21967.23046875	-7.74609375	482559214.4671784	60.00196838378906	23379.619140625	-14.423828125	208.04681777954102	546606591.1606789	1.405882	25.595558	0.12628764	0.13154599449999999	-0.06964741	-0.022546126	0.1310052593	0.07038257839999999	-0.050272183	-0.020744556100000002	-0.0597550088	-0.0555328005	-0.0109093914	0.0502677621	0.0597448817	0.1189658743	0.1274441037	0.12560482580000001	0.0030151643	0.0516061413	-0.0644009788	-0.0748712517	-0.0206514231	0.0588757614	0.0272939338	0.0652451978	-0.1797454583	0.0719905244	-0.0322692843	0.041997438600000006	0.0693271673	0.1043759647	0.1218705879	0.1110465875	-0.0057297756000000005	0.0830541896	0.1105966036	0.1672744541	0.1421910851	-0.18348190739999998	-0.0793536159	-0.035018658	-0.0206455337	0.10276712980000001	-0.0846994161	-0.14530839999999998	-0.0962220589	0.0965309118	0.070334007	0.0807380316	0.0047203964	0.1325112248	-0.09509068289999999	-0.016317631200000002	0.0289146571	0.1140015716	-0.0178800944	0.1643115581	0.0063139854	0.0318921279	0.1052872625	0.0219857696	-0.0744440203	0.087431657	-0.0578365398	-0.1113970484	-0.0076789475	0.0173330234	0.0332003181	0.022938748300000002	0.0649086725	-0.060046341100000004	-0.004612961699999999	-0.055894349	-0.0282914247	0.044201064000000005	0.0765239966	-0.027099351600000002	-0.0677552546	-0.0619683037	-0.072840512	-0.10599996460000001	-0.0200935657	-0.04571650309999999	0.0233145102	0.019962522	0.1676987233	0.04676065150000002	0.047969889	-0.1111083527	-0.1528595779	0.0352247834	0.0109337249	0.1643577642	-0.0744375154	-0.1369074181	0.07461314150000001	0.0546395597	-0.0048818903	0.031512160899999996	-0.0798354186	0.09818139	0.0176282702	-0.18199262219999998	0.0449937841	0.020344766	0.055450119400000004	0.0260659007	-0.0576732685	-0.1531834258	-0.0358548204	0.061367303099999986	-0.1512591861	0.2077870239	0.07622727160000001	-0.08465748710000001	0.1110641056	0.1109231287	0.1106882998	0.1103598175	0.0461034	0.016252899999999997	0.00026415675840999993	0.00212552349156	0.00866182	-0.00866498	7.502712571240003e-05	7.508187840039999e-05	-0.021646	0.0767815	0.0004685493160000001	0.005895398742250001	0.00252277	-0.00040004	6.364368472900002e-06	1.6003200159999996e-07	9.87178e-05	-9.035199999999983e-06	9.745204036840002e-09	8.163483903999973e-11	0.000461992	-8.269000000000001e-05	2.13436608064e-07	6.837636100000001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37437.1953125	-220.37109375	1401543592.866272	48563.41896057129	21934.865234375	-32.365234375	481138312.85019296	1047.5083961486816	23348.509765625	-31.109375	967.793212890625	545152908.275486	1.479169	26.929821	0.188197462	-0.1206499274	-0.0351809208	0.15436421890000002	-0.146982367	0.0244942608	0.1413180836	-0.0615037036	-0.0703553715	-0.0021447968	0.0706291447	0.0255507029	-0.0959355967	0.20812556489999998	0.0037859708000000003	0.09436728189999999	0.0729130453	0.1460929124	-0.09579012890000001	0.035115276200000003	-0.0303774321	-0.1060803673	0.0361829866	-0.020806059499999998	0.1352083946	-0.1890616655	-0.0374513305	-0.0766237592	-0.0045115213	-0.056988299699999995	0.1012891524	0.0047280060999999995	0.0280271398	0.0045526356	-0.16754203369999998	0.0177056588	-0.039436803900000005	0.0317108965	0.031330938100000004	0.022298446800000003	-0.028996131600000002	0.046060433899999996	0.0450891416	-0.0097428248	0.0041855977	0.0259519454	0.0336765716	0.0035868509000000002	-0.0026867475	-0.0404127605	-0.0566169068	-0.0942715298	-0.0048081642	-0.016280326499999997	-0.0719881703	-0.0998491941	-0.10459269630000001	-0.1263482998	0.1337536884	-0.059472008300000004	-0.046085970899999995	0.0734324718	0.0363609882	0.1840254443	0.012472354599999999	0.0505725507	0.0738266726	-0.0209938273	-0.1096277521	0.08287834919999999	-0.14786705630000002	0.0786582805	0.044473188200000006	-0.0203334335	-0.0038021709999999996	-0.08517920009999999	-0.0042373545	-0.0386442095	0.05797773	0.0135180926	0.0112648326	0.0802422512	-0.0747657726	0.026902372999999997	-0.0037401876	0.041108014	-0.10260410630000001	0.0675207099	-0.0189772528	-0.0103145779	-0.072619212	0.0230279585	-0.07000871	0.1724783387	0.1863383519	0.06699277070000001	-0.024982575400000002	0.0748833216	0.026796116499999998	0.1187206132	-0.060633293899999996	-0.13046717970000002	-0.2142126269	0.05036047019999999	0.0742653806	0.027861386000000002	0.0416548395	-0.0414700923	0.13240095529999998	-0.11730126269999999	0.0130034228	0.0022687222	-0.0310270592	-0.090244629	0.11098055650000001	0.1105891995	0.1099379598	0.1090283678	0.0299023	-0.0162011	0.00026247564121	0.0008941475452899998	-0.000380482	-0.009042302	1.4476655232399998e-07	8.176322545920401e-05	-0.134743	-0.113097	0.018155676048999998	0.012790931409	0.00298866	0.0004658900000000001	8.932088595600003e-06	2.1705349210000004e-07	0.000623265	0.0005245472000000001	3.88459260225e-07	2.7514976502784014e-07	0.000455288	-6.703999999999955e-06	2.0728716294400004e-07	4.49436159999994e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37325.234375	-111.9609375	1393173121.1486814	12535.251525878906	21931.265625	-3.599609375	480980411.9143066	12.95718765258789	23358.328125	9.818359375	96.4001808166504	545611492.795166	1.321574	24.060646	0.13983123300000005	-0.0008184025	-0.0109183272	0.0136751072	0.024409033599999998	-0.0329313111	-0.0175947845	-0.015438613300000001	-0.013646740800000001	0.16061767289999998	0.059370313200000004	-0.09412165980000001	-0.0503792134	0.05907061	0.1508337063	0.085192442	0.0357347677	0.13807398099999998	-0.1172137985	-0.0773899403	0.0903454878	-0.0515973597	0.1143418408	0.0179655351	0.04306478	-0.042937375	-0.08458851070000001	0.0122058521	-0.0046993093	-0.0350235456	0.011507381799999999	0.0751016581	-0.1034928592	0.029208382	0.0376077294	-0.0192027397	-0.0870583477	0.0056601859	-0.1065618063	-0.0173990298	0.0566745088	-0.0607810885	0.0589189792	-0.02154818	-0.132483055	0.031880969700000004	-0.0690488303	0.015857673500000002	0.0589752454	0.0387667909	-0.0229943684	0.0826899081	0.0077315461	-0.1225183608	0.0654794848	0.0089433155	0.0124344622	-0.0096520894	-0.0952725108	-0.0072515491	0.0232686575	0.0345616428	-0.030050495099999998	-0.0111889753	0.09320480240000001	0.0549832101	0.08196841839999999	0.0220541224	-0.0372231451	0.0289220287	0.0096797571	-0.059946079299999996	0.1057930473	-0.0191530827	-0.1243768837	0.059140470599999995	-0.0676185603	0.10286153210000001	0.0332526281	-0.0689569949	-0.11860597380000001	-0.0019092884	-0.0452030384	0.0597560262	0.1109644332	0.004561704000000001	-0.0381614315	0.0269966437	0.0314218458	0.035270605	-0.044628381200000004	0.0737858312	0.0575127141	-0.07273958679999999	-0.11893103960000001	0.10487922529999999	-0.0538789388	0.0026355159999999996	0.1646922896	0.1151185158	0.1187235884	-0.0609518449	-0.012536677900000001	-0.0199407455	0.0714522607	0.08877877699999999	0.0978946898	-0.0023999996	0.0023687956	0.0932203098	-0.023507943700000002	-0.0707801332	-0.0213694808	0.014021046	0.11085527220000001	0.11008893369999999	0.10881562460000001	0.10704120869999999	0.0298632	-3.9099999999996776e-05	1.528809999999748e-09	0.00089181071424	-0.000337399	4.308299999999997e-05	1.13838085201e-07	1.8561448889999968e-09	-0.052890699999999985	0.08185230000000003	0.002797426146489999	0.006699799015290003	0.00219699	-0.0007916700000000004	4.826765060099998e-06	6.267413889000006e-07	0.000475352	-0.00014791300000000006	2.25959523904e-07	2.1878255569000015e-08	0.000236936	-0.00021835200000000005	5.613866809599999e-08	4.767759590400002e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37218.6953125	-106.5390625	1385231280.7647095	11350.571838378906	21946.12109375	14.85546875	481632231.0615387	220.68495178222656	23289.271484375	-69.056640625	4768.8196144103995	542390166.2729225	1.2766130000000002	23.242077	0.08246404900000001	-0.0481269573	0.0204175028	-0.1270896342	-0.0478288879	0.0028659313	-0.0776633539	0.0262811583	-0.0179794076	-0.07221777759999999	0.0668970149	0.018801858	0.027287536	0.0085787995	-0.016219923	0.1259118424	0.031215535699999998	0.14137879999999994	0.0540016132	-0.22474454010000008	0.0277780173	0.012899191599999998	0.0199238833	-0.10188745449999999	0.0575958439	-0.1019999788	-0.0768377188	-0.028274266200000002	-0.009758858399999999	0.1452842093	-0.045348305	-0.11913153900000001	0.0307993615	-0.026070821600000002	-0.1033767448	0.0688707596	-0.0015026389999999998	0.1549030797	-0.01073402	-0.1956465308	0.0942747167	0.1298357353	-0.0328019201	0.037015633900000004	0.169078075	0.2264141884	0.0595431349	0.0582200337	0.016810120300000002	0.0347320018	-0.0542473216	0.026781670499999997	0.06128904690000001	0.18315342059999998	0.12722906539999998	-0.0441045596	-0.0245159677	0.1082536134	0.08386746910000001	0.0136242546	0.0822272551	-0.08669352300000001	-0.0388663447	0.0350135117	0.0124546055	-0.0402817765	0.045860129000000006	0.0077118493	0.0736902864	-0.0741644704	-0.0473573821	0.0655525692	-0.004776664	0.035059654100000004	-0.030589510499999997	-0.162584735	0.0092371123	-0.1203968511	0.0539673707	-0.0171926174	0.0472654896	-0.0165072797	-0.0888060562	0.0149127602	0.1830280669	0.0016111598	0.0310983271	0.0178416193	-0.1893121313	-0.014583153400000003	-0.0150913067	0.007049490699999998	0.0237683554	-0.0062695052	0.1455237582	-0.0562434425	0.1891500203	0.040350720699999995	0.08868230710000001	-0.1656725865	-0.0017323678	0.0903334566	0.011999364299999999	0.0343643286	0.0353786912	-0.072470222	-0.0188700292	-0.0193963323	-0.0814416357	0.1028172989	0.0208905482	-0.023346764300000003	0.1013764213	-0.054532789000000005	0.1106882998	0.10942308369999999	0.1073250918	0.10441029119999999	0.029902	3.879999999999856e-05	1.505439999999888e-09	0.0008941296039999998	0.0212976	0.021634999	0.00045358776576	0.00046807318173000095	-0.0917534	-0.038862700000000014	0.008418686411560001	0.0015103094512900006	0.00225801	6.102000000000017e-05	5.0986091601e-06	3.723440400000021e-09	0.0007533689999999999	0.00027801700000000003	5.675648501609999e-07	7.729345228899999e-08	0.00033645	9.951400000000004e-05	1.131986025e-07	9.903036196000009e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37327.640625	108.9453125	1393352754.6291506	11869.081115722656	21936.392578125	-9.728515625	481205319.3416176	94.64401626586914	23285.958984375	-3.3125	10.97265625	542235885.8219948	1.4278320000000002	25.995176	0.09499270000000004	-0.0881086115	-0.1089091739	-0.0491655208	-0.09289380929999999	0.0987264533	0.054153593300000004	0.07577946990000001	-0.0432192355	0.148595344	-0.0079402435	0.0201935446	-0.0407335968	0.050645394	0.029314040299999997	-0.01814467	-0.09055602480000001	0.0578338544	0.040342148700000004	-0.0509409236	0.0887501704	0.0340015656	0.0731009426	-0.0758308078	0.1163047081	-0.047071801399999995	0.049150090599999995	0.051286301500000006	-0.035456823900000004	-0.0843136801	0.0065419213	-0.25660143399999996	-0.0922036795	0.1037842023	0.0398475077	0.1127735236	-0.1366315827	0.0367372448	0.06497015219999999	-0.0322527955	0.0440262783	0.0165126104	0.0364918759	-0.1261344079	-0.0364160084	0.023960767400000003	0.0092248073	-0.0809310636	-0.0987675108	0.1220028147	-0.021946537999999998	0.0333757792	-0.0291537254	-0.0316484541	-0.0346551985	-0.0142188948	-0.1454526565	0.023446471	-0.0756715717	0.1387008868	0.0838014682	0.0432167294	-0.0077182454000000005	0.1168784785	0.0222113352	0.07479660269999999	-0.0492610937	0.1469248983	0.07695401980000001	0.044871989	-0.060744443099999997	-0.022558661	0.0708856974	-0.0671764604	-0.1536400607	-0.0989434577	-0.118604401	-0.0093199958	-0.0682532339	0.0467148675	-0.1062129098	-0.018301998899999998	0.046632078099999995	0.0370830658	-0.0563264678	0.0394338993	0.0338192162	0.0010493606	-0.1296070127	-0.027597248300000002	-0.0991307328	-0.0941805346	0.13608116650000002	0.1154669841	0.1198396349	0.1006165394	-0.0794375359	-0.049077440300000004	0.0209245116	0.030345395	-0.0480057107	0.0181870719	0.041056323900000004	0.1190021169	-0.031655250499999996	0.0294053679	0.023936967000000003	0.046301710700000005	-0.1923431806	0.057319083300000004	0.025534583599999997	-0.0779532243	0.0085227788	0.030717608700000006	0.110479702	0.1085926509	0.1054714048	0.10115143789999999	0.0196388	-0.010263199999999995	0.00010533327423999992	0.0003856824654400001	-0.0295872	-0.0508848	0.00087540240384	0.0025892628710400003	-0.08857999999999999	0.003173400000000007	0.007846416399999999	1.0070467560000044e-05	0.00225091	-7.099999999999901e-06	5.0665958281e-06	5.04099999999986e-11	0.000185189	-0.0005681799999999999	3.429496572100001e-08	3.228285123999999e-07	0.000298304	-3.814600000000001e-05	8.898527641599999e-08	1.4551173160000018e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37310.39453125	-17.24609375	1392065540.0775301	297.42774963378906	21968.869140625	32.4765625	482631211.31790537	1054.7271118164062	23308.6796875	22.720703125	516.2303504943849	543294548.7744751	1.590664	28.959717	0.22187870000000004	0.0736715063	0.2132344027	-0.0294951349	0.0711238868	-0.1565417398	-0.0274774789	-0.0842400404	-0.1194669705	-0.0283668052	-0.0992770491	-0.017162484	0.0167537524	0.0353104121	-0.1718448034	-0.0499564075	-0.1335339816	0.036520881899999996	-0.13305260630000001	-0.0022506084	0.0811686395	0.0077489511	-0.010327336	-0.0557130409	-0.0669426254	0.0605126276	0.2138737669	0.0986421379	-0.1543888038	-0.0428630799	-0.0549584495	0.1220462629	-0.1009820473	-0.0622050373	0.0556096455	0.068793368	-0.06265642519999999	0.1064472372	0.0249986095	-0.018408416599999998	0.0587518787	0.112000029	-0.0874863103	-0.0463466546	-0.0239239441	0.012344300400000001	0.0513190711	-0.2337320592	-0.02159317	0.011557906599999999	0.0043863226	0.0206049805	0.21381926760000008	-0.0779684479	-0.0156516046	-0.0551994899	0.21925788780000002	-0.0041494537	0.0303115571	0.0659262189	-0.1316572884	-0.0321672353	0.0182645598	-0.0397597378	0.0228578521	0.0560063613	-0.0499815426	0.0494526743	-0.1081193615	0.0745563093	0.0149367232	0.06774842240000001	-0.037086525499999995	-0.058421875199999994	0.0436683289	-0.1142302366	0.0616404884	0.0579075913	0.012832183	-0.053138166900000006	-0.0471848518	-0.003949259	0.0273979989	0.0334843665	-0.0139753819	0.0319271027	0.0798091578	-0.09547876529999999	0.0664894335	-0.09074400949999999	0.09828779210000001	-0.0667269918	-0.0786474338	-0.18443328679999998	-0.0642756997	0.0464898819	-0.0506700558	-0.1131171832	-0.0351427505	-0.09779859789999999	-0.0804154367	-0.11492293	-0.0108655904	-0.0161053172	-0.0235225746	-0.1326632299	-0.0440118804	-0.0879854671	0.0172435603	-0.0101962809	-0.0059173566000000006	-0.1410770316	-0.033035250499999995	-0.1932414677	0.1102295573	0.10759888449999999	0.103260836	0.0972842479	0.0298765	0.0102377	0.00010481050128999997	0.0008926052522500002	0.0994055	0.1289927	0.00988145343025	0.016639116653289997	-0.0380309	0.050549099999999986	0.00144634935481	0.0025552115108099997	0.00192965	-0.00032126000000000013	3.7235491225e-06	1.0320798760000004e-07	0.00036464	0.000179451	1.329623296e-07	3.2202661401e-08	0.000439577	0.00014127299999999995	1.9322793892899998e-07	1.9958060528999996e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37442.609375	132.21484375	1401948996.8088381	17480.764907836914	22001.732421875	32.86328125	484076229.5637856	1079.9952545166016	23349.673828125	40.994140625	1680.5195655822754	545207267.8798256	1.351453	24.604614	0.1196361037	0.0664857388	-0.025091073	0.19288208350000002	0.034124979900000005	0.0178333289	0.0652611835	-0.09295913230000001	0.1638129526	-0.20152660809999998	0.0551765513	-0.0687724188	-0.08706964369999999	0.09642133230000001	0.0027249395	0.0685588676	-0.10285810390000001	0.0508799331	-0.007129019300000002	0.1589966493	0.053980853499999995	0.0835776509	0.0018454133999999999	-0.0107702904	0.0160581012	-0.08682882980000001	-0.0493352964	0.0368940419	-0.0002424045	0.0769644099	-0.055477310599999996	-0.1237433651	0.1564980699	0.026418683300000002	0.07457535009999999	0.033690192599999995	0.0408892192	-0.1338887476	-0.1055638417	-0.1242698698	0.0730907138	-0.0335824302	-0.074648245	-0.0383738187	0.0673617301	-0.0625757473	-0.1028862442	0.0221064619	-0.1110481124	-0.0335320504	0.0039222748	-0.1601516824	-0.044163266900000005	0.0553741207	-0.0343345752	0.0472227717	0.0098530385	-0.1577073071	0.07322629309999999	-0.1783724962	-0.007929479599999999	-0.0334001295	0.0290861614	-0.08441139199999999	-0.135695019	-0.12135669689999999	-0.0114747038	-0.04225239150000002	-0.0445749994	0.145228943	-0.032251710499999996	-0.0414269492	0.0690194068	-0.09190059	-0.039531795099999996	-0.1461663929	-0.027051621600000002	0.029839282	0.024390553	-0.0921021466	0.11688736570000001	-0.0021558395000000003	0.0655417637	0.0964835448	-0.1582397099	-0.0763149783	0.116479148	-0.0437260753	-0.14936858449999998	-0.0126414205	0.09094772529999999	0.0978272726	-0.008860911400000001	0.0412703015	-0.023372802400000003	-0.16914739829999995	0.011242785	0.0392233595	0.0878762615	-0.0185605916	-0.0062530052	0.0115873103	-0.0029913737	-0.0685047095	0.049623943499999996	0.0140047821	-0.0535624288	0.0575215529	-0.004304362	-0.026281470600000002	-0.0665194895	0.046857632999999996	-0.1649527059	0.07502421969999999	0.1099379598	0.1064432791	0.10070086519999999	0.09283197900000001	0.0298827	6.199999999997874e-06	3.843999999997364e-11	0.0008929757592899998	8.189629999999997e-05	-0.09932360369999998	6.7070039536899945e-09	0.009865178251954656	-0.035426	0.0026049000000000003	0.001255001476	6.785504010000001e-06	0.00183724	-9.241000000000002e-05	3.3754508176e-06	8.539608100000003e-09	0.000525162	0.00016052200000000002	2.7579512624400004e-07	2.5767312484000005e-08	0.000540673	0.000101096	2.92327292929e-07	1.0220401216e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37241.69140625	-200.91796875	1386943578.798355	40368.030166625984	21938.435546875	-63.296875	481294954.2443887	4006.494384765625	23342.8515625	-6.822265625	46.54330825805664	544888719.0689087	1.324304	24.110344	0.12129116370000002	-0.0398820714	0.045867764000000005	-0.0103382988	-0.0146106247	-0.0542315787	-0.0940875174	0.0707265441	0.0048634937	-0.010961957	0.0567561568	-0.0535235129	-0.09089725470000001	0.1016160149	-0.1495863422	0.025215152999999997	-0.112142819	-0.0166026769	0.10963346789999999	-0.0133631042	0.0645095708	-0.1202076759	-0.18095683769999998	-0.06011530070000001	-0.0527603763	0.0279442077	-0.1283388863	0.0448833573	0.0168832832	-0.1511464169	0.0873992967	0.11082171800000001	0.09215463410000001	-0.0374287491	-0.0919675876	-0.0318953583	-0.1239042466	-0.055252010899999995	0.09417482199999999	0.044528414599999996	0.0778277574	-0.0306731294	-0.1315497852	0.11634899609999999	-0.0328375527	-0.08825226720000001	0.1781628117	0.1215874691	0.042390427	-0.058147769	-0.1205055815	-0.0481696306	-0.021672986	-0.030887754700000002	-0.1421055783	-0.05617509230000002	0.0357753403	0.1018578583	-0.0210538233	-0.1415473001	-0.0225294277	-0.1219621445	0.010772049799999999	0.0027357906	0.035760437799999996	-0.10983976529999999	0.0178604054	0.0879736257	0.016652089199999998	0.09168011179999999	0.0172016482	-0.009710300600000001	-0.0358522009	-0.0120661795	-0.1277537897	0.1194831049	0.004668809	-0.167727786	-0.07861303480000001	-0.07039842589999999	0.17359928019999998	0.028522689500000007	0.0518486754	-0.0357583023	-0.101233925	-0.0290256686	-0.1581841951	0.1275530919	0.0615782974	-0.1267408667	-0.0363036035	0.0618214376	-0.023467327799999996	-0.0620091447	0.1031266268	0.020112171499999998	-0.0813616793	-0.1366659777	0.16848243010000002	0.0215403139	0.1599020735	0.0213390791	-0.0488275305	-0.07401971480000001	-0.0545688292	-0.1945103612	-0.0470362404	-0.019920911399999998	0.0442377838	-0.080869292	-0.016419881100000002	-0.1280282455	-0.0654050635	0.11362165939999999	0.1096050192	0.105127573	0.09780015460000001	0.08782140769999999	0.021164	-0.008718700000000001	7.601572968999999e-05	0.000447914896	0.051997	0.0519151037	0.0027036880089999996	0.002695177992181754	-0.061399	-0.025973000000000003	0.003769837201	0.0006745967290000003	0.00196081	0.00012356999999999993	3.8447758561e-06	1.5269544899999986e-08	5.60058e-05	-0.0004691562000000001	3.1366496336399997e-09	2.2010753999844008e-07	0.000641634	0.000100961	4.11694189956e-07	1.0193123521e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
