csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16
27996.58203125	n/a	n/a	783808605.4325104	18468.142578125	n/a	341072290.2859535	n/a	18739.921875	n/a	n/a	351184671.8811035	n/a	n/a	n/a	-0.0036669207	-0.0776345308	0.027005689399999998	-0.017403994	-0.0234088686	0.0481676739	-0.0475793325	0.012404131100000002	-0.0698572459	0.04439610099999999	-0.0228621083	0.0061529768	-0.0050447796	0.0053407001	-0.035059975099999995	0.045901035199999995	-0.0689838931	0.0386219117	-0.0248545329	-0.0106895538	0.0229467717	-0.036022441	0.0232401692	-0.0797137149	0.0927478368	-0.0292257979	0.0450703155	-0.034560216	0.23694752789999998	-0.0234939253	0.0791661368	-0.0368448247	0.0259540408	-0.027823690800000002	0.10403383810000001	0.1086003651	-0.0933846062	0.1537375661	-0.1631432066	0.010688712	0.0098432226	0.0617606863	-0.0371268166	-0.0824800149	0.1095189075	0.005324035899999999	0.0185054741	-0.10048296300000001	-0.05900403360000001	-0.0684160738	0.0214226002	0.1299288096	-0.0109383662	-0.0120544373	-0.058702795999999995	-0.0397135489	0.030401045699999997	-0.0843496201	0.0382750459	-0.0756741512	-0.0254325798	-0.0520866787	0.0103955755	-0.0209683605	0.023530167999999997	-0.0823232821	-0.023365667799999996	0.00254769	-5.95589e-05	0.0016439372000000001	-0.011474101200000001	0.0014242811	-0.0896475403	0.0466779967	-5.40096e-05	0.0222535289	-0.12418102369999999	0.0322337566	-0.0483941888	0.0308862168	-0.097429525	0.078910253	-0.165374672	0.0315906619	-0.0925120091	0.0648804865	-0.0839573888	0.0219237757	-0.0668977	0.0112093251	-0.22219310899999997	-0.08048139530000001	0.0924626262	-0.0849276601	-0.031158376800000002	0.12450751460000001	-0.0443022706	-0.1409697512	0.07717222530000001	0.0020792023	-0.0225654813	-0.0767386499	0.0705189331	0.0107558499	0.013068619699999999	0.039256995600000004	-0.0126425547	-0.0558588125	-0.0616260524	0.0317126426	0.0366426984	0.11110588789999999	0.11109021890000001	0.1110641056	0.1110275503	-0.007584999999999999	n/a	n/a	5.7532224999999986e-05	0.0142871	n/a	0.00020412122641	n/a	-0.0394915	n/a	0.0015595785722499998	n/a	0.000453569	n/a	2.0572483776099998e-07	n/a	7.30254e-05	n/a	5.33270904516e-09	n/a	-0.000412481	n/a	n/a	1.7014057536099994e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27920.03125	-76.55078125	5860.022109985352	779528145.0009767	18489.634765625	21.4921875	341866593.76620865	461.91412353515625	18707.0234375	-32.8984375	1082.3071899414062	349952725.8911743	1.273419	25.852844	0.013926760000000005	-0.0038552564	0.07003825	-0.0850346667	-0.0345189824	-0.0480801767	-0.0060500345999999995	-0.029232190800000002	0.0961560615	0.10075579650000001	-0.1236358212	0.0301822445	0.1190799948	0.022973586299999998	0.11033807150000001	0.0157620575	0.049302361100000004	-0.1009926462	-0.0529667587	-0.052585125499999996	-0.15406691849999998	-0.0937138047	-0.0362460759	-0.1202273615	-0.021953010499999998	0.0157299675	0.0254452337	0.018133664299999998	0.07305974929999999	0.114648786	-0.0429033825	-0.1100483302	0.1127731949	-0.0298974925	0.08894332320000001	0.0018511338	-0.061979148399999996	-0.0762480126	0.0350190555	0.0425342617	-0.0944842558	0.061300754699999994	-0.0169753201	0.0644307247	0.0769843195	0.0513958167	0.06252855019999999	0.0335985585	-0.08250684	0.1027247163	0.0651618547	0.1050213235	0.0349070287	-0.08871987460000001	-0.0044068182	0.0482170946	0.09260641039999999	-0.0492574176	0.0078722212	0.025175808799999998	-0.0349167007	-0.0414440497	-0.022163102999999997	0.1155942023	0.0400625717	0.0029527134	0.1185753341	0.08809823480000001	-0.026956825099999998	0.0985325676	-0.0837178912	-0.16002972740000002	-0.08877820039999999	-0.1200480998	0.0041303341	-0.0897108034	-0.0013884282	0.0944419548	0.0526059325	-0.037278969599999996	-0.08767483449999999	-0.1265841495	0.0027709771	0.0009620626	0.0770798287	-0.11335761300000001	-0.1283293166	0.0218878396	0.021596943799999997	-0.0329032899	0.0854989534	0.0273525948	-0.0053273353	0.0492725565	-0.023071356600000002	-0.0004690801	-0.0507108566	0.0953524966	0.0099445525	0.1322438109	-0.12135411089999999	0.0029105707	0.10166464050000001	0.0385644497	-0.012775018700000002	0.0416325294	-0.051036686100000006	-0.012006573500000001	-0.0037889893	0.1693358302	-0.0374149727	0.0660097856	0.1110641056	0.1109231287	0.1106882998	0.1103598175	-0.00830084	-0.0007158400000000013	5.124269056000021e-07	6.89039447056e-05	0.0143506	6.349999999999932e-05	0.00020593972036	4.0322499999999136e-09	-0.0395029	-1.1400000000001688e-05	0.00156047910841	1.2996000000003845e-10	0.000541269	8.770000000000003e-05	2.9297213036100005e-07	7.691290000000002e-09	-5.57796e-23	-7.30254e-05	3.1113637761600005e-45	5.33270904516e-09	-0.000514476	-0.00010199500000000008	1.0402980025000013e-08	2.64685554576e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27894.3671875	-25.6640625	658.6441040039062	778095720.7910768	18473.82421875	-15.810546875	341282181.26527405	249.97339248657227	18662.88671875	-44.13671875	1948.0499420166016	348303340.67689514	1.16832	23.719137	0.05302710420000002	0.0923574392	0.06059138820000001	-0.0169843073	-0.0992681818	0.058237252999999996	0.0435338591	0.0981854542	-0.008770340699999999	0.0994129973	0.011726803899999999	-0.0058451808	-0.0034731319	-0.0078608215	0.017475818	-0.0633590602	-0.0603542751	-0.010267832	-0.1271539697	-0.0587871684	-0.0281436004	-0.0604452237	-0.0902306514	-0.05967843480000001	-0.0572345529	-0.0360316406	0.055851988600000006	-0.07476830599999999	-0.123363779	-0.0294113671	0.04222253769999999	-0.11364196380000001	0.044739453	0.0894643906	-0.0773823738	-0.08457158109999999	0.0339926487	0.117684336	-0.0680753643	-0.1009390846	-0.0343923175	-0.0316428416	0.0459913479	0.0240932032	-0.0509101441	-0.054490146399999995	0.0074736635	-0.0473557458	0.0703517949	-0.0498849915	-0.024644362200000002	0.0729459645	0.0079820224	-0.10314690859999999	0.0962891651	0.0515991637	0.0161454281	0.0172645365	0.0708639346	-0.0039630789	0.035195345	-0.0820669759	0.046084128200000005	-0.0765492913	0.0173211636	0.1171659541	0.1059851442	-0.009862695500000001	-0.0052608448	0.0063049554	0.0168947501	0.0230251208	-0.040815759900000005	-0.0412403971	0.0016946242000000001	-0.102250102	0.026595486499999998	0.0691102929	0.06709004	0.0289033768	-0.0959502929	0.1250533797	0.0038390171	-0.0159867348	-0.0097529196	0.0260331111	-0.0497041503	0.136245493	0.0658771943	-0.0602547999	0.0132079747	-0.0116349321	0.0599461046	-0.14581828189999999	-0.0212562872	-0.0032569752	0.10585207320000001	-0.011573071599999998	0.0136450379	0.0408763257	0.0762007774	-0.088188338	0.09657798529999999	-0.0400899756	-0.0720585074	-0.0347826811	-0.0789980482	0.10570726359999999	0.0762420848	0.0333143998	0.0313231645	0.02443735	0.11098055650000001	0.1105891995	0.1099379598	0.1090283678	5.16642e-05	0.008352504200000001	6.976432641101766e-05	2.6691895616399998e-09	0.0110207	-0.0033298999999999985	0.00012145582849000004	1.108823400999999e-05	-0.0443884	-0.004885500000000001	0.00197033005456	2.386811025000001e-05	0.000142409	-0.00039886	2.0280323281e-08	1.590892996e-07	-0.0	5.57796e-23	0.0	3.1113637761600005e-45	-0.0008448	-0.000330324	1.09113944976e-07	7.1368704e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27864.939453125	-29.427734375	865.9915504455566	776454850.7263223	18477.9296875	4.10546875	341433885.53619385	16.854873657226562	18654.419921875	-8.466796875	71.68664932250977	347987382.6216469	1.285305	26.09416	0.07485858399999999	0.1121216705	-0.0751637057	-0.0853598699	-0.0995148895	0.10262563400000001	0.0289651175	-0.0152334233	-0.0645635562	-0.0791819714	-0.0075490901	-0.0157775934	-0.0066782646	0.0197419167	-0.0238883639	-0.056967685899999995	0.0760192325	0.022493399100000002	-0.1058797361	-0.0264921093	-0.0111266303	0.0310157517	0.0059448296	-0.0113042791	-0.0318121434	0.1358242391	0.1674930956	0.0329318265	-0.0015644009	-0.012678936100000001	0.0947372789	-0.1462538262	-0.0032574878	0.17963259550000002	0.1899175443	-0.0116902273	0.0132813545	0.07882250860000001	-0.014098341799999999	-0.1092455844	0.035478212200000005	-0.0208276649	-0.0453988928	-0.0268192545	0.0810434459	0.0224085609	-0.0501449999	0.0760750814	-0.027556315	-0.054292596299999996	-0.0314270535	-0.0608087308	-0.08335243839999999	-0.1799083857	0.1160117661	-0.0864909995	0.0482001559	0.013559279399999999	-0.06966521860000001	0.0761761291	-0.0390200442	-0.0875579063	0.08671533	-0.0617154584	-0.0595911166	0.0607483386	-0.09431273119999999	0.0427175043	0.0087213082	4.4009e-06	0.0128960893	0.0367343846	-0.0252083208	-0.043038105599999994	-0.049230966900000006	-0.0186823073	0.0587438534	-0.0177691515	0.022722104500000003	-0.0860747687	-0.10262395560000001	-0.0871358217	-0.0578629579	0.08721596390000001	-0.1143607155	0.0263219351	-0.10521875619999999	0.14515713789999998	-0.0361081739	0.16365557039999998	-0.0796648474	-0.1162583329	0.0564232249	-0.0726555368	-0.0973386648	-0.028728538300000002	-0.036744635299999995	-0.004470469699999999	0.0301818556	-0.0174404774	0.1141673917	0.0627529124	-0.0917678023	0.1433529171	-0.022294554900000003	-0.0232249881	-0.0548100142	0.11547434990000001	-0.1045282998	0.021183900699999998	0.025937842200000002	0.101318691	0.11085527220000001	0.11008893369999999	0.10881562460000001	0.10704120869999999	-0.0188442	-0.018895864199999998	0.0003570536838648417	0.00035510387364000014	-1.37198e-05	-0.011034419800000002	1.8823291203999998e-10	0.00012175842032263208	-0.05549	-0.011101599999999994	0.0030791401	0.00012324552255999993	0.000818942	0.000676533	6.70665999364e-07	4.5769690008900003e-07	-1.0587899999999999e-22	-1.0587899999999999e-22	1.1210362640999998e-44	1.1210362640999998e-44	-0.0008448009999999997	-9.999999996904846e-10	9.999999993809692e-19	7.136887296009996e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27775.1953125	-89.744140625	8054.010776519775	771461474.647522	18482.537109375	4.607421875	341604177.99942404	21.22833633422852	18643.4375	-10.982421875	120.61359024047852	347577761.81640625	1.369182	27.797024	0.08033348020000003	0.10298489539999996	0.1108776689	-0.1064964091	-0.1142499969	0.0047886246	0.0042110854	0.0661240317	-0.0345160764	-0.014671598999999999	-0.0926846051	-0.035939411	-0.0041012381	0.0316423808	-0.0260274402	-0.0661234149	0.0856868065	0.0678462742	-0.032230321400000005	-0.12384502039999999	-0.0191780797	-0.0201890223	0.0170391895	0.1113789858	0.0329452083	-0.0288766506	-0.0158573199	-0.1303308224	0.0590970357	-0.0218043632	0.1312881202	0.0749807724	0.0810515793	-0.0319864672	0.0860857664	0.045726083499999993	-0.0405781131	-0.0380059809	0.0713954684	0.120682985	-0.11489121710000001	-0.0684435028	-0.1475048965	0.0256102376	0.16634706359999998	-0.0929188899	0.046987227400000005	-0.013934974199999998	-0.10126504619999999	0.0807698199	-0.0782677027	0.0727477474	-0.0446408605	0.12492960199999999	0.1165927052	0.0784202431	0.11972399289999999	-0.022646923399999998	-0.0480701694	-0.0052769191	-0.049739439100000005	-0.10298038720000001	0.0188517129	-0.0669897232	0.0116391425	0.0074042241000000005	0.0339178782	0.08059643679999999	0.0512366111	-0.0048324415	0.0185286489	0.055761054299999994	-0.0091312371	-0.0505445868	-0.0745646636	0.0318463822	-0.13959538300000002	0.0633491752	0.042567709	0.0474917709	0.047806412199999995	-0.038782336	0.11859876960000001	0.023476204	-0.039060538	-0.1224708582	0.0230794973	0.0330107371	0.09205633	0.1218767005	-0.0859161502	0.1286562969	0.039588727000000004	0.125987675	0.0338625328	0.0391759187	-0.0192256645	0.0079750292	0.1532794939	0.0960111958	-0.011727523500000002	0.0082029292	-0.046291440999999996	-0.0258414431	-0.0355641063	0.033251232400000004	-0.0858587733	-0.0625573866	-0.1175263898	0.0154510025	-0.0857992808	-0.21874581199999998	0.1106882998	0.10942308369999999	0.1073250918	0.10441029119999999	-0.018840400000000004	3.7999999999982492e-06	1.4439999999986696e-11	0.00035496067216000016	-0.0257829	-0.0257691802	0.0006647579324100001	0.0006640506481800721	-0.08065689999999999	-0.025166899999999992	0.006505535517609998	0.0006333728556099996	0.00064353	-0.000175412	4.141308609e-07	3.0769369744e-08	0.00041246	0.00041246	1.7012325160000005e-07	1.7012325160000005e-07	-0.0008448009999999997	0.0	0.0	7.136887296009996e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27877.3671875	102.171875	10439.092041015623	777147601.3067018	18438.736328125	-43.80078125	339986997.3781166	1918.5084381103518	18658.140625	14.703125	216.181884765625	348126211.5822754	1.336816	27.139927	0.15508039999999998	0.0488865114	0.0725528207	0.08403088660000001	-0.0736017054	-0.0657798148	0.0739611458	0.0315752629	0.0141118393	0.0077808091	0.1141679766	-0.0835099707	0.0124520921	-0.0829524687	-0.0227061659	0.0511805479	0.08306567150000001	0.01425766	-0.0039476107	-0.159617735	0.0234600471	-0.08200316349999999	-0.0971818852	-0.0955225099	0.0178297776	-0.0698759781	0.0546724961	0.09859333710000001	0.0207596463	-0.1274572025	-0.025363290499999996	0.0741917677	-0.0030016139	-0.09386049490000001	0.0774593524	-0.0242371329	-0.0071313226	0.141832512	0.0847284143	-0.1620972533	0.0054413193000000006	-0.0798169346	0.07415017139999999	-0.051414618499999995	0.022285934	0.0765496522	-0.0146610974	-0.0167398811	-0.08549530179999999	0.0053697255	0.0667814708	0.0662283487	-0.0021791482999999998	-0.042442401	0.0350680131	0.0754375025	-0.0281159827	0.0903518509	-0.0512611258	0.0324374443	0.0552381401	-0.0786679029	-0.0817099782	-0.0453896559	0.009462396	0.0911702277	-0.0040699265	-0.1214722866	0.0655224398	-0.0175213354	-0.09378834609999999	-0.022382014900000004	0.059022896100000014	-0.08102100870000001	-0.0360471922	-0.0270930042	-0.0338801253	0.1088869567	-0.0391614948	0.1081002763	-0.1113646227	0.0329825772	0.0264451502	0.0328146298	-0.0078458197	0.0732940626	0.0585411279	-0.0292294634	-0.030039464199999998	0.1784479548	0.09310974779999999	-0.0075593445	-0.17870540149999994	0.0037768539	0.0207903636	-0.139618449	0.1505114833	-0.1530783651	-0.0104533889	0.0042793538	0.0137199778	0.0061943551	-0.0558208692	0.0723238368	0.0165073485	0.026700703500000002	-0.033810545899999996	-0.0039851302	0.09232070449999999	0.024276555	0.011148916299999999	-0.0057084225	0.110479702	0.1085926509	0.1054714048	0.10115143789999999	-0.0103265	0.008513900000000003	7.248649321000005e-05	0.00010663660224999999	0.071882	0.09766489999999999	0.005167021924000001	0.00953843269201	-0.07806839999999997	0.002588500000000021	0.006094675078559995	6.700332250000112e-06	0.000311905	-0.000331625	9.728472902500003e-08	1.09975140625e-07	-3.592090000000001e-23	-0.00041246	1.2903110568100004e-45	1.7012325160000005e-07	-0.0006626239999999999	0.00018217699999999984	3.3188459328999935e-08	4.3907056537599984e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27914.658203125	37.291015625	1390.6198463439941	779228142.5972939	18491.283203125	52.546875	341927554.4981728	2761.174072265625	18682.287109375	24.146484375	583.0527076721191	349027851.63711935	1.304755	26.489027	0.17702335	0.010161156	-0.0721579872	-0.022715743700000002	-0.027470986	0.0387198713	-0.07628398559999999	-0.017150713600000003	-0.1365801833	-0.1370134632	0.0036561257	-0.0716020092	0.0485062146	0.0725627801	-0.0028325158	-0.0403807672	-0.0255168643	-0.0892892943	0.039476198	-0.13542065949999998	-0.1393943781	-0.063204597	-0.0810119726	0.0639143613	0.10245930939999999	-0.1038138531	-0.0235323469	-0.1557019534	-0.013133424199999999	0.0186054074	0.0384346825	0.089148567	-0.146065848	-0.011514398700000001	-0.0065641974	-0.021278350499999998	0.09399848640000001	0.0576595286	-0.0142958179	0.1513672978	0.13849258009999998	-0.0054884007	-0.044670890899999996	7.48222e-05	-0.0161279846	-0.0009950054	-0.1419674505	0.0118692282	-0.0681697272	-0.0833303683	-0.014971193999999997	-0.0256919083	0.1038624672	0.0040097636	0.0021773661	-0.0400337184	-0.0258672907	-0.0294669925	-0.0994581672	-0.0096204924	-0.0229054516	-0.028589967400000006	0.0825037653	-0.0832112587	-0.1082822577	-0.1207075767	-0.1062074849	0.0076397905	0.0583413967	0.0544536241	0.0006706234	0.0335871794	-0.04363757769999999	-0.1341184687	0.093139708	-0.0013934129999999998	-0.0445198144	0.1304098362	0.10090380199999999	0.1120843434	0.0204169965	0.08458801310000001	0.052465079500000004	-0.0712865503	-0.1380126965	-0.0768220487	0.0456242628	-0.0417114695	-0.0061727862	0.06547559530000001	-0.0667221999	0.014126672199999999	0.0576806719	0.0018798294	0.0937280376	0.0059096498	-0.006653448100000001	-0.0095797516	0.021448064	-0.11121439699999999	-0.0209818425	-0.0418167586	-0.0129583257	-0.0635811626	0.0248053585	0.0033656943	-0.0005964526	-0.0820676	-0.1715542957	-0.20236221280000002	0.1329624577	0.05889989280000001	0.1102295573	0.10759888449999999	0.103260836	0.0972842479	-0.015052200000000003	-0.004725700000000001	2.233224049000001e-05	0.00022656872484000005	-0.0692181	-0.1411001	0.004791145367610001	0.019909238220010003	-0.0776745	0.0003938999999999748	0.006033327950249999	1.5515720999998016e-07	0.000509563	0.000197658	2.59654450969e-07	3.906868496399999e-08	0.000409852	0.000409852	1.67978661904e-07	1.67978661904e-07	-0.000671187	-8.56300000000006e-06	7.332496900000103e-11	4.5049198896899994e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27951.259765625	36.6015625	1339.6743774414062	781272922.4854469	18457.412109375	-33.87109375	340676061.7753029	1147.250991821289	18706.564453125	24.27734375	589.3894195556642	349935553.63891983	1.198482	24.331476	0.15885470000000002	-0.08533656710000001	0.0925984368	-0.006853334799999999	0.0282841965	-0.126824557	-0.056178788	0.0246390745	-0.055560960199999995	0.0047450582	-0.0545463213	-0.0075125538	0.0419088662	0.0131872337	-0.023201941099999998	-0.0234850603	0.0739056683	-0.0180679999	-0.036056072	-0.031729634799999996	0.0173459179	-0.0151248803	-0.0635540002	-0.1685760475	-0.047900421500000005	-0.057580351399999986	0.0562846599	0.095326811	-0.0848631289	-0.0164904697	-0.0631588126	0.09089785310000001	0.0786171709	-0.043315069299999995	0.0010767047	0.0186149745	-0.0496813954	0.07086817320000001	-0.11701518109999999	0.0671612243	-0.0848849733	-0.0024600736	-0.0220880918	0.1004162566	-0.0241214733	0.007006689399999999	0.0206659681	0.05356326610000001	-0.0430959874	-0.0525537075	0.20993594629999998	-0.2051922921	0.0184434767	0.0492877445	-0.0829581395	0.1043752681	0.0300506665	-0.0342879209	-0.026615382400000002	0.08469319730000001	0.0809200918	-0.0077246617000000005	-0.0716540409	-0.0445324705	-0.0090237335	-0.10783132449999999	0.0408557075	0.051972161399999994	0.0153093396	0.0574723084	-0.025507993599999997	0.0328901323	-0.0170437973	-0.0207055602	-0.0489681581	0.01575545	-0.0393020625	0.0719236946	-0.0455896883	-0.0088772829	-0.13121269619999998	0.0277052509	-0.0139937572	0.0280528836	0.0284720996	0.0215276408	0.0547348121	0.0530921552	0.05447077610000002	-0.0117802016	0.0911161069	0.0502590568	-0.1780995954	-0.0427767744	-0.0188178499	-0.012237378899999998	-0.0706878571	0.0208297577	0.0418173698	-0.0752120245	-0.1659767518	0.059184185800000004	0.13480007759999998	0.1040807292	0.0319107643	-0.043014339299999996	0.08723398630000001	-0.0963319126	0.1918410139	-0.004997128	0.09350139199999999	0.0087403963	0.1099379598	0.1064432791	0.10070086519999999	0.09283197900000001	-0.0130886	0.0019636000000000033	3.855724960000011e-06	0.00017131144995999998	0.0255656	0.0947837	0.0006535999033599999	0.008983949785689999	-0.0396721	0.038002399999999985	0.0015738755184100002	0.0014441824057599994	0.000121706	-0.000387857	1.4812350436000002e-08	1.5043305244899995e-07	0.000409852	0.0	1.67978661904e-07	0.0	-0.00076543	-9.424300000000004e-05	8.881743049000008e-09	5.858830849e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27955.0546875	3.794921875	14.401432037353516	781485082.5811157	18476.412109375	19.0	341377804.43545914	361.0	18745.072265625	38.5078125	1482.8516235351562	351377734.24350363	1.259312	25.56645	0.07823069	-0.0343511975	-0.0443317243	0.12171631880000001	0.017780133	-0.0325860124	-0.0350269713	-0.042518971100000004	-0.0382715718	-0.058552765	0.113680225	0.0240645709	-0.0038951194	0.0406349303	0.053529028799999996	-0.0459626421	0.0653618755	-0.035097651	-0.1213920341	-0.026965958199999997	-0.029244705899999997	-0.0253284883	-0.0243623016	0.0350256678	0.083928036	0.085797723	-0.0209638061	0.0733621424	-0.0139631828	-0.0351471499	-0.0185405555	-0.12815185310000002	-0.0153103072	0.0546698907	-0.0569286579	0.0328322906	0.055413350300000004	-0.09238553449999999	-0.0213404017	-0.17185595760000005	-0.0186908023	0.0515661987	0.0759889203	-0.0082496271	-0.0057981079	-0.01528339	-0.0359998498	0.1901304496	0.06405763980000001	0.14950045210000001	-0.0099398753	-0.038393242599999995	-0.0421075054	-0.1427894868	-0.0389167851	-0.0005068674	-0.1275779081	0.059554638099999994	-0.09519223560000001	-0.0283864969	0.001826089	0.0067697789000000005	-0.0111350767	0.0017656692000000004	-0.0516153259	-0.04431384519999999	-0.08974647279999999	-0.08000543110000001	-0.0543498399	0.0114891629	0.048097943899999995	-0.0403346383	-0.071491658	-0.09043948859999999	-0.0692021674	-0.0660252018	0.0424541939	0.0227054584	0.0261296089	0.0733257525	0.0152662541	-0.0263964252	-0.0186285993	-0.032544187200000005	0.0625712707	0.1590760541	-0.05796577	0.0020006676	-0.0266909028	-0.0412918314	-0.0598317074	-0.048337474500000005	0.0230854257	0.0601481718	-0.061109541600000004	0.1036934147	-0.0193525898	0.0163703739	-0.028836262	-0.0521106142	0.1776650949	-0.12973596269999998	-0.010816146799999999	0.17786364219999998	0.0023900574	0.0653509046	-0.0360157904	0.1782551234	-0.0320041956	0.0390497052	-0.05969907360000001	0.0086281785	0.1096050192	0.105127573	0.09780015460000001	0.08782140769999999	-0.013996	-0.0009074000000000025	8.233747600000048e-07	0.00019588801600000004	0.00747026	-0.01809534	5.580478446760001e-05	0.00032744132971559986	-0.07184589999999999	-0.03217379999999999	0.005161833346809999	0.0010351534064399993	0.000331523	0.000209817	1.0990749952900002e-07	4.4023173489e-08	0.000329662	-8.019e-05	1.0867703424400001e-07	6.4304361e-09	-0.000514354	0.00025107600000000003	6.303915777600004e-08	2.64560037316e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
