csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	t_comp_cor_11	t_comp_cor_12	t_comp_cor_13	t_comp_cor_14	t_comp_cor_15	t_comp_cor_16	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	a_comp_cor_204	a_comp_cor_205	a_comp_cor_206	a_comp_cor_207	a_comp_cor_208	a_comp_cor_209	a_comp_cor_210	a_comp_cor_211	a_comp_cor_212	a_comp_cor_213	a_comp_cor_214	a_comp_cor_215	a_comp_cor_216	a_comp_cor_217	a_comp_cor_218	a_comp_cor_219	a_comp_cor_220	a_comp_cor_221	a_comp_cor_222	a_comp_cor_223	a_comp_cor_224	a_comp_cor_225	a_comp_cor_226	a_comp_cor_227	a_comp_cor_228	a_comp_cor_229	a_comp_cor_230	a_comp_cor_231	a_comp_cor_232	a_comp_cor_233	a_comp_cor_234	a_comp_cor_235	a_comp_cor_236	a_comp_cor_237	a_comp_cor_238	a_comp_cor_239	a_comp_cor_240	a_comp_cor_241	a_comp_cor_242	a_comp_cor_243	a_comp_cor_244	a_comp_cor_245	a_comp_cor_246	a_comp_cor_247	a_comp_cor_248	a_comp_cor_249	a_comp_cor_250	a_comp_cor_251	a_comp_cor_252	a_comp_cor_253	a_comp_cor_254	a_comp_cor_255	a_comp_cor_256	a_comp_cor_257	a_comp_cor_258	a_comp_cor_259	a_comp_cor_260	a_comp_cor_261	a_comp_cor_262	a_comp_cor_263	a_comp_cor_264	a_comp_cor_265	a_comp_cor_266	a_comp_cor_267	a_comp_cor_268	a_comp_cor_269	a_comp_cor_270	a_comp_cor_271	a_comp_cor_272	a_comp_cor_273	a_comp_cor_274	a_comp_cor_275	a_comp_cor_276	a_comp_cor_277	a_comp_cor_278	a_comp_cor_279	a_comp_cor_280	a_comp_cor_281	a_comp_cor_282	a_comp_cor_283	a_comp_cor_284	a_comp_cor_285	a_comp_cor_286	a_comp_cor_287	a_comp_cor_288	a_comp_cor_289	a_comp_cor_290	a_comp_cor_291	a_comp_cor_292	a_comp_cor_293	a_comp_cor_294	a_comp_cor_295	a_comp_cor_296	a_comp_cor_297	a_comp_cor_298	a_comp_cor_299	a_comp_cor_300	a_comp_cor_301	a_comp_cor_302	a_comp_cor_303	a_comp_cor_304	a_comp_cor_305	a_comp_cor_306	a_comp_cor_307	a_comp_cor_308	a_comp_cor_309	a_comp_cor_310	a_comp_cor_311	a_comp_cor_312	a_comp_cor_313	a_comp_cor_314	a_comp_cor_315	a_comp_cor_316	a_comp_cor_317	a_comp_cor_318	a_comp_cor_319	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
22071.263671875	n/a	487140680.0734291	n/a	16424.57421875	n/a	n/a	269766638.2672272	15635.1201171875	n/a	244456981.0788813	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0
21595.796875	-475.466796875	466378442.66625977	226068.6749305725	16450.81640625	26.2421875	688.6524047851562	270629360.43214417	15549.568359375	-85.5517578125	241789076.16287613	7319.103264808655	1.2233379999999998	26.958408	0.13641378004000002	-0.020710351999999998	-0.0827916749	0.1299493028	-0.1024117007	-0.078997972	-0.0307780142	0.0016670620000000002	0.0942528925	-0.0457790447	-0.0756080287	-0.10536282359999999	0.0575060784	0.054869748200000006	-0.0025056495	-0.0812962309	-0.174313773	0.09597593970000001	0.1676710598	-0.0725939611	0.0554093371	-0.1481526718	0.0072729916000000006	-0.1311511561	0.0662564957	-0.274347819	-0.0464390255	0.2530685125	-0.053839680300000005	0.1022625611	-0.1098852826	0.09803056339999999	-0.0560953356	0.0136542085	0.018983913600000003	-0.1720484475	0.1321843218	-0.047470165300000006	0.085219001	-0.0597871283	0.0315433112	-0.10996694580000001	0.0744350474	-0.0913905822	0.0150778704	-0.09166844119999999	0.036823277	-0.0380593714	0.0225013862	-0.1064365212	0.030300866	-0.1080210984	0.0107330354	0.0585928724	-0.05237231480000002	0.0245608041	0.0194998807	0.0050200707	0.048700223499999994	-0.0080771444	-0.0758052919	0.030219441099999998	0.0560061904	0.0015260434	-0.024548411800000003	0.0004798238	-0.054169473499999996	0.0328077248	-0.0504750796	0.0160742769	-0.063670032	0.0626340423	-0.017019026200000002	0.0910841028	-0.0319835415	0.0087139086	-0.0356045106	0.0485619771	-0.0592328224	0.0342867197	-0.051960418200000004	0.0062160462	-0.0188055471	0.077862174	-0.0399688878	0.0760613797	-0.0067806104	0.0095380805	-0.0183757674	0.0377920735	-0.009725107299999999	0.0141173198	-0.06909158559999999	0.0186714266	0.0069879995	-0.025921262799999997	0.0031299176	-0.0578489999	-0.0131702858	0.0137726146	0.0004057149	-0.015212606299999999	0.023538078799999997	0.0510195316	-0.0017976657999999996	-0.0074709969	0.022532387999999997	-0.0369785959	-0.09222865109999999	0.0388547592	-0.0818818812	0.0575809562	-0.0145327731	-0.0082302769	-0.0034598528	0.049938190199999996	-0.033840184700000005	-0.0238824031	0.051160685899999996	0.0163947165	-0.0569088813	0.0517853338	0.0061289515	0.013385108799999998	-0.05718127360000001	0.0425797666	0.0206511505	-0.0426533257	-0.013243705900000001	0.09187348669999999	-0.037218059500000004	-0.007855210999999999	-0.0307489298	0.0417617032	-0.039283382	0.0187880089	0.0384266854	0.0211028208	-0.050103283	-0.0519403482	-0.0052982128	0.0719167619	0.0323554969	-0.0238255947	-0.0053994091000000004	0.051925873399999996	0.0066566398	0.006242311899999999	0.0373430805	-0.0122962225	-0.08460694269999999	0.0163707689	-0.1721556154	0.037114697599999996	-0.2779090032	0.2121545692000001	0.14951104910000002	-0.3538072711	0.21105602739999998	-0.058087676500000004	0.11446059880000001	-0.0486589022	0.0431132862	-0.057333259000000004	0.044793893099999996	-0.0052682933999999996	0.0745603707	-0.0638135326	0.0576095176	-0.0545856926	0.0120608744	-0.1517894163	0.0196556924	-0.0837556715	0.0438481058	-0.0719848297	0.07746219559999999	-0.0068022202	-0.0144128208	0.0190156802	-0.009566419100000001	0.0061207771	-0.0166035434	0.09585851210000004	-0.059707486399999996	0.0699800225	-0.016071373400000002	0.0351449261	-0.0468092816	0.0410084481	-0.0339266821	0.0044290199	-0.0107761877	0.1140579389	-0.0612817936	0.0431318578	-0.0312546462	-0.0030391147999999997	0.0086330164	0.0519696496	-0.0517696574	0.0499246334	-0.065701984	-0.022888157000000003	0.0200645484	0.0812583262	-0.0577374652	-0.0655407571	0.09744131	0.0286490016	-0.07415590030000001	-0.1044211635	0.0812055421	0.0410093881	-0.00012012350000000001	0.0729676157	-0.014643310900000001	0.0340989003	-0.0233126179	0.061641591399999994	-0.1828420553	0.0144702383	-0.0253395609	0.0503568609	-0.05553139309999999	0.0462851434	0.0394963567	-0.0672233852	0.0931806444	-0.0110204318	0.060885297699999986	-0.0071589098	0.12302399380000001	-0.0904623693	0.0338537456	-0.0616079675	0.0257772259	-0.045892675300000005	0.035632512799999995	-0.0654852295	0.0144212773	-0.0308922238	-0.0248830517	0.1491237172	-0.0383215621	-0.0027105754	0.034577078	-0.0332570213	-0.015301851299999999	0.0076214256000000005	0.0046309682	0.0514436807	-0.085669187	-0.0169644881	0.0735276946	-0.0246631673	-0.0107008122	-0.0167348717	-0.051997845099999995	0.1451277359	-0.044628311100000005	0.0707312495	-0.0147353096	0.06385242940000001	-0.0607625892	0.0521306754	-0.050204728899999995	0.0267806129	-0.0079058426	0.026140342200000003	-0.0417599416	0.041467118500000004	-0.050078342000000005	0.0574242846	-0.0072525888	0.0154834984	-0.027886144300000002	0.008616011	-0.04669705389999999	0.0370290984	-0.0264776512	0.0260671398	-0.009785554699999999	0.08205063929999999	-0.0278731142	0.0074419377	0.0158381717	-0.0397598802	0.0124060054	-0.027783101	0.0569547843	0.013669373200000001	-0.0147338121	0.0696572862	-0.0693561335	0.0210073917	0.09450279	-0.0396211719	-0.0202100953	0.015218526999999999	0.05783913280000001	-0.0279503273	0.0067318961	-0.0359357201	0.0026768899	0.0569173342	-0.0050535176	-0.0686224496	0.0776113656	-0.0006230157	-0.042235238099999996	0.0272715065	-0.0144477546	-0.0033920235	0.0783550458	-0.0051162917	-0.0213956088	0.0068608001	0.0253322361	-0.027383219599999998	-0.013188708300000001	0.0113661234	0.0235883295	0.0179287291	-0.0837797913	0.0464730072	-0.0122736774	-0.0051908648	-0.0190907401	0.0418505477	0.0120102774	-0.044217001299999996	-0.0203862953	0.0241333834	0.01353629	0.0066185256	0.0311020462	-0.034794990899999996	0.0646167195	0.0646156772	0.06461394	0.0646115079	0.0	-4.67004e-06	-4.67004e-06	2.1809273601600004e-11	2.1809273601600004e-11	0.0401444	0.0401444	0.0016115728513600002	0.0016115728513600002	0.08243699999999997	0.08243699999999997	0.006795858968999995	0.006795858968999995	6.19002e-05	6.19002e-05	3.83163476004e-09	3.83163476004e-09	-0.0	0.0	0.0	0.0	-0.000214654	-0.000214654	4.607633971600001e-08	4.607633971600001e-08	0.0
21298.16015625	-297.63671875	453611626.041275	88587.6163482666	16418.28125	-32.53515625	1058.536392211914	269559959.2041016	15510.7978515625	-38.7705078125	240584849.99203587	1503.1522760391235	1.160266	25.568518	0.06896854856000001	-0.0028333058	-0.0399174832	0.11957149	-0.0099132756	-0.045588832	-0.0780724584	0.0022166964000000003	0.0481051746	-0.053140732999999996	-0.0101670926	-0.0796989121	0.0691344507	-0.071737139	-0.0038488014000000004	-0.037476781800000004	-0.18164878059999998	0.0905488687	0.1208958017	-0.060075392400000004	0.0812775251	-0.1042543317	0.025164923500000002	-0.0529188061	0.06497115860000001	-0.1427008168	-0.07121352480000001	0.11515188400000001	0.0162969437	0.0794503116	-0.0374673803	0.0496145342	-0.0086779656	0.0182344833	-0.0665583546	-0.1162689863	-0.0619629936	-0.014210676799999999	-0.0331817239	0.0370173002	-0.0265607212	-0.054693041100000006	0.050846375	-0.0179348847	-0.0305110696	-0.0007185280000000001	0.069771678	-0.0316470251	-0.0785256054	-0.11027990050000001	-0.164010088	0.013717746599999999	-0.064062915	-0.020719137	0.018252567	-0.037396276	0.0817641638	0.0017829208	-0.0022189616	0.09403138539999999	0.0197441132	0.10137971039999999	0.0206911436	-0.0561016087	0.0414143894	-0.038921472	-0.0029019121	-0.048485633099999995	0.0443494204	-0.029350974199999998	0.089212301	-0.045394389199999996	-0.0176187004	-0.0115732734	0.0314234545	-0.0161747532	0.0130866256	-0.0468301193	0.0744362791	0.0222543164	-0.0398567035	-0.0177106783	0.0536757786	0.0129557441	0.047090933700000004	0.0715975041	0.06590527110000001	0.0860324974	-0.023585285	-0.039002245299999995	0.0839144679	0.0631900404	-0.000376459	-0.0473047274	-0.0596564398	0.0400840143	-0.0244833348	-0.0028462475	-0.0123548102	-0.0210632008	0.0614116988	0.038923345299999995	-0.0203927246	-0.0299168562	-0.0081504103	0.054243044299999994	0.07080201480000001	-0.0423498026	0.025872211000000003	-0.096447789	-0.011709876999999999	-0.038971649	-0.0142056357	-0.048007190199999994	0.0394079477	-0.0492128184	-0.0715177572	-0.079139661	0.049547559299999995	-0.012135108899999998	0.0765317952	-0.11884246529999999	0.035659232799999996	-0.0261426162	-0.1041531708	0.0613964651	0.0328362801	-0.0377751842	-0.0662309825	-0.0543321783	-0.0205389184	0.0343996229	-0.0585610376	-0.0377477165	0.0335102097	-0.0206372236	-0.0413425663	0.0353471037	0.010498473799999998	-0.0796750577	-0.032847464	-0.0516176601	0.0075037504	-0.0460486191	0.0034750519	0.03520787	0.0055487688	0.015659594	0.0458294972	-0.0144034624	0.0082683676	-0.0307891185	-0.1230952791	0.0121399548	-0.1382323558	0.1590061201	0.1343520541	-0.2289389566	0.0756684858	-0.011297990800000001	0.044883656200000004	-0.0386132991	0.043210691600000004	-0.1131335377	0.0510815147	0.0080358345	0.0072073913	0.009730038100000001	-0.0036793856	0.086370945	-0.08230073110000001	-0.0824282943	0.015188061999999999	-0.1126658571	-0.0010085494	-0.061213619800000015	0.0797521358	-0.0348647971	-0.0660503093	0.016290874599999998	0.04596646769999999	0.007363073100000002	0.0554285392	-0.0653296699	-0.08853301109999999	-0.038001013	-0.0101150697	-0.040978236800000005	-0.0621200933	-0.018015903700000002	0.0310946577	0.0041126648	0.0562893321	-0.0373888042	0.0224684902	-0.0155176769	0.09690153230000001	-0.0040166806	0.0132428505	0.0170133673	0.023019020600000002	0.038619601499999996	-0.0077054709	0.1133470284	-0.0296538113	-0.0208398625	-0.049760159500000005	0.022019253500000002	-0.046614917	-0.1181361424	-0.0173867207	-0.08512678359999999	0.0693642882	0.0801305103	0.0047277406	0.020882453	0.0217820917	0.045292687699999994	0.0295249036	0.052202294	-0.0663655144	0.030822782000000007	-0.0195766911	-0.0334787582	-0.0335364591	-0.0005439318	0.022140559700000003	0.10647357630000001	-0.08039857660000001	0.0100277942	-0.0394023956	-0.0069302287	-0.0443098816	-0.0705646818	0.038450275	0.036542533700000004	-0.0470043518	-0.033970583900000004	-0.0719225556	0.0285121904	0.016735921100000002	-0.0664243939	0.0524022387	0.0667249067	0.0860990702	0.0281325055	-0.0500876971	-0.0198523792	0.0331287184	-0.0880454957	-0.0095906527	-0.0595192723	0.0082141578	0.0807382926	-0.0239971761	-0.077839826	-0.0825121533	-0.0860833754	-0.06331565900000001	0.0677103228	-0.0414797643	-0.0183424672	-0.06518564639999999	0.0133371538	-0.0108183878	0.038316599300000004	0.0094679671	0.07434635	-0.0653897784	0.0029153416	0.0393474916	-0.0249692887	-0.0521897831	0.0697606075	0.044939709	0.079051391	0.0142216589	-0.0734842605	-0.0237926795	-0.0308189054	0.09237421189999999	0.0330395525	0.0109112742	0.0827888065	0.0793961191	0.030908863300000002	-0.0765549465	0.027306709900000004	0.1070087064	-0.0287605435	0.0199785831	0.0135306571	-0.004461265900000001	-0.0524195183	-0.0857307397	0.020542629	0.0024264304	0.0288458609	0.0399289584	-0.06870946	0.0178426011	0.1093422711	0.00036477760000000004	0.0844200541	0.031682561	-0.0724702753	-0.048076324299999994	-0.010430010699999999	-0.0452100305	0.07506891660000001	-0.0260096456	0.0179542179	-0.1120822105	-0.025595993199999997	0.024112497400000002	0.0033694628999999996	-0.029779071600000002	0.0401225272	0.023461334599999998	0.0658861892	0.0461980247	0.0674817258	-0.0254348613	-0.0538934155	-0.0088917039	-0.016184470700000002	0.024930660099999998	0.0166697905	0.0468880832	-0.0437403284	0.0018606258	-0.059405230999999996	0.016800400000000004	-0.0012522671	0.042164580300000004	0.0827885673	0.0862598902	0.0120606085	0.06461394	0.0646045594	0.06458892599999999	0.0645670414	0.0	-1.43286e-05	-9.658559999999997e-06	2.0530877796e-10	9.328778127359995e-11	0.056212800000000014	0.016068400000000004	0.0031598788838400013	0.0002581934785600001	0.122394	0.039957000000000034	0.014980291236	0.0015965618490000027	0.00014047299999999998	7.857279999999998e-05	1.9732663728999995e-08	6.173684899839998e-09	-0.0	0.0	0.0	0.0	-0.000394751	-0.00018009699999999994	1.55828352001e-07	3.243492940899998e-08	0.0
