onset	duration	trial_type	img_gender	word_gender	response_time	response_hand	response_accuracy
1.0249	0.5	congruent	female	female	1.775	right	correct
6.5414	0.5	congruent	male	male	0.8493	left	correct
11.5579	0.5	congruent	female	female	1.0516	right	correct
16.0744	0.5	incongruent	male	female	0.8069	left	correct
20.5909	0.5	congruent	male	male	0.8882	left	correct
25.6074	0.5	incongruent	male	female	0.8065	left	correct
30.6239	0.5	incongruent	female	male	0.8348	right	correct
35.1404	0.5	congruent	male	male	0.8402	left	correct
39.6569	0.5	incongruent	male	female	0.9815	left	correct
44.1734	0.5	congruent	male	male	0.7808	left	correct
49.1899	0.5	incongruent	female	male	0.8190000000000001	right	correct
54.7064	0.5	incongruent	male	female	0.7754	left	correct
59.2229	0.5	congruent	female	female	0.7037	right	correct
63.7394	0.5	incongruent	male	female	0.9299	left	correct
69.2559	0.5	congruent	female	female	0.8062	right	correct
75.7723	0.5	congruent	male	male	0.7686	left	correct
80.2888	0.5	incongruent	male	female	1.3499	left	correct
84.8054	0.5	incongruent	female	male	0.7701	right	correct
89.3219	0.5	congruent	male	male	0.9044	left	correct
94.3384	0.5	incongruent	male	female	0.8097	left	correct
98.8549	0.5	incongruent	female	male	0.807	right	correct
104.3713	0.5	incongruent	female	male	0.8534	right	correct
108.8879	0.5	congruent	male	male	0.7426	left	correct
113.9043	0.5	congruent	female	female	0.7040000000000001	right	correct
119.4208	0.5	congruent	female	female	1.5212	right	correct
124.4373	0.5	congruent	male	male	0.8076	left	correct
130.9538	0.5	incongruent	male	female	1.1138	left	correct
136.4702	0.5	congruent	female	female	0.8372	right	correct
140.9867	0.5	incongruent	male	female	0.8275	left	correct
145.5032	0.5	incongruent	male	female	1.1258	left	correct
150.0198	0.5	incongruent	female	male	0.794	right	correct
156.5362	0.5	congruent	male	male	0.7514	left	correct
161.5527	0.5	congruent	female	female	2.2666	right	correct
166.0692	0.5	incongruent	male	female	1.118	left	correct
171.5857	0.5	congruent	female	female	1.3422	right	correct
177.1021	0.5	incongruent	female	male	1.0476	right	correct
182.1186	0.5	incongruent	male	female	1.0549	left	correct
188.1351	0.5	incongruent	female	male	0.8722	right	correct
192.6516	0.5	congruent	male	male	0.8725	left	correct
197.6681	0.5	congruent	male	male	1.0577	left	correct
203.1846	0.5	congruent	female	female	1.01	right	correct
208.2011	0.5	incongruent	female	male	1.3873	right	correct
212.7176	0.5	congruent	female	female	0.8617	right	correct
217.2341	0.5	congruent	female	female	0.8819	right	correct
221.7506	0.5	incongruent	male	female	0.9293	left	correct
226.2671	0.5	incongruent	male	female	0.8436	left	correct
230.7836	0.5	incongruent	female	male	1.1719	right	correct
235.8001	0.5	incongruent	male	female	0.8912	left	correct
241.8166	0.5	incongruent	female	male	1.9264	right	correct
246.833	0.5	congruent	male	male	0.7599	left	correct
251.8495	0.5	incongruent	female	male	1.1131	right	correct
256.366	0.5	congruent	male	male	1.3375	left	correct
261.8825	0.5	congruent	male	male	0.7437	left	correct
267.899	0.5	incongruent	female	male	0.873	right	correct
272.4155	0.5	congruent	female	female	0.8213	right	correct
277.932	0.5	incongruent	male	female	0.8706	left	correct
283.9484	0.5	congruent	female	female	0.9059	right	correct
288.9649	0.5	incongruent	male	female	0.8032	left	correct
293.4814	0.5	congruent	male	male	1.6405	left	correct
298.9979	0.5	congruent	female	female	0.7058	right	correct
305.5143	0.5	congruent	female	female	2.2671	right	correct
310.0308	0.5	incongruent	male	female	0.8575	left	correct
316.0473	0.5	congruent	female	female	0.7347	right	correct
320.5638	0.5	congruent	male	male	1.108	left	correct
327.0803	0.5	congruent	male	male	0.6703	left	correct
331.5968	0.5	incongruent	male	female	0.9035	left	correct
336.6133	0.5	incongruent	male	female	0.9669	left	correct
341.6297	0.5	incongruent	female	male	0.8882	right	correct
347.6462	0.5	incongruent	male	female	0.7495	left	correct
352.1627	0.5	congruent	male	male	0.7788	left	correct
357.1792	0.5	incongruent	female	male	1.3691	right	correct
362.1957	0.5	congruent	female	female	0.9574	right	correct
366.7122	0.5	congruent	female	female	0.9167	right	correct
371.2287	0.5	incongruent	female	male	0.8079999999999999	right	correct
375.7452	0.5	congruent	female	female	0.6933	right	correct
380.7617	0.5	incongruent	female	male	0.8187	right	correct
385.2782	0.5	congruent	male	male	0.7899	left	correct
389.7947	0.5	incongruent	female	male	0.7843	right	correct
394.3112	0.5	incongruent	female	male	0.7126	right	correct
398.8278	0.5	congruent	male	male	0.9318	left	correct
403.8442	0.5	congruent	male	male	0.8052	left	correct
408.3608	0.5	congruent	male	male	0.6574	left	correct
412.8773	0.5	incongruent	male	female	0.6437	left	correct
417.3938	0.5	congruent	male	male	0.764	left	correct
421.9103	0.5	incongruent	male	female	0.9203	left	correct
426.4268	0.5	congruent	female	female	0.8207	right	correct
430.9433	0.5	congruent	female	female	0.8009999999999999	right	correct
435.4598	0.5	congruent	female	female	0.6753	right	correct
439.9763	0.5	congruent	female	female	0.7216	right	correct
444.9928	0.5	congruent	male	male	0.7329	left	correct
450.0093	0.5	incongruent	female	male	1.3582	right	correct
454.5258	0.5	incongruent	male	female	0.7805	left	correct
459.0423	0.5	incongruent	female	male	1.4538	right	correct
464.0588	0.5	incongruent	female	male	0.7491	right	correct
468.5753	0.5	incongruent	female	male	1.1544	right	correct
473.0918	0.5	incongruent	female	male	1.5467	right	correct
