csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	a_comp_cor_204	a_comp_cor_205	a_comp_cor_206	a_comp_cor_207	a_comp_cor_208	a_comp_cor_209	a_comp_cor_210	a_comp_cor_211	a_comp_cor_212	a_comp_cor_213	a_comp_cor_214	a_comp_cor_215	a_comp_cor_216	a_comp_cor_217	a_comp_cor_218	a_comp_cor_219	a_comp_cor_220	a_comp_cor_221	a_comp_cor_222	a_comp_cor_223	a_comp_cor_224	a_comp_cor_225	a_comp_cor_226	a_comp_cor_227	a_comp_cor_228	a_comp_cor_229	a_comp_cor_230	a_comp_cor_231	a_comp_cor_232	a_comp_cor_233	a_comp_cor_234	a_comp_cor_235	a_comp_cor_236	a_comp_cor_237	a_comp_cor_238	a_comp_cor_239	a_comp_cor_240	a_comp_cor_241	a_comp_cor_242	a_comp_cor_243	a_comp_cor_244	a_comp_cor_245	a_comp_cor_246	a_comp_cor_247	a_comp_cor_248	a_comp_cor_249	a_comp_cor_250	a_comp_cor_251	a_comp_cor_252	a_comp_cor_253	a_comp_cor_254	a_comp_cor_255	a_comp_cor_256	a_comp_cor_257	a_comp_cor_258	a_comp_cor_259	a_comp_cor_260	a_comp_cor_261	a_comp_cor_262	a_comp_cor_263	a_comp_cor_264	a_comp_cor_265	a_comp_cor_266	a_comp_cor_267	a_comp_cor_268	a_comp_cor_269	a_comp_cor_270	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21
20657.923828125	n/a	426749816.88861465	n/a	16504.134765625	n/a	n/a	272386464.36191183	15775.53515625	n/a	n/a	248867509.46607968	n/a	n/a	n/a	-0.0759356778	-0.03284208	-0.06597685360000001	-0.0330160678	0.1228463982	-0.0028808093	-0.0424223725	0.0174643276	-0.0493003596	0.0153785504	-0.0751284053	0.09922254779999999	-0.0139907781	0.0286878569	-0.1312911603	0.085526075	-0.0962735166	0.067727998	-0.1133720033	0.0432738911	-0.0163214256	0.0016197097	-0.1738162924	0.043171282400000004	-0.07100022019999999	0.044426520899999995	-0.0460856605	0.1221947011	-0.11934427310000001	0.0091123011	-0.0285531765	0.0082379399	-0.0592453139	0.045754587400000005	-0.0207978922	0.1305441601	-0.0736752038	0.1679999625	-0.0269233291	0.0003619727	0.0163590555	-0.07459141	0.0224361069	0.0473901567	-0.0526145368	-0.010430328	-0.0969215764	0.09994713039999999	-0.0278339076	-0.0615029278	0.1385025308	0.020468316	0.1520345616	-0.0504287196	-0.0224308606	0.047852987300000004	0.07778377339999999	0.0401605523	-0.0457208474	0.0401402079	-0.0029754567	0.0001395193	-0.025972667999999997	0.0232262597	-0.0297665563	0.0663147055	-0.08545652179999999	0.014126826100000003	-0.013437154599999999	0.09909265119999999	-0.000294314	0.0294638159	-0.0052179432	0.0172878849	-0.019780044	0.0574762979	-0.027518815	0.011943418300000001	-0.017029031200000003	0.0699422354	-0.0487448541	0.018794761299999997	-0.0193508167	0.018972074199999998	-0.0110524992	-0.042388497000000004	0.0084022689	0.025075774500000002	-0.09596022900000001	0.09058901050000001	-0.037954144100000003	0.037544689900000004	-0.0036157944	-0.0271952457	0.0063054059	0.026977837799999998	-0.030213704700000007	0.0016776084	0.053933875199999995	-0.0671288513	0.0227130976	-0.051279083499999996	-0.0121676304	0.09420197949999999	0.0025853429	-0.012644001200000001	-0.0273543759	0.0520509376	-0.0247954618	-0.0121405975	0.0203790448	0.0001451686	-0.0252869727	-0.0004707017	-0.050401084699999994	0.0602649903	-0.04408694	-0.0058307939	0.046983246900000004	-0.0877961441	-0.0010188217	-0.006958424699999999	-0.0014843795999999999	0.029778678700000002	-0.0155072179	-0.08703286810000001	0.021828112	0.0150813944	-0.005812663000000001	-0.0021237171	-0.0037637338	0.0361825792	-0.1101950528	0.0687015287	-0.0543300993	0.1086056873	-0.4848012496	-0.1226053098	-0.044475811100000005	-0.2088010632	0.0064920151	0.09747079560000001	-0.1657797486	0.0239887863	-0.0957796542	-0.0410315346	0.0407983362	-0.0750508006	-0.0642304485	0.011064750200000001	0.010525496499999999	-0.009780399300000001	0.027185241699999998	-0.1182075203	0.0214020208	-0.0777530895	0.0111537378	0.0102758867	-0.0393594571	0.014318386899999999	0.012966361599999999	-0.0181183949	0.0100811676	-0.0504966145	0.0858595058	0.0331224174	-0.08976781939999999	0.0357778142	-0.0797174753	0.13150989359999998	-0.0183568612	0.0098210895	-0.0663798069	0.0268174573	-0.0171025042	0.032467893399999996	-0.0914629444	0.1441895441	-0.0684460418	0.0483342245	-0.0590903355	0.1258327419	-0.0361738194	0.047226501799999994	-0.033095841800000005	0.1421027573	-0.0083396907	0.0767475005	-0.0277544139	0.04945844730000002	-0.0641037809	0.0628456452	-0.0663497898	0.1231082754	-0.0167502941	-0.0512320135	0.0213090639	0.010625671599999999	0.00994991	0.0356577624	-0.0136322885	-0.028079079399999998	0.023663648399999997	5.22152e-05	-0.0860861793	0.0209586919	0.0030009193	0.0273481103	-0.0273815496	-0.0322030471	0.0185520568	-0.07201797809999999	0.0438369251	-0.032318366099999996	0.0095695347	-0.076540615	0.0413270965	-0.0269923593	0.0425576723	-0.0575688154	0.0407283327	-0.0120186567	0.0769587778	-0.0530541899	0.0617091107	-0.0324595749	0.031138301400000002	-0.0193426991	0.0015553035	-0.0121860527	0.0023598629	-0.0052968231000000005	0.002341007	-0.0673137067	0.0446184312	0.0161211788	-0.031060625699999997	0.0652934213	-0.005809141800000001	0.0005986925	0.0716982641	-0.0257475011	0.0213541445	-0.0127281822	-0.0689919282	0.0301685059	-0.1036292208	0.0109558944	-0.0074648187	-0.0087730297	-0.056138277699999996	0.0293334285	-0.0199139341	0.023731254	0.0669333386	-0.0289103202	-0.046630806600000005	0.10981231710000001	-0.0306902083	-0.0489873156	0.0021453837	0.0202805626	0.0206994102	-0.0011755931	-0.0401946683	0.0947819022	-0.0005675282	-0.0327752246	0.0097646686	0.0022871154000000003	-0.046218897300000006	-0.0054586539	0.0640400737	0.0161269891	-0.0725942982	0.0372520885	0.0101096838	0.0645493768	0.0645483399	0.0645466117	0.06454419230000001	0.0336779	n/a	0.0011342009484099998	n/a	0.0231354	n/a	0.00053524673316	n/a	-0.061425199999999985	n/a	0.0037730551950399993	n/a	0.000311916	n/a	n/a	9.729159105599999e-08	0.00136837	n/a	1.8724364569e-06	n/a	0.00131495	n/a	1.7290935025000004e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20252.71484375	-405.208984375	410172458.5422516	164194.321018219	16490.4609375	-13.673828125	186.97357559204102	271935301.93121344	15701.201171875	-74.333984375	5525.541233062744	246527718.23968887	1.258561	29.355503	0.14308121	-0.011933893700000002	-0.0143433321	0.0680791976	-0.05804809230000001	0.0428458952	-0.1001260149	-0.0612943574	-0.021568057400000003	-0.0165014764	-0.0307507833	0.006043453000000001	0.0823196467	-0.016981205200000002	0.0237551439	-0.0280996354	0.12306871330000001	-0.0038022924	0.0230799319	-0.0056499744	-0.0432734808	-0.0017583956	-0.062204880199999986	0.0585077668	0.1099564038	0.0421260315	0.020317955	-0.1411067272	0.0492346611	-0.0727267206	0.0046134896	0.0307132895	0.053101200300000005	0.008371250600000001	-0.0088236943	0.046349025	0.0223226997	0.0769013675	0.0234522844	-0.0763896228	-0.0315707544	0.0393150084	-0.0060879082	-0.0727569198	-0.005523507800000001	-0.1133513494	0.023794727	-0.1059127106	-0.058072487400000004	0.0020813457	0.0089880702	0.0465217566	0.0763472436	0.028428537900000002	-0.052168367400000006	0.050389858499999995	-0.023097800499999998	0.0013537781	-0.0367630746	0.0529666351	-0.0013344710999999999	-0.028886575	-0.0003644495	-0.0373117217	-0.0257635952	-0.0327957477	0.0200145989	0.0391176367	0.0328157415	0.07736187	0.0850705939	0.0798176947	0.0644052578	-0.0083345507	0.0029976088	0.0279670832	0.0288260059	0.0706388781	0.0055703291	-0.0575590717	-0.0309661752	-0.0717787701	-0.0015268438	0.0332045407	0.0842284161	0.012998301200000001	0.015543050400000001	0.07867135809999999	0.0393838946	-0.0007135702	0.0009616985	0.0802805563	0.016182875700000002	0.0214082841	-0.0265090418	0.0027538878000000003	0.0005941169	-0.030172324700000006	-0.0038871874	0.111554678	-0.1169563751	-0.0130197879	-0.06132532860000001	-0.049433015700000006	-0.006616351800000001	-0.0298074986	0.0322167068	-0.0020216184	0.0558939348	-0.0549905434	-0.0650055129	0.0372500801	-0.007130983000000001	-0.10814251109999999	0.0628471484	0.057780959800000004	-0.0089715922	0.0445122959	0.0228876073	0.0403914942	0.0317223083	0.0255268872	-0.0211134061	0.0180026468	-0.035735548900000004	-0.0314006076	-0.0799294965	0.0281498425	0.0226837555	-0.0195423202	-0.0014673349	0.1104050342	-0.0350289863	-0.037617346600000004	0.051059984	0.0558027046	0.0992420813	-0.27055119510000003	-0.0392785572	-0.075207179	-0.1451561493	0.1088348908	-0.026531304300000003	-0.0281354063	-0.0063148139	-0.0809201625	-0.047187476799999996	0.0322267002	-0.09760700130000001	0.013760052	0.0493775416	0.0298066129	0.0338635641	0.0418997887	0.0258354646	0.0524462458	-0.0820620046	0.0585547011	0.0660058076	-0.058401082300000004	0.0302490713	0.0147110959	-0.030759361800000006	-0.0649834097	0.0032410049	0.0615212886	-0.022559957599999996	0.0053598717	0.1040367549	0.024820715499999996	0.0692818237	0.0260924453	0.0419654962	-0.025898699700000003	-0.0155877761	-0.0027229799	-0.0116990307	0.0500477303	0.039642258900000005	-0.0334401909	0.0211188569	-0.0353850228	-0.020421333	0.08257630269999999	-0.12930462	-0.057354109800000004	0.0457706036	0.0435395072	0.020474248100000002	0.0062430565	-0.0882197776	0.0421911496	0.0058895368	0.06879051	-0.09647418029999999	0.0134933879	-0.0663681257	-0.035419265299999995	0.0064375611	-0.0952819715	0.0206196032	-0.0502767564	0.0485368925	0.051784605899999996	0.09918977009999999	-0.0163938759	0.013799906200000002	-0.0017749706	0.008862310699999999	-0.055103422699999995	-0.02065093	0.0071589143	-0.014869833300000001	-0.0387032619	0.0232661729	0.0412575	0.058539930999999996	0.0643952446	-0.0319200651	0.08822837289999999	-0.06630370990000001	-0.038364008399999996	0.0118574234	-0.0162164973	0.011921096	-0.05995505070000001	0.0290382823	0.0025401401000000002	0.0794865937	-0.0086039381	0.06252073	0.0609825619	0.025927801099999998	-0.0173948421	-0.0227918194	0.0653913276	0.005956254	-0.043672571900000005	0.0698856686	-0.0496050459	-0.0488896181	0.0077877847	-0.015202453000000001	-0.0504259274	0.04270273	-0.0013278554	0.0385443205	-0.0043736603	-0.0177423298	0.030530521499999998	-0.0091637302	0.0456434533	0.0452551145	0.058790072	-0.12957415419999999	0.0560674901	-0.043348207199999995	-0.0011897102000000001	-0.0274903625	-0.0434123709	0.0255108343	0.0338005687	0.047206371500000004	0.0176754424	-0.004363960300000001	-0.0131458748	0.0632978159	0.0222661669	-0.0514403629	-0.0205611108	-0.0144786524	0.0319240301	-0.0207665302	-0.0563943546	-0.0045376938	0.017058732099999998	-0.0075088108999999984	0.10616723019999999	0.0645466117	0.06453727990000001	0.0645217278	0.0644999569	0.0311849	-0.0024929999999999987	0.00097249798801	6.215048999999994e-06	0.09971890000000004	0.07658350000000004	0.009943859017210007	0.005865032472250007	-0.017334099999999998	0.0440911	0.00030047102280999995	0.0019440250992099996	7.540379999999997e-05	-0.00023651220000000002	5.5938020748839985e-08	5.685733054439996e-09	0.00126271	-0.00010566000000000004	1.5944365441e-06	1.116403560000001e-08	0.00125885	-5.6100000000000124e-05	1.5847033224999996e-06	3.147210000000013e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20083.009765625	-169.705078125	403327281.2461891	28799.813541412357	16502.939453125	12.478515625	155.7133522033691	272347010.5935097	15687.15234375	-14.048828125	197.36957168579102	246086748.65602112	1.144774	26.701464	0.06779133530000002	0.0581493095	-0.009459501	0.050899061399999994	0.0069553605000000004	0.0652896812	-0.0688456846	-0.04715551269999999	-0.044797309400000006	-0.0037941099	-0.0118354565	-0.0068297341	-0.0130405465	0.021659863799999998	0.0172005099	-0.053240540700000005	0.0704798331	-0.0920491256	0.0279040649	-0.0415890358	-0.0340032204	0.0361303544	-0.0893924366	-0.0550795739	0.011467168	0.031597542799999996	0.0153221637	-0.099653806	0.02734345	-0.057588738499999986	0.031939726	0.0369608855	0.028249208300000002	-0.055875386799999996	0.0876642583	0.0522204572	0.010554876000000001	-0.0618250716	-0.0022971126000000002	-0.04302777519999999	-0.0956764527	0.058148228899999994	0.0266780228	-0.0219886156	0.0162374385	0.038900857000000004	-0.0877128813	-0.0033945649	-0.017114158600000002	0.070286182	-0.0002250414	-0.022844059500000003	0.052367890300000004	-4.4156800000000004e-05	0.00265463	-0.1100449455	0.0284434772	-0.10359756789999999	0.0761642973	-0.0025215158	0.0663327147	0.0619676022	-0.012915088	-0.0194310766	-0.0844839919	-0.0801250025	-0.038358695400000004	0.025260013199999997	0.0040884476000000005	-0.012712251	-0.0445916448	0.0717911825	-0.009626062	-0.0437819193	0.00775087	0.013021331200000002	0.006411173399999999	0.0842674166	0.0413534881	-0.024000674700000002	0.0330914075	-0.016561674499999998	0.023514372599999996	0.0608915863	0.0265501416	-0.06568981480000001	-0.031249425499999997	-0.06688935160000001	0.0053723849	0.0258713164	-0.0394233966	-0.0395364503	0.0601825379	0.0294032289	0.009398183000000001	-0.0305749629	0.1000821569	-0.0277125993	0.0313029271	-0.0302687643	0.0393755731	0.0089042014	0.0710048192	-0.0284950292	0.029827980499999997	-0.0136929454	0.0327224298	0.0201413008	-0.049741954000000005	0.0328406981	-0.0103660888	-0.0738926262	0.0396973012	0.0205629001	-0.0013839462	-0.0558746649	-0.1196047796	-0.0316433846	0.026633687799999996	0.0025738696	0.0397776985	0.000272756	0.011798695500000001	-0.0297661281	0.05645912700000001	0.0377353826	-0.026874167999999997	0.0349372165	0.0567577848	0.0235971315	0.0128650853	-0.029309333599999998	0.0669124145	0.0383086695	0.0407625075	0.050808306799999994	0.0460591637	-0.2077387203	-0.0374996207	-0.0628080467	-0.049933740899999995	-0.0129408783	0.0098514277	-0.0316642031	0.043445184000000005	-0.0342076738	-0.0126624948	-0.0088413041	-0.0362690369	-0.0028870227	0.0057662042000000005	-0.0713410743	0.043905962400000005	0.028314483900000006	-0.0697525426	-0.08348101849999999	0.0027181067	0.0469290819	0.0165167379	-0.038323648599999996	0.0412002877	-0.0053069137	-0.008897790400000001	0.0047331452	0.022762297799999998	-0.036021613	0.0346145947	-0.0118301628	0.0645808556	-0.0191720402	0.060734117000000004	-0.004486421	0.060670448200000004	-0.0209171891	0.0186977585	-0.0595405108	0.0536874839	-0.0376984435	-0.028356905699999997	-0.0739903214	-0.015247688200000001	0.0132415078	0.022257452200000003	0.030636269900000002	-0.0671168645	-0.028134400499999997	0.0041308121	0.0147080182	-0.050699239800000004	0.0238577777	0.0072598431999999985	0.0086869707	0.061479088099999996	0.0335009116	0.0133988502	-0.0653261183	0.0036490931	-0.08234372400000001	-0.0557136046	0.0073735843	-0.012206065	0.0165686725	0.0943202649	0.0368710924	-0.0765789999	-0.058140945199999995	-0.0179676312	-0.0330226224	0.0700144433	0.0085374306	-0.0625482366	-0.0759122611	0.0106698023	-0.0375071828	0.030757834100000006	-0.036590135600000004	0.028482436099999998	-0.0632916119	-0.018057848	0.1207264299	-0.006053071899999999	0.0427549139	-0.0357611411	-0.0053828159	0.0379484928	0.0459453383	0.0683187685	0.0522252058	0.0233260779	0.0822227521	-0.0700385994	-0.0453244229	-0.007808463199999998	0.0106221753	0.10680573019999999	0.043552925	0.0060369421	0.0647731619	0.0210301919	-0.0248250577	0.0100303924	-0.0118132179	0.0596163787	-0.0029128933000000003	0.031802731800000004	-0.0139964961	-0.0051366871000000005	-0.0567656361	-0.0050570076	0.0317591953	0.0302218742	0.085482852	0.0072708325	0.0575200222	0.0574107289	-0.0382468516	0.0085193341	-0.0375869213	-0.0046929373	0.0867092603	0.0321863495	-0.0970181436	-0.0376667157	0.0819678925	-0.0069088878	0.09413133800000001	-0.045770928200000005	0.0430717984	-0.04686716900000002	-0.1039328031	-0.0461863172	0.06978895110000001	0.0251800373	0.0559945668	-0.0076742537	-0.0881264432	0.0269321466	0.0326081617	0.0645410817	0.0645151617	0.0644719695	0.0644115165	0.0254936	-0.005691300000000001	0.0006499236409599999	3.239089569e-05	0.0997317	1.2799999999965615e-05	0.009946411984890002	1.6383999999911978e-10	3.71953e-05	0.0173712953	1.38349034209e-09	0.000301761900399802	-0.00014167299999999998	-0.0002170768	4.712233709823999e-08	2.0071238929e-08	0.00100874	-0.0002539700000000001	1.0175563876e-06	6.450076090000003e-08	0.000835578	-0.00042327199999999993	6.981905940840001e-07	1.7915918598399993e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20025.82421875	-57.185546875	401033635.6402741	3270.1867713928223	16447.91015625	-55.029296875	3028.2235145568848	270533748.5080719	15660.876953125	-26.275390625	690.3961524963379	245263066.94092175	1.638653	38.221027	0.1646287753	-0.0010341039999999999	0.0007398245	-0.07700976030000001	-0.0256194281	0.0658325291	-0.0920011927	-0.099238134	0.051996579400000006	-0.058659177	0.036547687999999995	-0.0336908749	-0.0443402146	-0.089521835	0.030841576800000006	-0.0188667621	0.0189237115	-0.0067517934	0.0670614739	0.0632468509	-0.0351193329	-0.0480359766	-0.049844230499999996	-0.0410646165	0.0058982981	0.0487256758	0.0472324606	0.056779416	-0.0456692467	-0.016092800900000002	-0.012128743899999999	-0.0405095905	0.057561473499999995	-0.043551386100000006	0.0118369069	0.0738237185	0.0376387105	-0.006082695999999999	-0.0036656406	0.0320765458	-0.0349693448	0.0278543939	0.010469060300000001	-0.0148332316	0.0234131642	0.0907223432	-0.0817274197	-0.0033770675	-0.0058951388	-0.0131191759	-0.019013448	0.0744112136	-0.0629996922	-0.0715264082	0.0032345690999999997	-0.082301442	-0.0536851327	-0.0001851702	0.0516899983	-0.0712212078	0.06833468179999999	-0.051861170899999996	0.014286071499999999	-0.0610558726	-0.0390746187	-0.0109531048	0.012228188400000001	-0.0022896088	-0.0438752922	0.0027123679999999997	-0.0044355499	0.022726148199999997	0.026170665299999996	0.059350095	0.061405228099999994	0.0258793848	0.022940433599999997	0.060457696100000013	0.0348387781	-0.051284744400000006	0.0270084113	0.0624776249	-0.0113876879	0.0058369347	0.0424652457	-0.0292079227	0.0566598667	0.0379245353	-0.071707206	0.0793697456	-0.0195823424	-0.0486996586	-0.020350891	0.1401776814	-0.10107505859999999	-0.0025430148	-0.0346145804	-0.0375666867	0.0062070997	-0.0165383426	0.0091886707	-0.0295924112	-0.0592429527	0.05636660690000001	0.0575946625	0.0436700661	-0.0314260111	-0.10041173119999999	-0.1591496909	0.0108216596	0.0128777097	0.10045774390000001	0.0614049141	0.0067637096	0.0596260639	-0.0366128844	-0.0811104914	-0.0498751725	-0.039298133	-0.0106372343	-0.00019294189999999998	-0.0611528457	0.0556852437	0.0184306306	-0.0735189067	-0.0743077784	-0.0026291123	-0.07807849759999999	-0.0200843094	0.0107053935	0.04794535	-0.0346553906	0.043230948899999996	-0.0073782325	0.016268843600000003	-0.0814225867	0.0196603762	-0.110352361	0.042895532800000004	0.07283182469999999	-0.0298079803	0.064842474	0.022093912599999998	-0.045706528499999996	-0.0097164268	-0.04671606440000002	0.019621118400000002	0.0030644044	-0.0261008948	0.030534904100000006	0.0389325998	0.0632052503	-0.0564939754	0.0239503037	0.0299696144	0.0065831097	0.0019094901999999999	-0.021533023199999998	0.0615939557	-0.10588087300000001	-0.0304620592	-0.05581115440000002	-0.0424143539	-0.0017897994	-0.0933376212	-0.0375223003	0.0266722393	0.008334418199999999	0.0096198758	0.0255517134	0.0096729595	-0.0492864325	0.0819444382	-0.047445656100000004	0.026643599900000002	0.0260621631	0.0445734541	-0.0113477518	-0.0309273545	0.048222271500000004	0.0120218147	0.0214218083	-0.0019287885999999998	-0.08753689519999999	-0.062666364	-0.0349406415	-0.0423462405	-0.0025587194000000002	0.0212056601	-0.0321331106	0.0571804489	-0.0531882593	0.038125293	-0.0394445006	0.0754321976	-0.013306748500000002	0.0144161831	-0.09423838130000001	0.0437001658	-0.0504043257	-0.0280534436	-0.038356904	0.05401052519999999	-0.059589382	-0.0942087898	0.0059610773	-0.0199961551	-0.0015650007999999998	0.0198739673	0.0979575882	-0.0035808317	0.0025703508999999998	-0.0328598476	0.0437616458	0.0059740023	-0.0258968623	-0.0197503727	-0.0342884276	0.049571637599999996	0.016743463700000003	0.0154528031	-0.0603337574	0.0772655442	0.0344127623	0.0360660528	0.09891728529999999	0.023655358900000003	0.06886028200000001	0.0591897926	0.021373918	0.0190703973	0.0315606825	-0.004476858	-0.0773269382	-0.0057627829	0.016074716200000002	-0.09232284589999999	-0.1352419457	-0.0316950872	-0.0147192639	-0.07655323480000001	0.0225421546	-0.0219667314	-0.0058921027	0.048814347699999996	-0.0095050253	-0.0117617047	0.0294615683	-0.0101705494	0.0624540783	-0.0040484241	0.0510173178	-0.019460516599999998	0.0409746903	-0.055022250300000006	-0.0255468926	0.1016817241	0.0928943267	0.0017560711	0.055738122800000005	-0.082855033	-0.11827020880000001	0.012312515	-0.1528808201	-0.012608275300000001	0.0045806182	-0.059923100099999994	-0.0620785462	-0.0611655579	0.0419301474	0.0883483434	-0.0244690903	-0.068215033	0.0325701414	0.005896211899999999	0.0495261779	0.0211990945	-0.0061563782	0.0645327869	0.0644819892	0.064397356	0.0642789317	0.0288691	0.0033755000000000005	0.00083342493481	1.1394000249999999e-05	-0.00665273	-0.10638443	4.42588164529e-05	0.0113176469464249	-0.0125118	-0.0125489953	0.00015654513924	0.00015747728303942208	0.000485378	0.000627051	3.93192956601e-07	2.35591802884e-07	0.000907532	-0.00010120799999999997	8.236143310239999e-07	1.0243059263999995e-08	0.000953716	0.00011813800000000005	9.09574208656e-07	1.3956587044000011e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
