csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59	motion_outlier60
29708.359375	n/a	882586616.7541504	n/a	19855.638671875	n/a	394246387.068058	n/a	21370.353515625	n/a	n/a	456692009.38278586	n/a	n/a	n/a	0.0783038226	-0.0152064393	-0.2111174025	-0.1572279091	0.0861571402	0.09792660269999999	0.2185414894	-0.0955963158	0.08452588720000001	-0.1291160766	0.0034970914	-0.07625137480000001	0.0654403315	-0.038990549900000004	-0.0772868868	0.030525882	-0.11226289560000001	0.0205512529	-0.1556379233	0.055915221699999997	-0.1016144951	0.0088426757	0.10444848050000001	-0.10995272939999999	0.0063507985	-0.1138183535	0.1532458599	-0.13163663720000002	0.0019093667999999999	-0.0860501304	0.0706172278	-0.0993027745	0.0238479327	-0.1545436932	0.0067904575	-0.0510350355	0.11750279039999999	-0.039400111099999996	0.0300987575	-0.1329095327	0.0329923179	-0.01443794	-0.1926025404	0.034160884	-0.0196976513	0.12416350779999999	0.025499348300000002	-0.0019165729000000002	-0.0539785188	0.0235000908	0.0672284778	-0.046956134100000005	-0.013074872900000001	-0.1711790761	0.0624657375	0.1541485206	0.033425434500000004	0.0205966576	-0.1886691227	-0.1008676341	0.12791976189999998	0.2553195054	0.0709064225	-0.1120985567	0.023246161	-0.1446130251	0.08967738970000001	-0.0189298872	0.1373488293	-0.0372960254	0.0442313633	-0.055240330899999995	0.0387467614	-0.1931587832	0.044429900599999995	-0.1499265521	0.0644091154	-0.05078188610000002	0.11526361539999999	-0.013302993600000002	0.1642284956	-0.12104981050000001	0.062122070999999994	-0.0897766124	0.0402405114	-0.010163176500000001	0.0012469213000000001	-0.0939004562	0.04333816	-0.0162960122	0.1264598525	-0.0276040844	0.031295513	-0.09702229220000001	0.0714914195	-0.0175397141	0.2070218342	0.0055136095	-0.087688598	-0.033071260299999995	0.10050961779999999	-0.0623316908	0.0017112643	0.0740630676	-0.0028502619	-0.0128391046	-0.040101096	-0.046365560099999995	0.0814823373	-0.027358317000000004	-0.0732369887	0.0999969158	0.09998766320000001	0.099972243	0.099950656	0.09992290359999999	-0.0266545	n/a	0.0007104623702500001	n/a	-0.238144	n/a	n/a	0.056712564736000004	-0.713535	n/a	0.509132196225	n/a	-0.00588958	n/a	3.46871525764e-05	n/a	0.002	n/a	n/a	4e-06	0.00142311	n/a	n/a	2.0252420721e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29587.634765625	-120.724609375	875428131.0240211	14574.431308746338	19849.609375	-6.029296875	394006992.3400879	36.35242080688477	21304.05859375	-66.294921875	4395.0166664123535	453862912.5659332	1.2743520000000002	24.906944	0.1009860000000001	0.10232113609999999	-0.0378838335	-0.1991811282	-0.1747771929	0.1253176674	0.034608620699999995	0.0363421821	-0.1164938472	-0.010017448100000001	-0.0232813829	-0.0729267939	0.0149741164	0.049646388099999994	-0.08181126429999999	-0.012558524299999999	-0.1386450336	-0.0620675165	-0.107977661	-0.0674586638	0.0706912519	-0.0808606238	-0.0064213709	0.037362383	-0.0549771597	0.0529722513	-0.1070388848	-0.030553895	0.0664483784	0.11155482539999999	-0.005711713	0.0170985748	-0.045738240199999995	-0.044354938899999995	0.0386466651	-0.0324214295	-0.076574089	0.0069594784	-0.0167888135	-0.009365485	-0.0498026075	0.0490804188	-0.0348981779	-0.1117177695	0.061715607699999994	-0.0054284139	0.0425144999	0.0377199446	-0.062257022999999995	-0.0512768159	0.0222070602	-0.0160125633	-0.058157844199999996	0.1779740715	-0.1698685965	0.0100805697	0.13998895349999999	0.0001212015	-0.09159617960000001	-0.0370264219	-0.1727911487	0.020393307	0.1118121059	0.09855783060000001	-0.09231699869999999	0.0414216195	-0.0455847846	0.0712575305	0.0449695161	0.0836958476	0.0620947288	0.050363772300000005	0.1285133914	0.0112863926	-0.0117217949	-0.0751439819	-0.1292503724	0.074972973	-0.07423267360000001	0.047873633	-0.0350575798	-0.0091024424	-0.0315842052	-0.0400358504	0.0019531504	0.0178355879	-0.0666059378	-0.0636107374	-0.0772100642	0.0466058616	0.0687587079	-0.1168866936	0.0669928599	0.0548447424	-0.026880009	-0.094302198	0.044296544699999996	0.0427379742	0.0284970262	0.0853997184	0.0200231671	-0.09720001210000001	-0.1075930386	0.0188595621	0.0075165784	0.0045641171	0.1833743391	0.0306141876	-0.0787685633	0.0101964346	-0.09013946869999999	-0.0029148213	0.099972243	0.0998889875	0.0997502796	0.0995561965	0.09930684570000001	-0.0212465	0.005408	0.0004514137622500001	2.9246464e-05	-0.259307	-0.02116300000000001	0.0004478725690000007	0.067240120249	-0.6851430000000001	0.028391999999999976	0.4694209304490001	0.0008061056639999983	-0.005116600000000001	0.0007729799999999995	2.617959556000001e-05	5.974980803999994e-07	0.002	0.0	0.0	4e-06	0.00127563	-0.00014747999999999996	2.1750350399999992e-08	1.6272318969000004e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29757.541015625	169.90625	885511247.2966043	28868.1337890625	19834.18359375	-15.42578125	393394838.83058167	237.9547271728516	21344.5234375	40.46484375	1637.403579711914	455588680.7739868	1.541953	30.137157	0.08628539999999997	0.11005711039999999	-0.0959046536	-0.1526245103	-0.16887220260000002	0.09486360529999999	0.0663266922	-0.0082328043	-0.0893265017	-0.0921937456	-0.0200310432	-0.0198004614	-0.0742088289	0.08798573259999999	-0.0855716362	0.1072922868	-0.11692009699999999	-0.1175761157	-0.1424312445	0.0946835234	0.0214044571	-0.1088325694	0.1044217781	0.0444817718	0.2336328739	0.0093170412	-0.04531052	0.0144925749	0.12429666789999999	-0.0013706554	-0.0798688109	0.1380431502	0.052221688499999995	-0.0898533284	0.0168520807	-0.1047763406	0.0025273286	-0.1362185921	-0.0460768136	0.0267664592	-0.1391730786	0.1166140618	-0.0920003013	0.1601253906	-0.10036244289999999	-0.0356222384	-0.072432658	-0.0788928691	-0.0009809047	-0.0492559521	-0.1107330899	-0.030378930099999996	0.09492480560000001	-0.09405801289999999	-0.1332962222	-0.07871965660000001	0.12526943710000002	0.08215387099999999	-0.0958290433	-0.0042295990000000006	-0.1710864023	0.025521827	0.077803741	0.0768775228	-0.0634583202	0.0479511027	0.003976925	0.0713499994	-0.0015649805999999999	0.0769229523	0.0805810934	-0.08125844110000001	0.2300077076000001	-0.0106293168	0.0709866775	-0.1582838284	0.1428851802	-0.0746796463	0.162404604	0.15231412589999999	0.0635370955	-0.0890603398	-0.0615850892	-0.10866656390000001	0.005661546999999999	0.1261301463	-0.1007653754	-0.11343300710000001	-0.0336416309	0.010310024899999999	-0.0139904796	-0.0968185179	-0.135598	-0.0458483955	0.0293351214	0.1405668973	0.0947728867	0.0019764719	-0.031501542	0.042242922800000006	-0.0821930861	-0.1092794539	0.0035088203000000003	0.0342071794	-0.06882811400000001	-0.045511374400000006	-0.050761510999999995	0.062550748	0.0943717682	0.0806433988	0.08036097610000001	0.060374732199999996	0.09992290359999999	0.0996917334	0.09930684570000001	0.09876883410000001	0.09807852800000001	-0.024400400000000003	-0.003153900000000001	0.0005953795201600001	9.947085210000007e-06	-0.261577	-0.0022699999999999947	5.152899999999974e-06	0.068422526929	-0.672962	0.012181000000000108	0.452877853444	0.00014837676100000263	-0.00471825	0.0003983500000000005	2.22618830625e-05	1.5868272250000036e-07	0.00270963	0.0007096300000000003	5.035747369000002e-07	7.342094736900001e-06	0.00154126	0.00026563	7.05592969e-08	2.3754823876e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29572.75390625	-184.787109375	874547773.5996246	34146.27579116821	19838.697265625	4.513671875	393573909.19711685	20.373233795166016	21315.1328125	-29.390625	863.808837890625	454334886.81451416	1.172805	22.922245	0.11547269999999987	0.12247858460000001	-0.0593436047	-0.1615306319	-0.17041375190000002	0.0958469942	0.0809469262	0.039693259700000004	-0.0248041817	-0.0090258019	-0.0814582312	-0.064440893	-0.0273145277	0.1572347473	0.0257548395	0.0004541927	-0.1550548825	-0.1699729696	-0.0592510801	0.17631965530000002	0.0310596266	0.0644798281	-0.1388856356	-0.0268694077	0.0408401049	0.0551208503	0.0835539734	0.0282404802	0.09581557619999999	0.10173623359999999	0.0010847036	0.0226109156	-0.0733265826	-0.0060754155	-0.0437159347	0.0045295711	0.0709360639	0.092645006	0.0209344022	-0.0578289628	0.11207880349999999	-0.070607751	-0.0313803728	-0.1426863958	0.0340886281	-0.0782181886	-0.09104146939999999	-0.0975591243	-0.0889053725	0.06120224730000001	-0.060356712699999995	-0.042836735300000005	0.185159887	0.0665013787	-0.1532397456	-0.028680203199999997	0.1349229342	-0.0589917259	-0.018203851200000003	-0.0928778214	-0.16508106050000002	0.0478235749	0.0981058357	0.092327744	-0.0005282132	0.0195105681	-0.0263796152	0.068194701	0.0427604568	0.0296011079	0.0458083604	0.1259983647	0.1242110924	0.1251124168	0.21661950829999999	0.052937746699999996	-0.0931504831	0.030006022099999998	0.044445841500000006	0.0297847037	0.0734451153	0.0815354654	0.1327481725	-0.0304303584	-0.0276484959	-0.0644272056	0.14431367949999999	-0.0740541373	0.0711771061	-0.06350031910000001	0.045708559800000007	-0.086070695	-0.0617652784	-0.0383231791	-0.0717297316	-0.0210659431	-0.1034874355	0.0545544674	-0.0774554194	0.007930785400000001	0.0360268346	-0.0301377446	-0.0393892527	-0.234284186	0.0590277189	0.0272662184	-0.0924655502	-0.073361607	-0.0544926938	-0.1359076589	0.0571969313	0.06314016110000001	0.0998489097	0.0993960955	0.09864292570000001	0.09759167619999999	0.0962455236	-0.0347411	-0.010340699999999994	0.0012069440292099998	0.00010693007648999988	-0.27360300000000004	-0.012026000000000037	0.0001446246760000009	0.07485860160900003	-0.6443949999999999	0.028567000000000013	0.4152449160249999	0.0008160734890000005	-0.00511402	-0.00039577000000000015	2.6153200560400005e-05	1.5663389290000012e-07	0.002	-0.0007096300000000003	5.035747369000002e-07	4e-06	0.00135588	-0.00018538	3.436574439999999e-08	1.8384105744e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29672.978515625	100.224609375	880485653.9887428	10044.972324371338	19825.671875	-13.025390625	393057265.295166	169.66080093383792	21340.412109375	25.279296875	639.0428504943848	455413188.9979592	1.371892	26.813345	0.2064938000000001	0.0871489052	0.0116631298	-0.1498380631	-0.14896894759999998	0.1213635557	-0.0371719489	0.0012719202	-0.0049740354	-0.028679319100000007	-0.010034722	-0.0313811144	0.022403013399999998	0.0939637718	-0.0199899294	-0.061512706500000014	-0.0134416924	-0.0776660931	-0.0753804057	-0.0904377936	-0.12101407300000001	0.0814857811	0.0515292796	0.0968208669	-0.0645997706	0.13937763	-0.033194712200000004	-0.07622198150000001	-0.1124828993	0.0644077863	0.1257842867	0.0398798956	-0.11899753210000001	-0.0451210053	-0.030912357999999997	-0.0391280381	0.0918528976	0.0037553528000000003	-0.007218363599999999	0.0399608693	-0.0058213002	-0.0395234922	-0.006453565400000001	0.109700959	0.049986448600000004	0.09167643660000001	-0.082767017	0.0290992397	0.1276972	-0.046260753200000004	0.11203076949999999	-0.0147986608	0.0063521270999999995	-0.0325254527	-0.14020582	0.0359301359	0.0936464816	-0.007944599	0.0103036825	-0.0603348039	-0.17283458699999998	-0.0441560622	0.0562110609	0.0110490801	-0.02290689	0.0305486892	0.0436980615	-0.0087699452	0.0618157735	0.0647736924	0.043725390700000005	0.1328377535	0.0263137435	0.1262892213	-0.130344086	-0.0161711041	0.0804821208	-0.1027464923	-0.091740061	0.0163318595	-0.07707187019999999	0.053232820199999996	0.10167305480000001	-0.0194199617	0.1750261689	-0.032397811299999996	0.0679227505	0.0021358008	0.1401064533	0.1241218378	0.0671274001	0.008037212299999999	-0.1022050988	0.1076353061	0.06932862070000001	-0.0032296007000000002	-0.05104932	-0.06736453349999999	-0.0029257867	-0.0156611632	-0.0205015734	-0.0162256246	-0.11439955449999999	0.1206069223	0.08534034199999999	-0.0051071818	0.0267262904	0.03804596	-0.029961090200000002	0.0087727257	-0.0045790461	-0.0237532485	0.0997502796	0.0990023658	0.09775999380000001	0.0960293686	0.0938191336	-0.0345723	0.00016879999999999673	0.00119524392729	2.8493439999998892e-08	-0.299188	-0.02558499999999997	0.0006545922249999983	0.08951345934400001	-0.570037	0.07435799999999992	0.324942181369	0.005529112163999989	-0.00383855	0.0012754700000000006	1.47344661025e-05	1.626823720900001e-06	0.00266679	0.00066679	4.446089041e-07	7.1117689041e-06	0.00154126	0.00018538	3.436574439999999e-08	2.3754823876e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29840.318359375	167.33984375	890444599.7888527	28002.623306274414	19871.26171875	45.58984375	394867042.2950592	2078.433853149414	21383.466796875	43.0546875	1853.706115722656	457252652.2530557	1.6605919999999998	32.455936	0.2897426	0.0574210878	0.0077325432	-0.09945661609999999	-0.1155471993	0.1068521568	-0.0666555957	-0.1332262249	-0.06353184320000001	-0.0403175083	0.08636495300000001	0.0370962674	-0.07742276440000001	0.044672768499999994	0.0258700578	-0.10022276960000001	-0.008642559499999999	0.10022728689999999	-0.042135443	-0.0270659103	0.0348589439	-0.0774592591	0.09672124369999999	-0.0824680297	-0.1136649994	0.0537525283	0.1286031459	0.0739452913	0.0190516848	0.0705161011	-0.1120557801	-0.0768934544	-0.1847727484	0.0805972471	-0.0589883857	0.0495648932	-0.011142010400000001	-0.07314603900000001	0.1411522734	0.0405250241	0.0985598316	-0.0752189624	0.08865583710000001	0.0999675381	-0.0619261616	0.0473547324	-0.18024242440000002	0.1214032669	0.1333851364	0.0566977429	0.0830079401	-0.0346316151	-0.0404476976	-0.0008654722999999999	-0.09412964689999999	0.0072912676	0.0574348875	0.1272702657	-0.0389909374	0.07542606980000001	-0.1699842032	-0.09522751	-0.0710821251	0.1051138682	-0.010452789799999999	0.043683771399999995	0.1411207367	-0.0367380166	-0.09432262029999999	0.0113591116	0.0435708759	0.0440610009	-0.0037785913	-0.1169499224	0.0391293554	0.0210164073	-0.0878587698	0.1428649728	-0.1571509872	-0.1638742632	-0.1027146505	-0.0404941478	-0.05293897	-0.1157379886	-0.0011415753999999998	0.053714612599999996	0.0724754853	-0.0943336487	-0.0252016771	0.0055877442000000005	-0.140782399	0.0193147495	-0.0657671744	0.0481316211	0.0314552229	-0.1258296876	-0.0595071474	-0.1548543671	0.008861856500000001	-0.0194994446	0.1075138335	0.0191017856	-0.10014858900000001	-0.0701925105	-0.0625910953	-0.1045837028	-0.1277923243	-0.0647811427	-0.009816495500000001	0.0490586035	0.0774976378	0.08117269049999999	0.0996270376	0.0985109326	0.0966600102	0.0940880769	0.0908143174	-0.0218977	0.0126746	0.00047950926529	0.00016064548516000004	-0.141438	0.15775	0.0248850625	0.020004707844	-0.491373	0.07866400000000008	0.24144742512899994	0.006188024896000011	-0.00424855	-0.0004100000000000002	1.80501771025e-05	1.6810000000000016e-07	0.00226371	-0.00040308000000000016	1.6247348640000008e-07	5.1243829641e-06	0.00154126	0.0	0.0	2.3754823876e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29762.9609375	-77.357421875	885833843.7671508	5984.1707191467285	19851.193359375	-20.068359375	394069877.79129416	402.7390480041504	21372.3515625	-11.115234375	123.54843521118164	456777411.3110962	1.479112	28.908936	0.1184526	0.1138164172	-0.09880869310000001	-0.036674664700000005	-0.1041780446	0.0323532833	0.0717648856	-0.021621245499999997	0.021708835699999998	-0.055949863600000004	0.0006298301	0.0325361192	-0.0248330046	0.08496449449999999	0.0103083594	0.021625039500000002	-0.0566233487	0.0145500612	-0.0044062715	0.0629850403	-0.048487304800000006	0.0409112691	0.12772626609999999	-0.14497197960000002	0.0396013165	-0.1208459583	0.11500579429999999	-0.1889462972	0.0104152272	-0.018610318	0.037768527999999996	-0.0668949435	0.1718121624	0.005774707	0.0211363607	0.21365201739999998	-0.0047902744	-0.008090973000000001	0.11511018810000001	-0.1289121051	-0.0137466499	-0.09616367960000001	0.08278112230000001	-0.1054718779	0.107509655	-0.0362792719	0.0431630877	0.039567916099999996	-0.0641714223	-0.09596055140000001	0.0193150255	0.0392700941	-0.110672474	-0.0829164204	-0.1033875245	-0.1096942806	0.0528975136	0.0343830399	-0.0112838495	0.008365460600000001	-0.0822379313	0.0188513874	0.0551807398	0.0260432766	0.0695270496	0.046463178200000003	0.0252435675	-0.022580015499999998	-0.007202544300000001	-0.10437626369999999	0.0930652692	0.01474875	-0.0489834025	0.0374709062	0.0770492116	-0.0352564102	0.0246179396	-0.0856058972	0.1243676807	-0.2270309866	-0.05760331320000001	-0.1021533895	0.034086622999999996	0.0130792016	0.0398476945	-0.0026545295000000003	-0.0747624487	0.10174052730000001	0.08309059690000001	-0.0857397483	0.0470995417	0.0443979362	0.06982100150000001	0.048449222	-0.11717998589999999	-0.08422968859999999	-0.0395747669	-0.0214022865	0.1377192274	-0.0865013202	0.13096197210000002	-0.07345341030000001	0.14817169970000002	-0.0157182967	0.1252569045	-0.0376961248	-0.0696368022	-0.036169715299999995	-0.1041200226	0.1244627202	-0.012153671599999999	0.1290170155	0.0994792142	0.0979222811	0.0953454172	0.0917754626	0.0872496007	-0.014724100000000004	0.007173599999999997	0.00021679912081000007	5.1460536959999954e-05	-0.184796	-0.043358000000000015	0.0018799161640000008	0.034149561616	-0.491207	0.00016599999999999948	0.24128431684899995	2.7555999999999827e-08	-0.00324543	0.00100312	1.05328158849e-05	1.0062497344000003e-06	0.00206837	-0.00019534	3.8157715600000005e-08	4.2781544569e-06	0.00138462	-0.00015664	2.45360896e-08	1.9171725444000003e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29637.546875	-125.4140625	878384184.7678223	15728.687072753906	19853.873046875	2.6796875	394176274.96142966	7.18072509765625	21363.0703125	-9.28125	86.1416015625	456380773.1768189	1.291957	25.25103	0.14791451999999994	0.0436554144	0.043743003899999994	-0.0832322551	-0.0926382985	0.0459461734	-0.0258000202	0.0420305512	-0.038051982000000005	0.014060905700000001	-0.0528957961	0.0100660165	-0.048826989800000005	-0.0690503667	0.1419718663	0.0101733196	0.05335799	0.0605218014	0.0448406412	-0.1307260826	-0.1620349427	0.053397365599999996	-0.050959126699999996	0.0471356803	0.0110429459	0.033218592799999995	0.010827303	-0.1327289629	-0.1206294627	-0.08643110550000001	-0.0169990655	0.1776984058	0.0131464363	-0.014566539299999999	0.048596143700000004	0.11363203460000001	-0.0019263101000000001	-0.044961153600000005	0.0377391589	-0.0424570187	-0.0008642189	0.016528013799999998	0.2376672148	0.0307925865	0.0494604053	-0.0413735098	0.1258127262	-0.0707512503	-0.0049350165	0.1217938464	0.0815860348	0.0175938494	-0.0319036463	-0.0948105548	-0.1027447636	0.0517263297	0.0442983517	-0.027266682599999998	-0.022988184	-0.11857445259999999	-0.09750947439999999	0.009099712099999999	0.0453802212	0.0230217604	-0.047428692300000005	0.062490222699999994	-0.0162311557	-0.0028735725	-0.09811919720000001	-0.0884199548	-0.0807046825	0.1315452852	-0.1363607558	0.033451908100000004	-0.0878158774	-0.11833009929999999	0.10783362789999999	-0.0947939524	0.0448681645	-0.095636623	0.06675239599999999	0.0576006832	0.0665177979	0.0345756832	0.0102451249	-0.052547590400000004	-0.1710527078	0.053381447900000004	-0.0451383172	-0.015198188100000001	0.0600650974	0.0043759342	-0.0119107233	-0.022788271800000003	0.023868484	-0.052974593	-0.018482012199999998	-0.0756327187	-0.0498975438	-0.0247576941	-0.0622183355	0.0184622224	0.0902068617	0.0547880404	-0.0079669628	-0.0009668828	-0.045429110599999996	0.0225661589	-0.024147135	0.0330865365	-0.21398898370000002	0.0009743508	0.09930684570000001	0.097236992	0.0938191336	0.08910065240000001	0.08314696120000001	-0.00860048	0.006123620000000002	7.396825623040001e-05	3.749872190440002e-05	-0.0946526	0.0901434	0.008125832563560002	0.00895911468676	-0.491289	-8.200000000008201e-05	0.241364881521	6.7240000000134495e-09	-0.00383368	-0.0005882499999999997	1.46971023424e-05	3.460380624999997e-07	0.002	-6.836999999999989e-05	4.674456899999985e-09	4e-06	0.00175931	0.00037469	1.4039259610000002e-07	3.0951716761e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
