name	intensity-avg	volume
Left-wm-bankssts	96.6042	3565.0
Left-wm-caudalanteriorcingulate	104.9894	2507.6
Left-wm-caudalmiddlefrontal	94.9433	5452.9
Left-wm-cuneus	93.6984	3027.1
Left-wm-entorhinal	77.2457	539.5
Left-wm-fusiform	89.6421	6600.0
Left-wm-inferiorparietal	96.9031	10809.2
Left-wm-inferiortemporal	87.5907	7409.2
Left-wm-isthmuscingulate	99.8503	4167.6
Left-wm-lateraloccipital	90.3368	9510.3
Left-wm-lateralorbitofrontal	94.345	6541.2
Left-wm-lingual	90.1551	5485.6
Left-wm-medialorbitofrontal	92.6743	3546.8
Left-wm-middletemporal	86.5297	5620.2
Left-wm-parahippocampal	89.9328	1422.6
Left-wm-paracentral	95.5117	4013.1
Left-wm-parsopercularis	95.3277	3885.7
Left-wm-parsorbitalis	86.2416	893.5
Left-wm-parstriangularis	94.6297	3878.7
Left-wm-pericalcarine	93.1962	4260.9
Left-wm-postcentral	92.5736	7718.9
Left-wm-posteriorcingulate	100.4762	4201.1
Left-wm-precentral	93.7231	14316.1
Left-wm-precuneus	98.37899999999999	9730.8
Left-wm-rostralanteriorcingulate	101.1562	2792.6
Left-wm-rostralmiddlefrontal	95.2267	13709.4
Left-wm-superiorfrontal	94.0358	21840.4
Left-wm-superiorparietal	95.5701	11238.1
Left-wm-superiortemporal	93.7644	8459.5
Left-wm-supramarginal	96.1544	8572.0
Left-wm-frontalpole	92.4067	292.2
Left-wm-temporalpole	77.8491	791.6
Left-wm-transversetemporal	98.1044	731.3
Left-wm-insula	94.2666	12456.1
Right-wm-bankssts	97.2724	2800.4
Right-wm-caudalanteriorcingulate	102.5325	2676.2
Right-wm-caudalmiddlefrontal	93.7917	5700.3
Right-wm-cuneus	93.6152	2960.2
Right-wm-entorhinal	74.1274	640.4
Right-wm-fusiform	88.9586	6491.8
Right-wm-inferiorparietal	96.7799	10975.8
Right-wm-inferiortemporal	86.9432	7691.0
Right-wm-isthmuscingulate	99.2811	3139.6
Right-wm-lateraloccipital	90.2568	8399.7
Right-wm-lateralorbitofrontal	94.2856	7672.1
Right-wm-lingual	88.9883	5953.8
Right-wm-medialorbitofrontal	95.6119	3837.0
Right-wm-middletemporal	86.3965	6392.1
Right-wm-parahippocampal	86.0989	1442.3
Right-wm-paracentral	93.45100000000001	4694.9
Right-wm-parsopercularis	94.8739	3204.0
Right-wm-parsorbitalis	87.177	1564.8
Right-wm-parstriangularis	95.3061	4177.5
Right-wm-pericalcarine	92.0953	4120.4
Right-wm-postcentral	91.9922	7367.0
Right-wm-posteriorcingulate	97.3395	4323.9
Right-wm-precentral	93.7096	13346.1
Right-wm-precuneus	98.5348	10610.1
Right-wm-rostralanteriorcingulate	101.0721	2403.6
Right-wm-rostralmiddlefrontal	93.6759	13729.3
Right-wm-superiorfrontal	93.1484	19941.5
Right-wm-superiorparietal	97.0376	12158.3
Right-wm-superiortemporal	92.2334	7845.7
Right-wm-supramarginal	97.0227	9140.8
Right-wm-frontalpole	87.2349	299.3
Right-wm-temporalpole	76.0365	610.0
Right-wm-transversetemporal	95.6359	578.4
Right-wm-insula	93.7564	11638.1
Left-UnsegmentedWhiteMatter	99.8784	25023.1
Right-UnsegmentedWhiteMatter	99.9719	24504.7
