csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14
32436.42578125	n/a	n/a	1052121717.4625397	23577.740234375	n/a	555909834.5596657	n/a	23704.0390625	n/a	561881467.8765259	n/a	n/a	n/a	n/a	-0.0047741391	0.0224957881	-0.0225203645	0.061782887	-0.1942774202	0.0057830349	-0.1363408231	0.1291795274	0.020816614599999998	-0.10503659480000001	0.1977967139	-0.0512255125	0.0828539114	-0.0558329197	0.0772809984	-0.0549722029	0.0238823982	-0.0906768859	0.1188539441	-0.0013836559	0.0812114826	-0.11247656	0.0385268715	-0.0811269829	0.0481356841	-0.006381823000000001	0.0420297561	-0.0961562533	0.013960181499999998	-0.1306819832	0.0150369228	-0.0888030801	0.0249107114	0.0208459054	-0.0006832581	-0.0026124828	0.0468464196	-0.0105677171	0.021928233199999998	-0.0257922326	0.055500460300000005	-0.187158369	0.0726900417	-0.1762583268	0.0826323026	0.0068139237	-0.1758733439	0.1415479502	-0.0836235287	0.027425989100000003	-0.049302201	0.0692790175	-0.061277138700000004	-0.07631256639999999	0.0708546639	-0.1092366384	0.0597242214	-0.0563174655	0.0996780421	-0.0342131046	0.006074189399999999	-0.0641255417	0.0307898236	-0.10329822150000001	0.0182733626	-0.0743610222	0.032409996499999996	-0.1617247671	-0.0472574492	0.011864854	0.052800739699999995	-0.1153336773	0.0600928621	0.0064709616	0.1217078847	0.1216831682	0.1216419777	0.018372	n/a	n/a	0.000337530384	-0.0237147	n/a	0.0005623869960900001	n/a	-0.101031	n/a	0.010207262961	n/a	0.00323363	n/a	1.04563629769e-05	n/a	-0.00465586	n/a	2.1677032339600005e-05	n/a	0.00103505	n/a	1.0713285025e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32421.119140625	-15.306640625	234.2932472229004	1051128966.3306007	23595.55078125	17.810546875	556750016.6705475	317.21557998657227	23681.099609375	-22.939453125	560794478.7091408	526.2185096740724	0.8726389999999999	20.073809	0.05844615	0.0239048794	-0.0415776969	-0.0157226463	0.09585101859999999	-0.2576518772	-0.006663390799999999	-0.041630385299999996	0.0588120589	-0.0657630741	-0.0295961982	0.0258630429	-0.0331301262	0.1738473516	0.0579115108	0.11237937070000001	-0.08552910710000003	-0.0543995631	0.0046231466	0.1755834592	-0.09536505560000001	-0.11962724109999999	0.0800320095	-0.0562718186	0.041194188900000005	0.0229222895	0.1108312237	-0.1338647833	-0.1118810351	-0.0389952005	0.0131760788	-0.0495827509	-0.0782994291	0.0744994887	-0.0670396305	0.0241203104	0.052372656600000005	-0.0111038733	0.025916110200000002	0.10599700640000001	-0.0246631837	0.0839795317	-0.2491951641	0.036127838100000004	-0.0671557121	0.0483050233	-0.078866953	-0.0404149813	0.057424535199999995	-0.0326798776	-0.0978559245	-0.1503941188	-0.12311651539999999	-0.09650890820000001	0.027876628900000002	0.10199006869999999	-0.10985152349999999	-0.0635021058	0.1545317259	-0.0297702187	-0.0027204956	-0.0817644193	-0.06846244480000001	0.0934524725	0.15902359859999998	-0.0594211375	-0.10696756980000001	-0.023375349	0.023859247200000003	-0.12607559710000002	0.0550995184	0.0472933849	0.027790985	0.0723723545	-0.036821260099999996	0.1216419777	0.12141962949999999	0.12104935019999999	0.0265272	0.008155200000000001	6.650728704000002e-05	0.00070369233984	-0.0476861	-0.023971400000000004	0.00227396413321	0.0005746280179600001	-0.0968819	0.004149100000000003	0.009386102547610001	1.7215030810000022e-05	0.00317096	-6.266999999999991e-05	1.00549873216e-05	3.9275288999999885e-09	-0.00439399	0.00026187	1.9307148120100007e-05	6.857589689999999e-08	0.000916181	-0.00011886899999999995	8.393876247610002e-07	1.4129839160999989e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32508.5859375	87.466796875	7650.44055557251	1056808159.6558226	23573.90234375	-21.6484375	555728871.7126617	468.6548461914063	23720.50390625	39.404296875	562662305.5664215	1552.6986122131348	1.072562	24.672747	0.03240170000000005	0.0320494496	-0.0447371002	-0.0123747786	0.030475158	-0.1649264192	-0.0287898697	-0.209004205	0.08705839130000001	-0.007164067099999998	0.0508635928	0.060966847699999986	-0.043994226799999994	0.098038247	-0.0953165416	0.1768636805	-0.0291535086	-0.11634976109999999	0.0424810204	-0.0046647765	-0.0139131469	0.0094358939	-0.0358731752	-0.0514591095	-0.09580852640000001	0.012573499699999999	0.04855859269999999	0.19748822289999998	0.025603247000000003	-0.0013982292999999999	-0.0119557477	-0.1020642549	0.17429285739999995	-0.0849010017	-0.0714212323	0.0213421096	0.0082369968	-0.0443294003	0.0786030514	0.11103489550000001	-0.022478217400000004	0.0253407119	-0.14348779960000002	0.0685811895	-0.2334995619	0.015772724199999998	0.0046571148	-0.0973646825	0.0660955872	0.0390044055	0.0845760017	-0.1191609283	-0.057681302699999985	-0.1666058024	0.0567033858	0.006384311899999999	0.053603874800000006	0.018503304499999998	0.055496482	0.0133103618	-0.061996267599999995	0.062363421100000004	0.0958405916	0.0845370373	-0.1187155539	0.034030162200000005	0.0339895098	-0.1607543625	0.1056559038	0.0792689657	-0.0554299128	0.1721656135	-0.1021143147	0.0109167993	0.040429327200000004	0.1215101995	0.120893123	0.1198669825	0.0265701	4.289999999999503e-05	1.8404099999995726e-09	0.0007059702140099997	-0.047693300000000015	-7.200000000005812e-06	0.0022746508648900012	5.1840000000083706e-11	-0.0947218	0.0021600999999999843	0.008972219395240002	4.666032009999932e-06	0.00304788	-0.0001230799999999998	9.2895724944e-06	1.5148686399999952e-08	-0.00400211	0.0003918800000000007	1.60168844521e-05	1.5356993440000055e-07	0.0008273109999999997	-8.887000000000033e-05	6.844434907209996e-07	7.897876900000059e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32564.8515625	56.265625	3165.820556640625	1060469557.2876588	23592.205078125	18.302734375	556592140.448307	334.99008560180664	23740.728515625	20.224609375	563622190.45261	409.0348243713379	0.907312	20.871408	0.13353855	-0.0040957939	0.0161147395	-0.0262052019	0.0098672552	-0.1475050298	-0.0366162215	-0.0410169518	0.0783779501	0.0452417991	0.0169691329	0.08626240369999999	0.0367990814	-0.0348521898	-0.060614195999999995	0.1775220041	-0.1282482436	-0.04670018769999999	-0.050645243799999996	0.0262661103	0.0011873061	0.0185485718	-0.227459178	0.021026625299999997	0.0626703572	-0.020684478	0.0107528925	0.03555399	-0.0649088523	0.1334235911	0.0756659121	0.040856875699999996	-0.1376358039	-0.0228319613	0.10856645949999999	-0.0063475044	-0.0327804723	1.18493e-05	-0.0279984094	0.0354431309	-0.0313034596	0.0067474876	-0.14428099119999999	-0.0013036061	-0.0832662033	0.0638435703	0.044478749000000005	-0.0539196779	-0.0078000875	0.0219462141	0.0867375673	-0.1299367223	0.0185422745	-0.1638453415	-0.10112268320000001	-0.093739176	0.0043571729	-0.0403900993	0.008288446	0.2201943884	0.0437381747	0.1383939449	-0.1095088171	0.0289028686	-0.038857428199999995	0.0536989729	-0.0033559802000000002	0.0878140712	-0.0027239884000000002	-0.09045688019999999	0.0636421468	-0.0817825549	-0.0774436508	0.06321646759999999	-0.0869323174	0.1213126213	0.12010478890000001	0.1181006348	0.0189192	-0.007650899999999995	5.8536270809999917e-05	0.00035793612863999996	0.0280402	0.07573350000000001	0.0007862528160399999	0.00573556302225	-0.07335229999999998	0.021369500000000027	0.0053805599152899975	0.00045665553025000117	0.00303215	-1.5730000000000258e-05	9.1939336225e-06	2.474329000000081e-10	-0.00360749	0.0003946199999999996	1.30139841001e-05	1.5572494439999972e-07	0.0006619680000000001	-0.00016534299999999963	4.382016330240001e-07	2.7338307648999882e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32523.212890625	-41.638671875	1733.778995513916	1057759376.7289162	23620.10546875	27.900390625	557909382.3548738	778.4317970275879	23737.125	-3.603515625	563451103.265625	12.98532485961914	0.797908	18.354733	0.1072328	-0.0059951944999999994	0.0183942334	-0.0134342094	-0.0059387922	-0.17483909	-0.06536260990000001	0.09570534189999999	0.0684160134	0.0286836834	-0.0245113908	0.08457188310000001	-0.0154804393	-0.0347099785	0.021973125899999998	-0.021468811	-0.13433960650000001	-0.031907652200000004	0.1121809391	0.09698727369999999	0.0043956602	0.029388500699999997	0.0062080085	0.10982172949999999	-0.059339900099999995	-0.0034311674	0.0103573363	-0.028989346699999998	-0.229980061	-0.011149988000000001	0.0733623647	-0.0716584972	-0.0163494818	0.13137304130000002	-0.0943945434	-0.0054702996999999995	-0.0137449423	-0.009400693199999999	-0.0542474904	0.0543680822	-0.0193934073	-0.011150630600000001	-0.18941099390000002	-0.0781731403	0.0392977769	0.110729776	0.0029808515000000002	-0.050542448399999995	0.0471261116	0.042085794	-0.052679061299999996	-0.022174014199999998	0.0771316656	-0.04212679440000002	-0.1417981738	0.11278259560000001	0.0683873014	0.0552048255	0.0138941352	-0.0333118596	0.0122169172	0.0986685721	-0.025008438799999998	0.1053227297	0.0020524611	0.0764472595	-0.1459563506	-0.0108049326	-0.0189441854	-0.1346680908	-0.0503946068	-0.034674382000000004	0.0679504613	-0.09481254050000001	0.022835812900000002	0.12104935019999999	0.11905633460000001	0.11575891279999999	0.020873	0.0019537999999999986	3.8173344399999935e-06	0.000435682129	-0.022246	-0.050286199999999996	0.0004948845160000001	0.0025287019104400003	-0.0586032	0.014749099999999987	0.00343433505024	0.00021753595080999962	0.00242674	-0.0006054099999999997	5.889067027600002e-06	3.665212680999998e-07	-0.00376875	-0.00016125999999999988	1.42034765625e-05	2.6004787599999962e-08	0.0006237640000000001	-3.820400000000001e-05	3.890815276960001e-07	1.4595456160000014e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32408.865234375	-114.34765625	13075.386489868164	1050334545.7798805	23581.658203125	-38.447265625	556094603.6090126	1478.1922340393066	23724.64453125	-12.48046875	562858758.1341705	155.76210021972656	0.924802	21.273752	0.1114855	0.023020576	-0.0587833588	-0.012800511100000002	0.08545044689999999	-0.2295390487	0.021111040499999997	-0.09874558539999999	0.0381041899	-0.0038001864000000002	0.044932987300000005	0.0214952648	-0.051455543799999996	0.09479288599999999	0.0963797291	0.0979116561	-0.1159353153	0.0672845991	0.17288451600000002	0.0148284135	-0.0800209979	0.0434700368	0.0132552211	-0.062013602599999995	0.0054831487	0.014791093	-0.061651200999999996	0.0371099214	0.0817037668	0.0268239838	0.0344877997	0.10953010710000001	0.18250715	-0.0310595373	0.06015597230000001	0.026922165499999998	0.0717783256	-0.0330997249	0.0030361588	0.17859256199999998	-0.0239009817	0.07750504679999999	-0.2148239364	0.071935848	-0.09845823949999999	0.014697282800000001	0.013287199	-0.04734814389999999	0.0206480416	0.0694632227	-0.0680634336	-0.1939541108	-0.0804942287	0.044222098700000004	0.0056475696	0.0927432728	0.10549081939999999	0.044060928	0.0825541183	0.0211769573	-0.0343636471	-0.0195435641	0.001120098	-0.0823889317	-0.0298122158	0.0794393132	0.0342847127	-0.0048977499	0.0937764134	0.1606756983	-0.0774913108	-0.0668233808	0.08294832690000001	-0.0845134011	-0.0187906187	0.1207205288	0.11775003070000001	0.11285322490000001	0.0266378	0.0057648000000000005	3.3232919039999996e-05	0.00070957238884	0.0250772	0.047323199999999996	0.0006288659598400001	0.0022394852582400004	-0.0759086	-0.017305400000000012	0.005762115553960001	0.00029947686916000045	0.00282505	0.0003983099999999998	7.9809075025e-06	1.5865085609999983e-07	-0.00344562	0.00032313000000000003	1.18722971844e-05	1.0441299690000003e-07	0.000724166	0.00010040199999999998	5.24416395556e-07	1.0080561603999996e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32760.740234375	351.875	123816.015625	1073266100.7041967	23610.279296875	28.62109375	557445288.4764441	819.1670074462891	23787.99609375	63.3515625	565868758.1562653	4013.4204711914062	1.580404	36.354935	0.41787317	-0.1472524307	0.2124592246	-0.1132258442	-0.1249104633	0.0164351389	-0.0356348632	0.0666987743	0.13473608480000002	0.3219467032	0.1103653478	-0.015458201699999997	0.0314894691	-0.0151700417	0.1616684554	0.162912787	-0.0486293737	-0.140437159	-0.1819467073	-0.1995787499	-0.0505846817	0.109035721	-0.0125225332	-0.068254758	-0.1564022408	0.0178439379	-0.0789187889	-0.1273647806	0.1124563041	-0.0433581277	-0.07215130360000001	-0.2132122796	0.0595473396	-0.0789451057	-0.08021958559999999	-0.1337024848	-0.2606733329	-0.0158006009	0.025780893399999998	-0.025082216600000002	-0.10667386570000001	-0.1039119406	0.012620745800000001	-0.0672597977	0.0064304278	0.135957298	0.34274531490000004	0.0230823896	-0.08599189199999999	0.113345351	-0.1485863497	-0.122916596	0.0530674328	-0.1198754378	0.06697438230000001	-0.2075437373	-0.0659440638	0.1572122475	-0.0699732776	-0.0170332456	-0.1543603285	0.0352919504	-0.0538846004	-0.035375394	0.1341255303	-0.1066763644	0.12309440560000001	-0.16497466619999998	-0.0853087785	0.0734704649	0.057929105	0.0175662558	0.1467603652	-0.2040820053	0.0568364098	0.120326335	0.1161887065	0.1093977275	0.00943868	-0.01719912	0.00029580972877439994	8.90886801424e-05	0.07557759999999998	0.05050039999999998	0.005711973621759997	0.0025502904001599978	0.142395	0.21830360000000001	0.020276336025	0.047656461772959985	0.00493398	0.00210893	2.43441586404e-05	4.447585744900002e-06	-0.00337491	7.070999999999987e-05	1.13900175081e-05	4.999904099999982e-09	0.000266405	-0.0004577610000000001	7.0971624025e-08	2.0954513312100003e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32766.537109375	5.796875	33.603759765625	1073645954.140049	23592.787109375	-17.4921875	556619603.5882912	305.97662353515625	23830.380859375	42.384765625	567887051.9028664	1796.4683570861816	1.238901	28.499147	0.22397747	-0.0955249886	0.1308966527	-0.08390077779999999	-0.1237731678	0.057506851799999995	0.0208818308	-0.0616257614	-0.0048888155	0.2040008687	-0.10495682710000001	-0.0317938654	0.05168889559999999	-0.0758835376	0.0124890894	-0.028187910899999998	0.0049738331	-0.06017235570000001	-0.0349182944	-0.0328881365	-0.16228192060000002	-0.0657463826	0.09394761369999999	0.1469443038	0.08893632359999999	0.1471089264	-0.0319967254	-0.0341160982	0.18431780109999998	-0.0570409197	0.0426365032	0.18892798649999998	-0.013310478799999999	0.18815832329999999	-0.054943938399999996	-0.0960250369	-0.1027292234	-0.0162124075	-0.1590619096	0.0159746623	-0.08042446269999999	-0.1193828932	0.0749812154	0.0322205703	-0.0588704346	-0.011465708600000001	0.18487738410000001	0.08982788679999999	-0.013501343	-0.0906643142	-0.0734022718	0.0440558044	0.0765747722	0.0131282655	0.080185286	0.0334451091	-0.0522254049	-0.0002133298	0.1439487294	-0.08536196089999999	0.073774255	0.0802028776	-0.0386519837	-0.1042148859	-0.0106862685	-0.0578991253	0.09411564039999999	0.21974330120000002	0.08857729689999999	-0.031457821600000005	-0.1319300518	0.0750674193	0.1736454101	0.05840782	-0.16136771589999999	0.1198669825	0.1143757435	0.10540925529999999	0.0175045	0.00806582	6.505745227239999e-05	0.00030640752024999995	0.0202135	-0.05536409999999999	0.00040858558225	0.003065183568809998	0.134765	-0.007629999999999999	0.018161605225	5.8216899999999974e-05	0.00300071	-0.00193327	9.004260504100003e-06	3.7375328929e-06	-0.00224983	0.00112508	5.0617350289e-06	1.2658050064000005e-06	0.00026640400000000003	-9.999999999615353e-10	7.097109121600001e-08	9.999999999230703e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32626.88671875	-139.650390625	19502.231601715088	1064513736.9581453	23591.0078125	-1.779296875	556535649.609436	3.1658973693847656	23772.2578125	-58.123046875	565120241.5039673	3378.2885780334473	1.016392	23.38064	0.12294250000000002	-0.08756115710000001	0.11298154519999999	-0.059676990599999986	-0.1512063218	0.055600798300000004	0.010937011799999998	0.0028055096999999997	-0.05481211440000002	0.03909842	0.0411641066	-0.09174398439999999	-0.0059990074	0.0815374631	0.0015654813	-0.0651899162	0.045358353399999995	0.096944503	0.005060198	-0.0403636209	-0.1059171757	-0.0043363598	-0.0152285905	0.0773934542	0.0257369579	-0.0580444363	-0.0254431228	0.1480312117	0.0970027522	-0.014527095700000001	-0.0409703025	0.1493628288	0.0784939749	0.0811180983	-0.09477402609999999	-0.0822176819	-0.0865354125	-0.0466997034	-0.047845639599999996	0.1085047	-0.0548330192	-0.1465412898	0.0629608793	0.0032586019	0.035291802000000004	-0.037412038599999996	0.0598055288	0.0528941255	-0.0099115184	-0.0178619802	0.047444847699999994	0.0343242639	-0.1022616376	0.1146429735	0.025477481099999998	-0.0418242251	-0.0622590917	0.0201856379	0.0618776406	0.0396725419	0.0406961332	0.0036912565	0.12555655570000002	-0.046578399400000005	-0.1171138977	0.045325594000000004	0.0600674995	0.0400421211	0.0359677024	0.001672021	-0.11119438220000001	0.17196014440000001	0.1247405381	-0.030695168	0.123099101	0.11934271980000001	0.112315068	0.1009072399	0.0265409	0.009036399999999998	8.165652496e-05	0.00070441937281	0.0202291	1.5600000000001033e-05	0.00040921648681	2.4336000000003213e-10	0.15837	0.02360500000000001	0.0250810569	0.0005571960250000007	0.00148149	-0.0015192200000000002	2.1948126201e-06	2.3080294084000004e-06	-0.00196334	0.00028648999999999987	3.8547039556e-06	8.207652009999995e-08	0.00026640400000000003	0.0	7.097109121600001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32528.193359375	-98.693359375	9740.3791847229	1058083363.2248877	23588.779296875	-2.228515625	556430508.7166786	4.9662818908691415	23732.68359375	-39.57421875	563240270.5610504	1566.1187896728516	1.001411	23.036022	0.1838361	-0.1138919103	0.1322126741	-0.0901519094	-0.19785917329999997	0.1063807901	0.0656068503	0.055896883200000004	-0.0437457923	0.06005332150000001	0.140690641	-0.0395146566	-0.0154792959	-0.0972170894	-0.049181036	0.0264328581	-0.0077221285	-0.0464503539	-0.0757928108	0.0303333172	-0.032056289	-0.06410377589999999	0.0593088945	-0.0450221107	-0.0013494686	-0.0189586146	0.09906498820000001	-0.0117266131	-0.0091197606	-0.057140331399999994	-0.1172483818	0.11443388869999999	0.1398593889	-0.0647171705	-0.0805196829	-0.1114794519	-0.1513966392	0.0562826461	0.0613831275	0.0704581475	-0.084484448	-0.1943251554	0.11306261460000001	0.0316089313	0.1087426693	-0.0277048635	0.0979050268	0.0270311643	-0.041879358	0.1002966686	0.061522754900000004	0.038199949500000004	-0.022290522599999998	-0.0951672158	0.0008484256	-0.0168552342	-0.0869551608	-0.053838910700000006	0.09126974980000001	-0.0563813959	-0.021840246400000003	-0.0756415037	-5.15494e-05	0.0880497366	0.03369086	-0.045251150999999996	0.0753966554	0.05859463	-0.0018850589	0.0042334388	-0.08446533640000001	0.10060389410000001	-0.199245802	-0.0740214471	0.0458245938	0.11875383099999999	0.1100111431	0.0959136145	0.0195724	-0.006968499999999999	4.8559992249999986e-05	0.00038307884176	0.0600224	0.0397933	0.003602688501760001	0.0015835067248900006	0.232108	0.07373799999999997	0.05387412366399999	0.005437292643999996	0.000874262	-0.000607228	7.64334044644e-07	3.6872584398400003e-07	-0.00179162	0.00017172	3.2099022244000007e-06	2.9487758399999995e-08	-0.000221374	-0.000487778	4.9006447876000014e-08	2.37927377284e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
