csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23
34294.4765625	n/a	1176111122.6958618	n/a	21488.23046875	n/a	n/a	461744048.67811584	21817.23828125	n/a	n/a	475991886.22084045	n/a	n/a	n/a	-0.0195189012	0.09297227970000001	-0.0927536732	0.0201129457	-0.2041482637	0.012496203300000001	-0.064419696	0.1391519213	-0.0513040677	0.1887412395	-0.1420112476	0.1350694784	-0.0053671990000000004	0.2140606736	0.003305048	-0.0175338913	0.10056498929999999	-0.065213893	0.0100809837	-0.038788601	0.0761264891	-0.0279804796	0.041597549500000004	-0.1678306211	0.0235380787	-0.058730027699999986	0.0690877905	-0.1240058493	-0.13323726560000002	0.0528817026	-0.2161225105	0.16363904810000002	-0.10044455	-0.043965943099999995	0.1266624009	0.0159454056	-0.0877223523	-0.10798256210000001	-0.013773669799999999	0.0671731607	0.06589962099999999	0.0186415267	-0.10215226990000001	0.08414290880000001	0.1149048923	0.0416909062	0.1774654239	-0.21409481579999998	0.1063440023	-0.11054643970000001	0.1204281727	-0.043663377999999996	0.0033504879	-0.1811669146	0.020676154199999998	0.013118699499999999	-0.054116156799999995	0.022266873	-0.3553068453	0.1674787026	-0.0181095454	0.22432122440000002	-0.013023986000000001	0.015584703899999997	-0.1746357022	0.01555117	-0.1760951032	0.1569673225	-0.032275854300000004	0.1167616065	-0.0601389416	0.0028419875	-0.04541005309999999	0.0373625612	-0.066874586	0.0472696013	-0.004694794699999999	0.048920993200000006	-0.132458837	0.0281381515	-0.0869614203	0.1093762552	-0.0382521425	0.041327223999999996	0.0868391202	-0.0366381115	-0.047772145700000004	0.08447750679999999	0.07092733030000001	-0.1104934023	-0.1827050712	0.1892318918	0.0664993087	-0.23292651530000005	-0.0546637851	0.12361106279999999	0.042996658099999994	0.11164358070000001	-0.1115229593	-0.1745518016	0.050375971900000004	0.0194436263	0.0764034393	-0.015499443100000001	0.1217078847	0.1216831682	0.1216419777	-0.0474724	n/a	n/a	0.0022536287617600003	0.0846207	n/a	0.007160662868489999	n/a	0.07021849999999999	n/a	n/a	0.0049306377422499974	9.25738e-05	n/a	8.56990844644e-09	n/a	-0.00017931900000000002	n/a	n/a	3.2155303761000016e-08	-0.00145521	n/a	2.1176361441e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34391.1953125	96.71875	1182754315.022522	9354.5166015625	21562.826171875	74.595703125	5564.518924713135	464955472.5184975	21820.525390625	3.287109375	10.80508804321289	476135328.32291037	1.814777	32.49287	0.28199986	0.061388244	-0.0036146923999999998	-0.249873281	-0.39403350530000003	-0.0728535952	-0.07406482	-0.036186145	0.2479098932	-0.205040671	-0.22813912309999998	-0.1003942939	0.163345763	0.09113340130000001	0.08909393800000001	-0.0328661225	-0.0248030529	-0.0573877763	-0.1508584071	0.032571875699999996	0.0085708403	-0.010497716200000002	-0.005021294	-0.1297183183	0.18007168059999998	-0.0033260518	-0.0070158734	-0.2741622234	-0.027325608300000002	0.1989384124	0.08799330050000001	0.0341023915	-0.09325969740000001	0.0864432472	-0.0761267771	0.1300301727	0.10799043130000001	0.0538642622	0.0472927974	-0.279866933	0.0039490687	-0.044084593	-0.0018266213	-0.061409274699999995	0.11655466169999999	-0.1058301334	-0.0795223158	-0.1840431025	0.00113725	0.0022086344	-0.10506490519999999	0.12410543210000001	-0.2885680942	-0.3008273892	-0.0810283852	-0.2652309531	-0.1907410198	0.1839895336	-0.0108749323	-0.0631142646	0.0370505026	-0.0445530541	0.054685666200000004	0.3130374669	-0.0011105436999999999	-0.1397652198	-0.16901846850000002	-0.1415255534	0.0447638917	-0.068856213	-0.0740818392	-0.0380318505	0.045233351500000005	0.1389852369	-0.0310220031	-0.0107716906	0.0464923317	0.1314970617	0.0198767055	0.1263903999	0.08663225349999999	-0.051531800700000005	-0.058136590999999994	0.1156650684	-0.1087632473	-0.0691144863	-0.0438302909	0.1422703393	0.1428304974	0.0901352337	-0.0662333343	-0.077517102	-0.047654331200000004	-0.0969591594	0.1270536789	-0.0209936288	-0.0288549385	-0.1183771057	-0.20107980949999998	-0.1600608188	0.07299737690000001	0.0584269988	-0.1576052785	0.0058408784	0.0679487931	0.1216419777	0.12141962949999999	0.12104935019999999	-0.0537007	-0.006228299999999999	3.8791720889999986e-05	0.00288376518049	0.0527137	-0.031907	0.00277873416769	0.0010180566489999998	0.06517519999999999	-0.0050433000000000006	2.543487489000001e-05	0.0042478066950399984	0.00286438	0.0027718062	8.2046727844e-06	7.68290961035844e-06	0.00148383	0.0016631489999999998	2.7660645962009996e-06	2.2017514689e-06	-0.0011137400000000002	0.0003414699999999997	1.2404167876000005e-06	1.1660176089999983e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34121.4375	-269.7578125	1164272497.0664062	72769.27740478517	21501.791015625	-61.03515625	3725.290298461914	462327016.879612	21736.853515625	-83.671875	7000.982666015625	472490800.75973886	1.588782	28.446507	0.14867950000000002	0.031734984	0.0519652836	0.0400265752	-0.2017003562	-0.0928974634	-0.2150652752	-0.1746202827	0.06642898009999999	0.1043575758	-0.040870599999999986	-0.1128800774	0.0282479229	-0.1127825141	-0.033959167400000004	-0.020364687	-0.1671641007	0.0001348307	-0.0889306413	-0.22266773399999998	-0.0922552344	0.030857845099999996	-0.0096484302	-0.130196952	0.19807162350000002	0.0204081669	-0.0683680443	0.0565275954	0.0670271036	-0.08969940050000001	-0.0414285394	0.0247015734	0.0075950290000000005	-0.0721320243	-0.1286500308	0.0027508118	-0.12041169460000001	0.125317095	0.0142763981	-0.0803246901	-0.0785637415	0.0508379655	-0.025929689500000002	0.0683302545	0.0801139763	-0.1651751075	-0.0550728416	0.11763638480000001	-0.0769325167	0.1232542601	-0.0458423223	0.0077400254	0.0442090801	-0.17225925739999998	-0.2120727678	0.0742537689	-0.0864297663	0.2728538236	-0.10567877349999999	0.035780917999999995	0.0866656587	-0.2672147984	0.0605760708	0.0257893754	-0.1538185199	-0.030098595899999997	0.0324120906	0.0055864217	0.0664189198	0.1606672639	0.1096513508	0.12548924849999998	0.0060050871	0.0462973508	0.0322377952	0.0565657711	-0.16691212460000002	0.0346486391	0.0110063034	0.0625529121	0.0390748022	0.1423988762	-0.06085470000000001	-0.0261754881	-0.0708396093	-0.0603171974	0.0350310576	-0.1617360368	0.0020650846	0.05764570240000001	-0.0644668283	-0.0943255334	-0.0363513852	0.1489177075	-0.0431120467	-0.1558478986	-0.1018843806	-0.052133089400000006	-0.0591918691	-0.0678708419	-0.0134375147	-0.1052898726	-0.0045838624	0.047209078700000004	0.0044369106	0.1215101995	0.120893123	0.1198669825	-0.0356971	0.018003599999999998	0.0003241296129599998	0.00127428294841	0.13426900000000005	0.08155530000000005	0.018028164361000014	0.0066512669580900095	0.0699893	0.004814100000000016	2.317555881000015e-05	0.004898502114490001	0.00374879	0.00088441	1.40534264641e-05	7.821810480999998e-07	0.00148383	0.0	0.0	2.2017514689e-06	-0.00111202	1.7200000000001938e-06	1.2365884804e-06	2.958400000000666e-12	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34213.3515625	91.9140625	1170553425.1392212	8448.194885253906	21533.751953125	31.9609375	1021.5015258789062	463702473.1787148	21712.2265625	-24.626953125	606.4868202209473	471420782.30133057	1.3396629999999998	23.986139	0.1075595	-0.0684175222	-0.1084304274	-0.0376860387	-0.30634444980000003	0.0406988348	-0.26857254070000003	-0.1396803332	0.17422912129999998	-0.0602168287	-0.13544473529999998	-0.030839897400000007	-0.0631673032	0.08345485009999999	-0.0717525574	0.039723317200000004	-0.10653674119999999	0.0127544675	0.0241995597	-0.0038337199	0.0093201682	0.0676805749	-0.021919298599999998	0.156778114	0.0290918136	-0.13728224279999998	0.11861830400000001	-0.1143718519	-0.0195608008	0.0248640248	0.0761231015	-0.0375080543	-0.06075380320000001	-0.18973238920000002	0.1251683542	-0.1994786155	-0.0090458109	0.022003353399999998	0.0906734078	0.1012251082	-0.012429983300000001	-0.0264596663	0.0736239329	0.1167683128	0.1255466755	-0.032214489900000004	0.127711229	0.0135603371	0.0603813717	-0.1649406821	0.1034971132	0.019902633200000002	-0.08783359339999999	-0.2789673324	-0.18090423760000002	0.0275839218	0.1017699604	-0.0175820563	-0.009820133100000001	-0.197002447	-0.0008220063	-0.2908351578	-0.0463624396	0.19354970600000002	0.0617997734	-0.029928265099999997	-0.0365049593	0.0425509645	-0.0747470917	-0.0289281252	0.0691740207	0.1172682142	-0.049115810700000005	0.0295534414	-0.0829332059	0.1547607484	0.0167470015	0.0319523944	-0.1803539623	0.0566738772	0.013711763200000001	0.0496258766	-0.0526668275	-0.0526648445	0.038427956	0.1428625281	0.012762313999999999	-0.07478975730000001	0.0879288634	0.1164350992	0.0174199723	0.0131493069	-0.18380606239999997	-0.23964561280000002	-0.0279850234	0.1399330891	-0.0469366443	-0.021757036299999997	0.0526295582	0.1140424102	0.1808432505	0.0699303362	0.0964842699	0.1800198698	-0.1122358207	0.1213126213	0.12010478890000001	0.1181006348	-0.0307349	0.004962200000000003	2.4623428840000035e-05	0.00094463407801	0.109222	-0.025047000000000052	0.011929445284	0.0006273522090000027	0.0985266	0.028537299999999998	0.0008143774912900001	0.009707490907559999	0.00447685	0.00072806	2.00421859225e-05	5.300713636e-07	0.00125747	-0.0002263600000000001	5.1238849600000044e-08	1.5812308008999995e-06	-0.00108618	2.5840000000000064e-05	1.1797869923999998e-06	6.677056000000032e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33904.65625	-308.6953125	1149525715.430664	95292.79595947266	21496.267578125	-37.484375	1405.078369140625	462089519.79034805	21686.298828125	-25.927734375	672.2474098205566	470295556.86273575	1.514523	27.116926	0.16397987	0.1526610004	-0.0001684299	0.0250182333	-0.0071384775	0.0386831465	-0.14527059	-0.3216097928	-0.052997375199999995	0.11144568099999999	-0.0426176107	-0.0184005033	-0.10947504970000001	0.14405082689999998	-0.0806744175	0.133175439	0.0184758777	-0.025484766000000002	-0.080233153	0.0361899812	-0.0319600685	-0.07070877889999999	0.0715909379	-0.056259537000000005	-0.0013401943	0.1143487074	0.0062248107	0.2327200881	-0.055370271900000004	0.031610413399999995	-0.0651729122	0.1310502144	0.14989081640000002	-0.0457077724	0.0328147342	-0.1135678525	0.0671159995	-0.1687771532	0.0688192728	0.1006704569	-0.0047223183	0.0368422581	-0.1283146241	-0.11530545699999999	0.0095535821	0.0740954781	-0.054267325400000004	0.0810669966	-0.044113301699999996	-0.0056947511	-0.054860559100000005	-0.1640216592	0.1128400883	-0.047029357800000005	-0.2837456984	0.2631491812	0.0689638874	-0.1163806148	0.0674054258	0.0688591736	-0.0531181644	-0.30600591	0.0610868006	0.047281784699999996	-0.0219566333	0.1045187604	-0.007301653000000002	-0.026820922200000003	-0.13727312220000001	-0.10674612900000001	0.0187276899	-0.0059766156	-0.0116710749	0.1113104314	0.1534348205	-0.016592400400000002	-0.0144692239	-0.0752146897	0.039685971699999996	-0.0064222836	-0.0820123101	0.14880655210000002	-0.0761238864	-0.10890218300000001	0.08373838530000001	0.0287183461	0.0737083935	0.1514070357	-0.0982455634	0.09639792550000001	0.045024233600000005	-0.0287942442	0.17684761710000002	-0.037902474500000005	0.048665196200000004	0.0371476985	-0.0669241659	0.18567607460000002	0.1270737773	-0.0467183604	-0.1397423116	0.0137102309	0.0357960357	-0.0927562694	-0.037305301400000004	0.12104935019999999	0.11905633460000001	0.11575891279999999	-0.00487253	0.02586237	0.0006688621820168999	2.37415486009e-05	0.12526900000000002	0.01604700000000002	0.015692322361000006	0.00025750620900000064	0.03414	-0.06438660000000003	0.004145634259560002	0.0011655395999999995	0.00388158	-0.0005952700000000003	1.50666632964e-05	3.5434637290000026e-07	0.000936253	-0.00032121699999999984	1.0318036108899991e-07	8.765696800090002e-07	-0.0008489889999999998	0.0002371910000000002	7.207823221209995e-07	5.6259570481000104e-08	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34113.91796875	209.26171875	1163759399.178604	43790.4669342041	21513.134765625	16.8671875	284.50201416015625	462814967.44394296	21746.533203125	60.234375	3628.179931640625	472911706.3546182	1.4211790000000002	25.44565	0.13705979	-0.058143700300000004	-0.0021594265	-0.1012246192	-0.0894109768	-0.0534183242	-0.2167941245	-0.07697458809999999	0.0704784616	-0.0433521507	0.050405410899999996	0.1053125275	0.0899696275	-0.1510721537	-0.0384138593	0.1612127122	0.0032422390999999997	-0.1366993217	0.013032714099999999	0.0566541472	0.08760504599999999	-0.1294494666	0.1567660095	0.0231771223	-0.1518055701	0.1262982519	0.0159214675	0.0311423755	0.0612977873	-0.0711756446	-0.024122344700000003	-0.0581117379	0.038947140400000003	0.13584735050000002	0.0019365154000000001	0.0326296762	0.10165152279999999	-0.0302048877	0.051224419699999996	-0.0584156281	-0.10144323300000001	0.1030036958	-0.0655552068	0.0376531087	-0.0522045765	-0.0529068841	0.0384924685	-0.0758094597	0.087218671	-0.046040879800000004	0.0119531357	0.0579509847	-0.1095888177	-0.0302504556	-0.1341824914	-0.044890129699999996	0.1354519355	-0.0793309257	0.0319474133	0.1478844963	0.0844016513	-0.2165752814	-0.08878935019999999	0.0183760985	0.0052332052	-0.0763938585	0.07026117700000001	0.0194650248	0.0270206185	0.0540034537	-0.1859672916	0.059474295	-0.0322877113	0.075155556	0.1341292576	-0.0529350937	0.019080389099999998	0.19687816940000002	0.058381133499999995	-0.19191712579999998	0.050687523600000006	-0.0591887422	0.0624348616	0.0764299153	0.1159718596	0.1226170992	-0.010534534299999999	-0.0297761271	-0.08912849449999999	0.0159196619	-0.0112118007	0.1053761342	-0.0432144808	0.044141402	0.0369436986	0.0354174404	0.06604526320000001	-0.0342070631	-0.0359873599	-0.0152666618	0.1338938982	-0.0807667546	-0.0844174089	-0.1863321499	0.10807089130000001	0.1207205288	0.11775003070000001	0.11285322490000001	0.00565236	0.01052489	0.0001107733095121	3.194917356960001e-05	0.0563268	-0.06894220000000001	0.0031727083982399998	0.004753026940840001	0.0058822	-0.0282578	0.0007985032608399997	3.4600276839999994e-05	0.00401068	0.00012910000000000005	1.60855540624e-05	1.6666810000000012e-08	0.0007966759999999999	-0.00013957700000000019	1.948173892900006e-08	6.346926489759997e-07	-0.00116701	-0.00031802100000000025	1.3619123401e-06	1.0113735644100016e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33976.75390625	-137.1640625	1154419806.0058744	18813.980041503903	21490.1015625	-23.033203125	530.5284461975099	461824465.16656494	21666.087890625	-80.4453125	6471.448303222656	469419364.48428726	1.435929	25.709732	0.16574169	0.1133281356	-0.031547476899999996	0.0640077905	0.017480098899999998	0.0214647554	-0.0746484326	-0.179296042	-0.0179310642	-0.0117245135	-0.006588652800000001	-0.0539234086	-0.1260406061	-0.130954515	-0.0461702725	0.0639761697	0.05843721900000001	-0.0304115088	0.0230761951	0.010980660900000001	0.095770635	-0.0306386715	0.0349661179	-0.0199141026	-0.11932413230000001	-0.07787467299999999	0.1075550272	0.1409750075	0.0512838221	-0.0603094854	-0.0680662544	0.1077304928	0.0491193426	0.08470432609999999	-0.0300295846	0.09138781929999999	-0.046223027	-0.0221608558	-0.11476684960000001	-0.061080498	0.026982532000000004	-0.0764427926	0.0635466516	-0.0275683683	0.0332883973	-0.071746947	0.0805819119	-0.0665504859	0.17018821039999998	-0.07954586059999999	-0.03182061	-0.1078357667	0.0361651269	-0.0553112822	-0.028520342799999997	0.09996820619999999	0.17742855	-0.0618521997	0.1681876296	0.0254573433	-0.0301219475	-0.1881911845	0.08572896599999999	-0.0359535867	-0.0018158457	0.132467291	-0.0147472785	0.1214561158	0.0552110184	-0.0082639446	-0.0839528439	0.075408194	0.0511273016	0.0163403433	0.1186358248	0.0037057766	-0.0661912652	-0.0243584362	-0.022626167599999997	-0.1221522346	-0.08866961029999999	-0.03975784	-0.0215913977	-0.0295198944	0.0366124365	-0.0029259738	-0.06629531940000001	0.0227749555	-0.0674842401	-0.1493683326	-0.0397832724	0.028344816800000002	0.043169802	-0.0298527717	0.13814837970000002	-0.0600223767	-0.0083570926	-0.0669003236	-0.046298642800000005	-0.0656643145	0.0735261829	0.0876830134	0.0572786759	0.0412146231	0.15053696589999999	0.120326335	0.1161887065	0.1093977275	0.0079577	0.0023053399999999995	5.314592515599997e-06	6.332498929000001e-05	0.142746	0.0864192	0.020376420516	0.0074682781286400015	0.0271451	0.021262899999999998	0.0004521109164099998	0.0007368564540099997	0.00372194	-0.00028874	1.38528373636e-05	8.33707876e-08	0.000242344	-0.0005543319999999998	3.072839662239998e-07	5.873061433600001e-08	-0.000894997	0.000272013	8.01019630009e-07	7.399107216899999e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34093.359375	116.60546875	1162357153.4729006	13596.835342407228	21486.625	-3.4765625	12.08648681640625	461675053.890625	21731.173828125	65.0859375	4236.179260253906	472243915.94818497	1.396653	25.006514000000006	0.07391111000000003	-0.0455190221	-0.0526850024	-0.046488910099999996	-0.012648928	0.0412947394	-0.1417340739	-0.0957175742	-0.0055002562	-0.0214690321	0.12021297199999999	0.1762626933	-0.2620575849	0.0603430349	0.019501109	0.0950744145	-0.0197145203	0.046058572699999994	0.1369782797	0.030904843199999997	0.0388744429	-0.013372788899999998	-0.11970280289999999	0.0544716941	-0.1560645104	0.067937022	0.0380737666	-0.0539918817	-0.0497437072	0.0679508374	-0.0836335505	-0.1529585859	-0.10395632769999999	-0.0532058025	-0.0450832205	-0.0371992327	-0.0574990463	-0.005612729300000001	0.026485213599999998	0.0027957727	0.026327214900000003	-0.0316196562	0.10853583119999999	0.0599490954	0.0220169182	0.09257400449999999	-0.1869446717	-0.1343482676	0.0357168255	0.1298603107	0.0797632296	0.0185071213	-0.066625843	-0.0014985917	-0.11372527210000001	0.1064908323	0.18777614039999999	-0.0697988499	-0.1582419645	0.08114757759999999	-0.0290924656	-0.18934475350000002	-0.010308606	-0.0489406679	0.19862156649999999	0.1355967519	0.2401040966	0.046383092300000005	-0.08558595960000001	-0.078484583	0.11425197	0.0488251767	-0.07672998240000001	-0.1270633541	0.0118979809	0.010128708	0.14244752300000002	-0.0717145079	0.04401402980000002	0.0699619708	0.015242216599999999	-0.14587905550000002	0.0603043797	-0.0294149155	0.0127984771	0.0087705747	-0.09960376289999999	-0.1139492699	0.013578670900000001	-0.056809424000000004	-0.0033899019	0.1262808188	0.0046914841	-0.0039776258000000005	0.0734940087	-0.1034877908	0.017035998700000003	-0.0040208138	-0.0627316813	0.1509249494	-0.1265422722	0.10581650179999999	-0.0029722151000000003	-0.12244750609999999	-0.0672483978	0.1198669825	0.1143757435	0.10540925529999999	0.00565309	-0.0023046099999999995	5.3112272520999976e-06	3.19574265481e-05	0.0904392	-0.05230680000000002	0.00817924889664	0.0027360013262400017	0.0309381	0.003793000000000001	1.4386849000000008e-05	0.0009571660316099996	0.00370013	-2.1810000000000145e-05	1.36909620169e-05	4.756761000000064e-10	0.00041754	0.00017519599999999994	3.069363841599998e-08	1.743396516e-07	-0.0007818689999999999	0.0001131280000000001	6.113191331609999e-07	1.2797944384000024e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34186.95703125	93.59765625	1168748031.0565338	8760.521255493164	21489.685546875	3.060546875	9.366947174072266	461806584.90356827	21744.90234375	13.728515625	188.47214126586914	472840777.9392242	1.446678	25.902199	0.08615008999999997	0.15054974880000002	0.1707751532	-0.0483243606	-0.0315465283	-0.0180695138	0.10402055460000001	-0.2323457041	0.0563470358	0.029314074199999998	0.051835476500000005	0.1425792349	-0.0091164537	-0.08797489480000001	-0.085732028	0.0057043116	0.08630160880000001	-0.2208983004	-0.0146702846	-0.0857001342	-0.099432638	0.1354851661	-0.1289044547	-0.0105279833	-0.1407623735	-0.056591230599999987	-0.07022679700000001	-0.0944319873	0.024465046600000002	0.1161116827	0.1318597134	0.0696267127	-0.179735693	0.1864644525	0.0227896703	0.0002572636	-0.019867465	-0.067232735	0.10950280119999999	0.0239178127	0.0230611839	0.0087450614	0.1183796651	-0.08889995789999999	-0.0803776105	0.08197807	-0.010787969	0.0333268562	0.0080988235	0.0225685525	-0.2278898697	-0.0220607405	0.0115279357	0.014762718000000001	-0.014955588899999999	0.0315411996	0.1102938474	-0.0210344581	-0.1826123281	-0.016270623600000002	-0.06525411769999999	-0.10453493259999999	0.1389698399	0.0383870017	0.027909155800000002	0.024962234500000003	0.0992336517	-0.057218258200000004	-0.0259373167	0.08847028009999999	-0.1647994451	0.16778307050000002	-0.0111105408	-0.0732804518	-0.082332196	-0.07468145400000001	-0.0271199362	-0.1410101542	0.0764776774	0.0405938667	-0.045971346100000005	-0.0140272775	0.150177218	0.1233099719	0.0662749659	-0.25621955469999996	-0.058809243	0.1179163983	0.0142055126	-0.0097585973	0.0220372356	0.053893228	-0.0399988063	-0.030756203399999998	-0.0603011649	-0.0329437213	-0.0031631423	0.033646369700000005	-0.0679601939	0.0101050803	-0.0350580748	0.0096846669	-0.0099417715	-0.018026481599999998	0.0929808026	0.11934271980000001	0.112315068	0.1009072399	0.00564975	-3.3400000000001137e-06	1.1155600000000759e-11	3.1919675062500003e-05	0.0904474	8.199999999999874e-06	0.008180732166760001	6.723999999999794e-11	0.045505	0.01456690000000001	0.00021219457561000025	0.0020707050250000003	0.00249358	-0.0012065499999999998	6.2179412164e-06	1.4557629024999995e-06	0.000192657	-0.000224883	5.0572363688999996e-08	3.7116719649e-08	-0.0007818689999999999	0.0	6.113191331609999e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
